energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,3.69318787,1.07051894,0.58325487,0.00608274,0.39342023,0.94722675,0.64259656,0.00917012,1.93986872
-5.99399700,3.61026933,1.04822712,0.57268433,0.00622286,0.37731664,0.92296411,0.62689449,0.00863433,1.90479562
-5.98799400,3.52779365,1.02627070,0.56220704,0.00635136,0.36135946,0.89827801,0.61156529,0.00810078,1.86973999
-5.98199100,3.44614943,1.00477615,0.55188578,0.00646359,0.34561758,0.87337135,0.59664590,0.00757215,1.83489771
-5.97598799,3.36563717,0.98382253,0.54177379,0.00655517,0.33014861,0.84840767,0.58215978,0.00705126,1.80041905
-5.96998499,3.28647208,0.96344421,0.53191477,0.00662213,0.31499748,0.82351028,0.56811790,0.00654107,1.76641153
-5.96398199,3.20879320,0.94363618,0.52234379,0.00666103,0.30019627,0.79876413,0.55452070,0.00604454,1.73294590
-5.95797899,3.13267798,0.92436176,0.51308870,0.00666904,0.28576481,0.77421985,0.54136090,0.00556460,1.70006473
-5.95197599,3.05816078,0.90556179,0.50417198,0.00664402,0.27171217,0.74989987,0.52862689,0.00510406,1.66779269
-5.94597299,2.98525391,0.88716493,0.49561301,0.00658463,0.25803877,0.72580578,0.51630643,0.00466554,1.63614792
-5.93996998,2.91396941,0.86909803,0.48743030,0.00649031,0.24473887,0.70192653,0.50439029,0.00425148,1.60515338
-5.93396698,2.84433988,0.85129609,0.47964368,0.00636131,0.23180333,0.67824686,0.49287578,0.00386406,1.57484740
-5.92796398,2.77643681,0.83371112,0.47227619,0.00619870,0.21922228,0.65475530,0.48176956,0.00350523,1.54529267
-5.92196098,2.71038502,0.81631920,0.46535550,0.00600431,0.20698775,0.63145132,0.47108983,0.00317671,1.51658285
-5.91595798,2.64637222,0.79912551,0.45891470,0.00578067,0.19509573,0.60835111,0.46086752,0.00287998,1.48884641
-5.90995498,2.58465284,0.78216703,0.45299239,0.00553090,0.18354795,0.58549176,0.45114648,0.00261634,1.46224738
-5.90395198,2.52554598,0.76551269,0.44763209,0.00525865,0.17235292,0.56293360,0.44198259,0.00238692,1.43698283
-5.89794897,2.46942740,0.74926110,0.44288082,0.00496795,0.16152645,0.54076051,0.43344179,0.00219274,1.41327719
-5.89194597,2.41671611,0.73353606,0.43878712,0.00466307,0.15109154,0.51907845,0.42559723,0.00203470,1.39137382
-5.88594297,2.36785623,0.71848017,0.43539838,0.00434842,0.14107759,0.49801219,0.41852557,0.00191365,1.37152410
