energy_ev,total_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.86638180,0.61927235,0.16056531,0.00951779,0.14330490,0.02743294,0.81085960,0.87964729,0.07902174
-5.99399700,1.89371059,0.63600128,0.16321593,0.00988704,0.14732917,0.02716440,0.82277338,0.89811318,0.07879376
-5.98799400,1.91354671,0.64935943,0.16535302,0.01027632,0.15061377,0.02712987,0.83111357,0.91232418,0.07834228
-5.98199100,1.92575269,0.65917305,0.16700145,0.01068861,0.15313452,0.02734808,0.83576652,0.92205285,0.07767234
-5.97598799,1.93042110,0.66535576,0.16820656,0.01112799,0.15488802,0.02783786,0.83671918,0.92718802,0.07679679
-5.96998499,1.92787535,0.66791234,0.16903296,0.01159957,0.15589193,0.02861769,0.83406103,0.92774034,0.07573601
-5.96398199,1.91866015,0.66693888,0.16956254,0.01210941,0.15618444,0.02970511,0.82798165,0.92384283,0.07451734
-5.95797899,1.90352163,0.66261928,0.16989145,0.01266427,0.15582293,0.03111595,0.81876384,0.91574609,0.07317405
-5.95197599,1.88337794,0.65521809,0.17012628,0.01327135,0.15488164,0.03286340,0.80677254,0.90380848,0.07174407
-5.94597299,1.85928148,0.64507009,0.17037961,0.01393792,0.15344874,0.03495696,0.79244016,0.88848159,0.07026840
-5.93996998,1.83237438,0.63256695,0.17076501,0.01467084,0.15162269,0.03740130,0.77624887,0.87029174,0.06878944
-5.93396698,1.80383952,0.61814172,0.17139178,0.01547613,0.14950814,0.04019514,0.75871074,0.84981841,0.06734908
-5.92796398,1.77484922,0.60225170,0.17235963,0.01635842,0.14721156,0.04333022,0.74034672,0.82767060,0.06598687
-5.92196098,1.74651430,0.58536076,0.17375365,0.01732049,0.14483683,0.04679033,0.72166554,0.80446228,0.06473826
-5.91595798,1.71983595,0.56792171,0.17563962,0.01836276,0.14248090,0.05055062,0.70314344,0.78078825,0.06363301
-5.90995498,1.69566295,0.55035976,0.17806019,0.01948294,0.14022987,0.05457719,0.68520584,0.75720148,0.06269383
-5.90395198,1.67465624,0.53305771,0.18103188,0.02067568,0.13815555,0.05882702,0.66821184,0.73419300,0.06193538
-5.89794897,1.65726285,0.51634365,0.18454327,0.02193237,0.13631281,0.06324826,0.65244220,0.71217535,0.06136361
-5.89194597,1.64370038,0.50048161,0.18855439,0.02324114,0.13473765,0.06778103,0.63809147,0.69147032,0.06097554
-5.88594297,1.63395288,0.48566565,0.19299749,0.02458694,0.13344637,0.07235855,0.62526451,0.67230140,0.06075948
-5.87993997,1.62777836,0.47201748,0.19777907,0.02595179,0.13243554,0.07690877,0.61397752,0.65479120,0.06069557
-5.87393697,1.62472747,0.45958767,0.20278327,0.02731524,0.13168300,0.08135636,0.60416348,0.63896390,0.06075686
-5.86793397,1.62417240,0.44836029,0.20787634,0.02865493,0.13114981,0.08562497,0.59568160,0.62475227,0.06091062
-5.86193097,1.62534459,0.43826051,0.21291213,0.02994734,0.13078289,0.08963984,0.58833020,0.61200892,0.06111996
-5.85592796,1.62737911,0.42916479,0.21773827,0.03116856,0.13051839,0.09333040,0.58186235,0.60052092,0.06134566
-5.84992496,1.62936364,0.42091300,0.22220285,0.03229524,0.13028548,0.09663298,0.57600335,0.59002697,0.06154809
-5.84392196,1.63038935,0.41332174,0.22616117,0.03330543,0.13001047,0.09949337,0.57046909,0.58023617,0.06168914
-5.83791896,1.62960122,0.40619813,0.22948236,0.03417958,0.12962091,0.10186916,0.56498444,0.57084726,0.06173415
-5.83191596,1.62624527,0.39935343,0.23205543,0.03490131,0.12904964,0.10373165,0.55930057,0.56156750,0.06165352
-5.82591296,1.61971017,0.39261562,0.23379457,0.03545818,0.12823842,0.10506740,0.55321049,0.55213000,0.06142424
-5.81990995,1.60956149,0.38584045,0.23464335,0.03584230,0.12714104,0.10587908,0.54656198,0.54230895,0.06103096
-5.81390695,1.59556665,0.37892050,0.23457758,0.03605073,0.12572582,0.10618578,0.53926723,0.53193179,0.06046679
-5.80790395,1.57770969,0.37179159,0.23360681,0.03608575,0.12397729,0.10602262,0.53130901,0.52088808,0.05973365
-5.80190095,1.55619516,0.36443668,0.23177430,0.03595484,0.12189699,0.10543966,0.52274294,0.50913454,0.05884223
-5.79589795,1.53144102,0.35688683,0.22915543,0.03567048,0.11950351,0.10450016,0.51369587,0.49669640,0.05781152
