energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Li_s_up,S_s_up,S_p_up
-6.00000000,8.13268440,1.32814459,5.67507336,0.02371692,0.65480493,0.23393436,0.07099908,1.32383276
-5.99399700,7.86389995,1.30479607,5.47507554,0.02347494,0.62402180,0.22695363,0.06855019,1.28895743
-5.98799400,7.59107681,1.28101760,5.27222543,0.02316678,0.59255524,0.22006901,0.06617500,1.25324994
-5.98199100,7.31636643,1.25703598,5.06806119,0.02279417,0.56075023,0.21330568,0.06390319,1.21700167
-5.97598799,7.04207842,1.23312340,4.86422866,0.02236040,0.52895203,0.20668496,0.06176310,1.18053768
-5.96998499,6.77064410,1.20959939,4.66245082,0.02187030,0.49749841,0.20022515,0.05978115,1.14421487
-5.96398199,6.50457970,1.18683198,4.46449732,0.02133013,0.46671280,0.19394244,0.05798132,1.10841927
-5.95797899,6.24645032,1.16523781,4.27215519,0.02074752,0.43689844,0.18785195,0.05638479,1.07356269
-5.95197599,5.99883557,1.14528057,4.08720182,0.02013129,0.40833379,0.18196886,0.05500970,1.04007853
-5.94597299,5.76429716,1.12746765,3.91138067,0.01949127,0.38126906,0.17630947,0.05387106,1.00841683
-5.93996998,5.54534825,1.11234422,3.74637976,0.01883813,0.35592390,0.17089230,0.05298075,0.97903848
-5.93396698,5.34442406,1.10048467,3.59381298,0.01818309,0.33248601,0.16573899,0.05234761,0.95240859
-5.92796398,5.16385315,1.09248112,3.45520353,0.01753773,0.31111056,0.16087505,0.05197762,0.92898889
-5.92196098,5.00582842,1.08892895,3.33196915,0.01691372,0.29192025,0.15633037,0.05187407,0.90922922
-5.91595798,4.87237728,1.09040947,3.22540836,0.01632254,0.27500574,0.15213947,0.05203771,0.89355827
-5.90995498,4.76533056,1.09747028,3.13668717,0.01577527,0.26042632,0.14834136,0.05246691,0.88237345
-5.90395198,4.68628994,1.11060378,3.06682577,0.01528231,0.24821067,0.14497910,0.05315775,0.87603041
-5.89794897,4.63659450,1.13022465,3.01668515,0.01485320,0.23835766,0.14209902,0.05410395,0.87483219
-5.89194597,4.61728693,1.15664752,2.98695345,0.01449634,0.23083711,0.13974960,0.05529688,0.87901863
-5.88594297,4.62908095,1.19006568,2.97813258,0.01421889,0.22559046,0.13798005,0.05672540,0.88875639
-5.87993997,4.67233140,1.23053220,2.99052548,0.01402656,0.22253156,0.13683868,0.05837571,0.90413004
-5.87393697,4.74700902,1.27794474,3.02422500,0.01392351,0.22154753,0.13637104,0.06023117,0.92513478
-5.86793397,4.85268196,1.33203492,3.07910517,0.01391231,0.22249985,0.13661809,0.06227215,0.95167131
-5.86193097,4.98850597,1.39236342,3.15481592,0.01399382,0.22522577,0.13761426,0.06447600,0.98354326
-5.85592796,5.15322505,1.45832151,3.25078217,0.01416727,0.22954033,0.13938566,0.06681706,1.02045763
-5.84992496,5.34518391,1.52913928,3.36620797,0.01443025,0.23523870,0.14194849,0.06926684,1.06202836
-5.84392196,5.56235292,1.60390091,3.50008641,0.01477881,0.24209939,0.14530767,0.07179436,1.10778333
-5.83791896,5.80236579,1.68156640,3.65121527,0.01520758,0.24988793,0.14945588,0.07436672,1.15717455
-5.83191596,6.06256917,1.76099939,3.81821846,0.01570991,0.25836123,0.15437291,0.07694980,1.20959146
-5.82591296,6.34008277,1.84099986,3.99957263,0.01627807,0.26727248,0.16002553,0.07950914,1.26437678
-5.81990995,6.63186790,1.92034046,4.19363790,0.01690343,0.27637641,0.16636765,0.08201103,1.32084452
-5.81390695,6.93480147,1.99780494,4.39869164,0.01757672,0.28543482,0.17334111,0.08442362,1.37829926
-5.80790395,7.24575241,2.07222686,4.61296361,0.01828821,0.29422214,0.18087667,0.08671818,1.43605603
-5.80190095,7.56165662,2.14252683,4.83467076,0.01902797,0.30253079,0.18889551,0.08887035,1.49345986
-5.79589795,7.87958715,2.20774658,5.06205003,0.01978610,0.31017610,0.19731090,0.09086123,1.54990403
-5.78989495,8.19681591,2.26707809,5.29338723,0.02055293,0.31700062,0.20603013,0.09267855,1.60484635
-5.78389195,8.51086399,2.31988656,5.52704085,0.02131923,0.32287756,0.21495658,0.09431743,1.65782257
-5.77788894,8.81953814,2.36572600,5.76145925,0.02207634,0.32771324,0.22399176,0.09578112,1.70845634
-5.77188594,9.12095179,2.40434695,5.99519084,0.02281631,0.33144843,0.23303739,0.09708131,1.75646529
-5.76588294,9.41353000,2.43569593,6.22688666,0.02353202,0.33405846,0.24199726,0.09823820,1.80166300
-5.75987994,9.69599863,2.45990694,6.45529606,0.02421721,0.33555222,0.25077892,0.09928026,1.84395685
-5.75387694,9.96735922,2.47728573,6.67925591,0.02486650,0.33596994,0.25929520,0.10024368,1.88334194
-5.74787394,10.22685177,2.48828768,6.89767504,0.02547536,0.33538005,0.26746531,0.10117143,1.91989164
-5.74187094,10.47390879,2.49349105,7.10951548,0.02604009,0.33387518,0.27521576,0.10211214,1.95374522
-5.73586793,10.70810427,2.49356684,7.31377279,0.02655771,0.33156748,0.28248093,0.10311874,1.98509360
-5.72986493,10.92910187,2.48924750,7.50945768,0.02702586,0.32858360,0.28920340,0.10424683,2.01416398
-5.72386193,11.13660661,2.48129590,7.69558132,0.02744274,0.32505956,0.29533404,0.10555304,2.04120436
-5.71785893,11.33032419,2.47047668,7.87114649,0.02780692,0.32113562,0.30083198,0.10709325,2.06646892
-5.71185593,11.50993164,2.45753125,8.03514648,0.02811732,0.31695167,0.30566443,0.10892083,2.09020517
-5.70585293,11.67506209,2.44315784,8.18657312,0.02837307,0.31264302,0.30980648,0.11108495,2.11264360
-5.69984992,11.82530555,2.42799753,8.32443464,0.02857350,0.30833703,0.31324098,0.11362902,2.13399040
-5.69384692,11.96022647,2.41262642,8.44778342,0.02871805,0.30415050,0.31595842,0.11658920,2.15442365
-5.68784392,12.07939741,2.39755432,8.55575289,0.02880636,0.30018804,0.31795704,0.11999326,2.17409293
