energy_ev,total_up,total_down,Ca_p_up,Ca_p_down,Ca_d_up,Ca_d_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,2.14456578,-3.41555380,0.01084808,-0.01855254,0.00000000,-0.00000000,1.25615467,-4.33115933,0.86090746,-0.68992431,0.00583943,-0.01820142,0.56746355,-0.84233174,0.01149732,-0.02915751,0.68557231,-1.40444990
-5.99399700,2.07095040,-3.25335838,0.01036075,-0.01786789,0.00000000,-0.00000000,1.24520348,-4.09216571,0.83314704,-0.65664642,0.00594693,-0.01752028,0.55585456,-0.79022658,0.01069106,-0.02798627,0.65349144,-1.35013231
-5.98799400,1.99591450,-3.08750800,0.00987164,-0.01716440,0.00000000,-0.00000000,1.23498673,-3.84497430,0.80368486,-0.62307902,0.00610724,-0.01679291,0.54312287,-0.73633000,0.00992846,-0.02676444,0.62197059,-1.29504780
-5.98199100,1.91978053,-2.92060699,0.00938227,-0.01645302,0.00000000,-0.00000000,1.22472049,-3.59351647,0.77281944,-0.58973210,0.00631167,-0.01603608,0.52936632,-0.68151146,0.00920831,-0.02550949,0.59106751,-1.24004886
-5.97598799,1.84288401,-2.75509988,0.00889455,-0.01574403,0.00000000,-0.00000000,1.21369325,-3.34152888,0.74084315,-0.55707620,0.00655095,-0.01526646,0.51467614,-0.62660660,0.00852942,-0.02423831,0.56085758,-1.18591992
-5.96998499,1.76556501,-2.59321721,0.00841072,-0.01504679,0.00000000,-0.00000000,1.20127838,-3.09246612,0.70803647,-0.52553352,0.00681546,-0.01450011,0.49913573,-0.57239918,0.00789065,-0.02296675,0.53143052,-1.13335921
-5.96398199,1.68816186,-2.43693349,0.00793329,-0.01436958,0.00000000,-0.00000000,1.18694555,-2.84943008,0.67466378,-0.49547190,0.00709539,-0.01375199,0.48282066,-0.51960641,0.00729097,-0.02170932,0.50288711,-1.08296505
-5.95797899,1.61100712,-2.28793868,0.00746497,-0.01371946,0.00000000,-0.00000000,1.17027051,-2.61511773,0.64097074,-0.46720166,0.00738091,-0.01303554,0.46579974,-0.46886819,0.00672944,-0.02047887,0.47533594,-1.03522724
-5.95197599,1.53442555,-2.14762363,0.00700863,-0.01310219,0.00000000,-0.00000000,1.15094284,-2.39178812,0.60718303,-0.44097548,0.00766239,-0.01236231,0.44813683,-0.42074013,0.00620524,-0.01928640,0.44889029,-0.99052368
-5.94597299,1.45873387,-2.01707910,0.00656718,-0.01252229,0.00000000,-0.00000000,1.12877114,-2.18124856,0.57350634,-0.41699086,0.00793062,-0.01174169,0.42989335,-0.37569039,0.00571769,-0.01814097,0.42366533,-0.94912220
-5.93996998,1.38424169,-1.89710752,0.00614353,-0.01198307,0.00000000,-0.00000000,1.10368510,-1.98485859,0.54012729,-0.39539512,0.00817698,-0.01118070,0.41113096,-0.33409999,0.00526625,-0.01704963,0.39977560,-0.91118733
-5.93396698,1.31125312,-1.78824582,0.00574052,-0.01148680,0.00000000,-0.00000000,1.07573426,-1.80355011,0.50721505,-0.37629223,0.00839365,-0.01068390,0.39191432,-0.29626615,0.00485052,-0.01601748,0.37733271,-0.87679128
-5.92796398,1.24006852,-1.69079705,0.00536087,-0.01103480,0.00000000,-0.00000000,1.04508299,-1.63786104,0.47492326,-0.35975106,0.00857382,-0.01025336,0.37231355,-0.26240821,0.00447027,-0.01504785,0.35644334,-0.84592845
-5.92196098,1.17098588,-1.60486849,0.00500710,-0.01062774,0.00000000,-0.00000000,1.01200191,-1.48797956,0.44339216,-0.34581434,0.00871183,-0.00988875,0.35240618,-0.23267534,0.00412544,-0.01414243,0.33720745,-0.81853232
-5.91595798,1.10430133,-1.53041335,0.00468149,-0.01026579,0.00000000,-0.00000000,0.97685575,-1.35379584,0.41275044,-0.33450771,0.00880335,-0.00958750,0.33227840,-0.20715541,0.00381620,-0.01330152,0.31971666,-0.79449372
-5.90995498,1.04030858,-1.46727329,0.00438603,-0.00994885,0.00000000,-0.00000000,0.94008804,-1.23495781,0.38311679,-0.32584816,0.00884549,-0.00934500,0.31202555,-0.18588444,0.00354292,-0.01252434,0.30405274,-0.77367924
-5.90395198,0.97929710,-1.41521911,0.00412235,-0.00967675,0.00000000,-0.00000000,0.90220314,-1.13092812,0.35460107,-0.31985133,0.00883690,-0.00915495,0.29175168,-0.16885590,0.00330626,-0.01180924,0.29028629,-0.75594876
-5.89794897,0.92154898,-1.37398713,0.00389170,-0.00944944,0.00000000,-0.00000000,0.86374640,-1.04103905,0.32730481,-0.31653709,0.00877779,-0.00900962,0.27156835,-0.15602925,0.00310719,-0.01115402,0.27847549,-0.74117086
