energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,2.45131567,0.00264886,0.01706273,0.26867682,0.38515017,1.30209105,0.05502318,1.04800998
-5.99399700,2.33263360,0.00292003,0.01619009,0.25803222,0.39294515,1.23199764,0.05221655,0.99668072
-5.98799400,2.21321873,0.00327170,0.01527947,0.24814098,0.40809712,1.16000313,0.04927764,0.94411881
-5.98199100,2.09557097,0.00372029,0.01435150,0.23924539,0.43109537,1.08734839,0.04626782,0.89149484
-5.97598799,1.98227433,0.00428434,0.01342718,0.23160296,0.46250865,1.01530765,0.04324843,0.84000371
-5.96998499,1.87591739,0.00498441,0.01252741,0.22547477,0.50295263,0.94514944,0.04027929,0.79083410
-5.96398199,1.77901868,0.00584307,0.01167262,0.22111401,0.55305431,0.87810097,0.03741743,0.74514017
-5.95797899,1.69395862,0.00688462,0.01088252,0.21875514,0.61341432,0.81531673,0.03471591,0.70401618
-5.95197599,1.62291945,0.00813491,0.01017578,0.21860371,0.68456783,0.75785197,0.03222302,0.66847445
-5.94597299,1.56783364,0.00962090,0.00956986,0.22082732,0.76694511,0.70664133,0.02998151,0.63942684
-5.93996998,1.53034142,0.01137021,0.00908082,0.22554760,0.86083290,0.66248246,0.02802814,0.61766958
-5.93396698,1.51175707,0.01341045,0.00872324,0.23283370,0.96633782,0.62602454,0.02639348,0.60387155
-5.92796398,1.51304379,0.01576853,0.00851009,0.24269719,1.08335313,0.59776107,0.02510172,0.59856538
-5.92196098,1.53479677,0.01846972,0.00845262,0.25508861,1.21153036,0.57802671,0.02417083,0.60214135
-5.91595798,1.57723374,0.02153673,0.00856037,0.26989571,1.35025714,0.56699727,0.02361266,0.61484347
-5.90995498,1.64019264,0.02498857,0.00884097,0.28694359,1.49864271,0.56469251,0.02343326,0.63676768
-5.90395198,1.72313598,0.02883944,0.00930015,0.30599657,1.65551224,0.57098131,0.02363317,0.66786167
-5.89794897,1.82516153,0.03309752,0.00994152,0.32676203,1.81941103,0.58558863,0.02420773,0.70792640
-5.89194597,1.94501919,0.03776381,0.01076651,0.34889607,1.98861922,0.60810422,0.02514750,0.75661921
-5.88594297,2.08113401,0.04283105,0.01177417,0.37201093,2.16117729,0.63799291,0.02643854,0.81345859
-5.87993997,2.23163530,0.04828269,0.01296100,0.39568408,2.33492219,0.67460635,0.02806275,0.87783078
-5.87393697,2.39439184,0.05409211,0.01432084,0.41946863,2.50753339,0.71719646,0.02999816,0.94899846
-5.86793397,2.56705320,0.06022209,0.01584468,0.44290504,2.67658762,0.76493059,0.03221924,1.02611179
-5.86193097,2.74709690,0.06662449,0.01752056,0.46553355,2.83962070,0.81690863,0.03469713,1.10822205
-5.85592796,2.93188124,0.07324041,0.01933351,0.48690703,2.99419428,0.87218207,0.03739998,1.19429810
-5.84992496,3.11870294,0.08000060,0.02126558,0.50660398,3.13796509,0.92977517,0.04029319,1.28324567
-5.84392196,3.30485914,0.08682638,0.02329588,0.52424088,3.26875403,0.98870812,0.04333975,1.37392967
-5.83791896,3.48771226,0.09363093,0.02540079,0.53948386,3.38461234,1.04802194,0.04650066,1.46519916
-5.83191596,3.66475673,0.10032101,0.02755419,0.55205894,3.48388216,1.10680481,0.04973527,1.55591471
-5.82591296,3.83368565,0.10679901,0.02972789,0.56176058,3.56524904,1.16421937,0.05300185,1.64497770
-5.81990995,3.99245592,0.11296534,0.03189205,0.56845821,3.62778427,1.21953011,0.05625806,1.73136079
-5.81390695,4.13934976,0.11872106,0.03401574,0.57210057,3.67097528,1.27213034,0.05946162,1.81413877
-5.80790395,4.27303067,0.12397068,0.03606762,0.57271752,3.69474312,1.32156753,0.06257093,1.89251888
-5.80190095,4.39259204,0.12862490,0.03801653,0.57041945,3.69944633,1.36756624,0.06554579,1.96586944
-5.79589795,4.49759645,0.13260345,0.03983229,0.56539434,3.68587145,1.41004757,0.06834809,2.03374582
-5.78989495,4.58810401,0.13583759,0.04148639,0.55790245,3.65521059,1.44914403,0.07094260,2.09591246
-5.78389195,4.66468836,0.13827243,0.04295267,0.54826903,3.60902753,1.48520904,0.07329761,2.15236007
-5.77788894,4.72843899,0.13986878,0.04420803,0.53687533,3.54921356,1.51882010,0.07538564,2.20331681
-5.77188594,4.78094918,0.14060457,0.04523296,0.52414813,3.47793525,1.55077488,0.07718404,2.24925269
-5.76588294,4.82428884,0.14047576,0.04601208,0.51054827,3.39757599,1.58207982,0.07867550,2.29087642
-5.75987994,4.86096216,0.13949659,0.04653451,0.49655848,3.31067359,1.61393081,0.07984846,2.32912416
-5.75387694,4.89385023,0.13769928,0.04679411,0.48267092,3.21985575,1.64768584,0.08069739,2.36513993
-5.74787394,4.92613928,0.13513321,0.04678967,0.46937469,3.12777554,1.68482984,0.08122294,2.40024765
-5.74187094,4.96123550,0.13186348,0.04652488,0.45714361,3.03704836,1.72693203,0.08143192,2.43591496
