energy_ev,total_up,Cu_p_up,Cu_d_up,In_p_up,In_d_up,S_s_up,S_p_up
-6.00000000,0.10053503,0.03732670,0.02330801,0.00107011,0.00001929,0.00569057,0.06551719
-5.99399700,0.08458193,0.03140554,0.01966970,0.00083555,0.00001561,0.00480440,0.05534661
-5.98799400,0.07067550,0.02624338,0.01648214,0.00064834,0.00001256,0.00402744,0.04642074
-5.98199100,0.05865150,0.02177949,0.01371349,0.00049998,0.00001006,0.00335214,0.03865603
-5.97598799,0.04833897,0.01795059,0.01132916,0.00038325,0.00000801,0.00277023,0.03195993
-5.96998499,0.03956531,0.01469272,0.00929306,0.00029206,0.00000634,0.00227304,0.02623478
-5.96398199,0.03216055,0.01194287,0.00756884,0.00022133,0.00000500,0.00185180,0.02138122
-5.95797899,0.02596093,0.00964027,0.00612079,0.00016689,0.00000392,0.00149788,0.01730106
-5.95197599,0.02081164,0.00772745,0.00491466,0.00012531,0.00000305,0.00120297,0.01389959
-5.94597299,0.01656883,0.00615096,0.00391822,0.00009386,0.00000237,0.00095923,0.01108737
-5.93996998,0.01310092,0.00486188,0.00310171,0.00007033,0.00000183,0.00075944,0.00878146
-5.93396698,0.01028937,0.00381608,0.00243807,0.00005303,0.00000140,0.00059699,0.00690628
-5.92796398,0.00802885,0.00297428,0.00190304,0.00004062,0.00000107,0.00046596,0.00539401
-5.92196098,0.00622706,0.00230200,0.00147524,0.00003212,0.00000081,0.00036114,0.00418467
-5.91595798,0.00480421,0.00176931,0.00113602,0.00002682,0.00000061,0.00027796,0.00322596
-5.90995498,0.00369222,0.00135056,0.00086936,0.00002425,0.00000046,0.00021249,0.00247289
-5.90395198,0.00283387,0.00102399,0.00066163,0.00002415,0.00000034,0.00016140,0.00188729
-5.89794897,0.00218177,0.00077141,0.00050144,0.00002644,0.00000025,0.00012188,0.00143719
-5.89194597,0.00169740,0.00057771,0.00037934,0.00003124,0.00000019,0.00009160,0.00109624
-5.88594297,0.00135006,0.00043052,0.00028762,0.00003880,0.00000014,0.00006864,0.00084301
-5.87993997,0.00111604,0.00031982,0.00022011,0.00004957,0.00000010,0.00005147,0.00066047
-5.87393697,0.00097771,0.00023757,0.00017189,0.00006417,0.00000007,0.00003884,0.00053530
-5.86793397,0.00092279,0.00017743,0.00013920,0.00008341,0.00000005,0.00002977,0.00045748
-5.86193097,0.00094375,0.00013445,0.00011920,0.00010828,0.00000004,0.00002352,0.00041978
-5.85592796,0.00103722,0.00010482,0.00010985,0.00014001,0.00000003,0.00001951,0.00041735
-5.84992496,0.00120357,0.00008570,0.00010979,0.00018004,0.00000002,0.00001732,0.00044743
-5.84392196,0.00144652,0.00007502,0.00011822,0.00023006,0.00000001,0.00001667,0.00050904
-5.83791896,0.00177284,0.00007135,0.00013485,0.00029201,0.00000001,0.00001736,0.00060274
-5.83191596,0.00219207,0.00007377,0.00015982,0.00036806,0.00000001,0.00001929,0.00073049
-5.82591296,0.00271632,0.00008185,0.00019364,0.00046066,0.00000001,0.00002243,0.00089547
-5.81990995,0.00336001,0.00009552,0.00023717,0.00057246,0.00000001,0.00002681,0.00110197
-5.81390695,0.00413966,0.00011509,0.00029161,0.00070632,0.00000001,0.00003253,0.00135527
-5.80790395,0.00507366,0.00014122,0.00035849,0.00086524,0.00000001,0.00003972,0.00166162
-5.80190095,0.00618202,0.00017495,0.00043967,0.00105232,0.00000001,0.00004858,0.00202815
-5.79589795,0.00748608,0.00021773,0.00053737,0.00127068,0.00000001,0.00005935,0.00246283
-5.78989495,0.00900822,0.00027148,0.00065424,0.00152336,0.00000002,0.00007234,0.00297451
-5.78389195,0.01077159,0.00033872,0.00079336,0.00181319,0.00000002,0.00008790,0.00357289
-5.77788894,0.01279985,0.00042265,0.00095842,0.00214270,0.00000003,0.00010648,0.00426863
-5.77188594,0.01511692,0.00052739,0.00115376,0.00251394,0.00000004,0.00012862,0.00507344
-5.76588294,0.01774692,0.00065810,0.00138458,0.00292840,0.00000006,0.00015497,0.00600032
-5.75987994,0.02071412,0.00082134,0.00165713,0.00338676,0.00000008,0.00018632,0.00706385
-5.75387694,0.02404321,0.00102529,0.00197894,0.00388886,0.00000011,0.00022363,0.00828057
-5.74787394,0.02775968,0.00128020,0.00235916,0.00443347,0.00000015,0.00026808,0.00966955
-5.74187094,0.03189060,0.00159875,0.00280890,0.00501827,0.00000020,0.00032113,0.01125304
-5.73586793,0.03646562,0.00199659,0.00334166,0.00563968,0.00000027,0.00038453,0.01305735
-5.72986493,0.04151836,0.00249284,0.00397381,0.00629287,0.00000036,0.00046044,0.01511383
-5.72386193,0.04708820,0.00311068,0.00472512,0.00697177,0.00000046,0.00055146,0.01746002
-5.71785893,0.05322237,0.00387799,0.00561934,0.00766904,0.00000060,0.00066073,0.02014093
-5.71185593,0.05997832,0.00482794,0.00668479,0.00837626,0.00000078,0.00079199,0.02321044
-5.70585293,0.06742632,0.00599960,0.00795493,0.00908401,0.00000100,0.00094968,0.02673268
-5.69984992,0.07565219,0.00743851,0.00946893,0.00978210,0.00000127,0.00113900,0.03078342
-5.69384692,0.08475994,0.00919715,0.01127213,0.01045983,0.00000160,0.00136596,0.03545133
-5.68784392,0.09487417,0.01133521,0.01341642,0.01110626,0.00000201,0.00163747,0.04083893
-5.68184092,0.10614196,0.01391975,0.01596035,0.01171053,0.00000251,0.00196134,0.04706329
-5.67583792,0.11873411,0.01702504,0.01896913,0.01226221,0.00000310,0.00234625,0.05425612
-5.66983492,0.13284535,0.02073208,0.02251422,0.01275163,0.00000381,0.00280177,0.06256325
-5.66383192,0.14869332,0.02512778,0.02667264,0.01317019,0.00000465,0.00333820,0.07214333
-5.65782891,0.16651607,0.03030370,0.03152583,0.01351071,0.00000563,0.00396650,0.08316559
-5.65182591,0.18656797,0.03635426,0.03715810,0.01376763,0.00000678,0.00469803,0.09580663
-5.64582291,0.20911366,0.04337452,0.04365458,0.01393726,0.00000810,0.00554430,0.11024609
-5.63981991,0.23442028,0.05145742,0.05109873,0.01401790,0.00000961,0.00651666,0.12666124
-5.63381691,0.26274778,0.06069051,0.05956933,0.01400990,0.00001133,0.00762592,0.14522053
-5.62781391,0.29433758,0.07115232,0.06913709,0.01391568,0.00001326,0.00888184,0.16607613
-5.62181091,0.32939982,0.08290824,0.07986097,0.01373961,0.00001542,0.01029272,0.18935577
-5.61580790,0.36809956,0.09600632,0.09178415,0.01348791,0.00001781,0.01186480,0.21515400
-5.60980490,0.41054247,0.11047281,0.10493007,0.01316839,0.00002042,0.01360176,0.24352321
-5.60380190,0.45676068,0.12630795,0.11929840,0.01279023,0.00002326,0.01550416,0.27446493
-5.59779890,0.50669935,0.14348190,0.13486143,0.01236366,0.00002632,0.01756897,0.30792159
-5.59179590,0.56020489,0.16193127,0.15156080,0.01189964,0.00002958,0.01978905,0.34376947
-5.58579290,0.61701549,0.18155641,0.16930503,0.01140960,0.00003302,0.02215287,0.38181310
-5.57978989,0.67675468,0.20221957,0.18796789,0.01090508,0.00003663,0.02464424,0.42178173
-5.57378689,0.73892881,0.22374429,0.20738789,0.01039752,0.00004036,0.02724216,0.46332811
-5.56778389,0.80292869,0.24591615,0.22736898,0.00989801,0.00004420,0.02992098,0.50603011
-5.56178089,0.86803605,0.26848493,0.24768259,0.00941714,0.00004809,0.03265054,0.54939524
