energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Hg_p_up,Hg_d_up,Te_p_up,Te_d_up
-6.00000000,3.13538925,0.12215395,0.10168461,1.36404588,0.52184299,0.87718135,0.69507674,1.34827467,0.00000000
-5.99399700,3.11399782,0.12406948,0.09898130,1.34526088,0.53224410,0.87398923,0.68056387,1.35019696,0.00000000
-5.98799400,3.09532448,0.12597635,0.09658319,1.32719251,0.54346352,0.87126074,0.66644970,1.35298558,0.00000000
-5.98199100,3.08001282,0.12788321,0.09455098,1.31020406,0.55543303,0.86921947,0.65299136,1.35674318,0.00000000
-5.97598799,3.06860536,0.12979668,0.09293555,1.29462547,0.56806860,0.86805757,0.64042238,1.36154158,0.00000000
-5.96998499,3.06152385,0.13172054,0.09177641,1.28074297,0.58127094,0.86792779,0.62894550,1.36741811,0.00000000
-5.96398199,3.05905412,0.13365509,0.09110048,1.26879044,0.59492640,0.86893717,0.61872675,1.37437322,0.00000000
-5.95797899,3.06133590,0.13559661,0.09092134,1.25894280,0.60890816,0.87114254,0.60989104,1.38236937,0.00000000
-5.95197599,3.06835785,0.13753704,0.09123884,1.25131170,0.62307783,0.87454808,0.60251934,1.39133129,0.00000000
-5.94597299,3.07995822,0.13946379,0.09203919,1.24594348,0.63728732,0.87910498,0.59664760,1.40114752,0.00000000
-5.93996998,3.09583090,0.14135992,0.09329548,1.24281944,0.65138099,0.88471336,0.59226746,1.41167335,0.00000000
-5.93396698,3.11553697,0.14320440,0.09496856,1.24185852,0.66519816,0.89122633,0.58932859,1.42273496,0.00000000
-5.92796398,3.13852127,0.14497277,0.09700843,1.24292196,0.67857588,0.89845613,0.58774268,1.43413475,0.00000000
-5.92196098,3.16413364,0.14663796,0.09935587,1.24582000,0.69135206,0.90618209,0.58738884,1.44565783,0.00000000
-5.91595798,3.19165405,0.14817138,0.10194442,1.25032019,0.70336882,0.91416014,0.58812019,1.45707935,0.00000000
-5.90995498,3.22032094,0.14954417,0.10470262,1.25615701,0.71447625,0.92213352,0.58977141,1.46817274,0.00000000
-5.90395198,3.24936168,0.15072858,0.10755635,1.26304240,0.72453632,0.92984431,0.59216678,1.47871843,0.00000000
-5.89794897,3.27802413,0.15169946,0.11043132,1.27067696,0.73342701,0.93704514,0.59512856,1.48851287,0.00000000
-5.89194597,3.30560791,0.15243578,0.11325552,1.27876110,0.74104652,0.94351074,0.59848517,1.49737751,0.00000000
-5.88594297,3.33149424,0.15292195,0.11596165,1.28700600,0.74731738,0.94904872,0.60207881,1.50516745,0.00000000
-5.87993997,3.35517278,0.15314918,0.11848922,1.29514376,0.75219035,0.95350903,0.60577228,1.51177920,0.00000000
-5.87393697,3.37626433,0.15311644,0.12078660,1.30293644,0.75564780,0.95679166,0.60945445,1.51715728,0.00000000
-5.86793397,3.39453796,0.15283118,0.12281251,1.31018358,0.75770643,0.95885216,0.61304431,1.52129910,0.00000000
-5.86193097,3.40992159,0.15230973,0.12453727,1.31672793,0.75841900,0.95970463,0.61649329,1.52425790,0.00000000
-5.85592796,3.42250518,0.15157718,0.12594350,1.32245900,0.75787492,0.95942189,0.61978565,1.52614312,0.00000000
-5.84992496,3.43253588,0.15066691,0.12702635,1.32731453,0.75619940,0.95813288,0.62293703,1.52711822,0.00000000
-5.84392196,3.44040507,0.14961962,0.12779320,1.33127952,0.75355113,0.95601713,0.62599111,1.52739563,0.00000000
-5.83791896,3.44662742,0.14848193,0.12826293,1.33438303,0.75011822,0.95329668,0.62901460,1.52722881,0.00000000
-5.83191596,3.45181271,0.14730462,0.12846466,1.33669281,0.74611263,0.95022563,0.63209073,1.52690163,0.00000000
-5.82591296,3.45663142,0.14614054,0.12843613,1.33830799,0.74176294,0.94707782,0.63531168,1.52671531,0.00000000
-5.81990995,3.46177558,0.14504227,0.12822177,1.33935017,0.73730583,0.94413321,0.63877025,1.52697339,0.00000000
-5.81390695,3.46791668,0.14405970,0.12787047,1.33995336,0.73297653,0.94166368,0.64255131,1.52796540,0.00000000
-5.80790395,3.47566276,0.14323756,0.12743333,1.34025318,0.72899855,0.93991878,0.64672342,1.52994986,0.00000000
-5.80190095,3.48551686,0.14261310,0.12696132,1.34037593,0.72557324,0.93911237,0.65133119,1.53313763,0.00000000
-5.79589795,3.49783907,0.14221398,0.12650308,1.34042804,0.72286963,0.93941064,0.65638876,1.53767626,0.00000000
-5.78989495,3.51281445,0.14205652,0.12610296,1.34048648,0.72101522,0.94092241,0.66187488,1.54363655,0.00000000
-5.78389195,3.53042866,0.14214444,0.12579934,1.34059068,0.72008801,0.94369191,0.66772978,1.55100182,0.00000000
-5.77788894,3.55045301,0.14246810,0.12562335,1.34073633,0.72011049,0.94769485,0.67385423,1.55966089,0.00000000
-5.77188594,3.57244005,0.14300431,0.12559805,1.34087160,0.72104595,0.95283767,0.68011076,1.56940528,0.00000000
-5.76588294,3.59573028,0.14371683,0.12573813,1.34089589,0.72279726,0.95896044,0.68632710,1.57993094,0.00000000
-5.75987994,3.61947027,0.14455734,0.12605006,1.34066133,0.72520857,0.96584294,0.69230176,1.59084474,0.00000000
-5.75387694,3.64264134,0.14546716,0.12653276,1.33997709,0.72806971,0.97321406,0.69781135,1.60167564,0.00000000
-5.74787394,3.66409788,0.14637931,0.12717865,1.33861627,0.73112337,0.98076377,0.70261954,1.61189014,0.00000000
-5.74187094,3.68261363,0.14722110,0.12797517,1.33632515,0.73407469,0.98815733,0.70648702,1.62091142,0.00000000
-5.73586793,3.69693366,0.14791694,0.12890645,1.33283445,0.73660282,0.99505096,0.70918206,1.62814145,0.00000000
-5.72986493,3.70582977,0.14839140,0.12995525,1.32787193,0.73837408,1.00110822,0.71049113,1.63298487,0.00000000
-5.72386193,3.70815648,0.14857219,0.13110485,1.32117600,0.73905596,1.00601636,0.71022910,1.63487388,0.00000000
-5.71785893,3.70290487,0.14839320,0.13234104,1.31250939,0.73833130,1.00950173,0.70824842,1.63329253,0.00000000
-5.71185593,3.68925163,0.14779714,0.13365374,1.30167246,0.73591209,1.01134365,0.70444681,1.62779959,0.00000000
-5.70585293,3.66660085,0.14673792,0.13503846,1.28851526,0.73155203,1.01138583,0.69877320,1.61804868,0.00000000
-5.69984992,3.63461634,0.14518252,0.13649732,1.27294788,0.72505737,1.00954497,0.69123144,1.60380474,0.00000000
-5.69384692,3.59324295,0.14311237,0.13803965,1.25494842,0.71629550,1.00581599,0.68188174,1.58495595,0.00000000
-5.68784392,3.54271571,0.14052409,0.13968204,1.23456825,0.70520085,1.00027362,0.67083960,1.56152065,0.00000000
-5.68184092,3.48355634,0.13742962,0.14144789,1.21193404,0.69177781,0.99307020,0.65827242,1.53364873,0.00000000
-5.67583792,3.41655727,0.13385574,0.14336641,1.18724664,0.67610074,0.98442997,0.64439387,1.50161760,0.00000000
-5.66983492,3.34275388,0.12984302,0.14547115,1.16077657,0.65831087,0.97463974,0.62945631,1.46582286,0.00000000
-5.66383192,3.26338632,0.12544425,0.14779808,1.13285646,0.63861057,0.96403673,0.61374148,1.42676418,0.00000000
-5.65782891,3.17985281,0.12072240,0.15038332,1.10387057,0.61725512,0.95299387,0.59755016,1.38502701,0.00000000
-5.65182591,3.09365655,0.11574825,0.15326066,1.07424193,0.59454253,0.94190337,0.58119098,1.34126119,0.00000000
-5.64582291,3.00634868,0.11059781,0.15645897,1.04441773,0.57080198,0.93115926,0.56496902,1.29615723,0.00000000
-5.63981991,2.91947021,0.10534961,0.15999958,1.01485348,0.54638140,0.92113975,0.54917480,1.25042169,0.00000000
-5.63381691,2.83449520,0.10008196,0.16389389,0.98599668,0.52163482,0.91219013,0.53407385,1.20475247,0.00000000
-5.62781391,2.75277805,0.09487041,0.16814128,0.95827092,0.49691011,0.90460710,0.51989764,1.15981537,0.00000000
-5.62181091,2.67550689,0.08978531,0.17272739,0.93206085,0.47253765,0.89862518,0.50683596,1.11622278,0.00000000
-5.61580790,2.60366525,0.08488976,0.17762297,0.90769898,0.44882033,0.89440579,0.49503117,1.07451537,0.00000000
-5.60980490,2.53800328,0.08023792,0.18278338,0.88545466,0.42602536,0.89202953,0.48457457,1.03514755,0.00000000
-5.60380190,2.47901963,0.07587373,0.18814872,0.86552590,0.40437811,0.89149192,0.47550480,0.99847708,0.00000000
-5.59779890,2.42695434,0.07183008,0.19364464,0.84803431,0.38405806,0.89270283,0.46780848,0.96475912,0.00000000
-5.59179590,2.38179286,0.06812845,0.19918392,0.83302329,0.36519701,0.89548953,0.46142285,0.93414483,0.00000000
-5.58579290,2.34328039,0.06477904,0.20466858,0.82045967,0.34787944,0.89960323,0.45624035,0.90668417,0.00000000
-5.57978989,2.31094577,0.06178121,0.20999269,0.81023854,0.33214479,0.90472874,0.45211472,0.88233281,0.00000000
-5.57378689,2.28413330,0.05912446,0.21504550,0.80219107,0.31799143,0.91049688,0.44886854,0.86096236,0.00000000
-5.56778389,2.26204105,0.05678954,0.21971502,0.79609495,0.30538212,0.91649893,0.44630158,0.84237345,0.00000000
