energy_ev,total_up,Pb_p_up,Pb_d_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
0.95747874,1.33744620,0.18281038,0.00016602,0.11836464,0.00000000,0.17645162,1.25909057
0.96348174,1.17682013,0.15981992,0.00014612,0.10158561,0.00000000,0.15323470,1.11128943
0.96948474,1.02948738,0.13890524,0.00012782,0.08679554,0.00000000,0.13243978,0.97497843
0.97548774,0.89537564,0.12007496,0.00011111,0.07383074,0.00000000,0.11396800,0.85023672
0.98149075,0.77424648,0.10330807,0.00009598,0.06253549,0.00000000,0.09771285,0.73696930
0.98749375,0.66571496,0.08855939,0.00008239,0.05276237,0.00000000,0.08356306,0.63492469
0.99349675,0.56927251,0.07576548,0.00007028,0.04437279,0.00000000,0.07140585,0.54371610
0.99949975,0.48431203,0.06485057,0.00005956,0.03723755,0.00000000,0.06113041,0.46284453
1.00550275,0.41015367,0.05573241,0.00005016,0.03123749,0.00000000,0.05263145,0.39172311
1.01150575,0.34607053,0.04832768,0.00004196,0.02626409,0.00000000,0.04581257,0.32970131
1.01750875,0.29131306,0.04255689,0.00003489,0.02222011,0.00000000,0.04058930,0.27608828
1.02351176,0.24513152,0.03834845,0.00002882,0.01902010,0.00000000,0.03689182,0.23017452
1.02951476,0.20679585,0.03564200,0.00002366,0.01659078,0.00000000,0.03466698,0.19125133
1.03551776,0.17561249,0.03439073,0.00001930,0.01487141,0.00000000,0.03387984,0.15862764
1.04152076,0.15093805,0.03456271,0.00001566,0.01381384,0.00000000,0.03451440,0.13164401
1.04752376,0.13218950,0.03614125,0.00001264,0.01338255,0.00000000,0.03657367,0.10968372
1.05352676,0.11885131,0.03912419,0.00001017,0.01355445,0.00000000,0.04007892,0.09218099
1.05952976,0.11047931,0.04352230,0.00000816,0.01431859,0.00000000,0.04506824,0.07862656
1.06553277,0.10670190,0.04935668,0.00000655,0.01567565,0.00000000,0.05159432,0.06857087
1.07153577,0.10721866,0.05665545,0.00000528,0.01763736,0.00000000,0.05972156,0.06162512
1.07753877,0.11179695,0.06544958,0.00000431,0.02022577,0.00000000,0.06952260,0.05746050
1.08354177,0.12026675,0.07576831,0.00000360,0.02347241,0.00000000,0.08107428,0.05580612
1.08954477,0.13251406,0.08763400,0.00000310,0.02741730,0.00000000,0.09445324,0.05644568
1.09554777,0.14847355,0.10105696,0.00000280,0.03210796,0.00000000,0.10973120,0.05921352
1.10155078,0.16812038,0.11603010,0.00000267,0.03759823,0.00000000,0.12697019,0.06399000
1.10755378,0.19146184,0.13252393,0.00000270,0.04394703,0.00000000,0.14621774,0.07069671
1.11355678,0.21852895,0.15048201,0.00000288,0.05121704,0.00000000,0.16750244,0.07929147
1.11955978,0.24936822,0.16981713,0.00000321,0.05947321,0.00000000,0.19082976,0.08976346
1.12556278,0.28403382,0.19040847,0.00000368,0.06878126,0.00000000,0.21617860,0.10212834
1.13156578,0.32258023,0.21209990,0.00000431,0.07920595,0.00000000,0.24349852,0.11642367
1.13756878,0.36505553,0.23469972,0.00000510,0.09080926,0.00000000,0.27270784,0.13270438
1.14357179,0.41149525,0.25798180,0.00000605,0.10364848,0.00000000,0.30369284,0.15103846
1.14957479,0.46191688,0.28168835,0.00000717,0.11777405,0.00000000,0.33630796,0.17150274
1.15557779,0.51631491,0.30553426,0.00000849,0.13322739,0.00000000,0.37037707,0.19417877
1.16158079,0.57465650,0.32921289,0.00001000,0.15003848,0.00000000,0.40569595,0.21914864
1.16758379,0.63687748,0.35240325,0.00001172,0.16822352,0.00000000,0.44203564,0.24649083
1.17358679,0.70287886,0.37477828,0.00001365,0.18778239,0.00000000,0.47914682,0.27627600
1.17958979,0.77252367,0.39601398,0.00001581,0.20869633,0.00000000,0.51676492,0.30856274
1.18559280,0.84563421,0.41579900,0.00001819,0.23092560,0.00000000,0.55461593,0.34339331
1.19159580,0.92198974,0.43384440,0.00002080,0.25440752,0.00000000,0.59242253,0.38078945
1.19759880,1.00132470,0.44989303,0.00002363,0.27905479,0.00000000,0.62991066,0.42074841
1.20360180,1.08332763,0.46372832,0.00002668,0.30475437,0.00000000,0.66681602,0.46323933
1.20960480,1.16764100,0.47518190,0.00002993,0.33136702,0.00000000,0.70289059,0.50820018
1.21560780,1.25386219,0.48413996,0.00003338,0.35872759,0.00000000,0.73790888,0.55553541
1.22161081,1.34154581,0.49054780,0.00003699,0.38664622,0.00000000,0.77167373,0.60511456
1.22761381,1.43020766,0.49441263,0.00004076,0.41491054,0.00000000,0.80402167,0.65677204
1.23361681,1.51933042,0.49580430,0.00004465,0.44328885,0.00000000,0.83482757,0.71030813
1.23961981,1.60837120,0.49485406,0.00004863,0.47153438,0.00000000,0.86400849,0.76549133
1.24562281,1.69677091,0.49175131,0.00005269,0.49939043,0.00000000,0.89152671,0.82206216
1.25162581,1.78396532,0.48673851,0.00005677,0.52659636,0.00000000,0.91739160,0.87973812
1.25762881,1.86939740,0.48010438,0.00006087,0.55289422,0.00000000,0.94166038,0.93821986
1.26363182,1.95253062,0.47217574,0.00006494,0.57803574,0.00000000,0.96443755,0.99719809
1.26963482,2.03286244,0.46330809,0.00006897,0.60178937,0.00000000,0.98587281,1.05636094
1.27563782,2.10993746,0.45387543,0.00007293,0.62394718,0.00000000,1.00615735,1.11540137
1.28164082,2.18335928,0.44425950,0.00007680,0.64433101,0.00000000,1.02551856,1.17402408
1.28764382,2.25280047,0.43483883,0.00008057,0.66279787,0.00000000,1.04421283,1.23195147
1.29364682,2.31800976,0.42597794,0.00008423,0.67924402,0.00000000,1.06251676,1.28892819
1.29964982,2.37881605,0.41801688,0.00008778,0.69360763,0.00000000,1.08071678,1.34472398
1.30565283,2.43512863,0.41126156,0.00009122,0.70586988,0.00000000,1.09909741,1.39913448
1.31165583,2.48693365,0.40597509,0.00009455,0.71605431,0.00000000,1.11792859,1.45197994
1.31765883,2.53428690,0.40237034,0.00009777,0.72422459,0.00000000,1.13745260,1.50310203
1.32366183,2.57730333,0.40060400,0.00010089,0.73048080,0.00000000,1.15787105,1.55235884
1.32966483,2.61614401,0.40077238,0.00010392,0.73495441,0.00000000,1.17933286,1.59961875
1.33566783,2.65100161,0.40290911,0.00010687,0.73780244,0.00000000,1.20192379,1.64475361
1.34167084,2.68208550,0.40698477,0.00010975,0.73920103,0.00000000,1.22565848,1.68763214
1.34767384,2.70960773,0.41290877,0.00011254,0.73933897,0.00000000,1.25047557,1.72811419
1.35367684,2.73377125,0.42053327,0.00011526,0.73841151,0.00000000,1.27623666,1.76604686
1.35967984,2.75476138,0.42965923,0.00011789,0.73661505,0.00000000,1.30272944,1.80126295
1.36568284,2.77274172,0.44004451,0.00012043,0.73414276,0.00000000,1.32967542,1.83358256
1.37168584,2.78785477,0.45141358,0.00012286,0.73118164,0.00000000,1.35674201,1.86281797
1.37768884,2.80022778,0.46346889,0.00012517,0.72791099,0.00000000,1.38355887,1.88878200
1.38369185,2.80998339,0.47590321,0.00012734,0.72450229,0.00000000,1.40973769,1.91129959
1.38969485,2.81725435,0.48841261,0.00012935,0.72112043,0.00000000,1.43489476,1.93022198
1.39569785,2.82220124,0.50070965,0.00013117,0.71792587,0.00000000,1.45867487,1.94544270
1.40170085,2.82503155,0.51253598,0.00013280,0.71507757,0.00000000,1.48077556,1.95691427
1.40770385,2.82601834,0.52367406,0.00013422,0.71273597,0.00000000,1.50096990,1.96466422
1.41370685,2.82551655,0.53395719,0.00013542,0.71106574,0.00000000,1.51912657,1.96880917
1.41970985,2.82397491,0.54327757,0.00013641,0.71023766,0.00000000,1.53522578,1.96956542
1.42571286,2.82194186,0.55159170,0.00013718,0.71042929,0.00000000,1.54936963,1.96725502
1.43171586,2.82006382,0.55892312,0.00013775,0.71182395,0.00000000,1.56178620,1.96230601
1.43771886,2.81907508,0.56536196,0.00013815,0.71460784,0.00000000,1.57282650,1.95524632
1.44372186,2.81977879,0.57106157,0.00013840,0.71896521,0.00000000,1.58295421,1.94669097
1.44972486,2.82301935,0.57623205,0.00013852,0.72507163,0.00000000,1.59272826,1.93732267
1.45572786,2.82964715,0.58113114,0.00013856,0.73308558,0.00000000,1.60277910,1.92786648
1.46173087,2.84047728,0.58605279,0.00013855,0.74313888,0.00000000,1.61377942,1.91905955
1.46773387,2.85624424,0.59131388,0.00013853,0.75532636,0.00000000,1.62641101,1.91161741
1.47373687,2.87755531,0.59723975,0.00013852,0.76969553,0.00000000,1.64132914,1.90619861
1.47973987,2.90484535,0.60414908,0.00013855,0.78623692,0.00000000,1.65912663,1.90336966
1.48574287,2.93833591,0.61233900,0.00013864,0.80487581,0.00000000,1.68029918,1.90357234
1.49174587,2.97800149,0.62207081,0.00013880,0.82546602,0.00000000,1.70521407,1.90709533
1.49774887,3.02354542,0.63355708,0.00013902,0.84778636,0.00000000,1.73408388,1.91405215
1.50375188,3.07438726,0.64695072,0.00013930,0.87154018,0.00000000,1.76694659,1.92436670
1.50975488,3.12966320,0.66233616,0.00013959,0.89635833,0.00000000,1.80365322,1.93776765
1.51575788,3.18824010,0.67972330,0.00013987,0.92180552,0.00000000,1.84386372,1.95379230
1.52176088,3.24874296,0.69904416,0.00014010,0.94739015,0.00000000,1.88705136,1.97179996
1.52776388,3.30959506,0.72015239,0.00014021,0.97257709,0.00000000,1.93251549,1.99099441
1.53376688,3.36906910,0.74282561,0.00014015,0.99680310,0.00000000,1.97940199,2.01045461
1.53976988,3.42534725,0.76677040,0.00013985,1.01949412,0.00000000,2.02673066,2.02917218
1.54577289,3.47658733,0.79162976,0.00013927,1.04008385,0.00000000,2.07342814,2.04609399
1.55177589,3.52099231,0.81699266,0.00013834,1.05803265,0.00000000,2.11836498,2.06016790
1.55777889,3.55687996,0.84240544,0.00013701,1.07284609,0.00000000,2.16039536,2.07038954
