energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up,Zn_p_up,Zn_d_up
-6.00000000,5.34395816,0.11559580,0.03479372,0.16195190,0.43974275,0.20396556,0.08436029,0.21140154,4.03510285
-5.99399700,5.09385969,0.11196763,0.03339001,0.14393965,0.42451006,0.19629455,0.08159314,0.20373160,3.83673293
-5.98799400,4.84560012,0.10813542,0.03194378,0.12708849,0.40884644,0.18869545,0.07871871,0.19562544,3.64120326
-5.98199100,4.59984862,0.10413230,0.03046894,0.11148287,0.39296192,0.18125964,0.07577603,0.18716809,3.44867179
-5.97598799,4.35742689,0.09999130,0.02898044,0.09717258,0.37709364,0.17409275,0.07280889,0.17845361,3.25941675
-5.96998499,4.11927529,0.09574499,0.02749393,0.08417583,0.36150122,0.16731295,0.06986478,0.16958271,3.07381223
-5.96398199,3.88641873,0.09142527,0.02602540,0.07248293,0.34646162,0.16104884,0.06699377,0.16066007,2.89230372
-5.95797899,3.65993310,0.08706318,0.02459084,0.06206041,0.33226368,0.15543702,0.06424725,0.15179176,2.71538459
-5.95197599,3.44091359,0.08268877,0.02320593,0.05285532,0.31920248,0.15061939,0.06167685,0.14308270,2.54357411
-5.94597299,3.23044525,0.07833103,0.02188575,0.04479958,0.30757372,0.14674032,0.05933325,0.13463420,2.37739746
-5.93996998,3.02957661,0.07401780,0.02064448,0.03781405,0.29766827,0.14394365,0.05726521,0.12654182,2.21736825
-5.93396698,2.83929655,0.06977576,0.01949522,0.03181242,0.28976692,0.14236972,0.05551858,0.11889346,2.06397345
-5.92796398,2.66051476,0.06563028,0.01844977,0.02670463,0.28413553,0.14215229,0.05413559,0.11176781,1.91766108
-5.92196098,2.49404565,0.06160537,0.01751846,0.02239976,0.28102061,0.14341567,0.05315417,0.10523314,1.77883034
-5.91595798,2.34059565,0.05772352,0.01671006,0.01880858,0.28064520,0.14627180,0.05260750,0.09934644,1.64782421
-5.90995498,2.20075378,0.05400552,0.01603163,0.01584546,0.28320538,0.15081760,0.05252366,0.09415301,1.52492414
-5.90395198,2.07498505,0.05047025,0.01548853,0.01342984,0.28886702,0.15713240,0.05292552,0.08968631,1.41034670
-5.89794897,1.96362647,0.04713447,0.01508436,0.01148725,0.29776307,0.16527569,0.05383067,0.08596816,1.30424184
-5.89194597,1.86688534,0.04401253,0.01482095,0.00995002,0.30999123,0.17528505,0.05525154,0.08300929,1.20669252
-5.88594297,1.78483944,0.04111614,0.01469838,0.00875747,0.32561194,0.18717446,0.05719560,0.08081006,1.11771549
-5.87993997,1.71743902,0.03845418,0.01471509,0.00785603,0.34464689,0.20093294,0.05966566,0.07936138,1.03726293
