energy_ev,total_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,0.49860510,0.04582077,0.00169716,0.00633606,0.26346083,0.26628381,0.16195136
-5.99399700,0.43238581,0.03949268,0.00149015,0.00557042,0.22772777,0.23095080,0.14019112
-5.98799400,0.37304638,0.03389452,0.00130076,0.00486703,0.19586589,0.19929498,0.12072580
-5.98199100,0.32036250,0.02899586,0.00112909,0.00422591,0.16772370,0.17119301,0.10347211
-5.97598799,0.27405710,0.02476342,0.00097499,0.00364615,0.14312486,0.14649440,0.08832988
-5.96998499,0.23381778,0.02116302,0.00083807,0.00312598,0.12187804,0.12503073,0.07518785
-5.96398199,0.19931369,0.01816155,0.00071780,0.00266291,0.10378630,0.10662460,0.06392926
-5.95797899,0.17021132,0.01572867,0.00061349,0.00225391,0.08865575,0.09109789,0.05443712
-5.95197599,0.14618901,0.01383851,0.00052438,0.00189547,0.07630321,0.07827946,0.04659894
-5.94597299,0.12694979,0.01247109,0.00044969,0.00158381,0.06656302,0.06801185,0.04031090
-5.93996998,0.11223252,0.01161359,0.00038863,0.00131497,0.05929262,0.06015717,0.03548154
-5.93396698,0.10182100,0.01126146,0.00034047,0.00108490,0.05437710,0.05460191,0.03203465
-5.92796398,0.09555119,0.01141929,0.00030454,0.00088960,0.05173247,0.05126077,0.02991168
-5.92196098,0.09331627,0.01210148,0.00028026,0.00072519,0.05130781,0.05007941,0.02907338
-5.91595798,0.09506972,0.01333279,0.00026720,0.00058795,0.05308621,0.05103611,0.02950089
-5.90995498,0.10082636,0.01514854,0.00026503,0.00047440,0.05708460,0.05414245,0.03119607
-5.90395198,0.11066137,0.01759476,0.00027358,0.00038134,0.06335232,0.05944295,0.03418140
-5.89794897,0.12470743,0.02072794,0.00029280,0.00030586,0.07196877,0.06701368,0.03849910
-5.89194597,0.14315000,0.02461472,0.00032278,0.00024532,0.08303989,0.07695998,0.04420987
-5.88594297,0.16622090,0.02933119,0.00036374,0.00019741,0.09669373,0.08941334,0.05139091
-5.87993997,0.19419033,0.03496206,0.00041601,0.00016012,0.11307521,0.10452740,0.06013362
-5.87393697,0.22735750,0.04159948,0.00047999,0.00013168,0.13234005,0.12247326,0.07054072
-5.86793397,0.26603998,0.04934164,0.00055618,0.00011059,0.15464817,0.14343424,0.08272301
-5.86193097,0.31056218,0.05829110,0.00064511,0.00009562,0.18015660,0.16760011,0.09679576
-5.85592796,0.36124313,0.06855287,0.00074733,0.00008570,0.20901219,0.19516094,0.11287485
-5.84992496,0.41838381,0.08023219,0.00086339,0.00007997,0.24134428,0.22630085,0.13107262
-5.84392196,0.48225458,0.09343215,0.00099381,0.00007774,0.27725764,0.26119165,0.15149371
-5.83791896,0.55308280,0.10825105,0.00113907,0.00007846,0.31682577,0.29998675,0.17423074
-5.83191596,0.63104126,0.12477966,0.00129955,0.00008170,0.36008506,0.34281523,0.19936020
-5.82591296,0.71623760,0.14309826,0.00147556,0.00008715,0.40702976,0.38977663,0.22693843
-5.81990995,0.80870528,0.16327373,0.00166729,0.00009459,0.45760826,0.44093623,0.25699795
-5.81390695,0.90839619,0.18535661,0.00187483,0.00010390,0.51172066,0.49632127,0.28954421
-5.80790395,1.01517540,0.20937819,0.00209813,0.00011504,0.56921788,0.55591799,0.32455288
-5.80190095,1.12881818,0.23534785,0.00233703,0.00012806,0.62990239,0.61966981,0.36196776
-5.79589795,1.24900938,0.26325059,0.00259125,0.00014308,0.69353058,0.68747641,0.40169943
-5.78989495,1.37534546,0.29304498,0.00286042,0.00016032,0.75981665,0.75919399,0.44362475
-5.78389195,1.50733882,0.32466150,0.00314410,0.00018008,0.82843814,0.83463649,0.48758715
-5.77788894,1.64442466,0.35800140,0.00344175,0.00020277,0.89904260,0.91357772,0.53339790
-5.77188594,1.78596988,0.39293625,0.00375283,0.00022892,0.97125543,0.99575433,0.58083826
-5.76588294,1.93128389,0.42930804,0.00407680,0.00025914,1.04468846,1.08086938,0.62966244
-5.75987994,2.07963090,0.46693012,0.00441312,0.00029418,1.11894884,1.16859640,0.67960149
-5.75387694,2.23024309,0.50558881,0.00476132,0.00033493,1.19364810,1.25858362,0.73036779
-5.74787394,2.38233436,0.54504569,0.00512101,0.00038238,1.26841066,1.35045832,0.78166016
-5.74187094,2.53511387,0.58504071,0.00549191,0.00043765,1.34288165,1.44383085,0.83316933
-5.73586793,2.68779891,0.62529579,0.00587383,0.00050199,1.41673346,1.53829830,0.88458364
-5.72986493,2.83962639,0.66551896,0.00626673,0.00057675,1.48967078,1.63344754,0.93559467
-5.72386193,2.98986263,0.70540892,0.00667068,0.00066334,1.56143383,1.72885747,0.98590262
-5.71785893,3.13781059,0.74465979,0.00708585,0.00076325,1.63179943,1.82410044,1.03522115
-5.71185593,3.28281462,0.78296593,0.00751248,0.00087796,1.70058000,1.91874271,1.08328154
-5.70585293,3.42426212,0.82002666,0.00795085,0.00100896,1.76762028,2.01234402,1.12983586
-5.69984992,3.56158226,0.85555072,0.00840122,0.00115763,1.83279205,2.10445638,1.17465913
-5.69384692,3.69424185,0.88926030,0.00886373,0.00132524,1.89598688,2.19462227,1.21755027
-5.68784392,3.82173863,0.92089460,0.00933841,0.00151286,1.95710754,2.28237238,1.25833191
-5.68184092,3.94359256,0.95021276,0.00982500,0.00172131,2.01605826,2.36722344,1.29684908
-5.67583792,4.05933589,0.97699623,0.01032295,0.00195109,2.07273465,2.44867633,1.33296693
-5.66983492,4.16850274,1.00105047,0.01083130,0.00220235,2.12701378,2.52621491,1.36656777
-5.66383192,4.27061937,1.02220619,0.01134861,0.00247479,2.17874521,2.59930613,1.39754752
-5.65782891,4.36519605,1.04032009,0.01187294,0.00276766,2.22774364,2.66740168,1.42581221
-5.65182591,4.45172154,1.05527534,0.01240177,0.00307971,2.27378369,2.72994161,1.45127455
-5.64582291,4.52966119,1.06698182,0.01293198,0.00340920,2.31659770,2.78636010,1.47385124
-5.63981991,4.59845934,1.07537632,0.01345993,0.00375387,2.35587655,2.83609370,1.49346106
-5.63381691,4.65754642,1.08042287,0.01398140,0.00411100,2.39127411,2.87859181,1.51002417
-5.62781391,4.70635097,1.08211314,0.01449174,0.00447743,2.42241509,2.91332941,1.52346276
-5.62181091,4.74431637,1.08046704,0.01498595,0.00484962,2.44890633,2.93982158,1.53370304
-5.61580790,4.77092165,1.07553352,0.01545876,0.00522375,2.47035091,2.95763935,1.54067856
-5.60980490,4.78570546,1.06739147,0.01590483,0.00559582,2.48636456,2.96642623,1.54433467
-5.60380190,4.78829188,1.05615057,0.01631889,0.00596171,2.49659355,2.96591450,1.54463388
-5.59779890,4.77841664,1.04195198,0.01669592,0.00631735,2.50073302,2.95594060,1.54156154
-5.59179590,4.75595201,1.02496866,0.01703127,0.00665877,2.49854485,2.93645846,1.53513170
-5.58579290,4.72092875,1.00540511,0.01732089,0.00698228,2.48987385,2.90755020,1.52539232
-5.57978989,4.67355338,0.98349636,0.01756143,0.00728451,2.47466139,2.86943310,1.51242966
-5.57378689,4.61421956,0.95950601,0.01775035,0.00756251,2.45295556,2.82246256,1.49637125
-5.56778389,4.54351235,0.93372321,0.01788601,0.00781383,2.42491718,2.76713035,1.47738710
-5.56178089,4.46220478,0.90645863,0.01796772,0.00803653,2.39082126,2.70405813,1.45568908
-5.55577789,4.37124651,0.87803924,0.01799576,0.00822923,2.35105364,2.63398634,1.43152817
-5.54977489,4.27174487,0.84880219,0.01797132,0.00839110,2.30610312,2.55775862,1.40518987
-5.54377189,4.16493908,0.81908799,0.01789642,0.00852180,2.25654924,2.47630264,1.37698776
-5.53776888,4.05216890,0.78923300,0.01777388,0.00862147,2.20304660,2.39060786,1.34725568
-5.53176588,3.93483915,0.75956186,0.01760710,0.00869063,2.14630631,2.30170145,1.31633894
-5.52576288,3.81438207,0.73037996,0.01739999,0.00873013,2.08707584,2.21062321,1.28458502
-5.51975988,3.69221926,0.70196647,0.01715679,0.00874105,2.02611805,2.11840079,1.25233433
-5.51375688,3.56972521,0.67456816,0.01688193,0.00872463,1.96419064,2.02602620,1.21991160
-5.50775388,3.44819413,0.64839436,0.01657988,0.00868219,1.90202695,1.93443455,1.18761821
-5.50175088,3.32881153,0.62361334,0.01625505,0.00861504,1.84031886,1.84448594,1.15572610
-5.49574787,3.21263175,0.60035022,0.01591166,0.00852445,1.77970266,1.75695101,1.12447326
-5.48974487,3.10056213,0.57868653,0.01555370,0.00841161,1.72074809,1.67250050,1.09406124
-5.48374187,2.99335410,0.55866142,0.01518489,0.00827761,1.66395100,1.59169916,1.06465449
-5.47773887,2.89160118,0.54027434,0.01480863,0.00812343,1.60972949,1.51500361,1.03638147
