energy_ev,total_up,Ag_p_up,Ag_d_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up
-6.00000000,3.02377037,0.72246368,2.21253624,0.09461006,0.00045598,0.61086865,0.00000000
-5.99399700,2.91561734,0.72012514,2.11142206,0.09644452,0.00043626,0.59967201,0.00000000
-5.98799400,2.82727356,0.72310697,2.02549230,0.09893805,0.00041882,0.59150857,0.00000000
-5.98199100,2.75913344,0.73128338,1.95521497,0.10205007,0.00040374,0.58636046,0.00000000
-5.97598799,2.71130891,0.74444330,1.90085658,0.10573241,0.00039110,0.58414932,0.00000000
-5.96998499,2.68363262,0.76229424,1.86248044,0.10993027,0.00038093,0.58474078,0.00000000
-5.96398199,2.67566676,0.78446833,1.83994853,0.11458332,0.00037321,0.58795071,0.00000000
-5.95797899,2.68671706,0.81053036,1.83292653,0.11962703,0.00036790,0.59355274,0.00000000
-5.95197599,2.71585152,0.83998776,1.84089201,0.12499412,0.00036493,0.60128692,0.00000000
-5.94597299,2.76192308,0.87230216,1.86314525,0.13061611,0.00036418,0.61086887,0.00000000
-5.93996998,2.82359542,0.90690236,1.89882256,0.13642503,0.00036551,0.62199929,0.00000000
-5.93396698,2.89937124,0.94319815,1.94691156,0.14235504,0.00036875,0.63437322,0.00000000
-5.92796398,2.98762185,0.98059467,2.00626812,0.14834415,0.00037371,0.64768879,0.00000000
-5.92196098,3.08661758,1.01850688,2.07563449,0.15433573,0.00038017,0.66165514,0.00000000
-5.91595798,3.19455791,1.05637354,2.15365843,0.16027997,0.00038791,0.67599915,0.00000000
-5.90995498,3.30960088,1.09367035,2.23891279,0.16613502,0.00039667,0.69047090,0.00000000
-5.90395198,3.42989097,1.12992165,2.32991538,0.17186796,0.00040621,0.70484757,0.00000000
-5.89794897,3.55358505,1.16471049,2.42514883,0.17745535,0.00041628,0.71893591,0.00000000
-5.89194597,3.67887606,1.19768650,2.52308025,0.18288341,0.00042663,0.73257320,0.00000000
-5.88594297,3.80401405,1.22857139,2.62218040,0.18814791,0.00043700,0.74562672,0.00000000
-5.87993997,3.92732467,1.25716190,2.72094239,0.19325348,0.00044717,0.75799215,0.00000000
-5.87393697,4.04722488,1.28333009,2.81789965,0.19821269,0.00045690,0.76959076,0.00000000
-5.86793397,4.16223613,1.30702104,2.91164308,0.20304467,0.00046600,0.78036599,0.00000000
-5.86193097,4.27099524,1.32824803,3.00083746,0.20777343,0.00047427,0.79027945,0.00000000
-5.85592796,4.37226309,1.34708560,3.08423674,0.21242595,0.00048155,0.79930670,0.00000000
-5.84992496,4.46493161,1.36366062,3.16069850,0.21703011,0.00048771,0.80743325,0.00000000
-5.84392196,4.54802924,1.37814213,3.22919713,0.22161254,0.00049263,0.81465077,0.00000000
-5.83791896,4.62072542,1.39073013,3.28883594,0.22619655,0.00049624,0.82095400,0.00000000
-5.83191596,4.68233414,1.40164419,3.33885788,0.23080016,0.00049848,0.82633841,0.00000000
-5.82591296,4.73231713,1.41111225,3.37865484,0.23543447,0.00049933,0.83079883,0.00000000
-5.81990995,4.77028657,1.41936028,3.40777536,0.24010235,0.00049880,0.83432906,0.00000000
-5.81390695,4.79600776,1.42660331,3.42593054,0.24479761,0.00049693,0.83692251,0.00000000
-5.80790395,4.80940139,1.43303831,3.43299807,0.24950466,0.00049378,0.83857388,0.00000000
-5.80190095,4.81054566,1.43883915,3.42902407,0.25419876,0.00048946,0.83928162,0.00000000
-5.79589795,4.79967765,1.44415401,3.41422261,0.25884683,0.00048407,0.83905108,0.00000000
-5.78989495,4.77719396,1.44910514,3.38897271,0.26340886,0.00047775,0.83789813,0.00000000
-5.78389195,4.74364982,1.45379103,3.35381264,0.26783968,0.00047067,0.83585292,0.00000000
-5.77788894,4.69975645,1.45829060,3.30943140,0.27209134,0.00046299,0.83296345,0.00000000
