energy_ev,total_up,Mo_p_up,Mo_d_up,P_s_up,P_p_up,Se_s_up,Se_p_up
-6.00000000,7.79622940,7.42233761,3.44188887,0.01694738,1.69763848,0.04786924,2.27811193
-5.99399700,7.92106113,7.60647975,3.52060614,0.01724807,1.73635700,0.04833617,2.28640382
-5.98799400,8.04733769,7.79265810,3.60068801,0.01754449,1.77558698,0.04884394,2.29386656
-5.98199100,8.17638957,7.98143279,3.68253356,0.01783379,1.81550622,0.04941243,2.30111088
-5.97598799,8.30923560,8.17298096,3.76640261,0.01811227,1.85620769,0.05005953,2.30868417
-5.96998499,8.44648379,8.36700911,3.85237380,0.01837544,1.89767725,0.05080015,2.31704082
-5.96398199,8.58824732,8.56268476,3.94030922,0.01861812,1.93977544,0.05164541,2.32651586
-5.95797899,8.73408053,8.75859197,4.02982773,0.01883458,1.98222454,0.05260188,2.33730332
-5.95197599,8.88293929,8.95271497,4.12028895,0.01901875,2.02460189,0.05367096,2.34944035
-5.94597299,9.03316897,9.14245253,4.21078956,0.01916444,2.06634008,0.05484851,2.36279808
-5.93996998,9.18252216,9.32466425,4.30017278,0.01926564,2.10673475,0.05612455,2.37708001
-5.93396698,9.32820679,9.49574851,4.38705149,0.01931670,2.14495977,0.05748335,2.39182814
-5.92796398,9.46696388,9.65174969,4.46984457,0.01931267,2.18008971,0.05890362,2.40643683
-5.92196098,9.59517237,9.78849096,4.54682553,0.01924953,2.21112873,0.06035903,2.42017408
-5.91595798,9.70897731,9.90172701,4.61618151,0.01912437,2.23704487,0.06181892,2.43220938
-5.90995498,9.80443588,9.98730990,4.67608033,0.01893561,2.25680824,0.06324924,2.44164699
-5.90395198,9.87767487,10.04136038,4.72474257,0.01868314,2.26943136,0.06461369,2.44756329
-5.89794897,9.92505246,10.06043609,4.76051540,0.01836834,2.27400976,0.06587491,2.44904649
-5.89194597,9.94331634,10.04168845,4.78194452,0.01799415,2.26976093,0.06699592,2.44523679
-5.88594297,9.92975070,9.98300002,4.78784054,0.01756501,2.25605956,0.06794139,2.43536528
-5.87993997,9.88230448,9.88309526,4.77733655,0.01708675,2.23246737,0.06867906,2.41878955
-5.87393697,9.79969451,9.74161896,4.74993366,0.01656645,2.19875600,0.06918094,2.39502435
-5.86793397,9.68147819,9.55917794,4.70553199,0.01601221,2.15492186,0.06942445,2.36376585
-5.86193097,9.52809184,9.33734411,4.64444547,0.01543294,2.10119216,0.06939324,2.32490825
-5.85592796,9.34085270,9.07861839,4.56739930,0.01483804,2.03802186,0.06907791,2.27855209
-5.84992496,9.12192437,8.78635746,4.47551013,0.01423717,1.96608187,0.06847628,2.22500361
-5.84392196,8.87424739,8.46466718,4.37024968,0.01363989,1.88623905,0.06759357,2.16476567
-5.83791896,8.60143843,8.11826798,4.25339354,0.01305542,1.79952911,0.06644207,2.09852038
-5.83191596,8.30766326,7.75233909,4.12695769,0.01249232,1.70712403,0.06504070,2.02710455
-5.82591296,7.99748971,7.37234926,3.99312567,0.01195827,1.61029527,0.06341423,1.95147939
-5.81990995,7.67572824,6.98388227,3.85417023,0.01145985,1.51037503,0.06159229,1.87269574
-5.81390695,7.34726766,6.59246526,3.71237316,0.01100237,1.40871692,0.05960832,1.79185689
-5.80790395,7.01691408,6.20340770,3.56994720,0.01058978,1.30665818,0.05749829,1.71008074
-5.80190095,6.68924062,5.82165778,3.42896384,0.01022456,1.20548470,0.05529949,1.62846306
-5.79589795,6.36845451,5.45168193,3.29129028,0.00990776,1.10640040,0.05304929,1.54804371
-5.78989495,6.05828718,5.09737144,3.15853840,0.00963905,1.01050180,0.05078406,1.46977722
-5.78389195,5.76191161,4.76197890,3.03202769,0.00941679,0.91875852,0.04853811,1.39450885
-5.77788894,5.48188919,4.44808504,2.91276351,0.00923822,0.83200006,0.04634296,1.32295712
-5.77188594,5.22014705,4.15759527,2.80143095,0.00909962,0.75090869,0.04422665,1.25570312
-5.76588294,4.97798486,3.89176350,2.69840379,0.00899655,0.67601821,0.04221341,1.19318662
-5.75987994,4.75610858,3.65123953,2.60376725,0.00892409,0.60771790,0.04032344,1.13570865
-5.75387694,4.55468717,3.43613540,2.51735243,0.00887707,0.54626085,0.03857295,1.08343984
-5.74787394,4.37342742,3.24610532,2.43877985,0.00885033,0.49177568,0.03697429,1.03643345
-5.74187094,4.21166103,3.08043349,2.36750899,0.00883895,0.44428063,0.03553636,0.99464194
-5.73586793,4.06843790,2.93812420,2.30289062,0.00883842,0.40369894,0.03426493,0.95793564
-5.72986493,3.94261963,2.81798884,2.24421870,0.00884484,0.36987457,0.03316316,0.92612226
-5.72386193,3.83296750,2.71872522,2.19077878,0.00885499,0.34258744,0.03223201,0.89896584
-5.71785893,3.73822009,2.63898553,2.14189029,0.00886646,0.32156734,0.03147075,0.87620395
-5.71185593,3.65715680,2.57743009,2.09694058,0.00887761,0.30650612,0.03087722,0.85756233
-5.70585293,3.58864449,2.53276554,2.05540934,0.00888758,0.29706780,0.03044819,0.84276614
-5.69984992,3.53166612,2.50376720,2.01688256,0.00889615,0.29289646,0.03017949,0.83154754
-5.69384692,3.48533144,2.48928623,1.98105612,0.00890368,0.29362196,0.03006606,0.82364954
-5.68784392,3.44887126,2.48824380,1.94772977,0.00891092,0.29886383,0.03010195,0.81882636
-5.68184092,3.42161762,2.49961473,1.91679266,0.00891883,0.30823355,0.03028023,0.81684086
-5.67583792,3.40297352,2.52240402,1.88820253,0.00892839,0.32133584,0.03059279,0.81745972
-5.66983492,3.39237628,2.55562011,1.86196050,0.00894044,0.33776941,0.03103020,0.82044741
-5.66383192,3.38925861,2.59824837,1.83808407,0.00895551,0.35712762,0.03158160,0.82555970
-5.65782891,3.39301208,2.64922859,1.81658059,0.00897362,0.37899976,0.03223451,0.83253796
-5.65182591,3.40295657,2.70743946,1.79742340,0.00899427,0.40297305,0.03297493,0.84110486
-5.64582291,3.41831914,2.77169234,1.78053279,0.00901628,0.42863593,0.03378734,0.85096237
-5.63981991,3.43822470,2.84073607,1.76576285,0.00903784,0.45558262,0.03465497,0.86179254
-5.63381691,3.46169967,2.91327301,1.75289555,0.00905650,0.48341895,0.03556015,0.87326133
-5.62781391,3.48768898,2.98798620,1.74164206,0.00906928,0.51176943,0.03648472,0.88502539
-5.62181091,3.51508526,3.06357593,1.73165133,0.00907276,0.54028503,0.03741065,0.89674166
-5.61580790,3.54276846,3.13880352,1.72252486,0.00906327,0.56865145,0.03832068,0.90807920
-5.60980490,3.56965289,3.21253932,1.71383674,0.00903700,0.59659718,0.03919900,0.91873244
-5.60380190,3.59473836,3.28381134,1.70515704,0.00899029,0.62390081,0.04003199,0.92843516
-5.59779890,3.61716142,3.35185093,1.69607691,0.00891972,0.65039706,0.04080882,0.93697398
-5.59179590,3.63624302,3.41613177,1.68623341,0.00882236,0.67598083,0.04152211,0.94420067
-5.58579290,3.65152878,3.47639893,1.67533231,0.00869591,0.70060890,0.04216838,0.95004211
-5.57978989,3.66281889,3.53268522,1.66316711,0.00853884,0.72429898,0.04274837,0.95450736
-5.57378689,3.67018513,3.58531295,1.64963313,0.00835047,0.74712578,0.04326724,0.95769108
-5.56778389,3.67397369,3.63488002,1.63473572,0.00813106,0.76921424,0.04373452,0.95977301
-5.56178089,3.67479318,3.68223058,1.61859205,0.00788175,0.79073014,0.04416389,0.96101352
-5.55577789,3.67348851,3.72841103,1.60142668,0.00760464,0.81186838,0.04457288,0.96174513
-5.54977489,3.67110213,3.77461382,1.58356130,0.00730260,0.83283962,0.04498221,0.96236071
-5.54377189,3.66882490,3.82211158,1.56539946,0.00697926,0.85385591,0.04541525,0.96329871
-5.53776888,3.66793970,3.87218547,1.54740750,0.00663883,0.87511612,0.04589715,0.96502633
-5.53176588,3.66976105,3.92605142,1.53009301,0.00628594,0.89679206,0.04645404,0.96802149
-5.52576288,3.67557426,3.98478869,1.51398217,0.00592551,0.91901595,0.04711220,0.97275438
-5.51975988,3.68657755,4.04927443,1.49959751,0.00556259,0.94187016,0.04789713,0.97966967
-5.51375688,3.70383005,4.12012806,1.48743712,0.00520216,0.96537969,0.04883282,0.98917004
-5.50775388,3.72820832,4.19766832,1.47795652,0.00484902,0.98950776,0.04994095,1.00160169
-5.50175088,3.76037297,4.28188521,1.47155371,0.00450767,1.01415492,0.05124024,1.01724245
-5.49574787,3.80074645,4.37242801,1.46855796,0.00418220,1.03916147,0.05274584,1.03629267
-5.48974487,3.84950222,4.46860970,1.46922238,0.00387622,1.06431312,0.05446891,1.05886915
-5.48374187,3.90656465,4.56942700,1.47371995,0.00359280,1.08934938,0.05641619,1.08500190
-5.47773887,3.97161843,4.67359455,1.48214267,0.00333447,1.11397418,0.05858970,1.11463375
-5.47173587,4.04412595,4.77959076,1.49450317,0.00310321,1.13786796,0.06098658,1.14762225
-5.46573287,4.12335042,4.88571250,1.51073800,0.00290048,1.16070052,0.06359888,1.18374366
-5.45972986,4.20838278,4.99013551,1.53071205,0.00272724,1.18214384,0.06641350,1.22269854
-5.45372686,4.29817045,5.09097695,1.55422321,0.00258401,1.20188415,0.06941221,1.26411847
-5.44772386,4.39154590,5.18635703,1.58100702,0.00247093,1.21963267,0.07257164,1.30757369
-5.44172086,4.48725402,5.27445674,1.61074094,0.00238780,1.23513445,0.07586346,1.35258123
-5.43571786,4.58397705,5.35356923,1.64304800,0.00233413,1.24817512,0.07925452,1.39861333
-5.42971486,4.68035685,5.42214296,1.67750024,0.00230921,1.25858530,0.08270722,1.44510620
-5.42371186,4.77501456,5.47881552,1.71362200,0.00231209,1.26624279,0.08617984,1.49146886
-5.41770885,4.86656797,5.52243754,1.75089358,0.00234170,1.27107259,0.08962715,1.53709228
-5.41170585,4.95364753,5.55208687,1.78875583,0.00239675,1.27304534,0.09300110,1.58135880
-5.40570285,5.03491171,5.56707385,1.82661616,0.00247585,1.27217421,0.09625160,1.62365188
-5.39969985,5.10906274,5.56693862,1.86385630,0.00257742,1.26851103,0.09932753,1.66336637
-5.39369685,5.17486350,5.55144218,1.89984229,0.00269974,1.26214190,0.10217790,1.69991905
-5.38769385,5.23115595,5.52055265,1.93393658,0.00284091,1.25318264,0.10475302,1.73275972
-5.38169085,5.27688143,5.47442846,1.96551226,0.00299883,1.24177462,0.10700582,1.76138224
-5.37568784,5.31110240,5.41339992,1.99396898,0.00317124,1.22808087,0.10889323,1.78533572
-5.36968484,5.33302525,5.33795055,2.01874991,0.00335564,1.21228279,0.11037748,1.80423516
-5.36368184,5.34202281,5.24869893,2.03935902,0.00354938,1.19457734,0.11142734,1.81777136
-5.35767884,5.33765558,5.14638198,2.05537760,0.00374958,1.17517462,0.11201922,1.82571954
-5.35167584,5.31969008,5.03183970,2.06647918,0.00395325,1.15429551,0.11213812,1.82794626
-5.34567284,5.28811276,4.90600147,2.07244175,0.00415725,1.13216941,0.11177826,1.82441430
-5.33966983,5.24313815,4.76987371,2.07315639,0.00435839,1.10903149,0.11094347,1.81518488
-5.33366683,5.18521000,4.62452820,2.06863161,0.00455346,1.08511954,0.10964721,1.80041732
-5.32766383,5.11499474,4.47109083,2.05899303,0.00473932,1.06067004,0.10791232,1.78036561
-5.32166083,5.03336667,4.31072998,2.04447797,0.00491296,1.03591358,0.10577037,1.75537216
-5.31565783,4.94138527,4.14464438,2.02542532,0.00507158,1.01106956,0.10326074,1.72585869
-5.30965483,4.84026515,3.97404983,2.00226105,0.00521267,0.98634036,0.10042938,1.69231459
-5.30365183,4.73133990,3.80016495,1.97547998,0.00533411,0.96190534,0.09732739,1.65528321
-5.29764882,4.61602137,3.62419596,1.94562491,0.00543417,0.93791485,0.09400940,1.61534646
-5.29164582,4.49575642,3.44732074,1.91326424,0.00551163,0.91448489,0.09053186,1.57310857
-5.28564282,4.37198309,3.27067278,1.87896928,0.00556577,0.89169259,0.08695134,1.52917939
-5.27963982,4.24608872,3.09532552,1.84329252,0.00559643,0.86957313,0.08332284,1.48415823
-5.27363682,4.11937174,2.92227787,1.80674817,0.00560396,0.84811837,0.07969823,1.43861865
-5.26763382,3.99300942,2.75244136,1.76979592,0.00558928,0.82727737,0.07612498,1.39309512
-5.26163082,3.86803291,2.58662990,1.73282879,0.00555377,0.80695904,0.07264495,1.34807177
-5.25562781,3.74531084,2.42555228,1.69616579,0.00549930,0.78703693,0.06929363,1.30397397
-5.24962481,3.62554203,2.26980803,1.66004946,0.00542810,0.76735585,0.06609962,1.26116291
-5.24362181,3.50925752,2.11988660,1.62464851,0.00534273,0.74774020,0.06308436,1.21993328
-5.23761881,3.39683132,1.97616996,1.59006507,0.00524602,0.72800355,0.06026231,1.18051418
-5.23161581,3.28849915,1.83893829,1.55634595,0.00514097,0.70795894,0.05764126,1.14307302
-5.22561281,3.18438353,1.70837833,1.52349720,0.00503067,0.68742940,0.05522298,1.10772205
-5.21960980,3.08452368,1.58459396,1.49150074,0.00491827,0.66625801,0.05300406,1.07452715
-5.21360680,2.98890814,1.46761816,1.46033205,0.00480688,0.64431718,0.05097687,1.04351825
-5.20760380,2.89750803,1.35742586,1.42997767,0.00469952,0.62151635,0.04913062,1.01470073
-5.20160080,2.81030871,1.25394681,1.40045127,0.00459911,0.59780795,0.04745249,0.98806711
-5.19559780,2.72733807,1.15707793,1.37180732,0.00450838,0.57319129,0.04592871,0.96360818
-5.18959480,2.64868937,1.06669454,1.34415123,0.00442990,0.54771412,0.04454551,0.94132311
-5.18359180,2.57453751,0.98266001,1.31764553,0.00436600,0.52147199,0.04329004,0.92122764
-5.17758879,2.50514746,0.90483355,1.29251129,0.00431878,0.49460542,0.04215110,0.90336000
-5.17158579,2.44087445,0.83307588,1.26902484,0.00429007,0.46729521,0.04111962,0.88778411
-5.16558279,2.38215588,0.76725295,1.24750981,0.00428143,0.43975612,0.04018900,0.87458985
-5.15957979,2.32949540,0.70723757,1.22832479,0.00429412,0.41222936,0.03935526,0.86389032
-5.15357679,2.28344004,0.65290930,1.21184752,0.00432906,0.38497445,0.03861690,0.85581640
-5.14757379,2.24455203,0.60415294,1.19845619,0.00438680,0.35826063,0.03797472,0.85050876
-5.14157079,2.21337671,0.56085586,1.18850918,0.00446753,0.33235850,0.03743129,0.84810793
-5.13556778,2.19040883,0.52290460,1.18232436,0.00457098,0.30753220,0.03699054,0.84874309
-5.12956478,2.17605912,0.49018112,1.18015916,0.00469647,0.28403233,0.03665705,0.85252035
