energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,14.96613035,0.28960020,0.06500570,0.28600426,4.44920540,8.84113116,0.07215070,6.10830051
-5.99399700,15.00586910,0.29354836,0.06776890,0.29585411,4.49339212,8.85371112,0.07149210,6.09999370
-5.98799400,15.02058128,0.29759610,0.07030364,0.30681648,4.53108701,8.84872732,0.07115324,6.07922452
-5.98199100,15.00965312,0.30163279,0.07256671,0.31873793,4.56084895,8.82671830,0.07111879,6.04574348
-5.97598799,14.97236160,0.30553417,0.07451818,0.33143745,4.58122126,8.78818916,0.07136342,5.99929705
-5.96998499,14.90790788,0.30916695,0.07612258,0.34470978,4.59079225,8.73359064,0.07185304,5.93965063
-5.96398199,14.81545989,0.31239369,0.07734985,0.35832942,4.58825465,8.66330578,0.07254625,5.86661367
-5.95797899,14.69420224,0.31507767,0.07817629,0.37205540,4.57246120,8.57764485,0.07339591,5.78006546
-5.95197599,14.54339158,0.31708768,0.07858519,0.38563649,4.54247381,8.47684895,0.07435088,5.67998039
-5.94597299,14.36241522,0.31830249,0.07856728,0.39881703,4.49760456,8.36110213,0.07535769,5.56645139
-5.93996998,14.15085060,0.31861489,0.07812105,0.41134286,4.43744663,8.23055147,0.07636229,5.43971037
-5.93396698,13.90852343,0.31793517,0.07725274,0.42296757,4.36189452,8.08533394,0.07731171,5.30014473
-5.92796398,13.63556207,0.31619390,0.07597613,0.43345869,4.27115281,7.92560868,0.07815559,5.14830915
-5.92196098,13.33244599,0.31334408,0.07431223,0.44260374,4.16573396,7.75159281,0.07884771,4.98493203
-5.91595798,13.00004633,0.30936255,0.07228866,0.45021601,4.04644537,7.56359872,0.07934720,4.81091636
-5.90995498,12.63965675,0.30425055,0.06993894,0.45613986,3.91436719,7.36207078,0.07961975,4.62733500
-5.90395198,12.25301323,0.29803367,0.06730172,0.46025532,3.77082192,7.14761922,0.07963852,4.43542037
-5.89794897,11.84230164,0.29076105,0.06441979,0.46248199,3.61733780,6.92104911,0.07938492,4.23654928
-5.89194597,11.41015245,0.28250392,0.06133920,0.46278195,3.45560746,6.68338283,0.07884921,4.03222320
-5.88594297,10.95962243,0.27335362,0.05810823,0.46116156,3.28744390,6.43587427,0.07803083,3.82404502
-5.87993997,10.49416340,0.26341907,0.05477648,0.45767218,3.11473538,6.18001392,0.07693860,3.61369289
-5.87393697,10.01757889,0.25282384,0.05139395,0.45240954,2.93940094,5.91752408,0.07559070,3.40289243
