energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Li_s_up,Te_p_up,Te_d_up
-6.00000000,0.58480371,0.19842627,0.29494946,0.01055630,0.01593844,0.11631483,0.19053399,0.00000000
-5.99399700,0.57158322,0.19114968,0.29262596,0.00994997,0.01523588,0.10879850,0.18422022,0.00000000
-5.98799400,0.56184620,0.18470761,0.29244858,0.00937023,0.01457010,0.10180845,0.17882734,0.00000000
-5.98199100,0.55609104,0.17922015,0.29473794,0.00882149,0.01394985,0.09536881,0.17448671,0.00000000
-5.97598799,0.55484110,0.17481442,0.29982700,0.00830819,0.01338447,0.08950708,0.17133893,0.00000000
-5.96998499,0.55862217,0.17161836,0.30804758,0.00783464,0.01288344,0.08425230,0.16952730,0.00000000
-5.96398199,0.56793851,0.16975417,0.31971603,0.00740481,0.01245593,0.07963320,0.16919094,0.00000000
-5.95797899,0.58324818,0.16933166,0.33511828,0.00702220,0.01211035,0.07567612,0.17045789,0.00000000
-5.95197599,0.60493843,0.17044176,0.35449484,0.00668964,0.01185396,0.07240292,0.17343818,0.00000000
-5.94597299,0.63330190,0.17315054,0.37802609,0.00640913,0.01169242,0.06982909,0.17821731,0.00000000
-5.93996998,0.66851452,0.17749370,0.40581848,0.00618175,0.01162951,0.06796184,0.18485026,0.00000000
-5.93396698,0.71061579,0.18347214,0.43789203,0.00600749,0.01166683,0.06679865,0.19335618,0.00000000
-5.92796398,0.75949244,0.19104842,0.47416974,0.00588526,0.01180358,0.06632598,0.20371410,0.00000000
-5.92196098,0.81486603,0.20014451,0.51446942,0.00581281,0.01203650,0.06651847,0.21585970,0.00000000
-5.91595798,0.87628532,0.21064094,0.55849836,0.00578677,0.01235978,0.06733847,0.22968341,0.00000000
-5.90995498,0.94312388,0.22237728,0.60585129,0.00580271,0.01276519,0.06873603,0.24502984,0.00000000
-5.90395198,1.01458335,0.23515414,0.65601204,0.00585526,0.01324214,0.07064941,0.26169869,0.00000000
-5.89794897,1.08970279,0.24873658,0.70835895,0.00593819,0.01377798,0.07300586,0.27944720,0.00000000
-5.89194597,1.16737390,0.26285899,0.76217435,0.00604461,0.01435827,0.07572300,0.29799404,0.00000000
-5.88594297,1.24636220,0.27723105,0.81665796,0.00616718,0.01496713,0.07871044,0.31702473,0.00000000
-5.87993997,1.32533369,0.29154496,0.87094396,0.00629827,0.01558770,0.08187175,0.33619824,0.00000000
-5.87393697,1.40288628,0.30548339,0.92412147,0.00643023,0.01620256,0.08510674,0.35515486,0.00000000
-5.86793397,1.47758530,0.31872804,0.97525786,0.00655556,0.01679425,0.08831387,0.37352496,0.00000000
-5.86193097,1.54800183,0.33096858,1.02342417,0.00666718,0.01734570,0.09139276,0.39093840,0.00000000
-5.85592796,1.61275276,0.34191142,1.06772188,0.00675856,0.01784075,0.09424677,0.40703430,0.00000000
-5.84992496,1.67054110,0.35128825,1.10731003,0.00682399,0.01826458,0.09678546,0.42147086,0.00000000
-5.84392196,1.72019503,0.35886385,1.14143181,0.00685862,0.01860412,0.09892690,0.43393481,0.00000000
-5.83791896,1.76070445,0.36444291,1.16943945,0.00685869,0.01884839,0.10059977,0.44415029,0.00000000
-5.83191596,1.79125331,0.36787565,1.19081661,0.00682149,0.01898876,0.10174510,0.45188662,0.00000000
-5.82591296,1.81124662,0.36906198,1.20519715,0.00674552,0.01901921,0.10231766,0.45696489,0.00000000
-5.81990995,1.82033104,0.36795406,1.21237971,0.00663039,0.01893637,0.10228691,0.45926294,0.00000000
-5.81390695,1.81840811,0.36455717,1.21233724,0.00647685,0.01873959,0.10163751,0.45871870,0.00000000
-5.80790395,1.80563957,0.35892890,1.20522119,0.00628665,0.01843088,0.10036936,0.45533158,0.00000000
-5.80190095,1.78244457,0.35117669,1.19136000,0.00606249,0.01801477,0.09849712,0.44916211,0.00000000
-5.79589795,1.74948882,0.34145391,1.17125203,0.00580788,0.01749810,0.09604942,0.44032963,0.00000000
-5.78989495,1.70766605,0.32995458,1.14555293,0.00552693,0.01688973,0.09306754,0.42900832,0.00000000
-5.78389195,1.65807246,0.31690705,1.11505803,0.00522427,0.01620026,0.08960387,0.41542167,0.00000000
-5.77788894,1.60197523,0.30256690,1.08068026,0.00490481,0.01544163,0.08572005,0.39983563,0.00000000
-5.77188594,1.54077603,0.28720935,1.04342439,0.00457360,0.01462678,0.08148494,0.38255075,0.00000000
-5.76588294,1.47597112,0.27112147,1.00435842,0.00423568,0.01376923,0.07697257,0.36389365,0.00000000
-5.75987994,1.40910922,0.25459452,0.96458312,0.00389589,0.01288275,0.07225996,0.34420815,0.00000000
-5.75387694,1.34174870,0.23791668,0.92520070,0.00355882,0.01198101,0.06742510,0.32384632,0.00000000
