energy_ev,total_up,Cd_p_up,Cd_d_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,9.69746702,1.04005014,1.59604185,2.37589683,1.30764107,0.05982080,0.09881165,0.38466308,4.68828419
-5.99399700,9.68423523,1.02338895,1.59189786,2.36533710,1.32259614,0.05861850,0.09609764,0.38753276,4.69128701
-5.98799400,9.63623680,1.00353070,1.58162587,2.34661982,1.33364322,0.05743277,0.09315347,0.38862509,4.67687047
-5.98199100,9.55236645,0.98057236,1.56509046,2.31956280,1.34033612,0.05625614,0.09000742,0.38786589,4.64440166
-5.97598799,9.43204344,0.95464716,1.54225523,2.28410059,1.34228185,0.05507961,0.08668828,0.38521312,4.59351747
-5.96998499,9.27527324,0.92592614,1.51319193,2.24029942,1.33915738,0.05389363,0.08322508,0.38065926,4.52415515
-5.96398199,9.08268924,0.89461843,1.47808591,2.18836759,1.33072420,0.05268921,0.07964679,0.37423246,4.43657266
-5.95797899,8.85557247,0.86097029,1.43723745,2.12866084,1.31684000,0.05145886,0.07598210,0.36599650,4.33135805
-5.95197599,8.59584816,0.82526274,1.39105897,2.06168229,1.29746710,0.05019761,0.07225920,0.35604944,4.20942701
-5.94597299,8.30605938,0.78780791,1.34006812,1.98807685,1.27267714,0.04890367,0.06850555,0.34452115,4.07200912
-5.93996998,7.98931891,0.74894438,1.28487712,1.90862039,1.24265204,0.04757913,0.06474781,0.33156977,3.92062315
-5.93396698,7.64924163,0.70903141,1.22617871,1.82420404,1.20768116,0.04623032,0.06101159,0.31737733,3.75704275
-5.92796398,7.28986040,0.66844257,1.16472951,1.73581445,1.16815485,0.04486806,0.05732143,0.30214458,3.58325398
-5.92196098,6.91552916,0.62755892,1.10133131,1.64451069,1.12455471,0.04350767,0.05370058,0.28608551,3.40140662
-5.91595798,6.53081722,0.58676185,1.03681118,1.55139888,1.07744102,0.04216875,0.05017095,0.26942156,3.21376122
-5.90995498,6.14039903,0.54642614,0.97200120,1.45760557,1.02743776,0.04087477,0.04675295,0.25237586,3.02263396
-5.90395198,5.74894341,0.50691314,0.90771844,1.36425076,0.97521602,0.03965253,0.04346535,0.23516772,2.83034154
-5.89794897,5.36100623,0.46856462,0.84474602,1.27242166,0.92147622,0.03853139,0.04032513,0.21800750,2.63914779
-5.89194597,4.98092997,0.43169706,0.78381578,1.18314803,0.86692989,0.03754242,0.03734734,0.20109208,2.45121390
-5.88594297,4.61275307,0.39659695,0.72559300,1.09737983,0.81228171,0.03671741,0.03454492,0.18460099,2.26855360
-5.87993997,4.26013136,0.36351675,0.67066369,1.01596777,0.75821230,0.03608782,0.03192853,0.16869338,2.09299448
-5.87393697,3.92627330,0.33267190,0.61952448,0.93964729,0.70536222,0.03568371,0.02950638,0.15350573,1.92614623
