energy_ev,total_up,Hg_p_up,Hg_d_up,Li_s_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,1.31857671,0.20884367,0.34954797,0.04683618,0.02975506,0.02884270,0.54584174,0.00000000
-5.99399700,1.39818956,0.22088489,0.36827643,0.05055780,0.03143030,0.03049557,0.58090125,0.00000000
-5.98799400,1.47872030,0.23306113,0.38717774,0.05453189,0.03308841,0.03218061,0.61639620,0.00000000
-5.98199100,1.55875358,0.24514450,0.40585292,0.05871581,0.03469849,0.03386534,0.65176339,0.00000000
-5.97598799,1.63690161,0.25691298,0.42391638,0.06306492,0.03623109,0.03551769,0.68644614,0.00000000
-5.96998499,1.71183314,0.26815530,0.44100430,0.06753261,0.03765909,0.03710666,0.71990558,0.00000000
-5.96398199,1.78230057,0.27867537,0.45678232,0.07207035,0.03895835,0.03860294,0.75163132,0.00000000
-5.95797899,1.84716437,0.28829637,0.47095228,0.07662780,0.04010842,0.03997950,0.78115125,0.00000000
-5.95197599,1.90541418,0.29686412,0.48325792,0.08115308,0.04109303,0.04121204,0.80804003,0.00000000
-5.94597299,1.95618588,0.30424973,0.49348924,0.08559301,0.04190045,0.04227944,0.83192627,0.00000000
-5.93996998,1.99877438,0.31035162,0.50148547,0.08989354,0.04252384,0.04316405,0.85249806,0.00000000
-5.93396698,2.03264195,0.31509661,0.50713657,0.09400025,0.04296125,0.04385189,0.86950697,0.00000000
-5.92796398,2.05742207,0.31844034,0.51038340,0.09785902,0.04321569,0.04433281,0.88277035,0.00000000
-5.92196098,2.07291901,0.32036688,0.51121641,0.10141681,0.04329489,0.04460046,0.89217208,0.00000000
-5.91595798,2.07910355,0.32088780,0.50967322,0.10462253,0.04321103,0.04465229,0.89766199,0.00000000
-5.90995498,2.07610522,0.32004047,0.50583505,0.10742807,0.04298034,0.04448934,0.89925383,0.00000000
-5.90395198,2.06420175,0.31788613,0.49982232,0.10978941,0.04262256,0.04411614,0.89702232,0.00000000
-5.89794897,2.04380616,0.31450736,0.49178965,0.11166776,0.04216039,0.04354038,0.89109923,0.00000000
-5.89194597,2.01545214,0.31000548,0.48192034,0.11303072,0.04161880,0.04277273,0.88166866,0.00000000
-5.88594297,1.97977832,0.30449769,0.47042072,0.11385340,0.04102442,0.04182649,0.86896188,0.00000000
-5.87993997,1.93751167,0.29811423,0.45751433,0.11411949,0.04040476,0.04071736,0.85325166,0.00000000
-5.87393697,1.88945068,0.29099548,0.44343635,0.11382214,0.03978753,0.03946313,0.83484618,0.00000000
-5.86793397,1.83644844,0.28328930,0.42842825,0.11296469,0.03919995,0.03808345,0.81408282,0.00000000
-5.86193097,1.77939586,0.27514837,0.41273269,0.11156112,0.03866804,0.03659961,0.79132161,0.00000000
-5.85592796,1.71920540,0.26672785,0.39658906,0.10963630,0.03821599,0.03503439,0.76693858,0.00000000
-5.84992496,1.65679525,0.25818326,0.38022929,0.10722595,0.03786555,0.03341184,0.74131895,0.00000000
-5.84392196,1.59307428,0.24966868,0.36387437,0.10437624,0.03763551,0.03175727,0.71485037,0.00000000
-5.83791896,1.52892787,0.24133523,0.34773136,0.10114323,0.03754117,0.03009718,0.68791611,0.00000000
-5.83191596,1.46520497,0.23333000,0.33199099,0.09759200,0.03759402,0.02845926,0.66088852,0.00000000
-5.82591296,1.40270649,0.22579541,0.31682591,0.09379562,0.03780138,0.02687247,0.63412286,0.00000000
-5.81990995,1.34217547,0.21886891,0.30238954,0.08983393,0.03816628,0.02536714,0.60795161,0.00000000
-5.81390695,1.28428927,0.21268333,0.28881562,0.08579232,0.03868738,0.02397513,0.58267952,0.00000000
-5.80790395,1.22965411,0.20736758,0.27621839,0.08176040,0.03935904,0.02273003,0.55857971,0.00000000
-5.80190095,1.17880219,0.20304789,0.26469346,0.07783077,0.04017155,0.02166738,0.53589074,0.00000000
-5.79589795,1.13219156,0.19984948,0.25431929,0.07409788,0.04111153,0.02082488,0.51481507,0.00000000
-5.78989495,1.09020878,0.19789851,0.24515925,0.07065697,0.04216242,0.02024266,0.49551881,0.00000000
-5.78389195,1.05317423,0.19732436,0.23726423,0.06760323,0.04330513,0.01996336,0.47813288,0.00000000
-5.77788894,1.02134976,0.19826178,0.23067555,0.06503102,0.04451885,0.02003232,0.46275544,0.00000000
-5.77188594,0.99494825,0.20085304,0.22542811,0.06303332,0.04578188,0.02049749,0.44945550,0.00000000
