energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up,Zn_p_up,Zn_d_up
4.79939970,1.04874933,0.00540971,0.22137131,0.02711712,0.17181516,0.33268452,0.23953115,0.50900082,0.00633851
4.80540270,1.08987539,0.00451078,0.23139632,0.02749030,0.17969332,0.33961305,0.24416662,0.53319894,0.00642723
4.81140570,1.12949344,0.00373985,0.24087873,0.02793053,0.18716039,0.34680379,0.24903714,0.55643841,0.00652566
4.81740870,1.16635386,0.00308512,0.24957278,0.02840022,0.19401890,0.35382279,0.25383448,0.57808274,0.00662553
4.82341171,1.19926814,0.00253493,0.25724400,0.02886403,0.20008148,0.36025497,0.25826316,0.59753422,0.00671893
4.82941471,1.22714577,0.00207806,0.26367691,0.02928985,0.20517677,0.36571624,0.26204946,0.61425129,0.00679852
4.83541771,1.24902809,0.00170395,0.26868208,0.02964973,0.20915476,0.36986452,0.26494944,0.62776464,0.00685776
4.84142071,1.26411770,0.00140297,0.27210239,0.02992070,0.21189154,0.37240904,0.26675583,0.63769123,0.00689110
4.84742371,1.27180241,0.00116651,0.27381809,0.03008542,0.21329312,0.37311773,0.26730357,0.64374573,0.00689410
4.85342671,1.27167266,0.00098707,0.27375051,0.03013268,0.21329816,0.37182252,0.26647377,0.64574899,0.00686354
4.85942971,1.26353173,0.00085831,0.27186434,0.03005764,0.21187961,0.36842223,0.26419604,0.64363290,0.00679747
4.86543272,1.24739855,0.00077507,0.26816820,0.02986194,0.20904509,0.36288323,0.26044909,0.63744171,0.00669526
4.87143572,1.22350285,0.00073331,0.26271374,0.02955362,0.20483603,0.35523767,0.25525963,0.62732955,0.00655752
4.87743872,1.19227315,0.00073009,0.25559316,0.02914672,0.19932567,0.34557963,0.24869967,0.61355430,0.00638605
4.88344172,1.15431813,0.00076349,0.24693534,0.02866082,0.19261596,0.33405922,0.24088240,0.59646807,0.00618374
4.88944472,1.11040234,0.00083249,0.23690079,0.02812034,0.18483360,0.32087511,0.23195677,0.57650466,0.00595442
4.89544772,1.06141729,0.00093686,0.22567575,0.02755362,0.17612534,0.30626569,0.22210114,0.55416457,0.00570268
4.90145073,1.00834943,0.00107710,0.21346555,0.02699200,0.16665280,0.29049936,0.21151612,0.52999813,0.00543371
4.90745373,0.95224623,0.00125422,0.20048771,0.02646869,0.15658703,0.27386434,0.20041709,0.50458751,0.00515306
4.91345673,0.89418187,0.00146966,0.18696496,0.02601759,0.14610307,0.25665845,0.18902655,0.47852815,0.00486651
4.91945973,0.83522395,0.00172515,0.17311864,0.02567210,0.13537475,0.23917917,0.17756670,0.45241060,0.00457981
4.92546273,0.77640238,0.00202254,0.15916249,0.02546393,0.12456986,0.22171445,0.16625240,0.42680312,0.00429854
4.93146573,0.71868159,0.00236366,0.14529732,0.02542189,0.11384595,0.20453452,0.15528489,0.40223588,0.00402795
4.93746873,0.66293692,0.00275022,0.13170652,0.02557086,0.10334684,0.18788494,0.14484629,0.37918709,0.00377279
4.94347174,0.60993574,0.00318366,0.11855265,0.02593071,0.09319994,0.17198103,0.13509520,0.35807164,0.00353723
4.94947474,0.56032378,0.00366506,0.10597510,0.02651555,0.08351441,0.15700388,0.12616332,0.33923230,0.00332475
4.95547774,0.51461669,0.00419506,0.09408884,0.02733297,0.07438018,0.14309780,0.11815330,0.32293391,0.00313811
4.96148074,0.47319679,0.00477378,0.08298417,0.02838358,0.06586780,0.13036933,0.11113767,0.30936045,0.00297932
4.96748374,0.43631463,0.00540087,0.07272745,0.02966079,0.05802896,0.11888756,0.10515887,0.29861494,0.00284965
4.97348674,0.40409503,0.00607548,0.06336262,0.03115069,0.05089771,0.10868574,0.10023036,0.29072217,0.00274967
4.97948974,0.37654687,0.00679634,0.05491330,0.03283235,0.04449214,0.09976392,0.09633859,0.28563390,0.00267928
4.98549275,0.35357593,0.00756188,0.04738549,0.03467827,0.03881646,0.09209246,0.09344577,0.28323628,0.00263783
4.99149575,0.33500028,0.00837035,0.04077045,0.03665506,0.03386337,0.08561618,0.09149328,0.28335915,0.00262419
4.99749875,0.32056709,0.00922005,0.03504779,0.03872447,0.02961641,0.08025895,0.09040559,0.28578684,0.00263688
5.00350175,0.30997050,0.01010947,0.03018854,0.04084451,0.02605247,0.07592855,0.09009447,0.29026998,0.00267414
5.00950475,0.30286955,0.01103759,0.02615806,0.04297081,0.02314406,0.07252149,0.09046335,0.29653789,0.00273411
5.01550775,0.29890569,0.01200404,0.02291868,0.04505816,0.02086143,0.06992784,0.09141178,0.30431115,0.00281489
5.02151076,0.29771920,0.01300932,0.02043197,0.04706209,0.01917441,0.06803572,0.09283963,0.31331371,0.00291467
5.02751376,0.29896395,0.01405498,0.01866067,0.04894045,0.01805385,0.06673538,0.09465109,0.32328421,0.00303184
5.03351676,0.30232023,0.01514372,0.01757007,0.05065511,0.01747281,0.06592289,0.09675818,0.33398608,0.00316503
5.03951976,0.30750507,0.01627940,0.01712899,0.05217335,0.01740726,0.06550322,0.09908381,0.34521587,0.00331320
5.04552276,0.31428000,0.01746703,0.01731022,0.05346934,0.01783643,0.06539270,0.10156412,0.35680968,0.00347565
5.05152576,0.32245589,0.01871256,0.01809056,0.05452514,0.01874285,0.06552089,0.10415020,0.36864720,0.00365204
5.05752876,0.33189504,0.02002264,0.01945047,0.05533164,0.02011192,0.06583177,0.10680901,0.38065339,0.00384240
5.06353177,0.34251032,0.02140420,0.02137330,0.05588903,0.02193138,0.06628429,0.10952351,0.39279753,0.00404701
5.06953477,0.35426165,0.02286403,0.02384427,0.05620699,0.02419037,0.06685233,0.11229211,0.40508985,0.00426645
5.07553777,0.36715009,0.02440813,0.02684921,0.05630445,0.02687841,0.06752413,0.11512731,0.41757581,0.00450139
5.08154077,0.38120977,0.02604111,0.03037318,0.05620897,0.02998426,0.06830111,0.11805374,0.43032834,0.00475260
5.08754377,0.39649826,0.02776551,0.03439900,0.05595578,0.03349479,0.06919640,0.12110563,0.44343842,0.00502076
5.09354677,0.41308572,0.02958111,0.03890582,0.05558644,0.03739380,0.07023296,0.12432391,0.45700454,0.00530638
5.09954977,0.43104364,0.03148435,0.04386783,0.05514726,0.04166108,0.07144145,0.12775298,0.47112161,0.00560969
5.10555278,0.45043349,0.03346770,0.04925307,0.05468741,0.04627162,0.07285804,0.13143745,0.48586986,0.00593054
5.11155578,0.47129615,0.03551933,0.05502262,0.05425692,0.05119506,0.07452211,0.13541884,0.50130452,0.00626830
5.11755878,0.49364259,0.03762281,0.06113006,0.05390464,0.05639546,0.07647413,0.13973266,0.51744676,0.00662183
5.12356178,0.51744637,0.03975708,0.06752128,0.05367615,0.06183149,0.07875362,0.14440573,0.53427657,0.00698947
5.12956478,0.54263832,0.04189663,0.07413479,0.05361180,0.06745689,0.08139750,0.14945415,0.55172794,0.00736900
5.13556778,0.56910400,0.04401192,0.08090241,0.05374499,0.07322135,0.08443875,0.15488183,0.56968682,0.00775774
5.14157079,0.59668379,0.04607002,0.08775039,0.05410063,0.07907176,0.08790547,0.16067974,0.58799196,0.00815261
5.14757379,0.62517603,0.04803551,0.09460099,0.05469407,0.08495375,0.09182050,0.16682595,0.60643875,0.00855029
5.15357679,0.65434286,0.04987153,0.10137442,0.05553033,0.09081350,0.09620147,0.17328640,0.62478587,0.00894731
5.15957979,0.68391876,0.05154105,0.10799103,0.05660386,0.09659967,0.10106139,0.18001633,0.64276458,0.00934027
5.16558279,0.71362117,0.05300819,0.11437384,0.05789869,0.10226549,0.10640975,0.18696236,0.66009012,0.00972604
5.17158579,0.74316300,0.05423964,0.12045110,0.05938915,0.10777076,0.11225402,0.19406514,0.67647475,0.01010191
5.17758879,0.77226613,0.05520601,0.12615897,0.06104096,0.11308379,0.11860160,0.20126227,0.69164168,0.01046581
5.18359180,0.80067560,0.05588318,0.13144411,0.06281280,0.11818307,0.12546206,0.20849150,0.70533943,0.01081649
5.18959480,0.82817353,0.05625340,0.13626608,0.06465818,0.12305863,0.13284965,0.21569398,0.71735567,0.01115368
5.19559780,0.85459229,0.05630632,0.14059947,0.06652765,0.12771302,0.14078587,0.22281737,0.72753002,0.01147814
5.20160080,0.87982629,0.05603967,0.14443570,0.06837117,0.13216183,0.14930214,0.22981875,0.73576513,0.01179182
5.20760380,0.90384172,0.05545969,0.14778432,0.07014055,0.13643373,0.15844229,0.23666703,0.74203564,0.01209784
5.21360680,0.92668404,0.05458129,0.15067386,0.07179194,0.14056999,0.16826491,0.24334498,0.74639445,0.01240047
5.21960980,0.94848254,0.05342787,0.15315214,0.07328810,0.14462356,0.17884527,0.24985050,0.74897620,0.01270510
5.22561281,0.96945206,0.05203081,0.15528594,0.07460050,0.14865768,0.19027681,0.25619742,0.74999775,0.01301808
5.23161581,0.98989157,0.05042871,0.15716018,0.07571106,0.15274408,0.20267203,0.26241543,0.74975568,0.01334659
5.23761881,1.01017965,0.04866639,0.15887652,0.07661342,0.15696090,0.21616259,0.26854953,0.74862097,0.01369845
5.24362181,1.03076696,0.04679361,0.16055134,0.07731379,0.16139040,0.23089864,0.27465863,0.74703105,0.01408189
5.24962481,1.05216593,0.04486371,0.16231334,0.07783119,0.16611641,0.24704719,0.28081376,0.74547957,0.01450532
5.25562781,1.07493783,0.04293208,0.16430057,0.07819714,0.17122185,0.26478936,0.28709555,0.74450421,0.01497704
5.26163082,1.09967750,0.04105462,0.16665706,0.07845472,0.17678614,0.28431663,0.29359147,0.74467297,0.01550504
5.26763382,1.12699618,0.03928613,0.16952916,0.07865716,0.18288271,0.30582586,0.30039249,0.74656932,0.01609667
5.27363682,1.15750262,0.03767879,0.17306149,0.07886586,0.18957662,0.32951317,0.30758967,0.75077656,0.01675841
5.27963982,1.19178299,0.03628077,0.17739267,0.07914798,0.19692229,0.35556672,0.31527044,0.75786180,0.01749563
5.28564282,1.23037993,0.03513483,0.18265092,0.07957370,0.20496143,0.38415844,0.32351487,0.76835997,0.01831233
5.29164582,1.27377121,0.03427725,0.18894952,0.08021325,0.21372109,0.41543497,0.33239189,0.78275802,0.01921092
5.29764882,1.32234842,0.03373677,0.19638232,0.08113384,0.22321194,0.44950788,0.34195571,0.80147974,0.02019206
5.30365183,1.37639637,0.03353389,0.20501937,0.08239656,0.23342667,0.48644366,0.35224236,0.82487150,0.02125442
5.30965483,1.43607366,0.03368026,0.21490272,0.08405353,0.24433874,0.52625376,0.36326661,0.85318912,0.02239459
5.31565783,1.50139519,0.03417838,0.22604274,0.08614520,0.25590118,0.56888502,0.37501928,0.88658630,0.02360694
5.32166083,1.57221732,0.03502144,0.23841485,0.08869821,0.26804591,0.61421127,0.38746510,0.92510478,0.02488356
5.32766383,1.64822636,0.03619353,0.25195705,0.09172357,0.28068321,0.66202623,0.40054119,0.96866680,0.02621422
5.33366683,1.72893120,0.03766993,0.26656828,0.09521561,0.29370180,0.71203857,0.41415634,1.01706995,0.02758641
5.33966983,1.81366091,0.03941771,0.28210788,0.09915142,0.30696933,0.76386943,0.42819109,1.06998496,0.02898543
5.34567284,1.90156766,0.04139658,0.29839613,0.10349102,0.32033350,0.81705290,0.44249879,1.12695669,0.03039454
5.35167584,1.99163581,0.04355982,0.31521623,0.10817827,0.33362395,0.87103975,0.45690757,1.18740845,0.03179521
5.35767884,2.08269716,0.04585552,0.33231752,0.11314231,0.34665475,0.92520471,0.47122342,1.25065001,0.03316741
5.36368184,2.17345261,0.04822795,0.34942022,0.11829966,0.35922781,0.97885727,0.48523417,1.31588932,0.03449004
5.36968484,2.26249985,0.05061897,0.36622137,0.12355687,0.37113700,1.03125592,0.49871440,1.38224769,0.03574132
5.37568784,2.34836667,0.05296965,0.38240216,0.12881347,0.38217299,1.08162555,0.51143122,1.44877843,0.03689938
