energy_ev,total_up,P_s_up,P_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,3.23787979,0.01930231,1.71545144,0.04155985,0.22862684,2.00575238,0.96057450
-5.99399700,3.06749669,0.01763603,1.62042213,0.03974785,0.21958981,1.87854873,0.91015279
-5.98799400,2.89786666,0.01607028,1.52559170,0.03780442,0.21067978,1.75238912,0.86051596
-5.98199100,2.73046988,0.01461435,1.43184660,0.03576184,0.20193859,1.62838591,0.81208991
-5.97598799,2.56663558,0.01327600,1.33999473,0.03365248,0.19339768,1.50753678,0.76525346
-5.96998499,2.40753130,0.01206162,1.25075694,0.03150798,0.18507912,1.39071580,0.72033603
-5.96398199,2.25415750,0.01097623,1.16476144,0.02935851,0.17699687,1.27866839,0.67761701
-5.95797899,2.10734716,0.01002363,1.08254099,0.02723205,0.16915836,1.17200974,0.63732624
-5.95197599,1.96776970,0.00920647,1.00453259,0.02515390,0.16156607,1.07122657,0.59964564
-5.94597299,1.83593835,0.00852628,0.93107947,0.02314618,0.15421920,0.97668164,0.56471167
-5.93996998,1.71222034,0.00798354,0.86243479,0.02122756,0.14711522,0.88862065,0.53261825
-5.93396698,1.59684890,0.00757772,0.79876696,0.01941305,0.14025121,0.80718094,0.50341998
-5.92796398,1.48993632,0.00730725,0.74016582,0.01771399,0.13362498,0.73240145,0.47713544
-5.92196098,1.39148739,0.00716951,0.68664966,0.01613810,0.12723593,0.66423359,0.45375031
-5.91595798,1.30141253,0.00716079,0.63817250,0.01468965,0.12108545,0.60255244,0.43322023
-5.90995498,1.21954020,0.00727624,0.59463148,0.01336977,0.11517713,0.54716793,0.41547333
-5.90395198,1.14562826,0.00750977,0.55587408,0.01217681,0.10951651,0.49783581,0.40041243
-5.89794897,1.07937425,0.00785404,0.52170514,0.01110673,0.10411060,0.45426796,0.38791691
-5.89194597,1.02042441,0.00830038,0.49189349,0.01015360,0.09896722,0.41614215,0.37784442
-5.88594297,0.96838187,0.00883875,0.46617833,0.00931003,0.09409401,0.38311100,0.37003257
-5.87993997,0.92281396,0.00945780,0.44427528,0.00856773,0.08949753,0.35481017,0.36430072
-5.87393697,0.88325919,0.01014489,0.42588226,0.00791791,0.08518224,0.33086584,0.36045204
-5.86793397,0.84923417,0.01088620,0.41068523,0.00735177,0.08114959,0.31090156,0.35827617
-5.86193097,0.82024069,0.01166689,0.39836405,0.00686088,0.07739726,0.29454443,0.35755229
-5.85592796,0.79577333,0.01247134,0.38859822,0.00643754,0.07391859,0.28143087,0.35805303
-5.84992496,0.77532771,0.01328338,0.38107282,0.00607507,0.07070231,0.27121186,0.35954896
-5.84392196,0.75840935,0.01408669,0.37548449,0.00576799,0.06773247,0.26355774,0.36181377
-5.83791896,0.74454313,0.01486509,0.37154735,0.00551224,0.06498873,0.25816258,0.36462995
-5.83191596,0.73328302,0.01560300,0.36899879,0.00530520,0.06244689,0.25474802,0.36779478
-5.82591296,0.72422177,0.01628580,0.36760481,0.00514577,0.06007964,0.25306645,0.37112636
-5.81990995,0.71700012,0.01690028,0.36716488,0.00503423,0.05785758,0.25290355,0.37446935
-5.81390695,0.71131487,0.01743497,0.36751582,0.00497224,0.05575025,0.25407980,0.37770014
-5.80790395,0.70692537,0.01788050,0.36853455,0.00496259,0.05372736,0.25645107,0.38073106
-5.80190095,0.70365788,0.01822986,0.37013949,0.00500901,0.05175991,0.25990798,0.38351327
-5.79589795,0.70140726,0.01847860,0.37229032,0.00511593,0.04982131,0.26437396,0.38603812
-5.78989495,0.70013563,0.01862492,0.37498594,0.00528822,0.04788836,0.26980204,0.38833667
-5.78389195,0.69986785,0.01866970,0.37826066,0.00553079,0.04594199,0.27617029,0.39047739
-5.77788894,0.70068377,0.01861634,0.38217850,0.00584837,0.04396788,0.28347600,0.39256179
-5.77188594,0.70270727,0.01847063,0.38682594,0.00624511,0.04195674,0.29172885,0.39471829
-5.76588294,0.70609271,0.01824043,0.39230309,0.00672426,0.03990439,0.30094323,0.39709442
-5.75987994,0.71100903,0.01793531,0.39871389,0.00728789,0.03781165,0.31113009,0.39984764
-5.75387694,0.71762252,0.01756613,0.40615563,0.00793655,0.03568387,0.32228868,0.40313527
-5.74787394,0.72607890,0.01714458,0.41470829,0.00866906,0.03353043,0.33439860,0.40710397
-5.74187094,0.73648579,0.01668270,0.42442433,0.00948227,0.03136397,0.34741262,0.41187927
-5.73586793,0.74889640,0.01619238,0.43531945,0.01037094,0.02919961,0.36125076,0.41755584
