energy_ev,total_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up
-6.00000000,2.74849941,0.87266585,1.52931649,0.05309679,0.62187676,0.74780740,0.00000000
-5.99399700,2.56444800,0.86209438,1.42370185,0.04790559,0.57647424,0.71595587,0.00000000
-5.98799400,2.40896593,0.86868719,1.33011510,0.04342526,0.53903750,0.68999824,0.00000000
-5.98199100,2.28418584,0.89333584,1.24984307,0.03966961,0.50999555,0.67080043,0.00000000
-5.97598799,2.19190972,0.93682559,1.18401416,0.03664350,0.48968775,0.65917116,0.00000000
-5.96998499,2.13360636,0.99981714,1.13359414,0.03434385,0.47836794,0.65585166,0.00000000
-5.96398199,2.11041071,1.08282463,1.09938494,0.03276070,0.47620827,0.66150671,0.00000000
-5.95797899,2.12312467,1.18619049,1.08202618,0.03187809,0.48330255,0.67671699,0.00000000
-5.95197599,2.17221862,1.31005834,1.08199913,0.03167490,0.49966865,0.70197305,0.00000000
-5.94597299,2.25783369,1.45434506,1.09963245,0.03212545,0.52525012,0.73767093,0.00000000
-5.93996998,2.37978465,1.61871380,1.13510968,0.03320007,0.55991678,0.78410946,0.00000000
-5.93396698,2.53756376,1.80254979,1.18847767,0.03486547,0.60346452,0.84148927,0.00000000
-5.92796398,2.73034596,2.00494055,1.25965589,0.03708494,0.65561463,0.90991348,0.00000000
-5.92196098,2.95699583,2.22466264,1.34844586,0.03981859,0.71601269,0.98938982,0.00000000
-5.91595798,3.21607668,2.46017623,1.45454057,0.04302339,0.78422760,1.07983401,0.00000000
-5.90995498,3.50586217,2.70962916,1.57753315,0.04665326,0.85975094,1.18107397,0.00000000
-5.90395198,3.82435063,2.97087107,1.71692446,0.05065912,0.94199699,1.29285455,0.00000000
-5.89794897,4.16928191,3.24147819,1.87212898,0.05498896,1.03030367,1.41484222,0.00000000
-5.89194597,4.53815649,3.51878858,2.04247863,0.05958801,1.12393470,1.54662915,0.00000000
-5.88594297,4.92825643,3.79994690,2.22722392,0.06439891,1.22208303,1.68773626,0.00000000
-5.87993997,5.33666723,4.08195760,2.42553229,0.06936207,1.32387557,1.83761467,0.00000000
-5.87393697,5.76030012,4.36174436,2.63648326,0.07441598,1.42837940,1.99564513,0.00000000
-5.86793397,6.19591372,4.63621374,2.85906045,0.07949776,1.53460921,2.16113527,0.00000000
-5.86193097,6.64013463,4.90232041,3.09214091,0.08454374,1.64153607,2.33331467,0.00000000
-5.85592796,7.08947643,5.15713117,3.33448203,0.08949009,1.74809724,2.51132782,0.00000000
-5.84992496,7.54035721,5.39788528,3.58470726,0.09427359,1.85320708,2.69422565,0.00000000
-5.84392196,7.98911580,5.62204868,3.84129166,0.09883243,1.95576888,2.88095627,0.00000000
-5.83791896,8.43202773,5.82736009,4.10254889,0.10310707,2.05468750,3.07035614,0.00000000
-5.83191596,8.86532208,6.01186754,4.36662140,0.10704106,2.14888285,3.26114274,0.00000000
-5.82591296,9.28520083,6.17395444,4.63147569,0.11058202,2.23730413,3.45191037,0.00000000
-5.81990995,9.68786267,6.31235509,4.89490457,0.11368246,2.31894475,3.64113040,0.00000000
-5.81390695,10.06953291,6.42615992,5.15453815,0.11630065,2.39285796,3.82715749,0.00000000
-5.80790395,10.42650150,6.51481159,5.40786505,0.11840150,2.45817296,4.00824293,0.00000000
-5.80190095,10.75517025,6.57809336,5.65226477,0.11995729,2.51411152,4.18255599,0.00000000
-5.79589795,11.05210998,6.61611158,5.88505169,0.12094835,2.56000464,4.34821376,0.00000000
-5.78989495,11.31412764,6.62927415,6.10353021,0.12136371,2.59530912,4.50331938,0.00000000
-5.78389195,11.53834215,6.61826702,6.30506007,0.12120157,2.61962336,4.64600786,0.00000000
-5.77788894,11.72226704,6.58403021,6.48712972,0.12046962,2.63270204,4.77449835,0.00000000
-5.77188594,11.86389669,6.52773500,6.64743505,0.11918528,2.63446893,4.88715070,0.00000000
-5.76588294,11.96179235,6.45076290,6.78396013,0.11737568,2.62502712,4.98252397,0.00000000
-5.75987994,12.01516300,6.35468706,6.89505582,0.11507749,2.60466597,5.05943392,0.00000000
-5.75387694,12.02393624,6.24125581,6.97951218,0.11233657,2.57386416,5.11700637,0.00000000
-5.74787394,11.98881357,6.11237773,7.03662031,0.10920737,2.53328807,5.15472319,0.00000000
-5.74187094,11.91130542,5.97010726,7.06621940,0.10575212,2.48378516,5.17245783,0.00000000
-5.73586793,11.79374125,5.81662957,7.06872575,0.10203984,2.42637198,5.17049766,0.00000000
-5.72986493,11.63925160,5.65424310,7.04514049,0.09814518,2.36221667,5.14955100,0.00000000
-5.72386193,11.45171976,5.48533867,6.99703465,0.09414704,2.29261632,5.11073746,0.00000000
-5.71785893,11.23570276,5.31237366,6.92651062,0.09012707,2.21896931,5.05556087,0.00000000
-5.71185593,10.99632268,5.13784075,6.83614071,0.08616813,2.14274360,4.98586536,0.00000000
-5.70585293,10.73913117,4.96423066,6.72888483,0.08235256,2.06544171,4.90377594,0.00000000
-5.69984992,10.46995179,4.79398918,6.60799027,0.07876054,1.98856359,4.81162569,0.00000000
-5.69384692,10.19470603,4.62946928,6.47687789,0.07546841,1.91356859,4.71187292,0.00000000
