energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,6.18130110,0.03544964,1.03760100,0.87687712,0.37411177,2.56990329,1.61109745,0.06958680,2.37495069
-5.99399700,6.26875365,0.03593456,1.05095831,0.90882260,0.38352835,2.60940965,1.62351316,0.07007728,2.41656341
-5.98799400,6.34951422,0.03637331,1.06414498,0.94016916,0.39199504,2.64954612,1.63408703,0.07051398,2.45555880
-5.98199100,6.42248104,0.03675339,1.07694878,0.97062969,0.39944330,2.68954037,1.64266951,0.07088466,2.49145912
-5.97598799,6.48651168,0.03706238,1.08911466,0.99990913,0.40581825,2.72848649,1.64911152,0.07117597,2.52378567
-5.96998499,6.54044999,0.03728828,1.10035198,1.02770950,0.41107995,2.76537066,1.65326637,0.07137378,2.55206937
-5.96398199,6.58315770,0.03741994,1.11034377,1.05373559,0.41520451,2.79910269,1.65499263,0.07146347,2.57586248
-5.95797899,6.61354957,0.03744732,1.11875777,1.07770121,0.41818487,2.82855213,1.65415816,0.07143035,2.59475111
-5.95197599,6.63063062,0.03736193,1.12525867,1.09933563,0.42003120,2.85258742,1.65064481,0.07126004,2.60836787
-5.94597299,6.63353388,0.03715703,1.12952105,1.11839024,0.42077104,2.87011629,1.64435390,0.07093896,2.61640430
-5.93996998,6.62155692,0.03682793,1.13124235,1.13464487,0.42044892,2.88012581,1.63521187,0.07045471,2.61862250
-5.93396698,6.59419545,0.03637216,1.13015547,1.14791370,0.41912571,2.88172024,1.62317605,0.06979659,2.61486528
-5.92796398,6.55117213,0.03578962,1.12604017,1.15805046,0.41687740,2.87415523,1.60824013,0.06895597,2.60506442
-5.92196098,6.49245923,0.03508262,1.11873301,1.16495246,0.41379356,2.85686671,1.59043887,0.06792675,2.58924642
-5.91595798,6.41829376,0.03425586,1.10813525,1.16856356,0.40997533,2.82949362,1.56985198,0.06670567,2.56753545
-5.90995498,6.32918398,0.03331635,1.09421844,1.16887548,0.40553303,2.79189332,1.54660664,0.06529258,2.54015312
