energy_ev,total_up,total_down,Ca_p_up,Ca_p_down,Ca_d_up,Ca_d_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,0.78817242,-0.78817243,0.00587843,-0.00587843,0.00000000,-0.00000000,0.14941084,-0.14941084,0.25734381,-0.25734381,0.00651462,-0.00651462,0.05264658,-0.05264658,0.43039242,-0.43039243,0.00000000,-0.00000000
-5.99399700,0.86941892,-0.86941893,0.00655490,-0.00655490,0.00000000,-0.00000000,0.16644289,-0.16644290,0.28030168,-0.28030168,0.00734897,-0.00734897,0.05877238,-0.05877239,0.47609490,-0.47609490,0.00000000,-0.00000000
-5.98799400,0.95893051,-0.95893052,0.00729319,-0.00729319,0.00000000,-0.00000000,0.18509698,-0.18509698,0.30614033,-0.30614033,0.00823625,-0.00823625,0.06537320,-0.06537320,0.52629865,-0.52629866,0.00000000,-0.00000000
-5.98199100,1.05611727,-1.05611729,0.00808966,-0.00808966,0.00000000,-0.00000000,0.20528419,-0.20528419,0.33466256,-0.33466257,0.00917087,-0.00917087,0.07240689,-0.07240689,0.58069016,-0.58069017,0.00000000,-0.00000000
-5.97598799,1.16023059,-1.16023061,0.00893945,-0.00893945,0.00000000,-0.00000000,0.22688497,-0.22688498,0.36562271,-0.36562272,0.01014563,-0.01014563,0.07982111,-0.07982111,0.63886726,-0.63886727,0.00000000,-0.00000000
-5.96998499,1.27036766,-1.27036768,0.00983650,-0.00983650,0.00000000,-0.00000000,0.24974975,-0.24974976,0.39872854,-0.39872855,0.01115183,-0.01115183,0.08755373,-0.08755374,0.70034120,-0.70034121,0.00000000,-0.00000000
-5.96398199,1.38548010,-1.38548012,0.01077354,-0.01077354,0.00000000,-0.00000000,0.27370038,-0.27370038,0.43364430,-0.43364430,0.01217932,-0.01217932,0.09553354,-0.09553354,0.76454110,-0.76454111,0.00000000,-0.00000000
-5.95797899,1.50438708,-1.50438711,0.01174226,-0.01174226,0.00000000,-0.00000000,0.29853258,-0.29853258,0.46999481,-0.46999481,0.01321660,-0.01321660,0.10368121,-0.10368121,0.83082096,-0.83082097,0.00000000,-0.00000000
-5.95197599,1.62579259,-1.62579261,0.01273335,-0.01273335,0.00000000,-0.00000000,0.32401936,-0.32401936,0.50737069,-0.50737069,0.01425106,-0.01425106,0.11191064,-0.11191064,0.89846909,-0.89846910,0.00000000,-0.00000000
-5.94597299,1.74830675,-1.74830677,0.01373671,-0.01373671,0.00000000,-0.00000000,0.34991533,-0.34991533,0.54533451,-0.54533452,0.01526917,-0.01526917,0.12013048,-0.12013048,0.96671997,-0.96671998,0.00000000,-0.00000000
-5.93996998,1.87047077,-1.87047079,0.01474158,-0.01474158,0.00000000,-0.00000000,0.37596182,-0.37596182,0.58342788,-0.58342789,0.01625677,-0.01625677,0.12824587,-0.12824587,1.03476817,-1.03476818,0.00000000,-0.00000000
-5.93396698,1.99078471,-1.99078473,0.01573679,-0.01573679,0.00000000,-0.00000000,0.40189266,-0.40189266,0.62117918,-0.62117919,0.01719941,-0.01719941,0.13616036,-0.13616036,1.10178412,-1.10178413,0.00000000,-0.00000000
-5.92796398,2.10773744,-2.10773746,0.01671095,-0.01671095,0.00000000,-0.00000000,0.42744050,-0.42744051,0.65811182,-0.65811183,0.01808267,-0.01808267,0.14377782,-0.14377782,1.16693111,-1.16693112,0.00000000,-0.00000000
-5.92196098,2.21983785,-2.21983787,0.01765270,-0.01765270,0.00000000,-0.00000000,0.45234334,-0.45234334,0.69375279,-0.69375280,0.01889254,-0.01889254,0.15100447,-0.15100447,1.22938316,-1.22938317,0.00000000,-0.00000000
-5.91595798,2.32564618,-2.32564620,0.01855096,-0.01855096,0.00000000,-0.00000000,0.47635102,-0.47635102,0.72764124,-0.72764124,0.01961578,-0.01961578,0.15775074,-0.15775074,1.28834306,-1.28834306,0.00000000,-0.00000000
-5.90995498,2.42380471,-2.42380472,0.01939514,-0.01939514,0.00000000,-0.00000000,0.49923155,-0.49923155,0.75933686,-0.75933686,0.02024028,-0.02024028,0.16393310,-0.16393310,1.34306007,-1.34306008,0.00000000,-0.00000000
-5.90395198,2.51306647,-2.51306648,0.02017539,-0.02017539,0.00000000,-0.00000000,0.52077680,-0.52077680,0.78842787,-0.78842788,0.02075540,-0.02075540,0.16947563,-0.16947563,1.39284661,-1.39284661,0.00000000,-0.00000000
-5.89794897,2.59232133,-2.59232134,0.02088282,-0.02088282,0.00000000,-0.00000000,0.54080741,-0.54080741,0.81453838,-0.81453838,0.02115227,-0.02115227,0.17431145,-0.17431145,1.43709326,-1.43709326,0.00000000,-0.00000000
-5.89194597,2.66061841,-2.66061843,0.02150963,-0.02150963,0.00000000,-0.00000000,0.55917662,-0.55917662,0.83733488,-0.83733489,0.02142403,-0.02142403,0.17838383,-0.17838383,1.47528181,-1.47528181,0.00000000,-0.00000000
-5.88594297,2.71718422,-2.71718423,0.02204931,-0.02204931,0.00000000,-0.00000000,0.57577292,-0.57577292,0.85653192,-0.85653192,0.02156606,-0.02156606,0.18164705,-0.18164706,1.50699562,-1.50699563,0.00000000,-0.00000000
-5.87993997,2.76143588,-2.76143589,0.02249673,-0.02249673,0.00000000,-0.00000000,0.59052120,-0.59052121,0.87189658,-0.87189658,0.02157607,-0.02157607,0.18406703,-0.18406703,1.53192713,-1.53192713,0.00000000,-0.00000000
-5.87393697,2.79298928,-2.79298929,0.02284822,-0.02284822,0.00000000,-0.00000000,0.60338254,-0.60338254,0.88325191,-0.88325192,0.02145420,-0.02145419,0.18562155,-0.18562155,1.54988212,-1.54988212,0.00000000,-0.00000000
-5.86793397,2.81166175,-2.81166175,0.02310162,-0.02310162,0.00000000,-0.00000000,0.61435241,-0.61435241,0.89047916,-0.89047916,0.02120299,-0.02120299,0.18630042,-0.18630042,1.56078089,-1.56078089,0.00000000,-0.00000000
-5.86193097,2.81746952,-2.81746952,0.02325622,-0.02325622,0.00000000,-0.00000000,0.62345755,-0.62345755,0.89351875,-0.89351875,0.02082731,-0.02082731,0.18610517,-0.18610517,1.56465598,-1.56465598,0.00000000,-0.00000000
-5.85592796,2.81062009,-2.81062009,0.02331277,-0.02331277,0.00000000,-0.00000000,0.63075153,-0.63075153,0.89237020,-0.89237020,0.02033420,-0.02033420,0.18504874,-0.18504874,1.56164699,-1.56164699,0.00000000,-0.00000000
-5.84992496,2.79149994,-2.79149994,0.02327338,-0.02327338,0.00000000,-0.00000000,0.63630932,-0.63630932,0.88709078,-0.88709078,0.01973266,-0.01973266,0.18315483,-0.18315483,1.55199245,-1.55199244,0.00000000,-0.00000000
-5.84392196,2.76065818,-2.76065817,0.02314135,-0.02314135,0.00000000,-0.00000000,0.64022103,-0.64022103,0.87779314,-0.87779314,0.01903341,-0.01903341,0.18045719,-0.18045719,1.53601926,-1.53601925,0.00000000,-0.00000000
-5.83791896,2.71878674,-2.71878673,0.02292113,-0.02292113,0.00000000,-0.00000000,0.64258531,-0.64258531,0.86464192,-0.86464192,0.01824853,-0.01824853,0.17699872,-0.17699872,1.51413021,-1.51413021,0.00000000,-0.00000000
-5.83191596,2.66669800,-2.66669799,0.02261803,-0.02261802,0.00000000,-0.00000000,0.64350261,-0.64350261,0.84784942,-0.84784941,0.01739116,-0.01739116,0.17283047,-0.17283046,1.48678997,-1.48678996,0.00000000,-0.00000000
-5.82591296,2.60530063,-2.60530062,0.02223813,-0.02223813,0.00000000,-0.00000000,0.64306878,-0.64306878,0.82767044,-0.82767044,0.01647515,-0.01647515,0.16801060,-0.16801060,1.45451017,-1.45451016,0.00000000,-0.00000000
-5.81990995,2.53557451,-2.53557450,0.02178808,-0.02178808,0.00000000,-0.00000000,0.64136937,-0.64136937,0.80439649,-0.80439649,0.01551467,-0.01551467,0.16260322,-0.16260322,1.41783429,-1.41783428,0.00000000,-0.00000000
-5.81390695,2.45854566,-2.45854564,0.02127486,-0.02127486,0.00000000,-0.00000000,0.63847490,-0.63847490,0.77834931,-0.77834930,0.01452386,-0.01452386,0.15667722,-0.15667722,1.37732273,-1.37732273,0.00000000,-0.00000000
