energy_ev,total_up,N_s_up,N_p_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,2.63643849,0.00289187,0.37952654,0.90289719,0.60547995,0.00584196,1.32957005,0.81388700,0.36912304
-5.99399700,2.74493888,0.00316920,0.39250554,0.93362131,0.63617943,0.00649147,1.38985866,0.84288343,0.37673684
-5.98799400,2.85441901,0.00346915,0.40525272,0.96334762,0.66724308,0.00720442,1.45125167,0.87114462,0.38474434
-5.98199100,2.96376153,0.00379177,0.41759747,0.99178064,0.69834617,0.00798077,1.51319348,0.89834302,0.39307603
-5.97598799,3.07175883,0.00413681,0.42936101,1.01862278,0.72913842,0.00881914,1.57507481,0.92415250,0.40164275
-5.96998499,3.17713266,0.00450367,0.44035962,1.04357690,0.75925069,0.00971664,1.63624060,0.94825368,0.41033698
-5.96398199,3.27855725,0.00489130,0.45040838,1.06634958,0.78830276,0.01066877,1.69599994,0.97033930,0.41903493
-5.95797899,3.37468529,0.00529809,0.45932532,1.08665505,0.81591165,0.01166926,1.75363762,0.99011952,0.42759901
-5.95197599,3.46417604,0.00572187,0.46693568,1.10421975,0.84170056,0.01271005,1.80842716,1.00732707,0.43588098
-5.94597299,3.54572468,0.00615979,0.47307632,1.11878742,0.86530782,0.01378124,1.85964507,1.02172201,0.44372539
-5.93996998,3.61809215,0.00660833,0.47760000,1.13012465,0.88639568,0.01487122,1.90658593,1.03309611,0.45097340
-5.93396698,3.68013457,0.00706333,0.48037944,1.13802666,0.90465881,0.01596673,1.94857797,1.04127672,0.45746679
-5.92796398,3.73083147,0.00751995,0.48131094,1.14232316,0.91983200,0.01705312,1.98499876,1.04613008,0.46305218
-5.92196098,3.76931206,0.00797280,0.48031755,1.14288406,0.93169710,0.01811462,2.01529061,1.04756401,0.46758511
-5.91595798,3.79487880,0.00841598,0.47735149,1.13962482,0.94008889,0.01913465,2.03897531,1.04552986,0.47093426
-5.90995498,3.80702763,0.00884327,0.47239593,1.13251109,0.94489976,0.02009628,2.05566764,1.04002391,0.47298535
-5.90395198,3.80546435,0.00924820,0.46546591,1.12156253,0.94608321,0.02098264,2.06508744,1.03108793,0.47364480
-5.89794897,3.79011661,0.00962428,0.45660845,1.10685550,0.94365597,0.02177743,2.06706965,1.01880905,0.47284305
-5.89194597,3.76114113,0.00996517,0.44590180,1.08852440,0.93769881,0.02246541,2.06157203,1.00331892,0.47053733
-5.88594297,3.71892596,0.01026485,0.43345389,1.06676164,0.92835609,0.02303287,2.04868026,0.98479206,0.46671389
-5.87993997,3.66408753,0.01051783,0.41939994,1.04181596,0.91583390,0.02346810,2.02861011,0.96344352,0.46138953
-5.87393697,3.59746248,0.01071934,0.40389948,1.01398921,0.90039710,0.02376182,2.00170645,0.93952577,0.45461243
-5.86793397,3.52009447,0.01086545,0.38713268,0.98363158,0.88236506,0.02390747,1.96843911,0.91332488,0.44646210
-5.86193097,3.43321600,0.01095324,0.36929624,0.95113525,0.86210645,0.02390151,1.92939552,0.88515608,0.43704854
-5.85592796,3.33822586,0.01098085,0.35059895,0.91692690,0.84003294,0.02374351,1.88527024,0.85535867,0.42651058
-5.84992496,3.23666250,0.01094761,0.33125703,0.88145895,0.81659209,0.02343624,1.83685162,0.82429046,0.41501327
-5.84392196,3.13017405,0.01085397,0.31148942,0.84520012,0.79225948,0.02298561,1.78500591,0.79232177,0.40274464
-5.83791896,3.02048568,0.01070156,0.29151320,0.80862535,0.76753021,0.02240043,1.73065926,0.75982920,0.38991165
-5.83191596,2.90936514,0.01049307,0.27153915,0.77220561,0.74290995,0.02169221,1.67477801,0.72718921,0.37673561
-5.82591296,2.79858727,0.01023217,0.25176778,0.73639780,0.71890563,0.02087478,1.61834791,0.69477180,0.36344709
-5.81990995,2.68989838,0.00992339,0.23238574,0.70163507,0.69601598,0.01996381,1.56235283,0.66293421,0.35028054
-5.81390695,2.58498139,0.00957197,0.21356281,0.66831794,0.67472209,0.01897643,1.50775344,0.63201517,0.33746874
-5.80790395,2.48542251,0.00918368,0.19544951,0.63680640,0.65547806,0.01793065,1.45546663,0.60232938,0.32523724
-5.80190095,2.39268024,0.00876462,0.17817537,0.60741318,0.63870200,0.01684487,1.40634593,0.57416273,0.31379900
-5.79589795,2.30805734,0.00832112,0.16184779,0.58039845,0.62476753,0.01573742,1.36116364,0.54776813,0.30334927
-5.78989495,2.23267631,0.00785950,0.14655168,0.55596597,0.61399592,0.01462606,1.32059497,0.52336208,0.29406103
-5.78389195,2.16745891,0.00738593,0.13234956,0.53426073,0.60664891,0.01352763,1.28520450,0.50112204,0.28608090
-5.77788894,2.11310992,0.00690633,0.11928232,0.51536812,0.60292266,0.01245764,1.25543528,0.48118462,0.27952575
-5.77188594,2.07010551,0.00642622,0.10737042,0.49931456,0.60294262,0.01143006,1.23160069,0.46364450,0.27448014
-5.76588294,2.03868621,0.00595064,0.09661549,0.48606951,0.60675965,0.01045711,1.21387924,0.44855416,0.27099443
-5.75987994,2.01885465,0.00548407,0.08700218,0.47554865,0.61434756,0.00954911,1.20231226,0.43592431,0.26908382
-5.75387694,2.01037796,0.00503043,0.07850032,0.46761816,0.62560192,0.00871446,1.19680461,0.42572492,0.26872821
-5.74787394,2.01279466,0.00459302,0.07106707,0.46209998,0.64034052,0.00795967,1.19712824,0.41788698,0.26987283
-5.74187094,2.02542601,0.00417453,0.06464920,0.45877769,0.65830535,0.00728935,1.20292844,0.41230467,0.27242977
-5.73586793,2.04739152,0.00377709,0.05918522,0.45740298,0.67916624,0.00670639,1.21373291,0.40883812,0.27628017
-5.72986493,2.07762826,0.00340226,0.05460751,0.45770252,0.70252603,0.00621205,1.22896308,0.40731654,0.28127711
-5.72386193,2.11491382,0.00305108,0.05084417,0.45938490,0.72792742,0.00580612,1.24794780,0.40754175,0.28724917
-5.71785893,2.15789227,0.00272416,0.04782071,0.46214769,0.75486128,0.00548708,1.26993882,0.40929214,0.29400442
-5.71185593,2.20510284,0.00242168,0.04546161,0.46568426,0.78277633,0.00525223,1.29412802,0.41232680,0.30133491
-5.70585293,2.25501071,0.00214346,0.04369149,0.46969034,0.81109003,0.00509785,1.31966578,0.41638998,0.30902142
-5.69984992,2.30603923,0.00188903,0.04243616,0.47387010,0.83920048,0.00501934,1.34568025,0.42121577,0.31683846
-5.69384692,2.35660303,0.00165768,0.04162346,0.47794172,0.86649900,0.00501129,1.37129696,0.42653281,0.32455932
-5.68784392,2.40514121,0.00144849,0.04118387,0.48164226,0.89238318,0.00506763,1.39565839,0.43206922,0.33196105
-5.68184092,2.45014985,0.00126037,0.04105100,0.48473185,0.91627001,0.00518167,1.41794295,0.43755737,0.33882940
-5.67583792,2.49021314,0.00109212,0.04116188,0.48699709,0.93760871,0.00534620,1.43738294,0.44273868,0.34496335
-5.66983492,2.52403232,0.00094248,0.04145727,0.48825362,0.95589303,0.00555356,1.45328096,0.44736816,0.35017934
-5.66383192,2.55045176,0.00081009,0.04188176,0.48834795,0.97067253,0.00579569,1.46502444,0.45121872,0.35431503
-5.65782891,2.56848149,0.00069363,0.04238395,0.48715847,0.98156258,0.00606425,1.47209781,0.45408508,0.35723242
-5.65182591,2.57731562,0.00059172,0.04291649,0.48459579,0.98825276,0.00635065,1.47409210,0.45578726,0.35882043
-5.64582291,2.57634623,0.00050303,0.04343622,0.48060233,0.99051345,0.00664623,1.47071169,0.45617353,0.35899669
-5.63981991,2.56517239,0.00042627,0.04390424,0.47515138,0.98820036,0.00694229,1.46177808,0.45512271,0.35770869
-5.63381691,2.54360410,0.00036018,0.04428601,0.46824563,0.98125688,0.00723031,1.44723067,0.45254593,0.35493418
-5.62781391,2.51166114,0.00030359,0.04455150,0.45991525,0.96971421,0.00750204,1.42712455,0.44838754,0.35068075
-5.62181091,2.46956693,0.00025537,0.04467522,0.45021563,0.95368929,0.00774966,1.40162542,0.44262540,0.34498481
-5.61580790,2.41773762,0.00021450,0.04463642,0.43922489,0.93338054,0.00796599,1.37100198,0.43527040,0.33790988
-5.60980490,2.35676685,0.00018001,0.04441909,0.42704107,0.90906171,0.00814458,1.33561587,0.42636530,0.32954420
-5.60380190,2.28740666,0.00015105,0.04401206,0.41377929,0.88107388,0.00827993,1.29590972,0.41598279,0.31999791
-5.59779890,2.21054510,0.00012682,0.04340897,0.39956873,0.84981607,0.00836757,1.25239347,0.40422304,0.30939971
-5.59179590,2.12718144,0.00010662,0.04260822,0.38454957,0.81573468,0.00840418,1.20562969,0.39121056,0.29789327
-5.58579290,2.03839949,0.00008986,0.04161279,0.36886988,0.77931217,0.00838770,1.15621800,0.37709062,0.28563331
-5.57978989,1.94534007,0.00007597,0.04043008,0.35268255,0.74105532,0.00831732,1.10477938,0.36202533,0.27278168
-5.57378689,1.84917343,0.00006452,0.03907152,0.33614225,0.70148357,0.00819355,1.05194058,0.34618934,0.25950335
-5.56778389,1.75107234,0.00005510,0.03755222,0.31940242,0.66111773,0.00801811,0.99831929,0.32976550,0.24596256
-5.56178089,1.65218680,0.00004739,0.03589046,0.30261247,0.62046945,0.00779392,0.94451028,0.31294043,0.23231927
-5.55577789,1.55362111,0.00004113,0.03410718,0.28591512,0.58003182,0.00752495,0.89107312,0.29590022,0.21872589
-5.54977489,1.45641384,0.00003610,0.03222532,0.26944394,0.54027137,0.00721609,0.83852161,0.27882645,0.20532445
-5.54377189,1.36152138,0.00003215,0.03026923,0.25332125,0.50162159,0.00687298,0.78731534,0.26189246,0.19224431
-5.53776888,1.26980540,0.00002915,0.02826398,0.23765633,0.46447826,0.00650182,0.73785353,0.24526026,0.17960047
-5.53176588,1.18202452,0.00002702,0.02623473,0.22254410,0.42919657,0.00610918,0.69047128,0.22907786,0.16749245
-5.52576288,1.09883017,0.00002572,0.02420611,0.20806417,0.39608993,0.00570179,0.64543818,0.21347737,0.15600381
-5.51975988,1.02076656,0.00002524,0.02220168,0.19428045,0.36543057,0.00528637,0.60295938,0.19857372,0.14520228
-5.51375688,0.94827461,0.00002559,0.02024336,0.18124122,0.33745151,0.00486941,0.56317883,0.18446409,0.13514044
-5.50775388,0.88169903,0.00002680,0.01835109,0.16897969,0.31234981,0.00445706,0.52618443,0.17122797,0.12585691
-5.50175088,0.82129832,0.00002893,0.01654247,0.15751499,0.29029067,0.00405497,0.49201492,0.15892785,0.11737799
-5.49574787,0.76725660,0.00003205,0.01483254,0.14685359,0.27141213,0.00366818,0.46066786,0.14761042,0.10971953
-5.48974487,0.71969669,0.00003626,0.01323365,0.13699094,0.25582982,0.00330106,0.43210857,0.13730814,0.10288901
-5.48374187,0.67869338,0.00004165,0.01175543,0.12791345,0.24364157,0.00295724,0.40627922,0.12804112,0.09688775
-5.47773887,0.64428606,0.00004834,0.01040488,0.11960043,0.23493133,0.00263961,0.38310784,0.11981912,0.09171292
-5.47173587,0.61648996,0.00005642,0.00918642,0.11202619,0.22977209,0.00235031,0.36251673,0.11264348,0.08735949
-5.46573287,0.59530516,0.00006602,0.00810216,0.10516187,0.22822765,0.00209078,0.34442969,0.10650904,0.08382174
-5.45972986,0.58072277,0.00007723,0.00715212,0.09897719,0.23035283,0.00186178,0.32877800,0.10140566,0.08109450
-5.45372686,0.57272801,0.00009014,0.00633446,0.09344187,0.23619218,0.00166344,0.31550461,0.09731946,0.07917386
-5.44772386,0.57129985,0.00010483,0.00564584,0.08852671,0.24577712,0.00149535,0.30456651,0.09423369,0.07805738
-5.44172086,0.57640729,0.00012134,0.00508164,0.08420435,0.25912154,0.00135663,0.29593521,0.09212903,0.07774377
-5.43571786,0.58800254,0.00013970,0.00463629,0.08044957,0.27621624,0.00124597,0.28959526,0.09098359,0.07823215
-5.42971486,0.60601153,0.00015989,0.00430350,0.07723930,0.29702235,0.00116174,0.28554113,0.09077243,0.07952077
-5.42371186,0.63032250,0.00018185,0.00407655,0.07455234,0.32146420,0.00110203,0.28377251,0.09146676,0.08160542
-5.41770885,0.66077336,0.00020548,0.00394843,0.07236877,0.34942223,0.00106471,0.28428849,0.09303301,0.08447760
-5.41170585,0.69713888,0.00023064,0.00391208,0.07066924,0.38072621,0.00104749,0.28708094,0.09543163,0.08812248
-5.40570285,0.73911873,0.00025712,0.00396050,0.06943416,0.41514953,0.00104797,0.29212762,0.09861610,0.09251694
-5.39969985,0.78632715,0.00028467,0.00408691,0.06864291,0.45240500,0.00106370,0.29938529,0.10253197,0.09762765
-5.39369685,0.83828553,0.00031299,0.00428482,0.06827315,0.49214257,0.00109218,0.30878349,0.10711627,0.10340951
-5.38769385,0.89441840,0.00034175,0.00454813,0.06830028,0.53394948,0.00113093,0.32021927,0.11229727,0.10980442
-5.38169085,0.95405369,0.00037057,0.00487118,0.06869717,0.57735303,0.00117751,0.33355322,0.11799472,0.11674056
-5.37568784,1.01642754,0.00039903,0.00524885,0.06943410,0.62182615,0.00122955,0.34860727,0.12412073,0.12413227
-5.36968484,1.08069394,0.00042671,0.00567657,0.07047904,0.66679577,0.00128478,0.36516421,0.13058103,0.13188057
-5.36368184,1.14593900,0.00045318,0.00615040,0.07179817,0.71165381,0.00134108,0.38296931,0.13727692,0.13987433
-5.35767884,1.21119953,0.00047800,0.00666707,0.07335671,0.75577048,0.00139647,0.40173375,0.14410757,0.14799205
-5.35167584,1.27548525,0.00050076,0.00722402,0.07511990,0.79850946,0.00144919,0.42114009,0.15097279,0.15610432
-5.34567284,1.33780377,0.00052108,0.00781948,0.07705419,0.83924428,0.00149766,0.44084930,0.15777593,0.16407672
-5.33966983,1.39718718,0.00053864,0.00845247,0.07912839,0.87737531,0.00154059,0.46050917,0.16442692,0.17177315
-5.33366683,1.45271918,0.00055316,0.00912282,0.08131498,0.91234645,0.00157689,0.47976373,0.17084519,0.17905944
-5.32766383,1.50356137,0.00056443,0.00983122,0.08359111,0.94366099,0.00160579,0.49826330,0.17696231,0.18580708
-5.32166083,1.54897746,0.00057232,0.01057913,0.08593959,0.97089564,0.00162677,0.51567455,0.18272421,0.19189686
-5.31565783,1.58835414,0.00057678,0.01136877,0.08834952,0.99371218,0.00163960,0.53169027,0.18809273,0.19722236
-5.30965483,1.62121772,0.00057783,0.01220303,0.09081658,1.01186617,0.00164430,0.54603828,0.19304650,0.20169300
-5.30365183,1.64724556,0.00057558,0.01308527,0.09334304,1.02521218,0.00164117,0.55848916,0.19758100,0.20523670
-5.29764882,1.66627169,0.00057023,0.01401923,0.09593728,1.03370550,0.00163071,0.56886228,0.20170775,0.20780175
-5.29164582,1.67828653,0.00056202,0.01500871,0.09861297,1.03739993,0.00161362,0.57703001,0.20545262,0.20935816
-5.28564282,1.68343049,0.00055126,0.01605737,0.10138786,1.03644212,0.00159077,0.58291989,0.20885344,0.20989807
-5.27963982,1.68198209,0.00053830,0.01716837,0.10428224,1.03106249,0.00156311,0.58651462,0.21195682,0.20943551
-5.27363682,1.67434089,0.00052354,0.01834409,0.10731714,1.02156344,0.00153169,0.58784996,0.21481455,0.20800532
-5.26763382,1.66100651,0.00050736,0.01958575,0.11051241,1.00830522,0.00149754,0.58701069,0.21747964,0.20566146
-5.26163082,1.64255457,0.00049017,0.02089311,0.11388469,0.99169038,0.00146169,0.58412489,0.22000219,0.20247463
-5.25562781,1.61961093,0.00047236,0.02226412,0.11744550,0.97214751,0.00142510,0.57935680,0.22242551,0.19852948
-5.24962481,1.59282555,0.00045428,0.02369473,0.12119941,0.95011499,0.00138860,0.57289877,0.22478248,0.19392144
-5.24362181,1.56284726,0.00043626,0.02517863,0.12514266,0.92602572,0.00135290,0.56496265,0.22709257,0.18875336
-5.23761881,1.53030066,0.00041857,0.02670720,0.12926206,0.90029321,0.00131854,0.55577111,0.22935961,0.18313219
-5.23161581,1.49576633,0.00040142,0.02826948,0.13353445,0.87330002,0.00128588,0.54554942,0.23157046,0.17716569
-5.22561281,1.45976506,0.00038498,0.02985233,0.13792672,0.84538854,0.00125513,0.53451798,0.23369475,0.17095949
-5.21960980,1.42274685,0.00036934,0.03144062,0.14239647,0.81685485,0.00122629,0.52288601,0.23568563,0.16461452
-5.21360680,1.38508498,0.00035457,0.03301768,0.14689318,0.78794540,0.00119922,0.51084671,0.23748161,0.15822490
-5.20760380,1.34707508,0.00034065,0.03456571,0.15136012,0.75885667,0.00117362,0.49857402,0.23900935,0.15187639
-5.20160080,1.30893901,0.00032753,0.03606644,0.15573662,0.72973755,0.00114911,0.48622102,0.24018726,0.14564545
-5.19559780,1.27083304,0.00031512,0.03750174,0.15996088,0.70069396,0.00112520,0.47392002,0.24092971,0.13959881
-5.18959480,1.23285939,0.00030332,0.03885441,0.16397296,0.67179550,0.00110135,0.46178407,0.24115171,0.13379362
-5.18359180,1.19508038,0.00029200,0.04010884,0.16771799,0.64308325,0.00107702,0.44990977,0.24077371,0.12827802
-5.17758879,1.15753397,0.00028100,0.04125177,0.17114926,0.61457844,0.00105168,0.43838104,0.23972622,0.12309212
-5.17158579,1.12024969,0.00027021,0.04227292,0.17423113,0.58629119,0.00102484,0.42727340,0.23795419,0.11826926
-5.16558279,1.08326375,0.00025948,0.04316551,0.17694159,0.55822886,0.00099609,0.41665852,0.23542066,0.11383734
-5.15957979,1.04663259,0.00024871,0.04392670,0.17927418,0.53040346,0.00096512,0.40660852,0.23210967,0.10982023
-5.15357679,1.01044365,0.00023782,0.04455780,0.18123934,0.50283776,0.00093171,0.39719977,0.22802821,0.10623912
-5.14757379,0.97482319,0.00022673,0.04506433,0.18286497,0.47556983,0.00089579,0.38851577,0.22320710,0.10311359
-5.14157079,0.93994035,0.00021541,0.04545587,0.18419618,0.44865573,0.00085736,0.38064902,0.21770076,0.10046252
-5.13556778,0.90600751,0.00020385,0.04574571,0.18529420,0.42217046,0.00081658,0.37370157,0.21158597,0.09830461
-5.12956478,0.87327703,0.00019207,0.04595037,0.18623460,0.39620708,0.00077367,0.36778434,0.20495958,0.09665851
-5.12356178,0.84203456,0.00018012,0.04608890,0.18710474,0.37087432,0.00072899,0.36301512,0.19793541,0.09554269
-5.11755878,0.81258963,0.00016805,0.04618210,0.18800070,0.34629284,0.00068294,0.35951548,0.19064048,0.09497489
-5.11155578,0.78526397,0.00015595,0.04625165,0.18902381,0.32259055,0.00063597,0.35740671,0.18321071,0.09497132
-5.10555278,0.76037849,0.00014390,0.04631923,0.19027694,0.29989725,0.00058859,0.35680514,0.17578644,0.09554563
-5.09954977,0.73823973,0.00013201,0.04640559,0.19186074,0.27833910,0.00054130,0.35781708,0.16850788,0.09670773
-5.09354677,0.71912646,0.00012036,0.04652977,0.19387004,0.25803310,0.00049459,0.36053368,0.16151070,0.09846257
-5.08754377,0.70327746,0.00010905,0.04670840,0.19639048,0.23908212,0.00044894,0.36502611,0.15492203,0.10080900
-5.08154077,0.69088080,0.00009817,0.04695507,0.19949570,0.22157063,0.00040479,0.37134133,0.14885697,0.10373869
-5.07553777,0.68206544,0.00008781,0.04727997,0.20324495,0.20556127,0.00036251,0.37949857,0.14341568,0.10723531
-5.06953477,0.67689539,0.00007802,0.04768964,0.20768143,0.19109261,0.00032244,0.38948692,0.13868123,0.11127398
-5.06353177,0.67536659,0.00006885,0.04818692,0.21283125,0.17817802,0.00028482,0.40126397,0.13471813,0.11582101
-5.05752876,0.67740663,0.00006035,0.04877108,0.21870302,0.16680560,0.00024985,0.41475558,0.13157162,0.12083399
-5.05152576,0.68287713,0.00005254,0.04943813,0.22528811,0.15693931,0.00021765,0.42985691,0.12926761,0.12626223
-5.04552276,0.69157850,0.00004542,0.05018119,0.23256135,0.14852099,0.00018827,0.44643434,0.12781324,0.13204753
-5.03951976,0.70325674,0.00003899,0.05099100,0.24048231,0.14147314,0.00016171,0.46432840,0.12719792,0.13812520
-5.03351676,0.71761185,0.00003324,0.05185653,0.24899678,0.13570246,0.00013791,0.48335740,0.12739481,0.14442535
-5.02751376,0.73430723,0.00002814,0.05276546,0.25803860,0.13110361,0.00011679,0.50332160,0.12836258,0.15087436
-5.02151076,0.75297982,0.00002366,0.05370483,0.26753150,0.12756343,0.00009820,0.52400759,0.13004731,0.15739646
-5.01550775,0.77325018,0.00001974,0.05466150,0.27739105,0.12496498,0.00008198,0.54519292,0.13238453,0.16391531
-5.00950475,0.79473242,0.00001636,0.05562255,0.28752653,0.12319162,0.00006795,0.56665050,0.13530121,0.17035559
-5.00350175,0.81704335,0.00001346,0.05657567,0.29784267,0.12213067,0.00005592,0.58815283,0.13871778,0.17664451
-4.99749875,0.83981076,0.00001100,0.05750930,0.30824127,0.12167685,0.00004570,0.60947579,0.14254985,0.18271317
-4.99149575,0.86268054,0.00000892,0.05841282,0.31862264,0.12173507,0.00003707,0.63040204,0.14671001,0.18849771
-4.98549275,0.88532255,0.00000719,0.05927650,0.32888693,0.12222281,0.00002986,0.65072384,0.15110926,0.19394030
-4.97948974,0.90743525,0.00000575,0.06009147,0.33893524,0.12307187,0.00002388,0.67024539,0.15565845,0.19898988
-4.97348674,0.92874908,0.00000456,0.06084955,0.34867069,0.12422962,0.00001896,0.68878469,0.16026942,0.20360270
-4.96748374,0.94902874,0.00000360,0.06154307,0.35799941,0.12565961,0.00001495,0.70617495,0.16485610,0.20774259
-4.96148074,0.96807436,0.00000281,0.06216469,0.36683147,0.12734172,0.00001170,0.72226561,0.16933550,0.21138110
-4.95547774,0.98572195,0.00000219,0.06270717,0.37508174,0.12927180,0.00000909,0.73692309,0.17362851,0.21449738
-4.94947474,1.00184297,0.00000169,0.06316325,0.38267091,0.13146083,0.00000701,0.75003130,0.17766076,0.21707799
-4.94347174,1.01634344,0.00000129,0.06352553,0.38952630,0.13393372,0.00000537,0.76149201,0.18136331,0.21911652
-4.93746873,1.02916257,0.00000098,0.06378639,0.39558290,0.13672772,0.00000409,0.77122515,0.18467338,0.22061318
-4.93146573,1.04027106,0.00000074,0.06393807,0.40078422,0.13989056,0.00000309,0.77916895,0.18753495,0.22157424
-4.92546273,1.04966913,0.00000056,0.06397272,0.40508317,0.14347833,0.00000232,0.78528024,0.18989943,0.22201151
-4.91945973,1.05738434,0.00000042,0.06388261,0.40844291,0.14755310,0.00000173,0.78953453,0.19172614,0.22194174
-4.91345673,1.06346932,0.00000031,0.06366036,0.41083751,0.15218045,0.00000129,0.79192617,0.19298286,0.22138608
-4.90745373,1.06799928,0.00000023,0.06329922,0.41225250,0.15742683,0.00000097,0.79246846,0.19364619,0.22036946
-4.90145073,1.07106943,0.00000017,0.06279338,0.41268519,0.16335698,0.00000073,0.79119355,0.19370191,0.21892007
-4.89544772,1.07279228,0.00000013,0.06213832,0.41214485,0.17003120,0.00000057,0.78815236,0.19314514,0.21706880
-4.88944472,1.07329479,0.00000010,0.06133111,0.41065251,0.17750288,0.00000047,0.78341419,0.19198040,0.21484875
-4.88344172,1.07271546,0.00000009,0.06037071,0.40824063,0.18581602,0.00000042,0.77706617,0.19022156,0.21229475
-4.87743872,1.07120133,0.00000008,0.05925821,0.40495245,0.19500312,0.00000043,0.76921250,0.18789157,0.20944289
-4.87143572,1.06890495,0.00000009,0.05799700,0.40084104,0.20508322,0.00000049,0.75997331,0.18502206,0.20633009
-4.86543272,1.06598140,0.00000010,0.05659289,0.39596824,0.21606043,0.00000062,0.74948336,0.18165276,0.20299376
-4.85942971,1.06258532,0.00000013,0.05505408,0.39040334,0.22792280,0.00000083,0.73789039,0.17783077,0.19947136
-4.85342671,1.05886819,0.00000017,0.05339115,0.38422158,0.24064167,0.00000114,0.72535324,0.17360968,0.19580016
-4.84742371,1.05497578,0.00000024,0.05161686,0.37750267,0.25417158,0.00000158,0.71203974,0.16904852,0.19201691
-4.84142071,1.05104583,0.00000033,0.04974593,0.37032917,0.26845057,0.00000221,0.69812437,0.16421062,0.18815758
-4.83541771,1.04720607,0.00000047,0.04779471,0.36278488,0.28340113,0.00000309,0.68378582,0.15916242,0.18425717
-4.82941471,1.04357264,0.00000065,0.04578085,0.35495337,0.29893145,0.00000428,0.66920430,0.15397210,0.18034954
-4.82341171,1.04024869,0.00000089,0.04372290,0.34691648,0.31493727,0.00000590,0.65455890,0.14870829,0.17646720
-4.81740870,1.03732338,0.00000122,0.04163982,0.33875307,0.33130390,0.00000809,0.64002473,0.14343871,0.17264120
-4.81140570,1.03487115,0.00000166,0.03955064,0.33053783,0.34790857,0.00001100,0.62577019,0.13822884,0.16890099
-4.80540270,1.03295109,0.00000224,0.03747397,0.32234024,0.36462299,0.00001486,0.61195407,0.13314065,0.16527424
-4.79939970,1.03160653,0.00000300,0.03542765,0.31422376,0.38131584,0.00001992,0.59872276,0.12823141,0.16178670
-4.79339670,1.03086464,0.00000399,0.03342834,0.30624508,0.39785533,0.00002652,0.58620746,0.12355254,0.15846196
