energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,6.42230383,0.00438237,1.23027744,0.69740327,0.26089915,1.75728264,2.10282597,0.10218585,1.97589497
-5.99399700,6.51061099,0.00443087,1.27926713,0.72827337,0.25844230,1.80395240,2.18310701,0.09693583,1.96535253
-5.98799400,6.61525649,0.00447329,1.33357871,0.76003585,0.25669022,1.85759080,2.27123544,0.09165898,1.95683951
-5.98199100,6.73443836,0.00450717,1.39238297,0.79243206,0.25569643,1.91732243,2.36591593,0.08640574,1.95040683
-5.97598799,6.86584731,0.00453039,1.45468075,0.82518588,0.25549135,1.98209036,2.46559026,0.08122362,1.94604715
-5.96998499,7.00670595,0.00454128,1.51932362,0.85800776,0.25608033,2.05067509,2.56846908,0.07615623,1.94369008
-5.96398199,7.15382479,0.00453862,1.58504072,0.89059874,0.25744229,2.12171992,2.67257268,0.07124245,1.94319885
-5.95797899,7.30367476,0.00452174,1.65047075,0.92265465,0.25952936,2.19376290,2.77577994,0.06651576,1.94436906
-5.95197599,7.45247489,0.00449055,1.71419876,0.95387034,0.26226738,2.26527457,2.87588415,0.06200386,1.94692992
-5.94597299,7.59629361,0.00444552,1.77479633,0.98394405,0.26555738,2.33470094,2.97065435,0.05772846,1.95054824
-5.93996998,7.73116067,0.00438769,1.83086413,1.01258204,0.26927807,2.40051021,3.05790020,0.05370534,1.95483535
-5.93396698,7.85318639,0.00431869,1.88107526,1.03950332,0.27328924,2.46124176,3.13553815,0.04994459,1.95935701
-5.92796398,7.95868423,0.00424066,1.92421785,1.06444468,0.27743594,2.51555551,3.20165683,0.04645104,1.96364596
-5.92196098,8.04429200,0.00415622,1.95923520,1.08716582,0.28155344,2.56227951,3.25457898,0.04322491,1.96721695
-5.91595798,8.10708698,0.00406841,1.98526191,1.10745465,0.28547259,2.60045355,3.29291758,0.04026245,1.96958347
-5.90995498,8.14469005,0.00398063,2.00165435,1.12513244,0.28902558,2.62936671,3.31562384,0.03755676,1.97027571
