energy_ev,total_up,Ca_p_up,Ca_d_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,3.04677483,0.01344243,0.00000000,0.83938201,1.39227738,0.01345707,0.42644734,0.01602880,1.23806218
-5.99399700,2.95936399,0.01332149,0.00000000,0.83024263,1.33706548,0.01300193,0.42414453,0.01593224,1.19844211
-5.98799400,2.87363210,0.01321062,0.00000000,0.82106310,1.28312232,0.01262763,0.42121156,0.01587422,1.16058417
-5.98199100,2.79032730,0.01311154,0.00000000,0.81196254,1.23087675,0.01232947,0.41774445,0.01585194,1.12472637
-5.97598799,2.71006771,0.01302517,0.00000000,0.80301089,1.18069806,0.01210213,0.41383312,0.01586123,1.09103006
-5.96998499,2.63332488,0.01295153,0.00000000,0.79422564,1.13288843,0.01193985,0.40955722,0.01589667,1.05957695
-5.96398199,2.56041411,0.01288979,0.00000000,0.78557187,1.08767767,0.01183660,0.40498282,0.01595173,1.03036972
-5.95797899,2.49149185,0.01283826,0.00000000,0.77696539,1.04522066,0.01178625,0.40016001,0.01601896,1.00333607
-5.95197599,2.42656026,0.01279448,0.00000000,0.76827888,1.00559729,0.01178283,0.39512176,0.01609029,0.97833604
-5.94597299,2.36547847,0.01275535,0.00000000,0.75935060,0.96881501,0.01182075,0.38988380,0.01615727,0.95517204
-5.93996998,2.30797982,0.01271725,0.00000000,0.74999510,0.93481371,0.01189507,0.38444573,0.01621135,0.93360107
-5.93396698,2.25369396,0.01267622,0.00000000,0.74001526,0.90347276,0.01200169,0.37879309,0.01624424,0.91334860
-5.92796398,2.20217248,0.01262813,0.00000000,0.72921497,0.87461959,0.01213757,0.37290033,0.01624819,0.89412308
-5.92196098,2.15291658,0.01256886,0.00000000,0.71741171,0.84803965,0.01230088,0.36673423,0.01621623,0.87563066
-5.91595798,2.10540523,0.01249448,0.00000000,0.70444811,0.82348707,0.01249115,0.36025789,0.01614246,0.85758901
-5.90995498,2.05912224,0.01240142,0.00000000,0.69020216,0.80069551,0.01270922,0.35343455,0.01602226,0.83973985
-5.90395198,2.01358100,0.01228657,0.00000000,0.67459514,0.77938888,0.01295726,0.34623141,0.01585238,0.82185943
-5.89794897,1.96834544,0.01214742,0.00000000,0.65759716,0.75929132,0.01323865,0.33862291,0.01563109,0.80376654
-5.89194597,1.92304656,0.01198214,0.00000000,0.63922986,0.74013610,0.01355773,0.33059340,0.01535817,0.78532779
-5.88594297,1.87739375,0.01178960,0.00000000,0.61956632,0.72167328,0.01391951,0.32213913,0.01503488,0.76645992
-5.87993997,1.83118082,0.01156942,0.00000000,0.59872818,0.70367575,0.01432938,0.31326924,0.01466386,0.74712932
-5.87393697,1.78428662,0.01132189,0.00000000,0.57688031,0.68594367,0.01479258,0.30400603,0.01424901,0.72734883
-5.86793397,1.73667090,0.01104801,0.00000000,0.55422329,0.66830732,0.01531385,0.29438436,0.01379524,0.70717225
-5.86193097,1.68836585,0.01074933,0.00000000,0.53098440,0.65062837,0.01589689,0.28445024,0.01330830,0.68668691
-5.85592796,1.63946438,0.01042795,0.00000000,0.50740744,0.63279971,0.01654388,0.27425896,0.01279451,0.66600500
-5.84992496,1.59010602,0.01008634,0.00000000,0.48374222,0.61474420,0.01725510,0.26387266,0.01226051,0.64525412
-5.84392196,1.54046167,0.00972731,0.00000000,0.46023410,0.59641236,0.01802853,0.25335769,0.01171300,0.62456762
-5.83791896,1.49071812,0.00935384,0.00000000,0.43711427,0.57777946,0.01885954,0.24278192,0.01115852,0.60407554
-5.83191596,1.44106341,0.00896906,0.00000000,0.41459127,0.55884219,0.01974077,0.23221206,0.01060324,0.58389628
-5.82591296,1.39167394,0.00857607,0.00000000,0.39284396,0.53961504,0.02066201,0.22171130,0.01005277,0.56412984
