energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,3.37005788,0.01495117,0.39805492,0.76929163,0.62037679,1.42245445,0.90105991,0.04945201,1.16635571
-5.99399700,3.39258904,0.01528805,0.39051374,0.78041364,0.63252080,1.43118096,0.89602889,0.04752404,1.19159361
-5.98799400,3.40709572,0.01564835,0.38230069,0.78956262,0.64363852,1.43648891,0.88882630,0.04542604,1.21373202
-5.98199100,3.41326559,0.01602904,0.37345979,0.79663726,0.65365100,1.43809722,0.87942714,0.04319161,1.23247560
-5.97598799,3.41094554,0.01642550,0.36404497,0.80156830,0.66250036,1.43578532,0.86785232,0.04085533,1.24759987
-5.96998499,3.40013755,0.01683162,0.35411910,0.80431908,0.67014709,1.42939993,0.85416755,0.03845187,1.25895275
-5.96398199,3.38098851,0.01723986,0.34375259,0.80488503,0.67656663,1.41885936,0.83848041,0.03601512,1.26645311
-5.95797899,3.35377504,0.01764150,0.33302171,0.80329207,0.68174542,1.40415534,0.82093600,0.03357734,1.27008662
-5.95197599,3.31888423,0.01802687,0.32200674,0.79959396,0.68567701,1.38535211,0.80171126,0.03116847,1.26989945
-5.94597299,3.27679185,0.01838565,0.31078986,0.79386902,0.68835834,1.36258337,0.78100839,0.02881550,1.26599019
-5.93996998,3.22803926,0.01870722,0.29945319,0.78621616,0.68978675,1.33604699,0.75904768,0.02654204,1.25850064
-5.93396698,3.17321065,0.01898101,0.28807674,0.77675072,0.68995785,1.30599816,0.73606014,0.02436796,1.24760619
-5.92796398,3.11291186,0.01919691,0.27673668,0.76560022,0.68886450,1.27274127,0.71228034,0.02230922,1.23350624
-5.92196098,3.04775198,0.01934555,0.26550384,0.75290033,0.68649704,1.23662097,0.68793986,0.02037786,1.21641538
-5.91595798,2.97832872,0.01941874,0.25444260,0.73879128,0.68284473,1.19801307,0.66326158,0.01858209,1.19655576
-5.90995498,2.90521806,0.01940970,0.24361014,0.72341490,0.67789835,1.15731546,0.63845511,0.01692648,1.17415098
-5.90395198,2.82896854,0.01931338,0.23305619,0.70691242,0.67165378,1.11493964,0.61371344,0.01541232,1.14942178
-5.89794897,2.75010009,0.01912662,0.22282317,0.68942299,0.66411623,1.07130310,0.58921105,0.01403797,1.12258365
-5.89194597,2.66910688,0.01884829,0.21294676,0.67108309,0.65530490,1.02682273,0.56510318,0.01279936,1.09384613
-5.88594297,2.58646372,0.01847935,0.20345682,0.65202665,0.64525761,0.98190950,0.54152644,0.01169044,1.06341384
-5.87993997,2.50263479,0.01802286,0.19437858,0.63238570,0.63403505,0.93696438,0.51860041,0.01070366,1.03148870
-5.87393697,2.41808389,0.01748384,0.18573405,0.61229155,0.62172429,0.89237547,0.49643000,0.00983048,0.99827311
-5.86793397,2.33328498,0.01686916,0.17754359,0.59187611,0.60844127,0.84851638,0.47510842,0.00906179,0.96397348
-5.86193097,2.24873182,0.01618731,0.16982744,0.57127328,0.59433189,0.80574557,0.45472040,0.00838834,0.92880381
-5.85592796,2.16494599,0.01544814,0.16260729,0.55062014,0.57957169,0.76440663,0.43534540,0.00780105,0.89298879
-5.84992496,2.08248230,0.01466251,0.15590774,0.53005777,0.56436391,0.72482934,0.41706063,0.00729135,0.85676603
-5.84392196,2.00193123,0.01384201,0.14975755,0.50973165,0.54893606,0.68733126,0.39994363,0.00685136,0.82038714
-5.83791896,1.92391805,0.01299862,0.14419082,0.48979139,0.53353510,0.65221993,0.38407434,0.00647408,0.78411763
-5.83191596,1.84909877,0.01214430,0.13924794,0.47038997,0.51842145,0.61979539,0.36953657,0.00615346,0.74823527
-5.82591296,1.77815324,0.01129078,0.13497626,0.45168236,0.50386215,0.59035308,0.35641879,0.00588448,0.71302724
-5.81990995,1.71177589,0.01044916,0.13143076,0.43382369,0.49012358,0.56418703,0.34481449,0.00566313,0.67878616
-5.81390695,1.65066499,0.00962973,0.12867437,0.41696712,0.47746405,0.54159323,0.33482194,0.00548639,0.64580516
-5.80790395,1.59551107,0.00884173,0.12677826,0.40126147,0.46612679,0.52287322,0.32654362,0.00535213,0.61437248
-5.80190095,1.54698557,0.00809323,0.12582191,0.38684888,0.45633357,0.50833772,0.32008553,0.00525908,0.58476583
-5.79589795,1.50573031,0.00739098,0.12589305,0.37386262,0.44827941,0.49831021,0.31555624,0.00520671,0.55724698
-5.78989495,1.47234860,0.00674041,0.12708746,0.36242520,0.44212853,0.49313027,0.31306612,0.00519512,0.53205681
-5.78389195,1.44739828,0.00614564,0.12950844,0.35264689,0.43801185,0.49315638,0.31272654,0.00522500,0.50941122
-5.77788894,1.43138703,0.00560953,0.13326618,0.34462472,0.43602591,0.49876801,0.31464921,0.00529750,0.48949806
-5.77188594,1.42476986,0.00513374,0.13847666,0.33844199,0.43623328,0.51036642,0.31894564,0.00541417,0.47247513
-5.76588294,1.42794840,0.00471892,0.14526027,0.33416827,0.43866442,0.52837404,0.32572660,0.00557689,0.45846939
-5.75987994,1.44127165,0.00436482,0.15373987,0.33185970,0.44332052,0.55323180,0.33510147,0.00578780,0.44757721
-5.75387694,1.46503725,0.00407046,0.16403838,0.33155971,0.45017724,0.58539418,0.34717737,0.00604924,0.43986555
-5.74787394,1.49949268,0.00383431,0.17627576,0.33329976,0.45918890,0.62532159,0.36205791,0.00636367,0.43537376
-5.74187094,1.54483539,0.00365441,0.19056544,0.33710012,0.47029276,0.67346986,0.37984137,0.00673363,0.43411582
-5.73586793,1.60121116,0.00352855,0.20701012,0.34297044,0.48341310,0.73027674,0.40061815,0.00716161,0.43608266
-5.72986493,1.66871003,0.00345440,0.22569707,0.35091014,0.49846462,0.79614543,0.42446746,0.00764997,0.44124424
-5.72386193,1.74735928,0.00342954,0.24669301,0.36090824,0.51535513,0.87142547,0.45145317,0.00820084,0.44955120
