energy_ev,total_up,Hf_p_up,Hf_d_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up
-6.00000000,1.38983515,0.89066117,0.56240947,0.20710962,0.00041945,0.81697954,0.00000000
-5.99399700,1.32860848,0.85813976,0.53590559,0.19506282,0.00042193,0.78002189,0.00000000
-5.98799400,1.28300432,0.83636744,0.51554144,0.18505729,0.00042980,0.75216664,0.00000000
-5.98199100,1.25320913,0.82541405,0.50140717,0.17714192,0.00044305,0.73353672,0.00000000
-5.97598799,1.23905219,0.82511787,0.49344888,0.17131381,0.00046154,0.72404437,0.00000000
-5.96998499,1.24002322,0.83509370,0.49147646,0.16752189,0.00048504,0.72340173,0.00000000
-5.96398199,1.25529699,0.85474547,0.49517442,0.16567146,0.00051315,0.73113570,0.00000000
-5.95797899,1.28376435,0.88328282,0.50411517,0.16562987,0.00054539,0.74660645,0.00000000
-5.95197599,1.32406893,0.91974184,0.51777463,0.16723282,0.00058116,0.76902931,0.00000000
-5.94597299,1.37464878,0.96300949,0.53554958,0.17029125,0.00061979,0.79749939,0.00000000
-5.93996998,1.43378213,1.01185157,0.55677653,0.17459857,0.00066048,0.83101862,0.00000000
-5.93396698,1.49963637,1.06494371,0.58075165,0.17993806,0.00070242,0.86852453,0.00000000
-5.92796398,1.57031919,1.12090500,0.60675120,0.18609017,0.00074472,0.90892019,0.00000000
-5.92196098,1.64393077,1.17833348,0.63405219,0.19283958,0.00078648,0.95110467,0.00000000
-5.91595798,1.71861553,1.23584271,0.66195250,0.19998175,0.00082681,0.99400321,0.00000000
-5.90995498,1.79261212,1.29209831,0.68978993,0.20732888,0.00086484,1.03659617,0.00000000
-5.90395198,1.86429991,1.34585341,0.71695975,0.21471493,0.00089974,1.07794599,0.00000000
-5.89794897,1.93224045,1.39598183,0.74292981,0.22199958,0.00093078,1.11722108,0.00000000
-5.89194597,1.99521232,1.44150749,0.76725295,0.22907110,0.00095730,1.15371592,0.00000000
-5.88594297,2.05223780,1.48162915,0.78957598,0.23584777,0.00097878,1.18686629,0.00000000
-5.87993997,2.10260031,1.51573900,0.80964494,0.24227803,0.00099482,1.21625925,0.00000000
-5.87393697,2.14585165,1.54343459,0.82730631,0.24833915,0.00100517,1.24163712,0.00000000
-5.86793397,2.18180860,1.56452307,0.84250410,0.25403458,0.00100972,1.26289533,0.00000000
-5.86193097,2.21053891,1.57901772,0.85527290,0.25939006,0.00100852,1.28007420,0.00000000
-5.85592796,2.23233732,1.58712664,0.86572721,0.26444867,0.00100177,1.29334490,0.00000000
-5.84992496,2.24769255,1.58923418,0.87404748,0.26926501,0.00098980,1.30299022,0.00000000
-5.84392196,2.25724693,1.58587575,0.88046365,0.27389890,0.00097307,1.30938119,0.00000000
-5.83791896,2.26175066,1.57770737,0.88523688,0.27840888,0.00095214,1.31295050,0.00000000
-5.83191596,2.26201295,1.56547119,0.88864061,0.28284579,0.00092766,1.31416418,0.00000000
-5.82591296,2.25885254,1.54995882,0.89094165,0.28724695,0.00090034,1.31349298,0.00000000
-5.81990995,2.25305015,1.53197404,0.89238263,0.29163110,0.00087090,1.31138480,0.00000000
-5.81390695,2.24530528,1.51229673,0.89316640,0.29599456,0.00084010,1.30823969,0.00000000
