energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,1.21349794,0.00426894,0.24287217,0.00422971,0.52983741,0.49318152,0.29464460
-5.99399700,1.22930631,0.00393808,0.26395784,0.00427627,0.51454527,0.49242976,0.30588384
-5.98799400,1.25262831,0.00364915,0.28829726,0.00443841,0.50021935,0.49349990,0.31918413
-5.98199100,1.28361129,0.00340317,0.31595008,0.00470667,0.48689722,0.49657682,0.33458694
-5.97598799,1.32235860,0.00320081,0.34694605,0.00507170,0.47462544,0.50182024,0.35212098
-5.96998499,1.36891101,0.00304238,0.38127591,0.00552409,0.46345858,0.50935702,0.37179702
-5.96398199,1.42322791,0.00292777,0.41888262,0.00605420,0.45345770,0.51927426,0.39360223
-5.95797899,1.48516936,0.00285644,0.45965318,0.00665202,0.44468842,0.53161329,0.41749476
-5.95197599,1.55447994,0.00282739,0.50341165,0.00730698,0.43721849,0.54636501,0.44339854
-5.94597299,1.63077562,0.00283913,0.54991411,0.00800791,0.43111503,0.56346665,0.47119890
-5.93996998,1.71353464,0.00288966,0.59884580,0.00874295,0.42644140,0.58280034,0.50073919
-5.93396698,1.80209339,0.00297643,0.64982105,0.00949958,0.42325389,0.60419352,0.53181897
-5.92796398,1.89564822,0.00309641,0.70238640,0.01026470,0.42159843,0.62742136,0.56419389
-5.92196098,1.99326349,0.00324605,0.75602691,0.01102477,0.42150743,0.65221133,0.59757753
-5.91595798,2.09388646,0.00342130,0.81017589,0.01176600,0.42299690,0.67824960,0.63164551
-5.90995498,2.19636862,0.00361770,0.86422778,0.01247460,0.42606419,0.70518944,0.66604162
-5.90395198,2.29949317,0.00383040,0.91755387,0.01313710,0.43068624,0.73266113,0.70038613
-5.89794897,2.40200774,0.00405425,0.96952036,0.01374065,0.43681871,0.76028312,0.73428587
-5.89194597,2.50266102,0.00428390,1.01950803,0.01427339,0.44439589,0.78767403,0.76734581
-5.88594297,2.60024185,0.00451390,1.06693262,0.01472475,0.45333148,0.81446488,0.79918168
-5.87993997,2.69361884,0.00473880,1.11126514,0.01508577,0.46352012,0.84031110,0.82943292
-5.87393697,2.78177870,0.00495328,1.15205100,0.01534941,0.47483962,0.86490367,0.85777558
-5.86793397,2.86386110,0.00515229,1.18892700,0.01551073,0.48715378,0.88797893,0.88393420
-5.86193097,2.93918836,0.00533116,1.22163535,0.01556706,0.50031550,0.90932644,0.90769235
-5.85592796,3.00728826,0.00548572,1.25003392,0.01551808,0.51417009,0.92879468,0.92890094
-5.84992496,3.06790856,0.00561239,1.27410203,0.01536582,0.52855863,0.94629418,0.94748406
-5.84392196,3.12102255,0.00570829,1.29394161,0.01511459,0.54332100,0.96179805,0.96344185
-5.83791896,3.16682520,0.00577131,1.30977340,0.01477082,0.55829880,0.97534001,0.97685022
-5.83191596,3.20572015,0.00580012,1.32192847,0.01434283,0.57333771,0.98701006,0.98785743
-5.82591296,3.23829836,0.00579425,1.33083538,0.01384054,0.58828963,0.99694820,0.99667767
-5.81990995,3.26530968,0.00575404,1.33700377,0.01327518,0.60301438,1.00533687,1.00358201
-5.81390695,3.28762924,0.00568063,1.34100500,0.01265891,0.61738119,1.01239246,1.00888711
-5.80790395,3.30622045,0.00557592,1.34345106,0.01200445,0.63127010,1.01835679,1.01294248
-5.80190095,3.32209724,0.00544247,1.34497285,0.01132476,0.64457346,1.02348915,1.01611685
-5.79589795,3.33628754,0.00528343,1.34619874,0.01063266,0.65719757,1.02805938,1.01878452
-5.78989495,3.34980033,0.00510244,1.34773485,0.00994057,0.66906477,1.03234278,1.02131241
-5.78389195,3.36359800,0.00490352,1.35014774,0.00926020,0.68011598,1.03661687,1.02404845
-5.77788894,3.37857567,0.00469095,1.35395043,0.00860239,0.69031362,1.04116041,1.02731199
-5.77188594,3.39554810,0.00446915,1.35959236,0.00797693,0.69964509,1.04625451,1.03138670
-5.76588294,3.41524466,0.00424262,1.36745356,0.00739243,0.70812639,1.05218556,1.03651608
-5.75987994,3.43831194,0.00401577,1.37784297,0.00685635,0.71580585,1.05924962,1.04290181
-5.75387694,3.46532300,0.00379290,1.39100078,0.00637490,0.72276752,1.06775743,1.05070479
-5.74787394,3.49679163,0.00357809,1.40710420,0.00595312,0.72913392,1.07803950,1.06004843
-5.74187094,3.53318976,0.00337516,1.42627575,0.00559493,0.73506766,1.09045020,1.07102384
-5.73586793,3.57496550,0.00318758,1.44859331,0.00530319,0.74077164,1.10537011,1.08369619
-5.72986493,3.62255946,0.00301848,1.47410071,0.00507979,0.74648728,1.12320577,1.09811153
-5.72386193,3.67641694,0.00287058,1.50281782,0.00492570,0.75249061,1.14438619,1.11430337
-5.71785893,3.73699375,0.00274621,1.53474896,0.00484108,0.75908600,1.16935548,1.13229812
-5.71185593,3.80475404,0.00264725,1.56988889,0.00482531,0.76659739,1.19856155,1.15211896
-5.70585293,3.88015883,0.00257513,1.60822536,0.00487702,0.77535717,1.23244076,1.17378732
-5.69984992,3.96364512,0.00253085,1.64973805,0.00499409,0.78569303,1.27139888,1.19732192
-5.69384692,4.05559564,0.00251491,1.69439345,0.00517372,0.79791310,1.31578910,1.22273501
-5.68784392,4.15630059,0.00252737,1.74213601,0.00541235,0.81229005,1.36588793,1.25002601
-5.68184092,4.26591338,0.00256779,1.79287608,0.00570566,0.82904489,1.42187019,1.27917282
-5.67583792,4.38440291,0.00263525,1.84647531,0.00604858,0.84833124,1.48378463,1.31012148
-5.66983492,4.51150559,0.00272832,1.90273079,0.00643526,0.87022101,1.55153143,1.34277478
-5.66383192,4.64668070,0.00284513,1.96135901,0.00685907,0.89469237,1.62484342,1.37698078
-5.65782891,4.78907266,0.00298332,2.02198131,0.00731266,0.92162074,1.70327229,1.41252224
-5.65182591,4.93748370,0.00314006,2.08411192,0.00778800,0.95077373,1.78618115,1.44910789
-5.64582291,5.09036012,0.00331217,2.14715028,0.00827645,0.98181035,1.87274468,1.48636654
-5.63981991,5.24579459,0.00349605,2.21037856,0.00876892,1.01428506,1.96195738,1.52384481
-5.63381691,5.40154622,0.00368785,2.27296537,0.00925603,1.04765672,2.05265046,1.56100910
-5.62781391,5.55507914,0.00388347,2.33397628,0.00972825,1.08130221,2.14351721,1.59725221
-5.62181091,5.70361923,0.00407870,2.39239115,0.01017616,1.11453452,2.23314628,1.63190478
-5.61580790,5.84422753,0.00426929,2.44712811,0.01059067,1.14662460,2.32006193,1.66425124
-5.60980490,5.97388798,0.00445108,2.49707351,0.01096325,1.17682604,2.40276975,1.69354988
-5.60380190,6.08960582,0.00462010,2.54111658,0.01128619,1.20440167,2.47980611,1.71905629
-5.59779890,6.18851267,0.00477267,2.57818749,0.01155279,1.22865084,2.54978921,1.74004914
-5.59179590,6.26797336,0.00490552,2.60729702,0.01175760,1.24893618,2.61146955,1.75585712
-5.58579290,6.32568951,0.00501590,2.62757592,0.01189657,1.26470857,2.66377745,1.76588578
-5.57978989,6.35979483,0.00510164,2.63831206,0.01196720,1.27552918,2.70586536,1.76964294
-5.57378689,6.36893735,0.00516121,2.63898343,0.01196856,1.28108751,2.73714293,1.76676128
-5.56778389,6.35234433,0.00519379,2.62928518,0.01190139,1.28121462,2.75730308,1.75701708
