energy_ev,total_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.33125973,0.05100422,0.00061409,0.01909217,0.90026126,0.24172804,0.42101759
-5.99399700,1.40539310,0.05515127,0.00065066,0.02023706,0.94844795,0.25051880,0.44161136
-5.98799400,1.48330692,0.05934858,0.00068795,0.02146076,0.99933184,0.26055967,0.46385647
-5.98199100,1.56335954,0.06353760,0.00072513,0.02274238,1.05179750,0.27155480,0.48725718
-5.97598799,1.64387055,0.06765835,0.00076136,0.02406086,1.10470331,0.28320407,0.51130768
-5.96998499,1.72316980,0.07165121,0.00079576,0.02539551,1.15691493,0.29521175,0.53550743
-5.96398199,1.79964712,0.07545860,0.00082750,0.02672659,1.20733922,0.30729514,0.55937647
-5.95797899,1.87180070,0.07902678,0.00085577,0.02803588,1.25495724,0.31919263,0.58246994
-5.95197599,1.93828231,0.08230746,0.00087985,0.02930707,1.29885509,0.33067106,0.60439147
-5.94597299,1.99793730,0.08525925,0.00089910,0.03052618,1.33825119,0.34153191,0.62480471
-5.93996998,2.04983779,0.08784881,0.00091301,0.03168179,1.37251904,0.35161627,0.64344254
-5.93396698,2.09330747,0.09005171,0.00092118,0.03276517,1.40120425,0.36080824,0.66011358
-5.92796398,2.12793696,0.09185291,0.00092336,0.03377028,1.42403524,0.36903670,0.67470568
-5.92196098,2.15358907,0.09324680,0.00091945,0.03469359,1.44092712,0.37627535,0.68718625
-5.91595798,2.17039386,0.09423690,0.00090950,0.03553386,1.45197868,0.38254114,0.69759950
-5.90995498,2.17873382,0.09483510,0.00089368,0.03629169,1.45746272,0.38789112,0.70606060
-5.90395198,2.17922015,0.09506066,0.00087235,0.03696913,1.45781023,0.39241797,0.71274732
-5.89794897,2.17266146,0.09493886,0.00084595,0.03756906,1.45358951,0.39624443,0.71788941
-5.89194597,2.16002662,0.09449947,0.00081504,0.03809472,1.44548119,0.39951705,0.72175642
-5.88594297,2.14240389,0.09377519,0.00078028,0.03854915,1.43425054,0.40239949,0.72464454
-5.87993997,2.12095827,0.09280000,0.00074239,0.03893473,1.42071853,0.40506582,0.72686318
-5.87393697,2.09688944,0.09160769,0.00070214,0.03925278,1.40573310,0.40769419,0.72872188
-5.86793397,2.07139222,0.09023052,0.00066031,0.03950331,1.39014181,0.41046112,0.73051826
-5.86193097,2.04562123,0.08869818,0.00061771,0.03968491,1.37476728,0.41353666,0.73252751
-5.85592796,2.02066132,0.08703701,0.00057509,0.03979473,1.36038620,0.41708069,0.73499375
-5.84992496,1.99750457,0.08526964,0.00053321,0.03982872,1.34771267,0.42124031,0.73812365
-5.84392196,1.97703446,0.08341492,0.00049275,0.03978190,1.33738612,0.42614854,0.74208231
-5.83791896,1.96001715,0.08148820,0.00045434,0.03964884,1.32996396,0.43192393,0.74699151
-5.83191596,1.94709949,0.07950192,0.00041854,0.03942418,1.32591867,0.43867124,0.75293009
-5.82591296,1.93881281,0.07746644,0.00038586,0.03910321,1.32563877,0.44648277,0.75993621
-5.81990995,1.93558157,0.07539101,0.00035670,0.03868251,1.32943304,0.45544010,0.76801118
-5.81390695,1.93773528,0.07328483,0.00033142,0.03816055,1.33753711,0.46561607,0.77712451
-5.80790395,1.94552247,0.07115814,0.00031032,0.03753814,1.35012155,0.47707654,0.78721959
-5.80190095,1.95912517,0.06902317,0.00029361,0.03681895,1.36730052,0.48988177,0.79821990
-5.79589795,1.97867275,0.06689500,0.00028147,0.03600971,1.38914018,0.50408730,0.81003510
-5.78989495,2.00425382,0.06479213,0.00027405,0.03512043,1.41566625,0.51974393,0.82256684
-5.78389195,2.03592552,0.06273693,0.00027143,0.03416429,1.44686993,0.53689694,0.83571413
-5.77788894,2.07371966,0.06075564,0.00027368,0.03315751,1.48271220,0.55558450,0.84937784
-5.77188594,2.11764529,0.05887823,0.00028084,0.03211896,1.52312592,0.57583521,0.86346457
-5.76588294,2.16768802,0.05713789,0.00029293,0.03106968,1.56801621,0.59766508,0.87788960
-5.75987994,2.22380624,0.05557037,0.00030996,0.03003227,1.61725887,0.62107409,0.89257900
-5.75387694,2.28592485,0.05421307,0.00033192,0.02903018,1.67069755,0.64604248,0.90747109
-5.74787394,2.35392720,0.05310395,0.00035879,0.02808699,1.72813988,0.67252722,0.92251706
-5.74187094,2.42764613,0.05228043,0.00039051,0.02722563,1.78935321,0.70045884,0.93768114
-5.73586793,2.50685490,0.05177817,0.00042703,0.02646767,1.85406042,0.72973889,0.95294009
-5.72986493,2.59125882,0.05162995,0.00046826,0.02583264,1.92193643,0.76023833,0.96828241
-5.72386193,2.68048848,0.05186452,0.00051409,0.02533740,1.99260579,0.79179709,0.98370705
-5.71785893,2.77409516,0.05250559,0.00056437,0.02499568,2.06564188,0.82422484,0.99922187
-5.71185593,2.87154892,0.05357100,0.00061891,0.02481771,2.14056803,0.85730321,1.01484191
-5.70585293,2.97223991,0.05507193,0.00067748,0.02480994,2.21686081,0.89078942,1.03058743
-5.69984992,3.07548288,0.05701239,0.00073980,0.02497495,2.29395553,0.92442124,1.04648190
-5.69384692,3.18052518,0.05938878,0.00080553,0.02531140,2.37125422,0.95792330,1.06255003
-5.68784392,3.28655805,0.06218963,0.00087430,0.02581418,2.44813569,0.99101446,1.07881588
-5.68184092,3.39273100,0.06539558,0.00094565,0.02647461,2.52396784,1.02341608,1.09530127
-5.67583792,3.49816901,0.06897937,0.00101909,0.02728065,2.59812172,1.05486096,1.11202459
-5.66983492,3.60199215,0.07290611,0.00109405,0.02821734,2.66998717,1.08510259,1.12900012
-5.66383192,3.70333716,0.07713359,0.00116994,0.02926711,2.73898956,1.11392454,1.14623814
-5.65782891,3.80138043,0.08161282,0.00124610,0.03041021,2.80460735,1.14114958,1.16374575
-5.65182591,3.89536188,0.08628862,0.00132185,0.03162515,2.86638982,1.16664828,1.18152863
-5.64582291,3.98460919,0.09110044,0.00139647,0.03288913,2.92397468,1.19034684,1.19959384
-5.63981991,4.06856166,0.09598333,0.00146922,0.03417847,2.97710482,1.21223382,1.21795341
-5.63381691,4.14679299,0.10086896,0.00153939,0.03546905,3.02564373,1.23236564,1.23662878
-5.62781391,4.21903240,0.10568697,0.00160624,0.03673672,3.06958909,1.25087047,1.25565598
-5.62181091,4.28518315,0.11036630,0.00166910,0.03795772,3.10908367,1.26795041,1.27509099
