energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,1.67523371,0.00533444,0.31878179,0.26298092,0.17233117,0.62429903,0.69649171,0.00702539,0.55264735
-5.99399700,1.65506855,0.00577759,0.30948443,0.26890743,0.17357630,0.63151513,0.67285737,0.00764378,0.55449939
-5.98799400,1.64985114,0.00631503,0.30261895,0.27787589,0.17659821,0.64487959,0.65457876,0.00836243,0.56191191
-5.98199100,1.66039124,0.00694959,0.29831077,0.29000161,0.18150675,0.66461312,0.64196391,0.00918605,0.57518802
-5.97598799,1.68712856,0.00768270,0.29661436,0.30534249,0.18837186,0.69079723,0.63516821,0.01011778,0.59451077
-5.96998499,1.73012438,0.00851414,0.29751432,0.32389493,0.19722097,0.72337052,0.63419612,0.01115901,0.61993653
-5.96398199,1.78906337,0.00944183,0.30092841,0.34559134,0.20803723,0.76212879,0.63890701,0.01230917,0.65139171
-5.95797899,1.86326533,0.01046169,0.30671251,0.37029915,0.22075895,0.80672919,0.64902501,0.01356568,0.68867273
-5.95197599,1.95170618,0.01156747,0.31466710,0.39782168,0.23528004,0.85669805,0.66415214,0.01492382,0.73144931
-5.94597299,2.05304755,0.01275071,0.32454514,0.42790062,0.25145163,0.91144243,0.68378441,0.01637671,0.77927097
-5.93996998,2.16567392,0.01400071,0.33606098,0.46022030,0.26908470,0.97026487,0.70733008,0.01791532,0.83157653
-5.93396698,2.28773614,0.01530461,0.34889998,0.49441353,0.28795380,1.03238092,0.73412950,0.01952853,0.88770646
-5.92796398,2.41719998,0.01664750,0.36272857,0.53006900,0.30780171,1.09693900,0.76347590,0.02120323,0.94691756
-5.92196098,2.55189822,0.01801268,0.37720435,0.56673985,0.32834496,1.16304173,0.79463634,0.02292444,1.00839972
-5.91595798,2.68958492,0.01938187,0.39198597,0.60395342,0.34928015,1.22976829,0.82687230,0.02467556,1.07129431
-5.90995498,2.82798988,0.02073566,0.40674237,0.64122167,0.37029070,1.29619681,0.85945914,0.02643859,1.13471349
-5.90395198,2.96487215,0.02205386,0.42116125,0.67805209,0.39105421,1.36142620,0.89170402,0.02819435,1.19776009
-5.89794897,3.09807067,0.02331597,0.43495636,0.71395869,0.41124983,1.42459658,0.92296158,0.02992288,1.25954742
-5.89194597,3.22555084,0.02450168,0.44787356,0.74847277,0.43056570,1.48490768,0.95264723,0.03160368,1.31921837
-5.88594297,3.34544566,0.02559142,0.45969538,0.78115309,0.44870620,1.54163466,0.98024751,0.03321616,1.37596336
-5.87993997,3.45609048,0.02656678,0.47024404,0.81159518,0.46539871,1.59414076,1.00532757,0.03473992,1.42903662
-5.87393697,3.55605046,0.02741106,0.47938297,0.83943945,0.48039970,1.64188661,1.02753555,0.03615522,1.47777029
-5.86793397,3.64414044,0.02810971,0.48701677,0.86437789,0.49350013,1.68443597,1.04660400,0.03744329,1.52158612
-5.86193097,3.71943690,0.02865066,0.49308978,0.88615923,0.50452969,1.72145794,1.06234855,0.03858672,1.56000434
-5.85592796,3.78128211,0.02902469,0.49758348,0.90459237,0.51336014,1.75272574,1.07466409,0.03956985,1.59264976
-5.84992496,3.82928111,0.02922565,0.50051271,0.91954809,0.51990738,1.77811250,1.08351892,0.04037907,1.61925485
-5.84392196,3.86329186,0.02925057,0.50192132,0.93095904,0.52413234,1.79758446,1.08894720,0.04100312,1.63965997
-5.83791896,3.88340972,0.02909973,0.50187713,0.93881804,0.52604067,1.81119203,1.09104027,0.04143335,1.65381084
-5.83191596,3.88994703,0.02877661,0.50046674,0.94317499,0.52568134,1.81905948,1.08993737,0.04166394,1.66175351
-5.82591296,3.88340920,0.02828772,0.49779039,0.94413230,0.52314414,1.82137375,1.08581616,0.04169206,1.66362716
