energy_ev,total_up,C_s_up,C_p_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,0.89360173,0.00411140,0.01954343,0.33559431,0.39830893,0.01631658,0.31481427
-5.99399700,0.94858806,0.00442606,0.02324831,0.35925573,0.41143177,0.01731440,0.34363196
-5.98799400,1.00730822,0.00475208,0.02750041,0.38499518,0.42555096,0.01839423,0.37399067
-5.98199100,1.06970835,0.00508603,0.03234358,0.41285954,0.44074177,0.01955959,0.40572294
-5.97598799,1.13566512,0.00542401,0.03781880,0.44286779,0.45706109,0.02081284,0.43862596
-5.96998499,1.20498477,0.00576163,0.04396272,0.47500867,0.47454496,0.02215495,0.47246497
-5.96398199,1.27740458,0.00609421,0.05080616,0.50923939,0.49320679,0.02358542,0.50697789
-5.95797899,1.35259681,0.00641686,0.05837265,0.54548520,0.51303624,0.02510217,0.54188134
-5.95197599,1.43017479,0.00672463,0.06667701,0.58363993,0.53399885,0.02670146,0.57687755
-5.94597299,1.50970114,0.00701268,0.07572411,0.62356744,0.55603632,0.02837791,0.61166207
-5.93996998,1.59069749,0.00727643,0.08550791,0.66510400,0.57906751,0.03012452,0.64593188
-5.93396698,1.67265561,0.00751170,0.09601063,0.70806143,0.60299001,0.03193281,0.67939350
-5.92796398,1.75504916,0.00771487,0.10720240,0.75223084,0.62768235,0.03379290,0.71177077
-5.92196098,1.83734566,0.00788300,0.11904116,0.79738694,0.65300653,0.03569373,0.74281195
-5.91595798,1.91901820,0.00801389,0.13147299,0.84329253,0.67881099,0.03762333,0.77229578
-5.90995498,1.99955624,0.00810621,0.14443278,0.88970310,0.70493368,0.03956899,0.80003613
-5.90395198,2.07847499,0.00815949,0.15784529,0.93637121,0.73120523,0.04151762,0.82588519
-5.89794897,2.15532305,0.00817410,0.17162643,0.98305044,0.75745199,0.04345600,0.84973489
-5.89194597,2.22968788,0.00815129,0.18568487,1.02949867,0.78349882,0.04537105,0.87151662
-5.88594297,2.30119878,0.00809304,0.19992370,1.07548053,0.80917150,0.04725008,0.89119916
-5.87993997,2.36952737,0.00800204,0.21424217,1.12076882,0.83429864,0.04908101,0.90878504
-5.87393697,2.43438549,0.00788150,0.22853744,1.16514478,0.85871306,0.05085251,0.92430552
-5.86793397,2.49552064,0.00773506,0.24270603,1.20839733,0.88225243,0.05255411,0.93781440
-5.86193097,2.55270935,0.00756664,0.25664526,1.25032104,0.90475941,0.05417622,0.94938106
-5.85592796,2.60574868,0.00738028,0.27025418,1.29071333,0.92608106,0.05571009,0.95908303
-5.84992496,2.65444664,0.00717997,0.28343437,1.32937073,0.94606785,0.05714771,0.96699861
-5.84392196,2.69861193,0.00696958,0.29609027,1.36608489,0.96457221,0.05848164,0.97319970
-5.83791896,2.73804385,0.00675267,0.30812929,1.40063833,0.98144692,0.05970479,0.97774544
-5.83191596,2.77252314,0.00653244,0.31946166,1.43280059,0.99654349,0.06081025,0.98067689
-5.82591296,2.80180433,0.00631162,0.33000012,1.46232513,1.00971073,0.06179098,0.98201298
-5.81990995,2.82561063,0.00609245,0.33965953,1.48894738,1.02079392,0.06263967,0.98174808
-5.81390695,2.84363162,0.00587665,0.34835661,1.51238433,1.02963452,0.06334856,0.97985125
-5.80790395,2.85552450,0.00566540,0.35600981,1.53233603,1.03607093,0.06390932,0.97626717
-5.80190095,2.86091911,0.00545940,0.36253951,1.54848918,1.03994019,0.06431308,0.97091891
-5.79589795,2.85942678,0.00525889,0.36786857,1.56052284,1.04108085,0.06455051,0.96371223
-5.78989495,2.85065291,0.00506371,0.37192329,1.56811631,1.03933704,0.06461201,0.95454134
-5.78389195,2.83421295,0.00487342,0.37463492,1.57095896,1.03456350,0.06448803,0.94329578
-5.77788894,2.80975092,0.00468729,0.37594149,1.56876160,1.02663153,0.06416941,0.92986815
-5.77188594,2.77695991,0.00450449,0.37579003,1.56126889,1.01543565,0.06364793,0.91416221
-5.76588294,2.73560329,0.00432408,0.37413907,1.54827230,1.00090036,0.06291675,0.89610105
-5.75987994,2.68553559,0.00414515,0.37096122,1.52962282,0.98298704,0.06197097,0.87563486
-5.75387694,2.62672173,0.00396686,0.36624572,1.50524274,0.96170013,0.06080817,0.85274780
-5.74787394,2.55925361,0.00378848,0.36000072,1.47513581,0.93709253,0.05942885,0.82746379
-5.74187094,2.48336269,0.00360950,0.35225516,1.43939504,0.90926957,0.05783685,0.79985070
-5.73586793,2.39942789,0.00342958,0.34306013,1.39820777,0.87839140,0.05603958,0.77002283
-5.72986493,2.30797805,0.00324864,0.33248949,1.35185728,0.84467341,0.05404823,0.73814148
-5.72386193,2.20968855,0.00306681,0.32063968,1.30072108,0.80838466,0.05187770,0.70441356
-5.71785893,2.10537204,0.00288446,0.30762872,1.24526549,0.76984415,0.04954645,0.66908825
-5.71185593,1.99596368,0.00270215,0.29359436,1.18603682,0.72941522,0.04707620,0.63245193
-5.70585293,1.88250134,0.00252063,0.27869146,1.12364950,0.68749805,0.04449148,0.59482160
-5.69984992,1.76610171,0.00234081,0.26308863,1.05877153,0.64452084,0.04181902,0.55653704
-5.69384692,1.64793342,0.00216367,0.24696438,0.99210802,0.60092988,0.03908708,0.51795216
-5.68784392,1.52918850,0.00199030,0.23050288,0.92438342,0.55717911,0.03632478,0.47942598
-5.68184092,1.41105337,0.00182179,0.21388954,0.85632341,0.51371952,0.03356126,0.44131349
-5.67583792,1.29468083,0.00165923,0.19730657,0.78863702,0.47098910,0.03082503,0.40395708
-5.66983492,1.18116424,0.00150367,0.18092884,0.72199989,0.42940359,0.02814320,0.36767860
-5.66383192,1.07151487,0.00135607,0.16492002,0.65703929,0.38934852,0.02554093,0.33277259
-5.65782891,0.96664347,0.00121732,0.14942936,0.59432140,0.35117281,0.02304086,0.29950084
-5.65182591,0.86734646,0.00108817,0.13458903,0.53434132,0.31518423,0.02066273,0.26808843
