energy_ev,total_up,Bi_p_up,Bi_d_up,S_s_up,S_p_up,Ta_p_up,Ta_d_up
-6.00000000,0.54100077,0.26489470,0.00288562,0.00022567,0.13065059,0.27513137,0.19175391
-5.99399700,0.50357311,0.24195181,0.00288830,0.00021923,0.12407037,0.25978234,0.17781097
-5.98799400,0.47433983,0.22325776,0.00293303,0.00021630,0.11912131,0.24844412,0.16687203
-5.98199100,0.45305260,0.20873097,0.00301829,0.00021671,0.11570009,0.24095374,0.15885832
-5.97598799,0.43937519,0.19824923,0.00314209,0.00022032,0.11367782,0.23710187,0.15366107
-5.96998499,0.43290259,0.19165907,0.00330210,0.00022692,0.11290509,0.23664263,0.15114827
-5.96398199,0.43317872,0.18878404,0.00349566,0.00023630,0.11321699,0.23930292,0.15117072
-5.95797899,0.43971190,0.18943164,0.00371993,0.00024823,0.11443820,0.24479093,0.15356729
-5.95197599,0.45198796,0.19339859,0.00397185,0.00026247,0.11638782,0.25280367,0.15816905
-5.94597299,0.46948063,0.20047452,0.00424828,0.00027878,0.11888404,0.26303331,0.16480245
-5.93996998,0.49165904,0.21044397,0.00454595,0.00029691,0.12174846,0.27517243,0.17329136
-5.93396698,0.51799264,0.22308683,0.00486158,0.00031661,0.12481004,0.28891791,0.18345808
-5.92796398,0.54795359,0.23817744,0.00519180,0.00033763,0.12790849,0.30397380,0.19512344
-5.92196098,0.58101688,0.25548262,0.00553322,0.00035972,0.13089728,0.32005293,0.20810609
-5.91595798,0.61665877,0.27475889,0.00588241,0.00038262,0.13364598,0.33687772,0.22222128
-5.90995498,0.65435403,0.29574932,0.00623588,0.00040610,0.13604206,0.35418004,0.23727915
-5.90395198,0.69357233,0.31818034,0.00659006,0.00042988,0.13799201,0.37170057,0.25308304
-5.89794897,0.73377477,0.34175899,0.00694132,0.00045370,0.13942196,0.38918777,0.26942779
-5.89194597,0.77441079,0.36617087,0.00728593,0.00047728,0.14027760,0.40639673,0.28609850
-5.88594297,0.81491624,0.39107928,0.00762003,0.00050036,0.14052360,0.42308813,0.30286991
-5.87993997,0.85471314,0.41612575,0.00793970,0.00052264,0.14014252,0.43902756,0.31950650
-5.87393697,0.89321146,0.44093220,0.00824091,0.00054383,0.13913331,0.45398541,0.33576366
-5.86793397,0.92981323,0.46510486,0.00851959,0.00056362,0.13750951,0.46773753,0.35138987
-5.86193097,0.96391920,0.48823994,0.00877168,0.00058173,0.13529713,0.48006666,0.36612996
-5.85592796,0.99493795,0.50993100,0.00899317,0.00059784,0.13253251,0.49076490,0.37972953
-5.84992496,1.02229726,0.52977774,0.00918019,0.00061169,0.12926007,0.49963689,0.39194017
-5.84392196,1.04545734,0.54739592,0.00932911,0.00062298,0.12553014,0.50650396,0.40252559
-5.83791896,1.06392534,0.56242804,0.00943665,0.00063149,0.12139702,0.51120874,0.41126814
-5.83191596,1.07727055,0.57455425,0.00949999,0.00063699,0.11691708,0.51362023,0.41797560
-5.82591296,1.08513937,0.58350287,0.00951683,0.00063931,0.11214732,0.51363898,0.42248783
-5.81990995,1.08726935,0.58906022,0.00948557,0.00063832,0.10714406,0.51120195,0.42468288
-5.81390695,1.08350134,0.59107900,0.00940535,0.00063394,0.10196200,0.50628696,0.42448235
-5.80790395,1.07378912,0.58948482,0.00927613,0.00062616,0.09665360,0.49891617,0.42185548
-5.80190095,1.05820580,0.58428062,0.00909872,0.00061502,0.09126860,0.48915840,0.41682197
-5.79589795,1.03694644,0.57554850,0.00887485,0.00060062,0.08585394,0.47713017,0.40945300
-5.78989495,1.01032677,0.56344901,0.00860709,0.00058314,0.08045371,0.46299516,0.39987071
-5.78389195,0.97877772,0.54821770,0.00829887,0.00056281,0.07510935,0.44696205,0.38824577
-5.77788894,0.94283610,0.53015932,0.00795437,0.00053989,0.06985995,0.42928088,0.37479335
-5.77188594,0.90313165,0.50963961,0.00757844,0.00051472,0.06474249,0.41023790,0.35976753
