energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,2.51585972,0.71190332,0.42886494,0.01561985,0.32605334,1.11025132,0.78074480,1.06078838,0.00000000
-5.99399700,2.52601550,0.71699450,0.43026907,0.01549863,0.33626551,1.11244103,0.78639364,1.06003933,0.00000000
-5.98799400,2.53185564,0.72026194,0.43093015,0.01531849,0.34564555,1.11101808,0.79125948,1.05723074,0.00000000
-5.98199100,2.53315890,0.72170022,0.43080848,0.01508206,0.35410985,1.10602674,0.79520881,1.05234171,0.00000000
-5.97598799,2.52983143,0.72135110,0.42988267,0.01479262,0.36160432,1.09760423,0.79814280,1.04540226,0.00000000
-5.96998499,2.52191941,0.71930447,0.42815228,0.01445407,0.36810602,1.08597816,0.80000358,1.03649734,0.00000000
-5.96398199,2.50961596,0.71569739,0.42563977,0.01407090,0.37362361,1.07146128,0.80077859,1.02576861,0.00000000
-5.95797899,2.49326147,0.71071140,0.42239137,0.01364817,0.37819645,1.05444346,0.80050250,1.01341377,0.00000000
-5.95197599,2.47333719,0.70456789,0.41847687,0.01319145,0.38189241,1.03538133,0.79925665,0.99968345,0.00000000
-5.94597299,2.45045208,0.69752188,0.41398836,0.01270679,0.38480447,1.01478589,0.79716604,0.98487551,0.00000000
-5.93996998,2.42532354,0.68985424,0.40903787,0.01220064,0.38704621,0.99320851,0.79439387,0.96932726,0.00000000
-5.93396698,2.39875308,0.68186292,0.40375422,0.01167979,0.38874644,0.97122586,0.79113408,0.95340573,0.00000000
-5.92796398,2.37159816,0.67385343,0.39827907,0.01115129,0.39004319,0.94942451,0.78760241,0.93749668,0.00000000
-5.92196098,2.34474191,0.66612914,0.39276259,0.01062237,0.39107748,0.92838566,0.78402646,0.92199286,0.00000000
-5.91595798,2.31906250,0.65898186,0.38735898,0.01010030,0.39198706,0.90867069,0.78063548,0.90728226,0.00000000
-5.90995498,2.29540401,0.65268335,0.38222207,0.00959238,0.39290065,0.89080813,0.77765054,0.89373696,0.00000000
-5.90395198,2.27455052,0.64747796,0.37750134,0.00910573,0.39393282,0.87528254,0.77527585,0.88170330,0.00000000
-5.89794897,2.25720494,0.64357705,0.37333862,0.00864728,0.39517989,0.86252567,0.77369167,0.87149382,0.00000000
-5.89194597,2.24397365,0.64115535,0.36986555,0.00822364,0.39671707,0.85291006,0.77304929,0.86338145,0.00000000
-5.88594297,2.23535786,0.64034940,0.36720206,0.00784097,0.39859693,0.84674538,0.77346852,0.85759618,0.00000000
-5.87993997,2.23175167,0.64125807,0.36545570,0.00750496,0.40084923,0.84427717,0.77503760,0.85432424,0.00000000
-5.87393697,2.23344678,0.64394516,0.36472201,0.00722068,0.40348213,0.84568793,0.77781561,0.85370968,0.00000000
-5.86793397,2.24064279,0.64844356,0.36508558,0.00699258,0.40648458,0.85110015,0.78183700,0.85585799,0.00000000
-5.86193097,2.25346210,0.65476074,0.36662171,0.00682435,0.40982970,0.86058070,0.78711786,0.86084129,0.00000000
-5.85592796,2.27196761,0.66288495,0.36939830,0.00671890,0.41347886,0.87414610,0.79366332,0.86870447,0.00000000
-5.84992496,2.29618156,0.67279166,0.37347783,0.00667830,0.41738617,0.89176806,0.80147537,0.87947155,0.00000000
-5.84392196,2.32610344,0.68444951,0.37891894,0.00670373,0.42150296,0.91337869,0.81056049,0.89315155,0.00000000
-5.83791896,2.36172534,0.69782533,0.38577741,0.00679542,0.42578202,0.93887480,0.82093618,0.90974322,0.00000000
-5.83191596,2.40304283,0.71288766,0.39410630,0.00695261,0.43018124,0.96812104,0.83263595,0.92923793,0.00000000
-5.82591296,2.45006043,0.72960842,0.40395501,0.00717356,0.43466636,1.00095132,0.84571207,0.95162043,0.00000000
-5.81990995,2.50279049,0.74796246,0.41536722,0.00745544,0.43921275,1.03716872,0.86023582,0.97686703,0.00000000
-5.81390695,2.56124543,0.76792500,0.42837766,0.00779442,0.44380601,1.07654368,0.87629497,1.00494129,0.00000000
-5.80790395,2.62542347,0.78946687,0.44300785,0.00818557,0.44844142,1.11881086,0.89398855,1.03578741,0.00000000
-5.80190095,2.69528871,0.81254816,0.45926099,0.00862294,0.45312235,1.16366503,0.91341914,1.06932154,0.00000000
-5.79589795,2.77074691,0.83711041,0.47711632,0.00909960,0.45785761,1.21075654,0.93468301,1.10542190,0.00000000
-5.78989495,2.85161860,0.86306809,0.49652330,0.00960767,0.46265820,1.25968691,0.95785890,1.14391818,0.00000000
-5.78389195,2.93761178,0.89030005,0.51739611,0.01013845,0.46753347,1.31000536,0.98299595,1.18458142,0.00000000
-5.77788894,3.02829624,0.91864157,0.53960875,0.01068251,0.47248716,1.36120687,1.01010169,1.22711494,0.00000000
-5.77188594,3.12308187,0.94787790,0.56299138,0.01122989,0.47751352,1.41273233,1.03913102,1.27114761,0.00000000
-5.76588294,3.22120293,0.97773977,0.58732821,0.01177021,0.48259383,1.46397139,1.06997682,1.31622999,0.00000000
-5.75987994,3.32171026,1.00790164,0.61235723,0.01229294,0.48769366,1.51426832,1.10246313,1.36183421,0.00000000
-5.75387694,3.42347261,1.03798290,0.63777208,0.01278761,0.49276091,1.56293096,1.13634133,1.40735803,0.00000000
-5.74787394,3.52518807,1.06755250,0.66322628,0.01324402,0.49772499,1.60924293,1.17129002,1.45213325,0.00000000
-5.74187094,3.62540576,1.09613691,0.68833957,0.01365253,0.50249713,1.65247860,1.20691854,1.49543862,0.00000000
-5.73586793,3.72255751,1.12323117,0.71270650,0.01400425,0.50697184,1.69192057,1.24277452,1.53651672,0.00000000
-5.72986493,3.81499843,1.14831291,0.73590682,0.01429134,0.51102954,1.72687894,1.27835487,1.57459444,0.00000000
-5.72386193,3.90105481,1.17085845,0.75751741,0.01450714,0.51454019,1.75671154,1.31312022,1.60890610,0.00000000
-5.71785893,3.97907734,1.19036057,0.77712513,0.01464641,0.51736776,1.78084436,1.34651178,1.63871833,0.00000000
-5.71185593,4.04749722,1.20634686,0.79434022,0.01470544,0.51937540,1.79879111,1.37797022,1.66335541,0.00000000
-5.70585293,4.10488233,1.21839788,0.80880942,0.01468217,0.52043091,1.81017101,1.40695533,1.68222403,0.00000000
-5.69984992,4.14999100,1.22616421,0.82022844,0.01457621,0.52041239,1.81472394,1.43296581,1.69483600,0.00000000
-5.69384692,4.18182040,1.22938146,0.82835298,0.01438888,0.51921370,1.81232218,1.45555795,1.70082811,0.00000000
-5.68784392,4.19964731,1.22788251,0.83300790,0.01412310,0.51674949,1.80297797,1.47436240,1.69997771,0.00000000
-5.68184092,4.20305912,1.22160626,0.83409402,0.01378336,0.51295952,1.78684670,1.48909815,1.69221349,0.00000000
-5.67583792,4.19197342,1.21060258,0.83159234,0.01337553,0.50781214,1.76422513,1.49958297,1.67762086,0.00000000
-5.66983492,4.16664520,1.19503298,0.82556523,0.01290667,0.50130667,1.73554503,1.50573986,1.65644139,0.00000000
-5.66383192,4.12766126,1.17516705,0.81615486,0.01238485,0.49347459,1.70136203,1.50759914,1.62906659,0.00000000
-5.65782891,4.07592197,1.15137488,0.80357857,0.01181892,0.48437950,1.66234040,1.50529616,1.59602614,0.00000000
-5.65182591,4.01261125,1.12411560,0.78812178,0.01121821,0.47411588,1.61923416,1.49906463,1.55797102,0.00000000
-5.64582291,3.93915614,1.09392277,0.77012837,0.01059233,0.46280655,1.57286532,1.48922617,1.51565253,0.00000000
-5.63981991,3.85717776,1.06138714,0.74998930,0.00995089,0.45059915,1.52410002,1.47617633,1.46989783,0.00000000
