energy_ev,total_up,Bi_p_up,Bi_d_up,Hg_p_up,Hg_d_up,Se_s_up,Se_p_up
-6.00000000,1.11204914,0.29606187,0.00301498,0.42397247,0.27949568,0.06466112,0.16362758
-5.99399700,1.14654447,0.30963892,0.00321842,0.45028905,0.28143823,0.06920357,0.16889504
-5.98799400,1.17976161,0.32270306,0.00341852,0.47566825,0.28300036,0.07368434,0.17386801
-5.98199100,1.21142519,0.33512081,0.00361121,0.49967725,0.28430863,0.07802538,0.17848592
-5.97598799,1.24131936,0.34676894,0.00379256,0.52189526,0.28550582,0.08215112,0.18269734
-5.96998499,1.26929485,0.35753869,0.00395883,0.54192637,0.28674757,0.08599060,0.18646190
-5.96398199,1.29527502,0.36733987,0.00410663,0.55941232,0.28819874,0.08947951,0.18975225
-5.95797899,1.31926049,0.37610456,0.00423298,0.57404480,0.29002947,0.09256221,0.19255583
-5.95197599,1.34133184,0.38379014,0.00433541,0.58557663,0.29241114,0.09519342,0.19487642
-5.94597299,1.36164974,0.39038142,0.00441203,0.59383124,0.29551205,0.09733969,0.19673521
-5.93996998,1.38045215,0.39589175,0.00446157,0.59870998,0.29949307,0.09898042,0.19817151
-5.93396698,1.39804822,0.40036281,0.00448346,0.60019683,0.30450318,0.10010848,0.19924277
-5.92796398,1.41480868,0.40386317,0.00447780,0.59836026,0.31067494,0.10073032,0.20002395
-5.92196098,1.43115290,0.40648555,0.00444535,0.59335203,0.31812009,0.10086566,0.20060622
-5.91595798,1.44753294,0.40834281,0.00438756,0.58540295,0.32692529,0.10054659,0.20109489
-5.90995498,1.46441501,0.40956296,0.00430643,0.57481576,0.33714821,0.09981636,0.20160676
-5.90395198,1.48225932,0.41028328,0.00420450,0.56195551,0.34881404,0.09872775,0.20226680
-5.89794897,1.50149909,0.41064405,0.00408474,0.54723771,0.36191270,0.09734109,0.20320443
-5.89194597,1.52251998,0.41078195,0.00395045,0.53111495,0.37639681,0.09572224,0.20454944
-5.88594297,1.54564103,0.41082382,0.00380518,0.51406250,0.39218074,0.09394035,0.20642785
-5.87993997,1.57109822,0.41088085,0.00365260,0.49656361,0.40914073,0.09206572,0.20895774
-5.87393697,1.59903170,0.41104369,0.00349639,0.47909513,0.42711628,0.09016778,0.21224547
-5.86793397,1.62947757,0.41137877,0.00334018,0.46211400,0.44591289,0.08831326,0.21638225
-5.86193097,1.66236482,0.41192588,0.00318745,0.44604524,0.46530603,0.08656469,0.22144142
-5.85592796,1.69751771,0.41269737,0.00304144,0.43127183,0.48504645,0.08497920,0.22747644
-5.84992496,1.73466364,0.41367876,0.00290512,0.41812682,0.50486652,0.08360770,0.23451978
-5.84392196,1.77344612,0.41483089,0.00278114,0.40688773,0.52448747,0.08249445,0.24258271
-5.83791896,1.81344215,0.41609335,0.00267181,0.39777352,0.54362732,0.08167694,0.25165605
-5.83191596,1.85418322,0.41738903,0.00257908,0.39094377,0.56200904,0.08118609,0.26171164
-5.82591296,1.89517846,0.41862938,0.00250453,0.38650005,0.57936873,0.08104667,0.27270472
-5.81990995,1.93593884,0.41972022,0.00244944,0.38448910,0.59546339,0.08127789,0.28457677
-5.81390695,1.97600086,0.42056759,0.00241472,0.38490739,0.61007792,0.08189409,0.29725875
-5.80790395,2.01494828,0.42108333,0.00240099,0.38770671,0.62303103,0.08290536,0.31067453
-5.80190095,2.05243064,0.42119010,0.00240860,0.39280031,0.63417985,0.08431817,0.32474418
-5.79589795,2.08817727,0.42082544,0.00243762,0.40006901,0.64342290,0.08613578,0.33938698
-5.78989495,2.12200610,0.41994485,0.00248786,0.40936720,0.65070138,0.08835847,0.35452388
-5.78389195,2.15382637,0.41852342,0.00255890,0.42052800,0.65599872,0.09098358,0.37007914
-5.77788894,2.18363534,0.41655628,0.00265010,0.43336768,0.65933838,0.09400528,0.38598125
-5.77188594,2.21150884,0.41405762,0.00276055,0.44768899,0.66078008,0.09741414,0.40216273
-5.76588294,2.23758641,0.41105853,0.00288912,0.46328338,0.66041471,0.10119650,0.41855913
-5.75987994,2.26205180,0.40760376,0.00303443,0.47993231,0.65835808,0.10533379,0.43510703
-5.75387694,2.28511002,0.40374761,0.00319482,0.49740762,0.65474398,0.10980174,0.45174135
-5.74787394,2.30696238,0.39954937,0.00336838,0.51547134,0.64971687,0.11456967,0.46839213
-5.74187094,2.32778121,0.39506844,0.00355291,0.53387523,0.64342457,0.11959996,0.48498106
-5.73586793,2.34768584,0.39035959,0.00374598,0.55236033,0.63601136,0.12484767,0.50141804
-5.72986493,2.36672150,0.38546856,0.00394486,0.57065694,0.62761186,0.13026063,0.51759815
-5.72386193,2.38484270,0.38042846,0.00414661,0.58848531,0.61834588,0.13577976,0.53339936
-5.71785893,2.40190238,0.37525699,0.00434812,0.60555739,0.60831468,0.14133996,0.54868127
-5.71185593,2.41764775,0.36995480,0.00454609,0.62157971,0.59759856,0.14687140,0.56328507
-5.70585293,2.43172346,0.36450515,0.00473719,0.63625763,0.58625602,0.15230132,0.57703506
-5.69984992,2.44368217,0.35887466,0.00491803,0.64930089,0.57432446,0.15755621,0.58974163
-5.69384692,2.45300235,0.35301544,0.00508535,0.66043031,0.56182219,0.16256434,0.60120584
-5.68784392,2.45911239,0.34686821,0.00523600,0.66938551,0.54875177,0.16725855,0.61122537
-5.68184092,2.46141995,0.34036637,0.00536712,0.67593320,0.53510426,0.17157912,0.61960166
-5.67583792,2.45934500,0.33344074,0.00547617,0.67987567,0.52086426,0.17547664,0.62614785
-5.66983492,2.45235477,0.32602474,0.00556104,0.68105907,0.50601523,0.17891467,0.63069726
-5.66383192,2.43999863,0.31805964,0.00562012,0.67938093,0.49054500,0.18187196,0.63311178
-5.65782891,2.42194100,0.30949974,0.00565236,0.67479645,0.47445097,0.18434426,0.63328977
-5.65182591,2.39799032,0.30031703,0.00565731,0.66732319,0.45774485,0.18634539,0.63117301
-5.64582291,2.36812245,0.29050530,0.00563516,0.65704377,0.44045658,0.18790749,0.62675226
-5.63981991,2.33249715,0.28008336,0.00558675,0.64410636,0.42263744,0.18908055,0.62007102
-5.63381691,2.29146662,0.26909730,0.00551350,0.62872281,0.40436205,0.18993083,0.61122729
-5.62781391,2.24557562,0.25762185,0.00541748,0.61116448,0.38572935,0.19053862,0.60037313
-5.62181091,2.19555326,0.24576062,0.00530126,0.59175592,0.36686254,0.19099502,0.58771203
-5.61580790,2.14229679,0.23364552,0.00516788,0.57086660,0.34790809,0.19139807,0.57349409
-5.60980490,2.08684845,0.22143534,0.00502079,0.54890119,0.32903391,0.19184828,0.55800943
-5.60380190,2.03036672,0.20931370,0.00486373,0.52628874,0.31042689,0.19244393,0.54157997
-5.59779890,1.97409344,0.19748647,0.00470064,0.50347134,0.29228998,0.19327604,0.52455006
-5.59179590,1.91931885,0.18617904,0.00453558,0.48089283,0.27483900,0.19442362,0.50727646
-5.58579290,1.86734626,0.17563326,0.00437260,0.45898791,0.25829936,0.19594923,0.49011821
-5.57978989,1.81945810,0.16610460,0.00421571,0.43817241,0.24290285,0.19789510,0.47342670
-5.57378689,1.77688521,0.15785925,0.00406875,0.41883474,0.22888451,0.20028013,0.45753668
-5.56778389,1.74078034,0.15117142,0.00393537,0.40132917,0.21647984,0.20309788,0.44275833
-5.56178089,1.71219714,0.14632085,0.00381893,0.38597088,0.20592217,0.20631569,0.42937082
-5.55577789,1.69207486,0.14359026,0.00372252,0.37303283,0.19744025,0.20987506,0.41761763
-5.54977489,1.68122897,0.14326288,0.00364888,0.36274460,0.19125593,0.21369318,0.40770350
-5.54377189,1.68034720,0.14561973,0.00360044,0.35529265,0.18758195,0.21766573,0.39979316
-5.53776888,1.68999019,0.15093657,0.00357927,0.35082210,0.18661945,0.22167073,0.39401162
-5.53176588,1.71059572,0.15948038,0.00358710,0.34943934,0.18855538,0.22557324,0.39044573
-5.52576288,1.74248495,0.17150504,0.00362535,0.35121527,0.19355942,0.22923078,0.38914682
-5.51975988,1.78586934,0.18724637,0.00369509,0.35618875,0.20178045,0.23249913,0.39013396
-5.51375688,1.84085683,0.20691622,0.00379709,0.36436970,0.21334244,0.23523829,0.39339745
-5.50775388,1.90745581,0.23069575,0.00393180,0.37574173,0.22833986,0.23731820,0.39890233
-5.50175088,1.98557604,0.25872794,0.00409933,0.39026381,0.24683253,0.23862404,0.40659142
-5.49574787,2.07502581,0.29110958,0.00429949,0.40787098,0.26884019,0.23906089,0.41638768
-5.48974487,2.17550511,0.32788292,0.00453168,0.42847395,0.29433686,0.23855732,0.42819579
-5.48374187,2.28659516,0.36902740,0.00479496,0.45195758,0.32324534,0.23706798,0.44190283
-5.47773887,2.40774501,0.41445190,0.00508798,0.47817853,0.35543222,0.23457502,0.45737805
-5.47173587,2.53825659,0.46398796,0.00540893,0.50696228,0.39070358,0.23108824,0.47447192
-5.46573287,2.67726953,0.51738446,0.00575555,0.53809983,0.42880194,0.22664403,0.49301464
-5.45972986,2.82374787,0.57430429,0.00612511,0.57134454,0.46940478,0.22130329,0.51281440
