energy_ev,total_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,9.18897394,0.00868700,0.98349483,3.47290367,5.34136424,0.10663340,2.13614207
-5.99399700,8.88477654,0.00846219,0.95135310,3.35472812,5.16548797,0.10390787,2.06730674
-5.98799400,8.56693913,0.00828746,0.91730738,3.22771129,4.98423529,0.10065085,1.99547915
-5.98199100,8.24111912,0.00817265,0.88171336,3.09393946,4.80091602,0.09693021,1.92231438
-5.97598799,7.91315338,0.00812744,0.84494137,2.95564653,4.61888258,0.09282400,1.84954074
-5.96998499,7.58897465,0.00816105,0.80737510,2.81518375,4.44148292,0.08841841,1.77893119
-5.96398199,7.27452893,0.00828207,0.76941032,2.67498793,4.27201553,0.08380569,1.71227476
-5.95797899,6.97569497,0.00849819,0.73145337,2.53754864,4.11368696,0.07908191,1.65134847
-5.95197599,6.69820618,0.00881595,0.69391916,2.40537477,3.96957166,0.07434477,1.59789017
-5.94597299,6.44757554,0.00924047,0.65722859,2.28096090,3.84257433,0.06969152,1.55357270
-5.93996998,6.22902357,0.00977520,0.62180515,2.16675366,3.73539452,0.06521699,1.51997955
-5.93396698,6.04740934,0.01042167,0.58807069,2.06511821,3.65049320,0.06101185,1.49858203
-5.92796398,5.90716442,0.01117931,0.55644030,1.97830488,3.59006120,0.05716106,1.49071788
-5.92196098,5.81222948,0.01204521,0.52731638,1.90841601,3.55598920,0.05374259,1.49757125
-5.91595798,5.76599341,0.01301410,0.50108193,1.85737282,3.54983894,0.05082636,1.52015369
-5.90995498,5.77123481,0.01407824,0.47809324,1.82688228,3.57281588,0.04847342,1.55928606
-5.90395198,5.83006602,0.01522749,0.45867220,1.81840414,3.62574310,0.04673536,1.61558114
-5.89794897,5.94388029,0.01644946,0.44309842,1.83311816,3.70903702,0.04565385,1.68942685
-5.89194597,6.11330289,0.01772973,0.43160141,1.87189208,3.82268531,0.04526042,1.78097035
-5.88594297,6.33814772,0.01905224,0.42435324,1.93525086,3.96622796,0.04557628,1.89010313
-5.87993997,6.61738127,0.02039966,0.42146177,2.02334821,4.13874265,0.04661235,2.01644793
-5.87393697,6.94909644,0.02175399,0.42296502,2.13594164,4.33883568,0.04836931,2.15934792
-5.86793397,7.33049914,0.02309718,0.42882671,2.27237251,4.56464009,0.05083782,2.31785949
-5.86193097,7.75791051,0.02441175,0.43893358,2.43155273,4.81382259,0.05399882,2.49074950
-5.85592796,8.22678832,0.02568158,0.45309444,2.61196003,5.08360093,0.05782396,2.67649849
-5.84992496,8.73177016,0.02689261,0.47104136,2.81164343,5.37077315,0.06227617,2.87331081
-5.84392196,9.26674114,0.02803354,0.49243314,3.02824076,5.67175989,0.06731046,3.07913301
-5.83791896,9.82492771,0.02909655,0.51686112,3.25900945,5.98266041,0.07287491,3.29168124
-5.83191596,10.39901829,0.03007783,0.54385725,3.50087145,6.29932251,0.07891178,3.50847814
-5.82591296,10.98131004,0.03097810,0.57290454,3.75047265,6.61742560,0.08535904,3.72689948
-5.81990995,11.56387959,0.03180295,0.60344946,4.00425617,6.93257558,0.09215195,3.94422975
-5.81390695,12.13877389,0.03256299,0.63491608,4.25854844,7.24040915,0.09922494,4.15772596
-5.80790395,12.69821576,0.03327392,0.66672160,4.50965554,7.53670455,0.10651360,4.36468770
-5.80190095,13.23481718,0.03395629,0.69829256,4.75396720,7.81749480,0.11395675,4.56253126
-5.79589795,13.74179210,0.03463515,0.72908133,4.98806433,8.07917906,0.12149852,4.74886508
-5.78989495,14.21315962,0.03533947,0.75858211,5.20882591,8.31862712,0.12909030,4.92156321
-5.78389195,14.64392778,0.03610140,0.78634571,5.41353031,8.53327223,0.13669246,5.07883340
-5.77788894,15.03024862,0.03695537,0.81199256,5.59994614,8.72118725,0.14427578,5.21927632
-5.77188594,15.36953544,0.03793700,0.83522319,5.76640780,8.88113977,0.15182228,5.34193257
-5.76588294,15.66053465,0.03908192,0.85582569,5.91187124,9.01262254,0.15932566,5.44631444
-5.75987994,15.90334631,0.04042460,0.87367973,6.03594638,9.11585647,0.16679096,5.53242009
-5.75387694,16.09938996,0.04199699,0.88875672,6.13890334,9.19176494,0.17423360,5.60072854
-5.74787394,16.25131460,0.04382726,0.90111629,6.22165115,9.24191928,0.18167765,5.65217459
-5.74187094,16.36285497,0.04593861,0.91089887,6.28568864,9.26845698,0.18915353,5.68810412
-5.73586793,16.43863894,0.04834806,0.91831488,6.33302903,9.27397557,0.19669498,5.71021103
-5.72986493,16.48395369,0.05106547,0.92363094,6.36610082,9.26140662,0.20433567,5.72045815
-5.72386193,16.50448086,0.05409270,0.92715369,6.38762914,9.23387532,0.21210543,5.72098546
-5.71785893,16.50601282,0.05742296,0.92921214,6.40050277,9.19455211,0.22002634,5.71400966
-5.71185593,16.49416344,0.06104037,0.93013922,6.40763301,9.14650356,0.22810898,5.70171977
-5.70585293,16.47408763,0.06491984,0.93025363,6.41181104,9.09254951,0.23634890,5.68617376
-5.69984992,16.45022362,0.06902712,0.92984286,6.41557068,9.03513374,0.24472373,5.66920127
-5.69384692,16.42607089,0.07331926,0.92914812,6.42106335,8.97621442,0.25319092,5.65231720
-5.68784392,16.40401527,0.07774517,0.92835205,6.42995140,8.91717989,0.26168655,5.63665065
-5.68184092,16.38521012,0.08224660,0.92756980,6.44332509,8.85879385,0.27012504,5.62289274
-5.67583792,16.36951985,0.08675928,0.92684379,6.46164754,8.80117270,0.27840011,5.61126599
-5.66983492,16.35552864,0.09121425,0.92614251,6.48473006,8.74379588,0.28638684,5.60151682
-5.66383192,16.34061396,0.09553948,0.92536323,6.51173954,8.68554853,0.29394487,5.59293165
-5.65782891,16.32108120,0.09966150,0.92433857,6.54123698,8.62479401,0.30092253,5.58437563
-5.65182591,16.29235239,0.10350720,0.92284638,6.57124554,8.55947242,0.30716196,5.57435217
-5.64582291,16.24919961,0.10700569,0.92062252,6.59934452,8.48721987,0.31250464,5.56108007
-5.63981991,16.18601103,0.11009003,0.91737568,6.62278446,8.40550232,0.31679748,5.54258449
-5.63381691,16.09707662,0.11269903,0.91280369,6.63861777,8.31175730,0.31989885,5.51679708
-5.62781391,15.97687921,0.11477886,0.90661029,6.64383835,8.20353628,0.32168447,5.48166036
-5.62181091,15.82037694,0.11628447,0.89852162,6.63552349,8.07864103,0.32205278,5.43523118
-5.61580790,15.62326366,0.11718081,0.88830163,6.61097110,7.93524734,0.32092958,5.37577832
-5.60980490,15.38219537,0.11744381,0.87576572,6.56782606,7.77201064,0.31827168,5.30186961
-5.60380190,15.09497249,0.11706104,0.86079197,6.50418971,7.58814884,0.31406938,5.21244468
-5.59779890,14.76067055,0.11603204,0.84332946,6.41870773,7.38349927,0.30834775,5.10687008
-5.59179590,14.37971423,0.11436834,0.82340347,6.31063289,7.15854762,0.30116648,4.98497467
-5.58579290,13.95389281,0.11209316,0.80111732,6.17986010,6.91442843,0.29261859,4.84706414
-5.57978989,13.48631779,0.10924075,0.77665080,6.02693312,6.65289804,0.28282777,4.69391448
-5.57378689,12.98132623,0.10585541,0.75025548,5.85302333,6.37628189,0.27194467,4.52674544
-5.56778389,12.44433569,0.10199035,0.72224707,5.65988238,6.08739947,0.26014235,4.34717584
-5.56178089,11.88165877,0.09770618,0.69299526,5.44977190,5.78947092,0.24761090,4.15716337
-5.55577789,11.30028656,0.09306929,0.66291152,5.22537424,5.48600979,0.23455171,3.95893228
-5.54977489,10.70765149,0.08815012,0.63243551,4.98968907,5.18070721,0.22117146,3.75489268
-5.54377189,10.11138039,0.08302132,0.60202048,4.74592120,4.87731221,0.20767620,3.54755537
-5.53776888,9.51904841,0.07775597,0.57211855,4.49736495,4.57951349,0.19426567,3.33944630
-5.53176588,8.93794394,0.07242576,0.54316618,4.24729053,4.29082703,0.18112803,3.13302431
-5.52576288,8.37485346,0.06709940,0.51557053,3.99883736,4.01449369,0.16843537,2.93060565
-5.51975988,7.83587398,0.06184112,0.48969722,3.75491867,3.75339020,0.15633984,2.73429805
-5.51375688,7.32625891,0.05670938,0.46585971,3.51814089,3.50995610,0.14497073,2.54594671
-5.50775388,6.85030151,0.05175588,0.44431085,3.29074052,3.28613850,0.13443245,2.36709360
-5.50175088,6.41125804,0.04702476,0.42523665,3.07453985,3.08335559,0.12480338,2.19895091
-5.49574787,6.01131110,0.04255213,0.40875247,2.87092239,2.90247912,0.11613562,2.04238875
-5.48974487,5.65157174,0.03836585,0.39490168,2.68082720,2.74383529,0.10845556,1.89793646
-5.48374187,5.33211756,0.03448558,0.38365667,2.50476107,2.60722277,0.10176516,1.76579638
-5.47773887,5.05206277,0.03092308,0.37492204,2.34282641,2.49194635,0.09604382,1.64586847
-5.47173587,4.80965516,0.02768272,0.36853993,2.19476208,2.39686375,0.09125082,1.53778362
-5.46573287,4.60239440,0.02476221,0.36429700,2.05999432,2.32044347,0.08732803,1.44094373
-5.45972986,4.42716561,0.02215337,0.36193285,1.93769438,2.26083078,0.08420295,1.35456601
-5.45372686,4.28038231,0.01984316,0.36114956,1.82683974,2.21591946,0.08179182,1.27772938
-5.44772386,4.15813281,0.01781466,0.36162188,1.72627585,2.18342624,0.08000278,1.20942084
