energy_ev,total_up,Ge_p_up,Ge_d_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,4.28125727,1.29410039,0.00000000,2.20263927,1.91599699,0.01876039,1.25621185
-5.99399700,4.30217658,1.30817864,0.00000000,2.21012953,1.93542932,0.01871067,1.24695147
-5.98799400,4.31223683,1.31758946,0.00000000,2.21307745,1.94902960,0.01860340,1.23544766
-5.98199100,4.31257737,1.32244237,0.00000000,2.21209190,1.95711184,0.01844450,1.22236608
-5.97598799,4.30440973,1.32290978,0.00000000,2.20778505,1.96005771,0.01824013,1.20836026
-5.96998499,4.28896697,1.31921880,0.00000000,2.20074835,1.95829896,0.01799643,1.19404740
-5.96398199,4.26745716,1.31164260,0.00000000,2.19153271,1.95230005,0.01771932,1.17998687
-5.95797899,4.24102330,1.30049180,0.00000000,2.18063396,1.94254174,0.01741430,1.16666237
-5.95197599,4.21071171,1.28610615,0.00000000,2.16848411,1.92950667,0.01708633,1.15446852
-5.94597299,4.17745005,1.26884712,0.00000000,2.15544877,1.91366754,0.01673975,1.14370229
-5.93996998,4.14203582,1.24909137,0.00000000,2.14183024,1.89547840,0.01637823,1.13455959
-5.93396698,4.10513522,1.22722548,0.00000000,2.12787596,1.87536929,0.01600477,1.12713684
-5.92796398,4.06729188,1.20364173,0.00000000,2.11379112,1.85374430,0.01562176,1.12143732
-5.92196098,4.02894411,1.17873506,0.00000000,2.09975447,1.83098278,0.01523105,1.11738166
-5.91595798,3.99044900,1.15290087,0.00000000,2.08593567,1.80744330,0.01483407,1.11482172
-5.90995498,3.95211118,1.12653348,0.00000000,2.07251294,1.78346964,0.01443191,1.11355699
-5.90395198,3.91421380,1.10002495,0.00000000,2.05968945,1.75939810,0.01402548,1.11335240
-5.89794897,3.87704931,1.07376394,0.00000000,2.04770716,1.73556520,0.01361564,1.11395656
-5.89194597,3.84094736,1.04813428,0.00000000,2.03685688,1.71231481,0.01320326,1.11511934
-5.88594297,3.80629780,1.02351294,0.00000000,2.02748380,1.69000388,0.01278940,1.11660780
-5.87993997,3.77356656,1.00026734,0.00000000,2.01998781,1.66900592,0.01237530,1.11821964
-5.87393697,3.74330323,0.97875166,0.00000000,2.01481841,1.64971159,0.01196251,1.11979353
-5.86793397,3.71613913,0.95930227,0.00000000,2.01246430,1.63252606,0.01155287,1.12121571
-5.86193097,3.69277583,0.94223230,0.00000000,2.01343805,1.61786265,0.01114856,1.12242277
