energy_ev,total_up,Ga_p_up,Ga_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,0.39789001,0.04001872,0.00000000,0.00097522,0.23432960,0.11461795,0.04725006
-5.99399700,0.37433287,0.03737340,0.00000000,0.00098357,0.22012098,0.10966015,0.04490075
-5.98799400,0.35333694,0.03482940,0.00000000,0.00102570,0.20736638,0.10623657,0.04301033
-5.98199100,0.33547863,0.03243924,0.00000000,0.00110308,0.19636177,0.10457147,0.04165402
-5.97598799,0.32134972,0.03025441,0.00000000,0.00121732,0.18740218,0.10491057,0.04091108
-5.96998499,0.31155675,0.02832497,0.00000000,0.00137019,0.18077962,0.10752269,0.04086497
-5.96398199,0.30672113,0.02669928,0.00000000,0.00156359,0.17678130,0.11270121,0.04160357
-5.95797899,0.30747985,0.02542392,0.00000000,0.00179948,0.17568810,0.12076492,0.04321950
-5.95197599,0.31448627,0.02454366,0.00000000,0.00207984,0.17777313,0.13205837,0.04581028
-5.94597299,0.32841095,0.02410154,0.00000000,0.00240654,0.18330049,0.14695137,0.04947859
-5.93996998,0.34994185,0.02413903,0.00000000,0.00278135,0.19252386,0.16583756,0.05433234
-5.93396698,0.37978361,0.02469614,0.00000000,0.00320572,0.20568505,0.18913167,0.06048467
-5.92796398,0.41865524,0.02581146,0.00000000,0.00368080,0.22301224,0.21726551,0.06805369
-5.92196098,0.46728575,0.02752221,0.00000000,0.00420727,0.24471772,0.25068220,0.07716197
-5.91595798,0.52640725,0.02986401,0.00000000,0.00478529,0.27099527,0.28982874,0.08793570
-5.90995498,0.59674504,0.03287059,0.00000000,0.00541440,0.30201684,0.33514664,0.10050337
-5.90395198,0.67900427,0.03657323,0.00000000,0.00609349,0.33792861,0.38706052,0.11499398
-5.89794897,0.77385305,0.04100000,0.00000000,0.00682075,0.37884634,0.44596492,0.13153469
-5.89194597,0.88190172,0.04617475,0.00000000,0.00759362,0.42485010,0.51220908,0.15024780
-5.88594297,1.00367851,0.05211593,0.00000000,0.00840885,0.47597830,0.58608029,0.17124710
-5.87993997,1.13960184,0.05883515,0.00000000,0.00926245,0.53222126,0.66778581,0.19463352
-5.87393697,1.28994976,0.06633566,0.00000000,0.01014980,0.59351428,0.75743407,0.22049011
-5.86793397,1.45482726,0.07461068,0.00000000,0.01106567,0.65973061,0.85501558,0.24887646
-5.86193097,1.63413261,0.08364176,0.00000000,0.01200429,0.73067428,0.96038437,0.27982256
-5.85592796,1.82752377,0.09339713,0.00000000,0.01295944,0.80607334,1.07324066,0.31332242
-5.84992496,2.03438664,0.10383030,0.00000000,0.01392453,0.88557356,1.19311565,0.34932753
-5.84392196,2.25380653,0.11487880,0.00000000,0.01489267,0.96873317,1.31935947,0.38774044
-5.83791896,2.48454485,0.12646338,0.00000000,0.01585679,1.05501886,1.45113304,0.42840888
-5.83191596,2.72502271,0.13848757,0.00000000,0.01680965,1.14380351,1.58740486,0.47112065
-5.82591296,2.97331326,0.15083779,0.00000000,0.01774393,1.23436609,1.72695337,0.51559974
-5.81990995,3.22714446,0.16338409,0.00000000,0.01865230,1.32589401,1.86837571,0.56150400
-5.81390695,3.48391343,0.17598147,0.00000000,0.01952739,1.41748838,2.01010302,0.60842475
-5.80790395,3.74071364,0.18847192,0.00000000,0.02036192,1.50817234,2.15042274,0.65588868
-5.80190095,3.99437517,0.20068708,0.00000000,0.02114865,1.59690280,2.28750758,0.70336223
