energy_ev,total_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,4.96944408,0.04840079,0.16288377,1.51077499,1.46337668,0.03436371,3.06252875,1.64190293,0.75705648
-5.99399700,5.20736321,0.04814199,0.18121590,1.59714945,1.55005535,0.03600374,3.18914695,1.69877691,0.78379835
-5.98799400,5.44414203,0.04779354,0.20117177,1.68735928,1.63748694,0.03767989,3.31182986,1.75242633,0.80840814
-5.98199100,5.67801067,0.04738329,0.22272860,1.78073628,1.72497513,0.03938727,3.42951401,1.80242002,0.83061970
-5.97598799,5.90734982,0.04694013,0.24585727,1.87663134,1.81186364,0.04112110,3.54125563,1.84842612,0.85019672
-5.96998499,6.13070947,0.04649290,0.27052236,1.97441758,1.89754536,0.04287644,3.64624293,1.89021630,0.86693744
-5.96398199,6.34682572,0.04606934,0.29668242,2.07349336,1.98147034,0.04464786,3.74380674,1.92766761,0.88067900
-5.95797899,6.55463496,0.04569521,0.32429017,2.17328514,2.06315249,0.04642918,3.83342903,1.96076174,0.89130145
-5.95197599,6.75328456,0.04539349,0.35329260,2.27325001,2.14217447,0.04821330,3.91474905,1.98958172,0.89873110
-5.94597299,6.94213913,0.04518388,0.38363094,2.37287766,2.21819047,0.04999198,3.98756637,2.01430605,0.90294318
-5.93996998,7.12078138,0.04508233,0.41524018,2.47169145,2.29092665,0.05175580,4.05184044,2.03520020,0.90396353
-5.93396698,7.28900639,0.04510092,0.44804830,2.56924821,2.36017899,0.05349413,4.10768610,2.05260550,0.90186907
-5.92796398,7.44680865,0.04524779,0.48197490,2.66513657,2.42580844,0.05519520,4.15536446,2.06692562,0.89678710
-5.92196098,7.59436115,0.04552731,0.51692935,2.75897352,2.48773354,0.05684628,4.19526900,2.07861069,0.88889306
-5.91595798,7.73198653,0.04594031,0.55280841,2.85039915,2.54592059,0.05843383,4.22790687,2.08813940,0.87840678
-5.90995498,7.86012056,0.04648445,0.58949337,2.93906960,2.60037176,0.05994381,4.25387531,2.09599949,0.86558724
-5.90395198,7.97926892,0.04715456,0.62684696,3.02464855,2.65111182,0.06136193,4.27383411,2.10266701,0.85072585
-5.89794897,8.08995893,0.04794306,0.66471007,3.10679763,2.69817400,0.06267399,4.28847456,2.10858522,0.83413845
-5.89194597,8.19268818,0.04884028,0.70289865,3.18516650,2.74158587,0.06386620,4.29848635,2.11414362,0.81615619
-5.88594297,8.28787285,0.04983477,0.74120107,3.25938330,2.78135620,0.06492544,4.30452373,2.11965819,0.79711573
-5.87993997,8.37579873,0.05091355,0.77937625,3.32904646,2.81746358,0.06583960,4.30717259,2.12535350,0.77734906
-5.87393697,8.45657803,0.05206224,0.81715289,3.39371876,2.84984780,0.06659780,4.30692033,2.13134784,0.75717327
-5.86793397,8.53011543,0.05326517,0.85423016,3.45292469,2.87840481,0.06719060,4.30413029,2.13764203,0.73688101
-5.86193097,8.59608618,0.05450542,0.89028009,3.50615179,2.90298587,0.06761017,4.29902247,2.14411282,0.71673170
-5.85592796,8.65392891,0.05576486,0.92495184,3.55285674,2.92340139,0.06785046,4.29166203,2.15051142,0.69694421
-5.84992496,8.70285498,0.05702415,0.95787801,3.59247640,2.93942972,0.06790730,4.28195672,2.15646761,0.67769127
-5.84392196,8.74187535,0.05826282,0.98868294,3.62444406,2.95083063,0.06777848,4.26966408,2.16149962,0.65909582
-5.83791896,8.76984497,0.05945945,1.01699277,3.64821046,2.95736342,0.06746383,4.25440828,2.16502958,0.64122959
-5.83191596,8.78552344,0.06059188,1.04244718,3.66326885,2.95880855,0.06696528,4.23570656,2.16640419,0.62411397
-5.82591296,8.78764978,0.06163756,1.06471213,3.66918315,2.95499214,0.06628695,4.21300408,2.16491990,0.60772304
-5.81990995,8.77502783,0.06257407,1.08349327,3.66561782,2.94581185,0.06543516,4.18571555,2.15985156,0.59198872
-5.81390695,8.74661804,0.06337970,1.09854928,3.65236765,2.93126280,0.06441854,4.15327176,2.15048346,0.57680771
-5.80790395,8.70163061,0.06403418,1.10970447,3.62938587,2.91146175,0.06324803,4.11516840,2.13614117,0.56204986
-5.80190095,8.63961448,0.06451944,1.11685986,3.59680848,2.88666815,0.06193694,4.07101436,2.11622293,0.54756754
-5.79589795,8.56053654,0.06482048,1.12000210,3.55497316,2.85730009,0.06050092,4.02057679,2.09022892,0.53320549
-5.78989495,8.46484561,0.06492610,1.11920964,3.50443094,2.82394404,0.05895791,3.96381992,2.05778704,0.51881075
-5.78389195,8.35351628,0.06482971,1.11465538,3.44594933,2.78735678,0.05732805,3.90093513,2.01867389,0.50424198
-5.77788894,8.22806863,0.06452990,1.10660573,3.38050596,2.74845889,0.05563350,3.83235996,1.97282997,0.48937795
-5.77188594,8.09056091,0.06403091,1.09541559,3.30927212,2.70831911,0.05389812,3.75878454,1.92036819,0.47412451
-5.76588294,7.94355384,0.06334288,1.08151950,3.23358640,2.66812960,0.05214720,3.68114421,1.86157536,0.45841997
-5.75987994,7.79004641,0.06248176,1.06541887,3.15491884,2.62917246,0.05040691,3.60059826,1.79690659,0.44223850
-5.75387694,7.63338517,0.06146910,1.04766608,3.07482692,2.59277858,0.04870383,3.51849518,1.72697277,0.42559155
-5.74787394,7.47715001,0.06033144,1.02884568,2.99490502,2.56028011,0.04706427,3.43632579,1.65252197,0.40852718
-5.74187094,7.32502145,0.05909948,1.00955378,2.91672936,2.53295852,0.04551363,3.35566626,1.57441546,0.39112755
-5.73586793,7.18063518,0.05780704,0.99037634,2.84180107,2.51199044,0.04407564,3.27811373,1.49359973,0.37350459
-5.72986493,7.04743102,0.05648978,0.97186747,2.77148997,2.49839379,0.04277162,3.20521766,1.41107581,0.35579438
-5.72386193,6.92850357,0.05518384,0.95452865,2.70698180,2.49297686,0.04161981,3.13841043,1.32786736,0.33815039
-5.71785893,6.82646240,0.05392436,0.93878995,2.64923157,2.49629295,0.04063464,3.07894081,1.24498895,0.32073612
-5.71185593,6.74330915,0.05274403,0.92499414,2.59892564,2.50860318,0.03982623,3.02781397,1.16341611,0.30371749
-5.70585293,6.68033826,0.05167171,0.91338440,2.55645429,2.52984957,0.03919992,2.98574120,1.08405820,0.28725542
-5.69984992,6.63806707,0.05073124,0.90409636,2.52189679,2.55964042,0.03875599,2.95310223,1.00773543,0.27149896
-5.69384692,6.61619957,0.04994039,0.89715473,2.49501956,2.59724915,0.03848957,2.92992249,0.93516056,0.25657938
-5.68784392,6.61362646,0.04931013,0.89247481,2.47528813,2.64162737,0.03839072,2.91586661,0.86692608,0.24260530
-5.68184092,6.62846231,0.04884423,0.88986872,2.46189238,2.69143218,0.03844473,2.91024893,0.80349689,0.22965929
-5.67583792,6.65811872,0.04853915,0.88905615,2.45378414,2.74506698,0.03863258,2.91206061,0.74520862,0.21779587
-5.66983492,6.69941053,0.04838431,0.88967907,2.44972554,2.80073445,0.03893169,2.92001233,0.69227112,0.20704092
-5.66383192,6.74869043,0.04836270,0.89131962,2.44834593,2.85649958,0.03931668,2.93259053,0.64477653,0.19739263
-5.65782891,6.80200563,0.04845178,0.89352052,2.44820475,2.91036017,0.03976039,2.94812451,0.60271141,0.18882358
-5.65182591,6.85526938,0.04862465,0.89580684,2.44785750,2.96032180,0.04023490,2.96486105,0.56597168,0.18128400
-5.64582291,6.90443909,0.04885145,0.89770823,2.44592164,3.00447389,0.04071266,2.98104294,0.53437970,0.17470580
-5.63981991,6.94569245,0.04910092,0.89878056,2.44113939,3.04106340,0.04116758,2.99498757,0.50770227,0.16900724
-5.63381691,6.97559330,0.04934194,0.89862594,2.43243458,3.06856285,0.04157606,3.00516155,0.48566865,0.16409780
-5.62781391,6.99123910,0.04954516,0.89691035,2.41896079,3.08572944,0.04191792,3.01024789,0.46798774,0.15988318
-5.62181091,6.99038326,0.04968449,0.89337794,2.40013873,3.09165266,0.04217723,3.00920230,0.45436345,0.15626992
-5.61580790,6.97152657,0.04973843,0.88786162,2.37568111,3.08578813,0.04234289,3.00129622,0.44450780,0.15316967
-5.60980490,6.93397377,0.04969120,0.88028937,2.34560405,3.06797626,0.04240902,2.98614429,0.43815115,0.15050273
-5.60380190,6.87785296,0.04953351,0.87068621,2.31022469,3.03844494,0.04237512,2.96371552,0.43504933,0.14820084
