energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,0.89792650,0.02944582,0.00494497,0.39097881,0.00000000,0.13846023,0.25673139
-5.99399700,0.87332867,0.02959379,0.00512782,0.37945571,0.00000000,0.13784152,0.24867224
-5.98799400,0.85399970,0.02984994,0.00539160,0.37008852,0.00000000,0.13791293,0.24210541
-5.98199100,0.84065530,0.03023094,0.00574540,0.36320366,0.00000000,0.13879060,0.23721212
-5.97598799,0.83387613,0.03075182,0.00619758,0.35906321,0.00000000,0.14057828,0.23413837
-5.96998499,0.83409160,0.03142512,0.00675551,0.35785835,0.00000000,0.14336370,0.23299051
-5.96398199,0.84156697,0.03226005,0.00742539,0.35970448,0.00000000,0.14721504,0.23383156
-5.95797899,0.85639374,0.03326172,0.00821208,0.36463815,0.00000000,0.15217772,0.23667836
-5.95197599,0.87848414,0.03443044,0.00911888,0.37261578,0.00000000,0.15827150,0.24149984
-5.94597299,0.90756959,0.03576113,0.01014736,0.38351440,0.00000000,0.16548826,0.24821631
-5.93996998,0.94320373,0.03724300,0.01129723,0.39713427,0.00000000,0.17379028,0.25670009
-5.93396698,0.98476992,0.03885931,0.01256617,0.41320341,0.00000000,0.18310947,0.26677738
-5.92796398,1.03149343,0.04058745,0.01394979,0.43138416,0.00000000,0.19334734,0.27823149
-5.92196098,1.08245807,0.04239926,0.01544152,0.45128133,0.00000000,0.20437601,0.29080736
-5.91595798,1.13662716,0.04426151,0.01703265,0.47245218,0.00000000,0.21604010,0.30421730
-5.90995498,1.19286829,0.04613674,0.01871233,0.49441766,0.00000000,0.22815972,0.31814793
-5.90395198,1.24998135,0.04798420,0.02046773,0.51667486,0.00000000,0.24053423,0.33226798
-5.89794897,1.30672901,0.04976098,0.02228414,0.53871021,0.00000000,0.25294694,0.34623685
-5.89194597,1.36186878,0.05142338,0.02414524,0.56001306,0.00000000,0.26517048,0.35971364
-5.88594297,1.41418558,0.05292820,0.02603332,0.58008924,0.00000000,0.27697264,0.37236630
-5.87993997,1.46252374,0.05423418,0.02792960,0.59847406,0.00000000,0.28812264,0.38388061
-5.87393697,1.50581720,0.05530331,0.02981461,0.61474441,0.00000000,0.29839740,0.39396872
