energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,2.08075176,-1.78168039,1.10396068,-1.12837745,0.27192754,-0.11809549,0.00361257,-0.00313567,0.10402228,-0.13000038,0.45753104,-0.41592471,0.27951651,-0.28391325,0.01778424,-0.01892087,1.11002342,-0.96477525
-5.99399700,2.00304867,-1.82251619,1.04803862,-1.16227322,0.26619211,-0.12193283,0.00327704,-0.00283594,0.09842167,-0.13353242,0.44013433,-0.42815841,0.26566242,-0.28588614,0.01714193,-0.01822617,1.07094414,-0.98697546
-5.98799400,1.92154673,-1.85797875,0.99020764,-1.19090357,0.25976271,-0.12541703,0.00295799,-0.00255775,0.09265319,-0.13647814,0.42182594,-0.43890303,0.25157917,-0.28733619,0.01652734,-0.01753251,1.02980989,-1.00645054
-5.98199100,1.83751633,-1.88739590,0.93143752,-1.21385188,0.25275127,-0.12849751,0.00265709,-0.00230138,0.08680071,-0.13878465,0.40292689,-0.44796381,0.23746505,-0.28818375,0.01593875,-0.01684116,0.98727781,-1.02284811
-5.97598799,1.75220347,-1.91019232,0.87266910,-1.23079531,0.24527028,-0.13113040,0.00237567,-0.00206667,0.08094495,-0.14041036,0.38375343,-0.45517340,0.22351379,-0.28835799,0.01537386,-0.01615387,0.94399445,-1.03586391
-5.96998499,1.66680667,-1.92590961,0.81479745,-1.24151397,0.23743068,-0.13328008,0.00211466,-0.00185311,0.07516207,-0.14132619,0.36461067,-0.46039769,0.20991132,-0.28779982,0.01482991,-0.01547296,0.90058387,-1.04525250
-5.96398199,1.58245838,-1.93422305,0.75865823,-1.24589721,0.22934025,-0.13492043,0.00187464,-0.00165986,0.06952238,-0.14151639,0.34578736,-0.46354061,0.19683307,-0.28646440,0.01430378,-0.01480134,0.85763813,-1.05083660
-5.95797899,1.50021116,-1.93495455,0.70501736,-1.24394703,0.22110247,-0.13603587,0.00165587,-0.00148585,0.06408954,-0.14097890,0.32755169,-0.46454798,0.18444190,-0.28432325,0.01379218,-0.01414250,0.81571014,-1.05251434
-5.95197599,1.42102847,-1.92808128,0.65456394,-1.23577833,0.21281591,-0.13662213,0.00145826,-0.00132985,0.05892002,-0.13972530,0.31014827,-0.46341005,0.17288664,-0.28136580,0.01329178,-0.01350045,0.77530890,-1.05026458
-5.94597299,1.34577959,-1.91373973,0.60790626,-1.22161623,0.20457394,-0.13668656,0.00128150,-0.00119052,0.05406284,-0.13778040,0.29379612,-0.46016277,0.16230123,-0.27760051,0.01279939,-0.01287963,0.73689673,-1.04414971
-5.93996998,1.27523804,-1.89222510,0.56557045,-1.20179056,0.19646474,-0.13624828,0.00112500,-0.00106645,0.04955964,-0.13518139,0.27868763,-0.45488767,0.15280421,-0.27305532,0.01231217,-0.01228479,0.70088825,-1.03431621
-5.93396698,1.21008259,-1.86398608,0.52800127,-1.17672778,0.18857154,-0.13533776,0.00098797,-0.00095623,0.04544500,-0.13197670,0.26498816,-0.44771030,0.14449864,-0.26777777,0.01182770,-0.01172087,0.66765061,-1.02099258
-5.92796398,1.15089998,-1.82961519,0.49556461,-1.14694071,0.18097287,-0.13399621,0.00086947,-0.00085847,0.04174685,-0.12822460,0.25283625,-0.43879747,0.13747216,-0.26183439,0.01134417,-0.01119280,0.63750441,-1.00448502
-5.92196098,1.09818837,-1.78983508,0.46855097,-1.11301651,0.17374279,-0.13227450,0.00076840,-0.00077185,0.03848713,-0.12399153,0.24234408,-0.42835315,0.13179714,-0.25530982,0.01086045,-0.01070540,0.61072495,-0.98517075
-5.91595798,1.05236075,-1.74548134,0.44717949,-1.07560323,0.16695096,-0.13023184,0.00068358,-0.00069511,0.03568246,-0.11935043,0.23359818,-0.41661340,0.12753080,-0.24830537,0.01037617,-0.01026315,0.58754324,-0.96348941
-5.90995498,1.01374745,-1.69748227,0.43160198,-1.03539566,0.16066248,-0.12793418,0.00061374,-0.00062711,0.03334481,-0.11437884,0.22666001,-0.40384039,0.12471517,-0.24093725,0.00989170,-0.00987007,0.56814652,-0.93993259
-5.90395198,0.98259745,-1.64683648,0.42190658,-0.99312067,0.15493752,-0.12545239,0.00055757,-0.00056679,0.03148222,-0.10915713,0.22156649,-0.39031578,0.12337688,-0.23333443,0.00940812,-0.00952956,0.55267800,-0.91503204
-5.89794897,0.95907807,-1.59458883,0.41812066,-0.94952260,0.14983060,-0.12286025,0.00051373,-0.00051323,0.03009940,-0.10376675,0.21833032,-0.37633366,0.12352666,-0.22563629,0.00892720,-0.00924424,0.54123577,-0.88934681
-5.89194597,0.94327315,-1.54180572,0.42021291,-0.90534910,0.14538969,-0.12023240,0.00048090,-0.00046561,0.02919823,-0.09828854,0.21694011,-0.36219335,0.12515866,-0.21798994,0.00845123,-0.00901584,0.53387086,-0.86344974
-5.88594297,0.93517988,-1.48955027,0.42809457,-0.86133772,0.14165512,-0.11764230,0.00045773,-0.00042322,0.02877822,-0.09280128,0.21736035,-0.34819218,0.12824963,-0.21054749,0.00798294,-0.00884512,0.53058469,-0.83791375
-5.87993997,0.93470473,-1.43885810,0.44161972,-0.81820342,0.13865839,-0.11516015,0.00044293,-0.00038546,0.02883678,-0.08738033,0.21953129,-0.33461863,0.13275794,-0.20346303,0.00752531,-0.00873174,0.53132607,-0.81329830
-5.87393697,0.94165912,-1.39071453,0.46058504,-0.77662735,0.13642093,-0.11285104,0.00043523,-0.00035182,0.02936940,-0.08209656,0.22336897,-0.32174584,0.13862268,-0.19688973,0.00708144,-0.00867427,0.53598834,-0.79013638
-5.86793397,0.95575562,-1.34603359,0.48472918,-0.73724694,0.13495311,-0.11077323,0.00043341,-0.00032188,0.03036974,-0.07701539,0.22876528,-0.30982578,0.14576295,-0.19097673,0.00665438,-0.00867013,0.54440679,-0.76892247
-5.86193097,0.97660530,-1.30563934,0.51373203,-0.70064726,0.13425337,-0.10897668,0.00043631,-0.00029529,0.03182965,-0.07219612,0.23558857,-0.29908420,0.15407739,-0.18586611,0.00624694,-0.00871564,0.55635709,-0.75010164
-5.85592796,1.00371720,-1.27024997,0.54721447,-0.66735386,0.13430777,-0.10750193,0.00044284,-0.00027178,0.03373905,-0.06769140,0.24368453,-0.28971636,0.16344421,-0.18168995,0.00586161,-0.00880604,0.57155493,-0.73406015
-5.84992496,1.03650044,-1.24046479,0.58473868,-0.63782688,0.13508993,-0.10637916,0.00045195,-0.00025112,0.03608591,-0.06354691,0.25287787,-0.28188370,0.17372181,-0.17856736,0.00550041,-0.00893559,0.58965740,-0.72111767
-5.84392196,1.07426960,-1.21675432,0.62580959,-0.61245644,0.13656158,-0.10562776,0.00046271,-0.00023311,0.03885615,-0.05980120,0.26297450,-0.27571138,0.18475008,-0.17660177,0.00516484,-0.00909770,0.61026636,-0.71152124
