energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Te_p_up,Te_d_up
-6.00000000,3.07134394,0.15000333,0.96979161,0.00134330,0.04663190,0.57981288,2.09552984,0.07172574,0.00000000
-5.99399700,3.03019762,0.14576179,0.96111053,0.00142140,0.04564513,0.55451058,2.06144489,0.07238658,0.00000000
-5.98799400,2.99746253,0.14231966,0.95435022,0.00150233,0.04483569,0.53196585,2.03337485,0.07344417,0.00000000
-5.98199100,2.97246924,0.13975433,0.94941688,0.00158514,0.04422216,0.51222015,2.01065886,0.07490737,0.00000000
-5.97598799,2.95440506,0.13813840,0.94617781,0.00166874,0.04382154,0.49529290,1.99252567,0.07678461,0.00000000
-5.96998499,2.94235358,0.13753857,0.94447285,0.00175196,0.04364914,0.48118451,1.97812387,0.07908421,0.00000000
-5.96398199,2.93533908,0.13801464,0.94412767,0.00183362,0.04371865,0.46987958,1.96655560,0.08181450,0.00000000
-5.95797899,2.93237324,0.13961851,0.94496774,0.00191250,0.04404213,0.46134966,1.95691222,0.08498393,0.00000000
-5.95197599,2.93250101,0.14239312,0.94683207,0.00198751,0.04463006,0.45555549,1.94830970,0.08860079,0.00000000
-5.94597299,2.93484304,0.14637134,0.94958569,0.00205762,0.04549130,0.45244822,1.93992198,0.09267283,0.00000000
-5.93996998,2.93863205,0.15157465,0.95313009,0.00212202,0.04663296,0.45196969,1.93101058,0.09720653,0.00000000
-5.93396698,2.94324103,0.15801175,0.95741085,0.00218012,0.04806021,0.45405148,1.92094885,0.10220605,0.00000000
-5.92796398,2.94820187,0.16567691,0.96242200,0.00223159,0.04977600,0.45861282,1.90923992,0.10767202,0.00000000
-5.92196098,2.95321364,0.17454838,0.96820687,0.00227642,0.05178060,0.46555756,1.89552756,0.11360010,0.00000000
-5.91595798,2.95814037,0.18458670,0.97485544,0.00231493,0.05407120,0.47477035,1.87959970,0.11997939,0.00000000
-5.90995498,2.96299902,0.19573318,0.98249848,0.00234780,0.05664129,0.48611248,1.86138492,0.12679085,0.00000000
-5.90395198,2.96793905,0.20790861,0.99129896,0.00237607,0.05948018,0.49941763,1.84094252,0.13400594,0.00000000
-5.89794897,2.97321531,0.22101245,1.00144134,0.00240113,0.06257245,0.51448814,1.81844716,0.14158533,0.00000000
-5.89194597,2.97915651,0.23492252,1.01311969,0.00242467,0.06589755,0.53109220,1.79416939,0.14947811,0.00000000
-5.88594297,2.98613177,0.24949547,1.02652523,0.00244867,0.06942951,0.54896233,1.76845366,0.15762143,0.00000000
-5.87993997,2.99451768,0.26456802,1.04183443,0.00247535,0.07313679,0.56779560,1.74169513,0.16594078,0.00000000
