energy_ev,total_up,In_p_up,In_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,1.19643766,0.02854891,0.00207913,0.00021432,0.82308328,0.60593709,0.52480658
-5.99399700,1.20643315,0.02815198,0.00208462,0.00021661,0.83599381,0.60076399,0.53225271
-5.98799400,1.21192107,0.02764786,0.00208189,0.00021768,0.84566262,0.59373073,0.53771136
-5.98199100,1.21276287,0.02704409,0.00207088,0.00021753,0.85190305,0.58490959,0.54107595
-5.97598799,1.20889264,0.02635076,0.00205164,0.00021624,0.85458107,0.57439502,0.54227106
-5.96998499,1.20032918,0.02558068,0.00202439,0.00021389,0.85362479,0.56230758,0.54125853
-5.96398199,1.18718721,0.02474971,0.00198949,0.00021064,0.84903308,0.54879821,0.53804315
-5.95797899,1.16968758,0.02387692,0.00194745,0.00020669,0.84088319,0.53405276,0.53267762
-5.95197599,1.14816594,0.02298489,0.00189896,0.00020229,0.82933680,0.51829649,0.52526683
-5.94597299,1.12307964,0.02209998,0.00184488,0.00019775,0.81464458,0.50179845,0.51597102
-5.93996998,1.09501264,0.02125267,0.00178625,0.00019344,0.79714890,0.48487547,0.50500791
-5.93396698,1.06467845,0.02047784,0.00172428,0.00018979,0.77728472,0.46789580,0.49265361
-5.92796398,1.03292074,0.01981516,0.00166033,0.00018728,0.75557865,0.45128216,0.47924228
-5.92196098,1.00071192,0.01930939,0.00159597,0.00018647,0.73264621,0.43551408,0.46516466
-5.91595798,0.96914950,0.01901081,0.00153289,0.00018799,0.70918729,0.42112947,0.45086525
-5.90995498,0.93945029,0.01897551,0.00147296,0.00019252,0.68598004,0.40872527,0.43683841
-5.90395198,0.91294225,0.01926573,0.00141817,0.00020085,0.66387311,0.39895691,0.42362318
-5.89794897,0.89105413,0.01995005,0.00137066,0.00021379,0.64377640,0.39253655,0.41179710
-5.89194597,0.87530235,0.02110351,0.00133270,0.00023228,0.62665027,0.39022963,0.40196871
-5.88594297,0.86727521,0.02280755,0.00130663,0.00025730,0.61349321,0.39284959,0.39476906
-5.87993997,0.86861376,0.02514965,0.00129491,0.00028991,0.60532793,0.40125044,0.39084193
-5.87393697,0.88098919,0.02822279,0.00130005,0.00033122,0.60318571,0.41631671,0.39083288
-5.86793397,0.90607631,0.03212441,0.00132458,0.00038240,0.60808904,0.43895062,0.39537711
-5.86193097,0.94552269,0.03695510,0.00137104,0.00044466,0.62103232,0.47005609,0.40508603
-5.85592796,1.00091352,0.04281671,0.00144192,0.00051919,0.64296069,0.51051945,0.42053273
-5.84992496,1.07373187,0.04981001,0.00153962,0.00060720,0.67474707,0.56118683,0.44223634
-5.84392196,1.16531498,0.05803188,0.00166638,0.00070982,0.71716747,0.62283825,0.47064554
-5.83791896,1.27680681,0.06757190,0.00182421,0.00082811,0.77087514,0.69615890,0.50612156
-5.83191596,1.40910802,0.07850868,0.00201483,0.00096300,0.83637374,0.78170795,0.54892095
-5.82591296,1.56282464,0.09090563,0.00223957,0.00111522,0.91399064,0.87988593,0.59917880
-5.81990995,1.73821711,0.10480664,0.00249933,0.00128530,1.00385087,0.99090165,0.65689289
-5.81390695,1.93515180,0.12023164,0.00279443,0.00147345,1.10585306,1.11473995,0.72190969
-5.80790395,2.15305736,0.13717222,0.00312458,0.00167958,1.21964847,1.25113187,0.79391279
-5.80190095,2.39088855,0.15558765,0.00348881,0.00190320,1.34462444,1.39952892,0.87241474
-5.79589795,2.64709999,0.17540139,0.00388537,0.00214340,1.47989358,1.55908309,0.95675308
-5.78989495,2.91963265,0.19649843,0.00431169,0.00239882,1.62428995,1.72863440,1.04609120
-5.78389195,3.20591515,0.21872364,0.00476439,0.00266764,1.77637345,1.90670752,1.13942480
-5.77788894,3.50288197,0.24188135,0.00523925,0.00294753,1.93444310,2.09151886,1.23559423
-5.77188594,3.80700974,0.26573633,0.00573122,0.00323572,2.09656003,2.28099501,1.33330304
-5.76588294,4.11437218,0.29001629,0.00623452,0.00352898,2.26058013,2.47280310,1.43114254
-5.75987994,4.42071354,0.31441602,0.00674267,0.00382368,2.42419617,2.66439311,1.52762209
-5.75387694,4.72153908,0.33860299,0.00724865,0.00411590,2.58498859,2.85305136,1.62120442
-5.74787394,5.01222060,0.36222448,0.00774501,0.00440141,2.74048367,3.03596417,1.71034495
-5.74187094,5.28811381,0.38491599,0.00822408,0.00467589,2.88821728,3.21028957,1.79353378
-5.73586793,5.54468359,0.40631067,0.00867809,0.00493495,3.02580212,3.37323496,1.86933908
-5.72986493,5.77763264,0.42604942,0.00909946,0.00517429,3.15099588,3.52213750,1.93644982
-5.72386193,5.98302822,0.44379131,0.00948092,0.00538984,3.26176766,3.65454438,1.99371649
-5.71785893,6.15742201,0.45922390,0.00981576,0.00557783,3.35635981,3.76828936,2.04018768
-5.71185593,6.29795757,0.47207303,0.01009804,0.00573499,3.43334253,3.86156221,2.07514119
-5.70585293,6.40246083,0.48211152,0.01032272,0.00585858,3.49165869,3.93296802,2.09810784
-5.69984992,6.46950906,0.48916663,0.01048586,0.00594653,3.53065676,3.98157333,2.10888716
-5.69384692,6.49847537,0.49312573,0.01058470,0.00599751,3.55011018,4.00693698,2.10755377
-5.68784392,6.48954610,0.49393993,0.01061775,0.00601096,3.55022222,4.00912391,2.09445425
-5.68184092,6.44371036,0.49162566,0.01058485,0.00598711,3.53161578,3.98870124,2.07019438
-5.67583792,6.36272188,0.48626395,0.01048713,0.00592700,3.49530864,3.94671651,2.03561726
-5.66983492,6.24903479,0.47799749,0.01032698,0.00583243,3.44267498,3.88465903,1.99177307
-5.66383192,6.10571602,0.46702568,0.01010799,0.00570587,3.37539493,3.80440592,1.93988191
-5.65782891,5.93633846,0.45359787,0.00983478,0.00555043,3.29539432,3.70815537,1.88129110
-5.65182591,5.74485926,0.43800499,0.00951287,0.00536972,3.20477720,3.59835001,1.81742891
-5.64582291,5.53548891,0.42057024,0.00914850,0.00516770,3.10575413,3.47759377,1.74975665
-5.63981991,5.31255655,0.40163886,0.00874845,0.00494861,3.00056931,3.34856598,1.67972106
-5.63381691,5.08037724,0.38156784,0.00831982,0.00471679,2.89142955,3.21393636,1.60870909
-5.62781391,4.84312653,0.36071564,0.00786984,0.00447656,2.78043803,3.07628439,1.53800674
-5.62181091,4.60472716,0.33943257,0.00740571,0.00423207,2.66953548,2.93802636,1.46876364
-5.61580790,4.36875200,0.31805204,0.00693437,0.00398721,2.56045072,2.80135274,1.40196449
-5.60980490,4.13834616,0.29688297,0.00646238,0.00374551,2.45466247,2.66817806,1.33840842
-5.60380190,3.91617051,0.27620371,0.00599579,0.00351004,2.35337319,2.54010461,1.27869664
-5.59779890,3.70436740,0.25625735,0.00554005,0.00328337,2.25749555,2.41840082,1.22322853
-5.59179590,3.50454845,0.23724871,0.00509990,0.00306754,2.16765123,2.30399405,1.17220584
-5.58579290,3.31780321,0.21934278,0.00467937,0.00286401,2.08418128,2.19747723,1.12564449
-5.57978989,3.14472663,0.20266466,0.00428175,0.00267373,2.00716692,2.09912802,1.08339281
-5.57378689,2.98546253,0.18730071,0.00390959,0.00249715,1.93645886,2.00893842,1.04515520
-5.56778389,2.83975964,0.17330084,0.00356473,0.00233423,1.87171334,1.92665296,1.01051976
