energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Mg_p_up,Mg_d_up,Se_s_up,Se_p_up
-6.00000000,3.23178089,0.14413540,0.08321904,0.89017862,0.43046223,0.93873322,0.00000000,0.06934317,1.46877633
-5.99399700,3.26718215,0.15319458,0.08024390,0.91010290,0.43688691,0.95697176,0.00000000,0.06877012,1.49315840
-5.98799400,3.31734701,0.16330105,0.07726999,0.93359967,0.44627213,0.98082418,0.00000000,0.06852271,1.52440390
-5.98199100,3.38301169,0.17434079,0.07436765,0.96065733,0.45869041,1.01030702,0.00000000,0.06868367,1.56278458
-5.97598799,3.46455188,0.18616818,0.07160353,0.99114660,0.47415839,1.04528753,0.00000000,0.06933708,1.60840424
-5.96998499,3.56196708,0.19860808,0.06903900,1.02481906,0.49263636,1.08548064,0.00000000,0.07056730,1.66119249
-5.96398199,3.67487882,0.21145893,0.06672870,1.06131067,0.51402936,1.13045129,0.00000000,0.07245778,1.72090513
-5.95797899,3.80254300,0.22449693,0.06471942,1.10015014,0.53818996,1.17962245,0.00000000,0.07508997,1.78713126
-5.95197599,3.94387595,0.23748101,0.06304935,1.14077219,0.56492253,1.23228866,0.00000000,0.07854199,1.85930690
-5.94597299,4.09749289,0.25015882,0.06174753,1.18253502,0.59398888,1.28763500,0.00000000,0.08288742,1.93673448
-5.93996998,4.26175691,0.26227321,0.06083374,1.22474157,0.62511499,1.34476073,0.00000000,0.08819375,2.01860721
-5.93396698,4.43483574,0.27356928,0.06031855,1.26666343,0.65799854,1.40270676,0.00000000,0.09452088,2.10403700
-5.92796398,4.61476323,0.28380162,0.06020372,1.30756642,0.69231682,1.46048584,0.00000000,0.10191931,2.19208440
-5.92196098,4.79950207,0.29274144,0.06048274,1.34673654,0.72773461,1.51711389,0.00000000,0.11042820,2.28178885
-5.91595798,4.98700430,0.30018349,0.06114159,1.38350505,0.76391173,1.57164133,0.00000000,0.12007336,2.37219761
-5.90995498,5.17526625,0.30595224,0.06215959,1.41727144,0.80050964,1.62318246,0.00000000,0.13086499,2.46239162
-5.90395198,5.36237504,0.30990721,0.06351032,1.44752309,0.83719707,1.67094175,0.00000000,0.14279552,2.55150696
-5.89794897,5.54654435,0.31194726,0.06516259,1.47385067,0.87365412,1.71423553,0.00000000,0.15583737,2.63875082
-5.89194597,5.72613788,0.31201349,0.06708147,1.49595863,0.90957500,1.75250805,0.00000000,0.16994092,2.72341116
-5.88594297,5.89968006,0.31009077,0.06922917,1.51367017,0.94466907,1.78534119,0.00000000,0.18503280,2.80485990
-5.87993997,6.06585418,0.30620780,0.07156606,1.52692670,0.97866065,1.81245735,0.00000000,0.20101450,2.88254978
-5.87393697,6.22348946,0.30043567,0.07405150,1.53578201,1.01128742,1.83371566,0.00000000,0.21776160,2.95600564
-5.86793397,6.37153892,0.29288502,0.07664468,1.54039142,1.04229814,1.84910194,0.00000000,0.23512372,3.02481109
