energy_ev,total_up,total_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down,V_p_up,V_p_down,V_d_up,V_d_down
-6.00000000,1.49779210,-1.49779208,0.00068449,-0.00068449,0.44987788,-0.44987788,0.51788474,-0.51788473,0.92753886,-0.92753885,0.29126586,-0.29126586,0.00000000,-0.00000000,0.11364388,-0.11364388,0.02974322,-0.02974322
-5.99399700,1.47508386,-1.47508385,0.00081974,-0.00081974,0.44375219,-0.44375218,0.50348504,-0.50348503,0.91854653,-0.91854652,0.28613219,-0.28613219,0.00000000,-0.00000000,0.11312717,-0.11312717,0.02939895,-0.02939895
-5.98799400,1.45331660,-1.45331658,0.00097766,-0.00097766,0.43678240,-0.43678240,0.49177682,-0.49177682,0.90718819,-0.90718818,0.28323303,-0.28323303,0.00000000,-0.00000000,0.11375726,-0.11375725,0.02942137,-0.02942137
-5.98199100,1.43235100,-1.43235098,0.00116010,-0.00116010,0.42895294,-0.42895293,0.48245466,-0.48245465,0.89357931,-0.89357930,0.28245141,-0.28245141,0.00000000,-0.00000000,0.11545165,-0.11545165,0.02979964,-0.02979964
-5.97598799,1.41214180,-1.41214178,0.00136873,-0.00136873,0.42029008,-0.42029007,0.47519588,-0.47519587,0.87794002,-0.87794001,0.28366064,-0.28366064,0.00000000,-0.00000000,0.11811975,-0.11811975,0.03052302,-0.03052302
-5.96998499,1.39274501,-1.39274499,0.00160496,-0.00160496,0.41086238,-0.41086238,0.46967176,-0.46967176,0.86059227,-0.86059225,0.28672981,-0.28672981,0.00000000,-0.00000000,0.12166602,-0.12166602,0.03158133,-0.03158133
-5.96398199,1.37431932,-1.37431930,0.00186987,-0.00186987,0.40077903,-0.40077902,0.46555803,-0.46555803,0.84195213,-0.84195211,0.29152889,-0.29152889,0.00000000,-0.00000000,0.12599323,-0.12599323,0.03296542,-0.03296542
-5.95797899,1.35712174,-1.35712172,0.00216409,-0.00216409,0.39018616,-0.39018615,0.46254446,-0.46254445,0.82251758,-0.82251756,0.29793324,-0.29793324,0.00000000,-0.00000000,0.13100557,-0.13100557,0.03466746,-0.03466746
-5.95197599,1.34149777,-1.34149774,0.00248776,-0.00248776,0.37926154,-0.37926153,0.46034322,-0.46034321,0.80285229,-0.80285227,0.30582741,-0.30582741,0.00000000,-0.00000000,0.13661143,-0.13661143,0.03668109,-0.03668109
-5.94597299,1.32786677,-1.32786675,0.00284039,-0.00284039,0.36820775,-0.36820774,0.45869594,-0.45869593,0.78356625,-0.78356623,0.31510791,-0.31510791,0.00000000,-0.00000000,0.14272599,-0.14272599,0.03900155,-0.03900155
-5.93996998,1.31670340,-1.31670338,0.00322086,-0.00322086,0.35724442,-0.35724441,0.45737918,-0.45737917,0.76529411,-0.76529409,0.32568503,-0.32568503,0.00000000,-0.00000000,0.14927316,-0.14927316,0.04162552,-0.04162553
-5.93396698,1.30851608,-1.30851606,0.00362730,-0.00362730,0.34659977,-0.34659976,0.45620836,-0.45620836,0.74867218,-0.74867216,0.33748357,-0.33748357,0.00000000,-0.00000000,0.15618720,-0.15618720,0.04455105,-0.04455105
-5.92796398,1.30382380,-1.30382378,0.00405713,-0.00405713,0.33650209,-0.33650208,0.45504014,-0.45504013,0.73431536,-0.73431535,0.35044249,-0.35044250,0.00000000,-0.00000000,0.16341362,-0.16341363,0.04777715,-0.04777715
