energy_ev,total_up,total_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,1.67682807,-1.69197178,0.47931048,-0.49223187,0.18330125,-0.20096669,0.43518914,-0.47707252,0.30956636,-0.11916554,0.00112505,-0.00574341,0.02248446,-0.08169786,0.01152653,-0.02356677,0.97978739,-0.98981503
-5.99399700,1.68534809,-1.76747064,0.48469718,-0.51771541,0.18841498,-0.20560043,0.44148917,-0.50497741,0.30949978,-0.12640394,0.00104724,-0.00535851,0.02187802,-0.08522866,0.01085893,-0.02324962,0.98674870,-1.03589121
-5.98799400,1.69460131,-1.84042063,0.49009567,-0.54231572,0.19375967,-0.20996382,0.44852532,-0.53167760,0.30919553,-0.13354078,0.00097820,-0.00496935,0.02143672,-0.08847748,0.01019964,-0.02290669,0.99391748,-1.08071673
-5.98199100,1.70350590,-1.90982561,0.49517453,-0.56568480,0.19915735,-0.21400663,0.45590904,-0.55678713,0.30852189,-0.14048129,0.00091665,-0.00458062,0.02113341,-0.09139485,0.00954980,-0.02254571,1.00067284,-1.12368903
-5.97598799,1.71101384,-1.97466287,0.49961576,-0.58747283,0.20442732,-0.21767393,0.46325462,-0.57993065,0.30735774,-0.14712668,0.00086143,-0.00419679,0.02094150,-0.09393476,0.00891094,-0.02217282,1.00641317,-1.16418354
-5.96998499,1.71614071,-2.03391137,0.50312408,-0.60733858,0.20939120,-0.22090782,0.47019083,-0.60075372,0.30559587,-0.15337683,0.00081146,-0.00382198,0.02083580,-0.09605578,0.00828494,-0.02179240,1.01057336,-1.20157105
-5.96398199,1.71799333,-2.08658359,0.50543525,-0.62496052,0.21387792,-0.22364978,0.47637194,-0.61893321,0.30314583,-0.15913317,0.00076579,-0.00345988,0.02079326,-0.09772217,0.00767396,-0.02140700,1.01264096,-1.23523749
-5.95797899,1.71579474,-2.13175978,0.50632356,-0.64004828,0.21772866,-0.22584344,0.48148793,-0.63418736,0.29993633,-0.16430192,0.00072355,-0.00311366,0.02079352,-0.09890492,0.00708036,-0.02101745,1.01217067,-1.26460535
-5.95197599,1.70890583,-2.16862315,0.50560802,-0.65235388,0.22080150,-0.22743769,0.48527345,-0.64628523,0.29591718,-0.16879735,0.00068404,-0.00278592,0.02081955,-0.09958260,0.00650659,-0.02062297,1.00879705,-1.28915589
-5.94597299,1.69684302,-2.19649431,0.50315729,-0.66168233,0.22297568,-0.22838993,0.48751535,-0.65505505,0.29106074,-0.17254506,0.00064662,-0.00247869,0.02085804,-0.09974208,0.00595514,-0.02022146,1.00224487,-1.30845104
-5.93996998,1.67929162,-2.21486339,0.49889302,-0.66790084,0.22415517,-0.22866942,0.48805841,-0.66039116,0.28536285,-0.17548509,0.00061082,-0.00219343,0.02089969,-0.09937907,0.00542842,-0.01980985,0.99233696,-1.32215394
-5.93396698,1.65611442,-2.22341809,0.49279168,-0.67094641,0.22427163,-0.22826029,0.48680915,-0.66225920,0.27884325,-0.17757462,0.00057624,-0.00193100,0.02093947,-0.09849837,0.00492871,-0.01938446,0.97899928,-1.33004717
-5.92796398,1.62735517,-2.22206615,0.48488470,-0.67083120,0.22328645,-0.22716427,0.48373751,-0.66069926,0.27154550,-0.17879030,0.00054259,-0.00169178,0.02097662,-0.09711393,0.00445809,-0.01894143,0.96226290,-1.33204747
-5.92196098,1.59323677,-2.21095092,0.47525695,-0.66764536,0.22119183,-0.22540285,0.47887631,-0.65582688,0.26353632,-0.17912991,0.00050969,-0.00147565,0.02101465,-0.09524865,0.00401840,-0.01847714,0.94226301,-1.32821633
-5.91595798,1.55415431,-2.19045905,0.46404363,-0.66155718,0.21801099,-0.22301874,0.47231850,-0.64783161,0.25490443,-0.17861335,0.00047743,-0.00128211,0.02106107,-0.09293393,0.00361121,-0.01798860,0.91923471,-1.31876558
-5.90995498,1.51066291,-2.16121939,0.45142561,-0.65281036,0.21379723,-0.22007640,0.46421238,-0.63697337,0.24575883,-0.17728286,0.00044576,-0.00111030,0.02112712,-0.09020897,0.00323780,-0.01747378,0.89350593,-1.30405759
-5.90395198,1.46346081,-2.12409309,0.43762339,-0.64171844,0.20863216,-0.21666184,0.45475473,-0.62357639,0.23622664,-0.17520244,0.00041469,-0.00095909,0.02122732,-0.08711988,0.00289913,-0.01693190,0.86548738,-1.28459982
-5.89794897,1.41336819,-2.08015467,0.42288988,-0.62865659,0.20262297,-0.21288127,0.44418239,-0.60802109,0.22645034,-0.17245648,0.00038428,-0.00082718,0.02137887,-0.08371855,0.00259592,-0.01636364,0.83566012,-1.26103377
-5.89194597,1.36130237,-2.03066487,0.40750229,-0.61405095,0.19589889,-0.20885890,0.43276239,-0.59073404,0.21658474,-0.16914757,0.00035463,-0.00071311,0.02160108,-0.08006143,0.00232860,-0.01577122,0.80456097,-1.23411857
-5.88594297,1.30825009,-1.97703590,0.39175325,-0.59836598,0.18860701,-0.20473382,0.42078118,-0.57217641,0.20679343,-0.16539368,0.00032583,-0.00061536,0.02191457,-0.07620817,0.00209739,-0.01515846,0.77276625,-1.20470984
