energy_ev,total_up,Pb_p_up,Pb_d_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,3.00854947,0.15560571,0.00187550,1.03635603,1.39048174,0.03828797,1.39448625
-5.99399700,3.00581819,0.15826141,0.00190036,1.00203497,1.40713467,0.03824073,1.38171812
-5.98799400,3.01719390,0.16148464,0.00193277,0.97251653,1.43038667,0.03826214,1.37592762
-5.98199100,3.04314772,0.16525472,0.00197292,0.94815213,1.46048816,0.03835355,1.37740703
-5.97598799,3.08364606,0.16952728,0.00202069,0.92911642,1.49746207,0.03851203,1.38620434
-5.96998499,3.13815413,0.17423523,0.00207565,0.91540955,1.54109981,0.03873051,1.40212517
-5.96398199,3.20565641,0.17929058,0.00213713,0.90686478,1.59096539,0.03899808,1.42474267
-5.95797899,3.28469315,0.18458699,0.00220417,0.90316112,1.64640747,0.03930043,1.45341486
-5.95197599,3.37341165,0.19000307,0.00227559,0.90384027,1.70657897,0.03962040,1.48730874
-5.94597299,3.46963017,0.19540618,0.00235002,0.90832719,1.77046354,0.03993870,1.52543018
-5.93996998,3.57091224,0.20065670,0.00242597,0.91595348,1.83690793,0.04023468,1.56665862
-5.93396698,3.67464845,0.20561255,0.00250183,0.92598268,1.90465905,0.04048711,1.60978514
-5.92796398,3.77814284,0.21013379,0.00257599,0.93763672,1.97240426,0.04067504,1.65355265
-5.92196098,3.87870049,0.21408716,0.00264684,0.95012245,2.03881337,0.04077857,1.69669677
-5.91595798,3.97371327,0.21735037,0.00271289,0.96265749,2.10258081,0.04077966,1.73798584
-5.90995498,4.06074060,0.21981593,0.00277272,0.97449460,2.16246619,0.04066272,1.77625879
-5.90395198,4.13758227,0.22139448,0.00282515,0.98494370,2.21733184,0.04041522,1.81045957
-5.89794897,4.20234081,0.22201742,0.00286917,0.99339107,2.26617586,0.04002806,1.83966681
-5.89194597,4.25347145,0.22163878,0.00290401,0.99931506,2.30815959,0.03949588,1.86311812
-5.88594297,4.28981812,0.22023622,0.00292918,1.00229797,2.34262847,0.03881714,1.88022791
-5.87993997,4.31063466,0.21781129,0.00294442,1.00203396,2.36912574,0.03799409,1.89059870
-5.87393697,4.31559108,0.21438874,0.00294976,0.99833276,2.38739890,0.03703260,1.89402546
-5.86793397,4.30476522,0.21001519,0.00294543,0.99111936,2.39739868,0.03594181,1.89049338
-5.86193097,4.27862115,0.20475699,0.00293192,0.98042996,2.39927136,0.03473372,1.88016933
-5.85592796,4.23797569,0.19869759,0.00290988,0.96640445,2.39334482,0.03342270,1.86338773
-5.84992496,4.18395523,0.19193445,0.00288012,0.94927601,2.38010955,0.03202485,1.84063183
-5.84392196,4.11794529,0.18457561,0.00284357,0.92935835,2.36019556,0.03055747,1.81251121
