energy_ev,total_up,B_p_up,B_d_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up
-6.00000000,0.07631652,0.00133009,0.00000000,0.11639619,0.03609109,0.00000000,0.00133452
-5.99399700,0.06602690,0.00160293,0.00000000,0.09846754,0.03077486,0.00000000,0.00160729
-5.98799400,0.05751217,0.00191787,0.00000000,0.08319084,0.02628678,0.00000000,0.00192228
-5.98199100,0.05064936,0.00227822,0.00000000,0.07035155,0.02256329,0.00000000,0.00228280
-5.97598799,0.04530954,0.00268686,0.00000000,0.05972774,0.01953835,0.00000000,0.00269172
-5.96998499,0.04136143,0.00314604,0.00000000,0.05109667,0.01714535,0.00000000,0.00315130
-5.96398199,0.03867414,0.00365724,0.00000000,0.04424008,0.01531864,0.00000000,0.00366301
-5.95797899,0.03711904,0.00422099,0.00000000,0.03894815,0.01399467,0.00000000,0.00422737
-5.95197599,0.03657101,0.00483666,0.00000000,0.03502234,0.01311271,0.00000000,0.00484375
-5.94597299,0.03690901,0.00550233,0.00000000,0.03227708,0.01261533,0.00000000,0.00551022
-5.93996998,0.03801623,0.00621466,0.00000000,0.03054061,0.01244860,0.00000000,0.00622345
-5.93396698,0.03977986,0.00696882,0.00000000,0.02965511,0.01256203,0.00000000,0.00697858
-5.92796398,0.04209067,0.00775838,0.00000000,0.02947627,0.01290847,0.00000000,0.00776919
-5.92196098,0.04484260,0.00857537,0.00000000,0.02987256,0.01344384,0.00000000,0.00858729
-5.91595798,0.04793234,0.00941035,0.00000000,0.03072421,0.01412691,0.00000000,0.00942342
-5.90995498,0.05125907,0.01025249,0.00000000,0.03192222,0.01491902,0.00000000,0.01026676
-5.90395198,0.05472451,0.01108980,0.00000000,0.03336739,0.01578392,0.00000000,0.01110531
-5.89794897,0.05823314,0.01190939,0.00000000,0.03496946,0.01668761,0.00000000,0.01192618
-5.89194597,0.06169278,0.01269777,0.00000000,0.03664647,0.01759831,0.00000001,0.01271589
-5.88594297,0.06501543,0.01344122,0.00000000,0.03832429,0.01848651,0.00000001,0.01346073
-5.87993997,0.06811831,0.01412615,0.00000000,0.03993637,0.01932512,0.00000001,0.01414716
-5.87393697,0.07092515,0.01473959,0.00000000,0.04142371,0.02008963,0.00000002,0.01476224
-5.86793397,0.07336753,0.01526953,0.00000000,0.04273491,0.02075838,0.00000003,0.01529407
-5.86193097,0.07538630,0.01570537,0.00000000,0.04382639,0.02131280,0.00000004,0.01573217
-5.85592796,0.07693286,0.01603831,0.00000000,0.04466259,0.02173775,0.00000005,0.01606791
-5.84992496,0.07797044,0.01626163,0.00000000,0.04521623,0.02202166,0.00000007,0.01629483
-5.84392196,0.07847498,0.01637101,0.00000000,0.04546844,0.02215684,0.00000011,0.01640894
-5.83791896,0.07843592,0.01636470,0.00000000,0.04540883,0.02213955,0.00000015,0.01640895
-5.83191596,0.07785655,0.01624363,0.00000000,0.04503541,0.02197005,0.00000021,0.01629638
-5.82591296,0.07675406,0.01601149,0.00000000,0.04435430,0.02165260,0.00000029,0.01607571
-5.81990995,0.07515933,0.01567463,0.00000000,0.04337933,0.02119535,0.00000039,0.01575429
-5.81390695,0.07311627,0.01524200,0.00000000,0.04213144,0.02061011,0.00000054,0.01534237
-5.80790395,0.07068107,0.01472494,0.00000000,0.04063791,0.01991208,0.00000073,0.01485290
