energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,2.41903225,0.95768108,0.00000000,0.01540116,0.08480895,1.30881247,0.88612308,0.01515112,1.16626644
-5.99399700,2.39398968,0.95090464,0.00000000,0.01488183,0.08386336,1.26842079,0.88034587,0.01557965,1.15402776
-5.98799400,2.36338851,0.94017482,0.00000000,0.01430022,0.08347746,1.22866047,0.87328621,0.01598893,1.13764565
-5.98199100,2.32728658,0.92554546,0.00000000,0.01366544,0.08362618,1.18951870,0.86488094,0.01637192,1.11721848
-5.97598799,2.28587480,0.90716099,0.00000000,0.01298716,0.08428375,1.15104589,0.85510027,0.01672167,1.09292394
-5.96998499,2.23947640,0.88525326,0.00000000,0.01227536,0.08542513,1.11336301,0.84395043,0.01703140,1.06501520
-5.96398199,2.18854104,0.86013501,0.00000000,0.01154015,0.08702711,1.07666464,0.83147477,0.01729463,1.03381443
-5.95797899,2.13363435,0.83219036,0.00000000,0.01079151,0.08906925,1.04121749,0.81775354,0.01750532,0.99970413
-5.95197599,2.07542348,0.80186286,0.00000000,0.01003915,0.09153447,1.00735508,0.80290229,0.01765804,0.96311668
-5.94597299,2.01465958,0.76964167,0.00000000,0.00929228,0.09440941,0.97546860,0.78706922,0.01774813,0.92452256
-5.93996998,1.95215781,0.73604649,0.00000000,0.00855952,0.09768446,0.94599486,0.77043154,0.01777186,0.88441786
-5.93396698,1.88877605,0.70161200,0.00000000,0.00784873,0.10135352,0.91940171,0.75319101,0.01772661,0.84331158
-5.92796398,1.82539296,0.66687240,0.00000000,0.00716695,0.10541353,0.89617175,0.73556912,0.01761102,0.80171311
-5.92196098,1.76288630,0.63234675,0.00000000,0.00652030,0.10986377,0.87678491,0.71780170,0.01742506,0.76012052
-5.91595798,1.70211205,0.59852564,0.00000000,0.00591399,0.11470488,0.86170052,0.70013352,0.01717015,0.71900981
-5.90995498,1.64388506,0.56585964,0.00000000,0.00535224,0.11993780,0.85133961,0.68281278,0.01684916,0.67882554
-5.90395198,1.58896149,0.53474987,0.00000000,0.00483834,0.12556259,0.84606777,0.66608573,0.01646635,0.63997295
-5.89794897,1.53802358,0.50554084,0.00000000,0.00437464,0.13157706,0.84617923,0.65019150,0.01602736,0.60281169
-5.89194597,1.49166671,0.47851574,0.00000000,0.00396261,0.13797553,0.85188258,0.63535726,0.01553897,0.56765125
-5.88594297,1.45038914,0.45389409,0.00000000,0.00360288,0.14474743,0.86328835,0.62179379,0.01500901,0.53474794
-5.87993997,1.41458429,0.43183159,0.00000000,0.00329531,0.15187616,0.88039902,0.60969157,0.01444604,0.50430339
-5.87393697,1.38453578,0.41242200,0.00000000,0.00303906,0.15933792,0.90310166,0.59921739,0.01385917,0.47646453
-5.86793397,1.36041501,0.39570076,0.00000000,0.00283264,0.16710083,0.93116342,0.59051174,0.01325768,0.45132470
-5.86193097,1.34228148,0.38165001,0.00000000,0.00267399,0.17512428,0.96423020,0.58368681,0.01265080,0.42892599
-5.85592796,1.33008562,0.37020467,0.00000000,0.00256055,0.18335852,1.00182864,0.57882539,0.01204741,0.40926237
-5.84992496,1.32367412,0.36125935,0.00000000,0.00248933,0.19174465,1.04337153,0.57598058,0.01145572,0.39228379
-5.84392196,1.32279771,0.35467562,0.00000000,0.00245699,0.20021496,1.08816681,0.57517642,0.01088312,0.37790074
-5.83791896,1.32712121,0.35028946,0.00000000,0.00245988,0.20869364,1.13542992,0.57640936,0.01033591,0.36598946
-5.83191596,1.33623556,0.34791863,0.00000000,0.00249410,0.21709790,1.18429958,0.57965059,0.00981920,0.35639750
-5.82591296,1.34967176,0.34736976,0.00000000,0.00255561,0.22533951,1.23385652,0.58484913,0.00933684,0.34894952
-5.81990995,1.36691610,0.34844492,0.00000000,0.00264025,0.23332658,1.28314495,0.59193552,0.00889132,0.34345327
-5.81390695,1.38742652,0.35094763,0.00000000,0.00274381,0.24096579,1.33119601,0.60082595,0.00848388,0.33970560
-5.80790395,1.41064938,0.35468814,0.00000000,0.00286212,0.24816467,1.37705277,0.61142665,0.00811455,0.33749839
-5.80190095,1.43603617,0.35948791,0.00000000,0.00299110,0.25483419,1.41979579,0.62363825,0.00778226,0.33662420
-5.79589795,1.46305949,0.36518329,0.00000000,0.00312684,0.26089126,1.45856849,0.63735992,0.00748503,0.33688163
