energy_ev,total_up,Nb_p_up,Nb_d_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up
-6.00000000,0.33084281,0.12678032,0.14995619,0.12792598,0.00000000,0.07553420,0.00000000
-5.99399700,0.32953111,0.12608770,0.14957444,0.12991210,0.00000000,0.07596816,0.00000000
-5.98799400,0.33400123,0.12751562,0.15189786,0.13419793,0.00000000,0.07771156,0.00000000
-5.98199100,0.34454506,0.13124978,0.15703014,0.14088203,0.00000000,0.08086168,0.00000000
-5.97598799,0.36140934,0.13746672,0.16504915,0.15003726,0.00000000,0.08551305,0.00000000
-5.96998499,0.38479252,0.14633249,0.17600657,0.16170986,0.00000000,0.09175531,0.00000000
-5.96398199,0.41484144,0.15800113,0.18992734,0.17591857,0.00000000,0.09967106,0.00000000
-5.95797899,0.45164784,0.17261279,0.20680897,0.19265377,0.00000000,0.10933365,0.00000000
-5.95197599,0.49524464,0.19029139,0.22662077,0.21187663,0.00000000,0.12080494,0.00000000
-5.94597299,0.54560205,0.21114185,0.24930293,0.23351843,0.00000000,0.13413297,0.00000000
-5.93996998,0.60262364,0.23524672,0.27476555,0.25748003,0.00000000,0.14934969,0.00000000
-5.93396698,0.66614255,0.26266240,0.30288785,0.28363167,0.00000000,0.16646857,0.00000000
-5.92796398,0.73591800,0.29341485,0.33351742,0.31181314,0.00000000,0.18548227,0.00000000
-5.92196098,0.81163237,0.32749498,0.36646995,0.34183449,0.00000000,0.20636041,0.00000000
-5.91595798,0.89288907,0.36485389,0.40152928,0.37347724,0.00000000,0.22904745,0.00000000
-5.90995498,0.97921159,0.40539814,0.43844813,0.40649634,0.00000000,0.25346079,0.00000000
-5.90395198,1.07004386,0.44898528,0.47694948,0.44062277,0.00000000,0.27948918,0.00000000
-5.89794897,1.16475221,0.49542000,0.51672877,0.47556686,0.00000000,0.30699159,0.00000000
-5.89194597,1.26262923,0.54445117,0.55745700,0.51102239,0.00000000,0.33579655,0.00000000
-5.88594297,1.36289964,0.59577009,0.59878469,0.54667130,0.00000000,0.36570212,0.00000000
-5.87993997,1.46472832,0.64901030,0.64034688,0.58218908,0.00000000,0.39647664,0.00000000
-5.87393697,1.56723055,0.70374921,0.68176887,0.61725065,0.00000000,0.42786026,0.00000000
-5.86793397,1.66948450,0.75951177,0.72267298,0.65153666,0.00000000,0.45956740,0.00000000
-5.86193097,1.77054582,0.81577646,0.76268583,0.68473998,0.00000000,0.49129012,0.00000000
-5.85592796,1.86946416,0.87198348,0.80144630,0.71657232,0.00000000,0.52270245,0.00000000
-5.84992496,1.96530120,0.92754524,0.83861370,0.74677071,0.00000000,0.55346572,0.00000000
-5.84392196,2.05715002,0.98185894,0.87387610,0.77510358,0.00000000,0.58323467,0.00000000
-5.83791896,2.14415498,1.03432091,0.90695837,0.80137631,0.00000000,0.61166439,0.00000000
-5.83191596,2.22553174,1.08434229,0.93762971,0.82543604,0.00000000,0.63841781,0.00000000
-5.82591296,2.30058660,1.13136552,0.96571028,0.84717537,0.00000000,0.66317361,0.00000000
-5.81990995,2.36873439,1.17488093,0.99107664,0.86653490,0.00000000,0.68563435,0.00000000
-5.81390695,2.42951428,1.21444279,1.01366570,0.88350440,0.00000000,0.70553437,0.00000000
-5.80790395,2.48260255,1.24968396,1.03347676,0.89812244,0.00000000,0.72264742,0.00000000
-5.80190095,2.52782188,1.28032852,1.05057167,0.91047436,0.00000000,0.73679349,0.00000000
-5.79589795,2.56514632,1.30620160,1.06507277,0.92068867,0.00000000,0.74784478,0.00000000
