energy_ev,total_up,Cr_p_up,Cr_d_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,3.35402509,0.67724873,0.37269551,0.83395856,1.28671290,0.00456700,0.58515664,0.02069390,1.15697777
-5.99399700,3.34036302,0.67291897,0.37268633,0.81130384,1.28762471,0.00440976,0.57913306,0.02105970,1.15553998
-5.98799400,3.32560537,0.67017576,0.37245401,0.79005532,1.28740632,0.00426351,0.57259516,0.02129841,1.15452576
-5.98199100,3.31039569,0.66920002,0.37202864,0.77060843,1.28625214,0.00412672,0.56586547,0.02140540,1.15394637
-5.97598799,3.29539253,0.67014845,0.37144503,0.75332258,1.28437487,0.00399823,0.55927533,0.02137885,1.15380063
-5.96998499,3.28125316,0.67315092,0.37074245,0.73851448,1.28199865,0.00387732,0.55315299,0.02121982,1.15407941
-5.96398199,3.26861611,0.67830823,0.36996424,0.72645218,1.27935171,0.00376381,0.54781147,0.02093222,1.15477037
-5.95797899,3.25808337,0.68569030,0.36915715,0.71735002,1.27665869,0.00365805,0.54353666,0.02052268,1.15586246
-5.95197599,3.25020278,0.69533488,0.36837051,0.71136467,1.27413296,0.00356094,0.54057618,0.02000031,1.15735010
-5.94597299,3.24545132,0.70724657,0.36765528,0.70859227,1.27196936,0.00347389,0.53912937,0.01937635,1.15923663
-5.93996998,3.24421977,0.72139639,0.36706288,0.70906676,1.27033737,0.00339878,0.53933902,0.01866380,1.16153691
-5.93396698,3.24679958,0.73772172,0.36664402,0.71275954,1.26937527,0.00333789,0.54128506,0.01787701,1.16427885
-5.92796398,3.25337206,0.75612680,0.36644738,0.71958030,1.26918519,0.00329376,0.54498058,0.01703113,1.16750367
-5.92196098,3.26400069,0.77648352,0.36651827,0.72937925,1.26982944,0.00326916,0.55037036,0.01614173,1.17126484
-5.91595798,3.27862659,0.79863277,0.36689733,0.74195055,1.27132813,0.00326688,0.55733197,0.01522424,1.17562574
-5.90995498,3.29706738,0.82238619,0.36761920,0.75703688,1.27365811,0.00328970,0.56567941,0.01429363,1.18065604
-5.90395198,3.31901962,0.84752829,0.36871139,0.77433518,1.27675334,0.00334016,0.57516929,0.01336391,1.18642697
-5.89794897,3.34406462,0.87381914,0.37019314,0.79350316,1.28050665,0.00342052,0.58550900,0.01244792,1.19300574
-5.89194597,3.37167760,0.90099731,0.37207455,0.81416676,1.28477271,0.00353260,0.59636691,0.01155704,1.20044928
-5.88594297,3.40123991,0.92878342,0.37435586,0.83592802,1.28937230,0.00367766,0.60738385,0.01070101,1.20879784
-5.87993997,3.43205388,0.95688395,0.37702697,0.85837348,1.29409756,0.00385631,0.61818566,0.00988787,1.21806864
-5.87393697,3.46336017,0.98499564,0.38006729,0.88108270,1.29871818,0.00406841,0.62839605,0.00912397,1.22825015
-5.86793397,3.49435682,1.01281015,0.38344584,0.90363681,1.30298826,0.00431303,0.63764950,0.00841398,1.23929724
-5.86193097,3.52421985,1.04001924,0.38712178,0.92562693,1.30665375,0.00458837,0.64560352,0.00776102,1.25112769
-5.85592796,3.55212473,1.06632031,0.39104519,0.94666226,1.30946011,0.00489177,0.65194985,0.00716684,1.26362042
-5.84992496,3.57726820,1.09142219,0.39515835,0.96637773,1.31116014,0.00521967,0.65642428,0.00663201,1.27661550
-5.84392196,3.59889011,1.11505137,0.39939729,0.98444112,1.31152164,0.00556769,0.65881462,0.00615612,1.28991633
-5.83791896,3.61629451,1.13695822,0.40369375,1.00055959,1.31033477,0.00593067,0.65896674,0.00573803,1.30329384
-5.83191596,3.62886969,1.15692343,0.40797746,1.01448535,1.30741886,0.00630274,0.65678838,0.00537606,1.31649283
-5.82591296,3.63610660,1.17476426,0.41217863,1.02602073,1.30262849,0.00667748,0.65225085,0.00506825,1.32923996
-5.81990995,3.63761503,1.19034043,0.41623063,1.03502223,1.29585871,0.00704804,0.64538855,0.00481247,1.34125339
-5.81390695,3.63313724,1.20355953,0.42007278,1.04140368,1.28704915,0.00740730,0.63629645,0.00460665,1.35225334
-5.80790395,3.62255841,1.21438157,0.42365302,1.04513830,1.27618699,0.00774810,0.62512578,0.00444885,1.36197332
-5.80190095,3.60591347,1.22282232,0.42693048,1.04625966,1.26330855,0.00806337,0.61207817,0.00433736,1.37017114
-5.79589795,3.58338998,1.22895533,0.42987766,1.04486124,1.24849959,0.00834640,0.59739845,0.00427078,1.37663942
-5.78989495,3.55532661,1.23291213,0.43248221,1.04109470,1.23189406,0.00859099,0.58136653,0.00424800,1.38121476
-5.78389195,3.52220700,1.23488054,0.43474811,1.03516656,1.21367150,0.00879169,0.56428856,0.00426821,1.38378509
-5.77788894,3.48464894,1.23510079,0.43669617,1.02733333,1.19405298,0.00894390,0.54648778,0.00433085,1.38429485
-5.77188594,3.44338890,1.23385940,0.43836375,1.01789497,1.17329572,0.00904410,0.52829518,0.00443558,1.38274745
-5.76588294,3.39926202,1.23148086,0.43980370,1.00718689,1.15168649,0.00908989,0.51004047,0.00458215,1.37920507
-5.75987994,3.35317817,1.22831722,0.44108243,0.99557029,1.12953405,0.00908008,0.49204333,0.00477034,1.37378550
-5.75387694,3.30609459,1.22473586,0.44227726,0.98342142,1.10716072,0.00901476,0.47460535,0.00499985,1.36665634
-5.74787394,3.25898598,1.22110582,0.44347311,0.97111971,1.08489344,0.00889521,0.45800265,0.00527024,1.35802682
-5.74187094,3.21281303,1.21778331,0.44475849,0.95903533,1.06305457,0.00872390,0.44247949,0.00558075,1.34813756
-5.73586793,3.16849062,1.21509686,0.44622127,0.94751665,1.04195277,0.00850439,0.42824292,0.00593028,1.33724897
-5.72986493,3.12685685,1.21333304,0.44794414,0.93687788,1.02187424,0.00824115,0.41545846,0.00631727,1.32562888
-5.72386193,3.08864420,1.21272317,0.45000015,0.92738777,1.00307467,0.00793943,0.40424715,0.00673963,1.31353998
-5.71785893,3.05445411,1.21343204,0.45244840,0.91925963,0.98577214,0.00760507,0.39468371,0.00719469,1.30122788
-5.71185593,3.02473612,1.21554907,0.45533032,0.91264326,0.97014134,0.00724429,0.38679609,0.00767915,1.28891042
-5.70585293,2.99977249,1.21908258,0.45866653,0.90761930,0.95630920,0.00686351,0.38056628,0.00818909,1.27676866
-5.69984992,2.97966909,1.22395754,0.46245452,0.90419621,0.94435213,0.00646911,0.37593237,0.00871991,1.26494016
-5.69384692,2.96435309,1.23001704,0.46666736,0.90231023,0.93429506,0.00606727,0.37279187,0.00926640,1.25351470
-5.68784392,2.95357752,1.23702755,0.47125348,0.90182825,0.92611213,0.00566383,0.37100608,0.00982273,1.24253275
-5.68184092,2.94693268,1.24468772,0.47613745,0.90255362,0.91972919,0.00526410,0.37040550,0.01038257,1.23198661
-5.67583792,2.94386382,1.25264051,0.48122197,0.90423459,0.91502789,0.00487280,0.37079601,0.01093911,1.22182398
-5.66983492,2.94369447,1.26048796,0.48639080,0.90657504,0.91185123,0.00449395,0.37196568,0.01148521,1.21195396
-5.66383192,2.94565431,1.26780799,0.49151261,0.90924700,0.91001036,0.00413085,0.37369200,0.01201348,1.20225468
-5.65782891,2.94891043,1.27417241,0.49644560,0.91190434,0.90929239,0.00378606,0.37574916,0.01251642,1.19258253
-5.65182591,2.95260067,1.27916526,0.50104255,0.91419699,0.90946892,0.00346142,0.37791535,0.01298659,1.18278202
-5.64582291,2.95586747,1.28240062,0.50515635,0.91578507,0.91030489,0.00315812,0.37997955,0.01341674,1.17269606
-5.63981991,2.95789100,1.28353896,0.50864542,0.91635215,0.91156753,0.00287671,0.38174778,0.01379997,1.16217594
-5.63381691,2.95791996,1.28230141,0.51137912,0.91561725,0.91303499,0.00261722,0.38304857,0.01412991,1.15109046
-5.62781391,2.95529891,1.27848117,0.51324264,0.91334479,0.91450437,0.00237923,0.38373729,0.01440084,1.13933391
-5.62181091,2.94949098,1.27195155,0.51414131,0.90935238,0.91579868,0.00216199,0.38369942,0.01460789,1.12683241
-5.61580790,2.94009507,1.26267049,0.51400406,0.90351594,0.91677272,0.00196447,0.38285255,0.01474712,1.11354831
-5.60980490,2.92685676,1.25068124,0.51278596,0.89577216,0.91731724,0.00178545,0.38114711,0.01481565,1.09948261
-5.60380190,2.90967276,1.23610926,0.51046959,0.88611824,0.91736156,0.00162364,0.37856578,0.01481173,1.08467512
-5.59779890,2.88858853,1.21915578,0.50706530,0.87460905,0.91687415,0.00147770,0.37512180,0.01473485,1.06920253
-5.59179590,2.86378940,1.20008810,0.50261032,0.86135201,0.91586136,0.00134631,0.37085611,0.01458567,1.05317449
-5.58579290,2.83558562,1.17922735,0.49716675,0.84649996,0.91436415,0.00122821,0.36583361,0.01436609,1.03672784
-5.57978989,2.80439194,1.15693429,0.49081845,0.83024255,0.91245297,0.00112223,0.36013875,0.01407920,1.02001933
-5.57378689,2.77070281,1.13359383,0.48366712,0.81279655,0.91022097,0.00102731,0.35387056,0.01372913,1.00321726
-5.56778389,2.73506424,1.10959892,0.47582765,0.79439560,0.90777580,0.00094250,0.34713743,0.01332104,0.98649229
-5.56178089,2.69804370,1.08533471,0.46742299,0.77527994,0.90523044,0.00086696,0.34005187,0.01286090,0.97000803
-5.55577789,2.66019941,1.06116353,0.45857873,0.75568655,0.90269335,0.00079994,0.33272546,0.01235541,0.95391181
-5.54977489,2.62205057,1.03741140,0.44941776,0.73584015,0.90025865,0.00074079,0.32526425,0.01181174,0.93832605
-5.54377189,2.58404988,1.01435663,0.44005513,0.71594546,0.89799666,0.00068892,0.31776468,0.01123744,0.92334085
-5.53776888,2.54655978,0.99222092,0.43059348,0.69618090,0.89594550,0.00064381,0.31031029,0.01064017,0.90900794
-5.53176588,2.50983360,0.97116338,0.42111910,0.67669410,0.89410417,0.00060493,0.30296933,0.01002759,0.89533667
-5.52576288,2.47400257,0.95127758,0.41169905,0.65759923,0.89242765,0.00057182,0.29579317,0.00940713,0.88229191
-5.51975988,2.43906944,0.93259169,0.40237919,0.63897608,0.89082427,0.00054399,0.28881581,0.00878590,0.86979440
-5.51375688,2.40490904,0.91507173,0.39318340,0.62087107,0.88915581,0.00052094,0.28205415,0.00817052,0.85772333
-5.50775388,2.37127587,0.89862758,0.38411399,0.60329981,0.88724026,0.00050219,0.27550925,0.00756702,0.84592120
-5.50175088,2.33781833,0.88312143,0.37515315,0.58625100,0.88485728,0.00048720,0.26916828,0.00698079,0.83420072
-5.49574787,2.30409886,0.86837832,0.36626555,0.56969156,0.88175623,0.00047545,0.26300703,0.00641651,0.82235348
-5.48974487,2.26961906,0.85419805,0.35740169,0.55357247,0.87766633,0.00046639,0.25699297,0.00587816,0.81015994
