energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,2.69345908,0.66486747,1.80475791,0.00428391,0.02799737,0.34443306,0.14824428,0.58730390,0.00000000
-5.99399700,2.67340070,0.66605343,1.76328327,0.00439011,0.02861743,0.35544661,0.14937581,0.60377265,0.00000000
-5.98799400,2.65348237,0.66808179,1.72145440,0.00457633,0.02921161,0.36695096,0.15059757,0.62071973,0.00000000
-5.98199100,2.63379426,0.67083764,1.67972077,0.00484419,0.02977078,0.37879036,0.15187112,0.63788671,0.00000000
-5.97598799,2.61440680,0.67420412,1.63850523,0.00519440,0.03028721,0.39080665,0.15316241,0.65501690,0.00000000
-5.96998499,2.59537340,0.67806629,1.59819821,0.00562677,0.03075479,0.40284177,0.15444217,0.67186119,0.00000000
-5.96398199,2.57673249,0.68231406,1.55915241,0.00614003,0.03116931,0.41474003,0.15568590,0.68818324,0.00000000
-5.95797899,2.55850864,0.68684415,1.52167802,0.00673179,0.03152854,0.42634998,0.15687355,0.70376380,0.00000000
-5.95197599,2.54071274,0.69156095,1.48603848,0.00739841,0.03183232,0.43752603,0.15798904,0.71840399,0.00000000
-5.94597299,2.52334110,0.69637649,1.45244696,0.00813497,0.03208249,0.44812978,0.15901947,0.73192772,0.00000000
-5.93996998,2.50637381,0.70120948,1.42106357,0.00893514,0.03228277,0.45803104,0.15995427,0.74418296,0.00000000
-5.93396698,2.48977242,0.70598369,1.39199347,0.00979118,0.03243847,0.46710879,0.16078420,0.75504225,0.00000000
-5.92796398,2.47347736,0.71062585,1.36528589,0.01069394,0.03255622,0.47525188,0.16150048,0.76440228,0.00000000
-5.92196098,2.45740543,0.71506339,1.34093421,0.01163287,0.03264360,0.48235986,0.16209388,0.77218300,0.00000000
-5.91595798,2.44144773,0.71922214,1.31887722,0.01259612,0.03270864,0.48834370,0.16255403,0.77832616,0.00000000
-5.90995498,2.42546843,0.72302446,1.29900144,0.01357071,0.03275946,0.49312669,0.16286895,0.78279368,0.00000000
-5.90395198,2.40930467,0.72638776,1.28114471,0.01454269,0.03280374,0.49664537,0.16302471,0.78556593,0.00000000
-5.89794897,2.39276794,0.72922387,1.26510090,0.01549741,0.03284833,0.49885063,0.16300549,0.78664011,0.00000000
-5.89194597,2.37564708,0.73143920,1.25062581,0.01641981,0.03289882,0.49970882,0.16279380,0.78602887,0.00000000
-5.88594297,2.35771315,0.73293579,1.23744408,0.01729476,0.03295929,0.49920298,0.16237100,0.78375924,0.00000000
-5.87993997,2.33872595,0.73361338,1.22525713,0.01810749,0.03303196,0.49733396,0.16171803,0.77987201,0.00000000
-5.87393697,2.31844237,0.73337231,1.21375193,0.01884392,0.03311713,0.49412151,0.16081638,0.77442147,0.00000000
-5.86793397,2.29662622,0.73211723,1.20261038,0.01949111,0.03321312,0.48960515,0.15964910,0.76747553,0.00000000
-5.86193097,2.27305922,0.72976135,1.19151927,0.02003763,0.03331630,0.48384476,0.15820202,0.75911621,0.00000000
-5.85592796,2.24755293,0.72623114,1.18018039,0.02047397,0.03342129,0.47692086,0.15646488,0.74944033,0.00000000
-5.84992496,2.21996090,0.72147119,1.16832056,0.02079280,0.03352123,0.46893448,0.15443253,0.73856027,0.00000000
