energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,2.39037489,0.00549230,0.22288640,0.72181331,0.36661498,1.01316074,0.58220269,0.00646952,1.08920975
-5.99399700,2.45775309,0.00570305,0.23198885,0.74275459,0.37930184,1.03400772,0.60320436,0.00673258,1.11615366
-5.98799400,2.52147564,0.00590577,0.24118935,0.76239972,0.39201505,1.05233389,0.62380969,0.00699369,1.14080365
-5.98199100,2.58174863,0.00609806,0.25054962,0.78085228,0.40472653,1.06840186,0.64400830,0.00725301,1.16327424
-5.97598799,2.63892054,0.00627785,0.26013656,0.79825728,0.41742343,1.08254322,0.66381745,0.00751160,1.18375177
-5.96998499,2.69345310,0.00644352,0.27001754,0.81478978,0.43010617,1.09513941,0.68327679,0.00777133,1.20248039
-5.96398199,2.74588573,0.00659383,0.28025512,0.83064178,0.44278555,1.10659998,0.70244173,0.00803492,1.21974524
-5.95797899,2.79679521,0.00672805,0.29090161,0.84600799,0.45547893,1.11733923,0.72137549,0.00830582,1.23585351
-5.95197599,2.84675253,0.00684589,0.30199367,0.86107107,0.46820583,1.12775239,0.74014044,0.00858807,1.25111443
-5.94597299,2.89627911,0.00694754,0.31354728,0.87598729,0.48098304,1.13819245,0.75878908,0.00888616,1.26581891
-5.93996998,2.94580459,0.00703365,0.32555336,0.89087318,0.49381954,1.14894891,0.77735525,0.00920480,1.28022014
-5.93396698,2.99562848,0.00710524,0.33797432,0.90579413,0.50671143,1.16022946,0.79584602,0.00954872,1.29451589
-5.92796398,3.04588791,0.00716374,0.35074176,0.92075541,0.51963727,1.17214563,0.81423490,0.00992239,1.30883354
-5.92196098,3.09653335,0.00721083,0.36375568,0.93569640,0.53255404,1.18470324,0.83245670,0.01032978,1.32321872
-5.91595798,3.14731374,0.00724841,0.37688504,0.95048825,0.54539401,1.19779817,0.85040468,0.01077404,1.33762806
-5.90995498,3.19777239,0.00727848,0.38997006,0.96493537,0.55806270,1.21121773,0.86792998,0.01125735,1.35192658
-5.90395198,3.24725390,0.00730307,0.40282608,0.97878067,0.57043826,1.22464770,0.88484384,0.01178058,1.36588991
-5.89794897,3.29492242,0.00732410,0.41524882,0.99171444,0.58237219,1.23768473,0.90092241,0.01234319,1.37921127
-5.89194597,3.33979030,0.00734329,0.42702108,1.00338658,0.59369169,1.24985359,0.91591412,0.01294305,1.39151306
-5.88594297,3.38075628,0.00736209,0.43792036,1.01342141,0.60420338,1.26062831,0.92954933,0.01357636,1.40236228
-5.87993997,3.41665128,0.00738154,0.44772727,1.02143462,0.61369849,1.26945643,0.94155192,0.01423763,1.41128936
-5.87393697,3.44628966,0.00740228,0.45623424,1.02705126,0.62195922,1.27578485,0.95165206,0.01491975,1.41780932
-5.86793397,3.46852367,0.00742446,0.46325414,1.02992408,0.62876611,1.27908631,0.95959979,0.01561410,1.42144421
-5.86193097,3.48229809,0.00744771,0.46862839,1.02975110,0.63390596,1.27888501,0.96517849,0.01631076,1.42174591
-5.85592796,3.48670256,0.00747122,0.47223418,1.02629164,0.63718016,1.27478007,0.96821759,0.01699874,1.41831804
-5.84992496,3.48101886,0.00749370,0.47399032,1.01937987,0.63841287,1.26646581,0.96860382,0.01766637,1.41083594
-5.84392196,3.46476075,0.00751350,0.47386155,1.00893524,0.63745880,1.25374781,0.96629029,0.01830158,1.39906389
-5.83791896,3.43770437,0.00752867,0.47186092,0.99496924,0.63421007,1.23655387,0.96130289,0.01889234,1.38286862
-5.83191596,3.39990764,0.00753709,0.46805022,0.97758820,0.62860195,1.21493963,0.95374357,0.01942710,1.36222864
-5.82591296,3.35171776,0.00753659,0.46253830,0.95699191,0.62061723,1.18908838,0.94379031,0.01989514,1.33723897
-5.81990995,3.29376653,0.00752505,0.45547746,0.93346828,0.61028875,1.15930535,0.93169355,0.02028703,1.30811111
-5.81390695,3.22695366,0.00750059,0.44705796,0.90738430,0.59770037,1.12600673,0.91776945,0.02059491,1.27516851
-5.80790395,3.15241925,0.00746167,0.43750104,0.87917381,0.58298592,1.08970414,0.90239007,0.02081288,1.23883767
-5.80190095,3.07150672,0.00740719,0.42705064,0.84932273,0.56632651,1.05098536,0.88597101,0.02093714,1.19963560
-5.79589795,2.98571828,0.00733660,0.41596435,0.81835266,0.54794615,1.01049229,0.86895717,0.02096625,1.15815427
-5.78989495,2.89666523,0.00725002,0.40450404,0.78680342,0.52810591,0.96889741,0.85180729,0.02090113,1.11504289
-5.78389195,2.80601543,0.00714820,0.39292649,0.75521577,0.50709694,0.92687969,0.83497799,0.02074510,1.07098891
-5.77788894,2.71544073,0.00703263,0.38147463,0.72411473,0.48523270,0.88510130,0.81890824,0.02050376,1.02669869
-5.77188594,2.62656652,0.00690546,0.37036966,0.69399460,0.46284058,0.84418602,0.80400485,0.02018486,0.98287855
-5.76588294,2.54092581,0.00676953,0.35980451,0.66530603,0.44025342,0.80470035,0.79062978,0.01979801,0.94021721
-5.75987994,2.45991959,0.00662824,0.34993880,0.63844578,0.41780126,0.76713798,0.77908970,0.01935441,0.89937005
-5.75387694,2.38478479,0.00648553,0.34089554,0.61374935,0.39580346,0.73190825,0.76962839,0.01886654,0.86094568
-5.74787394,2.31657090,0.00634571,0.33275963,0.59148666,0.37456172,0.69932872,0.76242206,0.01834771,0.82549530
-5.74187094,2.25612543,0.00621341,0.32557808,0.57186061,0.35435389,0.66962212,0.75757768,0.01781173,0.79350474
