energy_ev,total_up,Au_p_up,Au_d_up,Sb_p_up,Sb_d_up,Te_p_up,Te_d_up
-6.00000000,0.95067932,0.22603818,0.65128109,0.09664996,0.00464420,0.07007943,0.00000000
-5.99399700,0.91747527,0.22972342,0.62138292,0.09857652,0.00444521,0.06693476,0.00000000
-5.98799400,0.89122158,0.23609069,0.59577761,0.10151209,0.00427022,0.06435795,0.00000000
-5.98199100,0.87210712,0.24508597,0.57462711,0.10544660,0.00412129,0.06235898,0.00000000
-5.97598799,0.86022051,0.25662637,0.55802750,0.11035837,0.00400000,0.06094095,0.00000000
-5.96998499,0.85553882,0.27059606,0.54600188,0.11621292,0.00390739,0.06009905,0.00000000
-5.96398199,0.85791892,0.28684309,0.53849513,0.12296211,0.00384387,0.05981971,0.00000000
-5.95797899,0.86709220,0.30517734,0.53537078,0.13054367,0.00380917,0.06008002,0.00000000
-5.95197599,0.88266315,0.32536990,0.53641031,0.13888125,0.00380233,0.06084741,0.00000000
-5.94597299,0.90411196,0.34715399,0.54131506,0.14788489,0.00382169,0.06207967,0.00000000
-5.93996998,0.93080147,0.37022758,0.54971083,0.15745206,0.00386490,0.06372535,0.00000000
-5.93396698,0.96198821,0.39425772,0.56115497,0.16746912,0.00392901,0.06572452,0.00000000
-5.92796398,0.99683736,0.41888647,0.57514601,0.17781320,0.00401049,0.06800993,0.00000000
-5.92196098,1.03444125,0.44373832,0.59113536,0.18835453,0.00410536,0.07050849,0.00000000
-5.91595798,1.07384072,0.46842895,0.60854076,0.19895897,0.00420930,0.07314305,0.00000000
-5.90995498,1.11404879,0.49257488,0.62676116,0.20949080,0.00431779,0.07583454,0.00000000
-5.90395198,1.15407566,0.51580391,0.64519232,0.21981555,0.00442620,0.07850415,0.00000000
-5.89794897,1.19295439,0.53776576,0.66324282,0.22980294,0.00452998,0.08107575,0.00000000
-5.89194597,1.22976620,0.55814278,0.68034972,0.23932964,0.00462480,0.08347831,0.00000000
-5.88594297,1.26366462,0.57666000,0.69599349,0.24828201,0.00470665,0.08564825,0.00000000
-5.87993997,1.29389772,0.59309459,0.70971160,0.25655843,0.00477200,0.08753161,0.00000000
-5.87393697,1.31982756,0.60728397,0.72111047,0.26407154,0.00481789,0.08908606,0.00000000
-5.86793397,1.34094630,0.61913257,0.72987514,0.27075002,0.00484202,0.09028258,0.00000000
-5.86193097,1.35688859,0.62861681,0.73577666,0.27654007,0.00484281,0.09110666,0.00000000
-5.85592796,1.36743963,0.63578823,0.73867676,0.28140647,0.00481947,0.09155922,0.00000000
-5.84992496,1.37253897,0.64077450,0.73852987,0.28533322,0.00477196,0.09165693,0.00000000
-5.84392196,1.37227984,0.64377837,0.73538234,0.28832385,0.00470104,0.09143212,0.00000000
-5.83791896,1.36690406,0.64507446,0.72936903,0.29040117,0.00460818,0.09093208,0.00000000
-5.83191596,1.35679295,0.64500386,0.72070747,0.29160670,0.00449554,0.09021800,0.00000000
-5.82591296,1.34245428,0.64396670,0.70968965,0.29199959,0.00436587,0.08936336,0.00000000
-5.81990995,1.32450596,0.64241284,0.69667196,0.29165515,0.00422241,0.08845190,0.00000000
-5.81390695,1.30365671,0.64083064,0.68206352,0.29066292,0.00406879,0.08757529,0.00000000
-5.80790395,1.28068451,0.63973425,0.66631318,0.28912435,0.00390892,0.08683040,0.00000000
-5.80190095,1.25641323,0.63964944,0.64989578,0.28715006,0.00374687,0.08631644,0.00000000
-5.79589795,1.23168825,0.64109841,0.63329791,0.28485677,0.00358670,0.08613186,0.00000000
-5.78989495,1.20735162,0.64458377,0.61700361,0.28236395,0.00343243,0.08637128,0.00000000
-5.78389195,1.18421745,0.65057221,0.60148046,0.27979024,0.00328784,0.08712233,0.00000000
-5.77788894,1.16304829,0.65947812,0.58716634,0.27724976,0.00315643,0.08846270,0.00000000
-5.77188594,1.14453311,0.67164775,0.57445730,0.27484843,0.00304129,0.09045729,0.00000000
-5.76588294,1.12926750,0.68734442,0.56369682,0.27268045,0.00294507,0.09315579,0.00000000
-5.75987994,1.11773679,0.70673528,0.55516679,0.27082502,0.00286986,0.09659042,0.00000000
-5.75387694,1.11030268,0.72988017,0.54908048,0.26934352,0.00281723,0.10077436,0.00000000
-5.74787394,1.10719373,0.75672325,0.54557765,0.26827727,0.00278810,0.10570051,0.00000000
-5.74187094,1.10850027,0.78708778,0.54472213,0.26764600,0.00278286,0.11134098,0.00000000
-5.73586793,1.11417391,0.82067461,0.54650174,0.26744707,0.00280125,0.11764713,0.00000000
-5.72986493,1.12403181,0.85706471,0.55083084,0.26765564,0.00284251,0.12455036,0.00000000
-5.72386193,1.13776561,0.89572584,0.55755519,0.26822575,0.00290531,0.13196352,0.00000000
-5.71785893,1.15495488,0.93602366,0.56645923,0.26909220,0.00298792,0.13978303,0.00000000
-5.71185593,1.17508451,0.97723691,0.57727527,0.27017347,0.00308819,0.14789161,0.00000000
-5.70585293,1.19756556,1.01857638,0.58969455,0.27137517,0.00320367,0.15616157,0.00000000
-5.69984992,1.22175865,1.05920731,0.60337945,0.27259425,0.00333172,0.16445855,0.00000000
-5.69384692,1.24699893,1.09827415,0.61797656,0.27372350,0.00346955,0.17264555,0.00000000
-5.68784392,1.27262163,1.13492708,0.63312992,0.27465636,0.00361437,0.18058714,0.00000000
-5.68184092,1.29798692,1.16834908,0.64849399,0.27529160,0.00376344,0.18815370,0.00000000
-5.67583792,1.32250303,1.19778247,0.66374551,0.27553782,0.00391417,0.19522538,0.00000000
-5.66983492,1.34564644,1.22255378,0.67859397,0.27531742,0.00406420,0.20169574,0.00000000
-5.66383192,1.36697826,1.24209579,0.69278998,0.27456997,0.00421145,0.20747485,0.00000000
-5.65782891,1.38615596,1.25596578,0.70613126,0.27325467,0.00435419,0.21249167,0.00000000
