energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,0.99370154,-0.99371115,0.02900327,-0.02900542,0.06809886,-0.06810042,0.19187517,-0.19186663,0.12553449,-0.12554473,0.27966620,-0.27966433,0.11673983,-0.11673975,0.01691726,-0.01691740,0.49050086,-0.49050113
-5.99399700,0.97290818,-0.97291789,0.02696062,-0.02696286,0.06652907,-0.06653045,0.19409352,-0.19408399,0.11961319,-0.11962337,0.27225497,-0.27225313,0.11539891,-0.11539915,0.01758432,-0.01758447,0.48095460,-0.48095506
-5.98799400,0.95449677,-0.95450603,0.02489635,-0.02489865,0.06501641,-0.06501755,0.19689637,-0.19688580,0.11372379,-0.11373379,0.26541850,-0.26541656,0.11462931,-0.11462977,0.01835134,-0.01835151,0.47271891,-0.47271933
-5.98199100,0.93925325,-0.93926156,0.02283832,-0.02284063,0.06361590,-0.06361678,0.20041614,-0.20040454,0.10799091,-0.10800064,0.25940125,-0.25939911,0.11450868,-0.11450925,0.01922670,-0.01922688,0.46617781,-0.46617797
-5.97598799,0.92790876,-0.92791567,0.02081273,-0.02081501,0.06237739,-0.06237796,0.20477235,-0.20475973,0.10253344,-0.10254280,0.25444250,-0.25444005,0.11510169,-0.11510230,0.02021660,-0.02021678,0.46169264,-0.46169235
-5.96998499,0.92111316,-0.92111831,0.01884349,-0.01884571,0.06134365,-0.06134390,0.21006567,-0.21005209,0.09746150,-0.09747043,0.25076899,-0.25076616,0.11645708,-0.11645763,0.02132441,-0.02132460,0.45958892,-0.45958800
-5.96398199,0.91941158,-0.91941469,0.01695177,-0.01695390,0.06054890,-0.06054882,0.21637286,-0.21635841,0.09287388,-0.09288231,0.24858794,-0.24858468,0.11860505,-0.11860548,0.02255018,-0.02255037,0.46014449,-0.46014281
-5.95797899,0.92322475,-0.92322562,0.01515568,-0.01515769,0.06001766,-0.06001725,0.22374254,-0.22372734,0.08885585,-0.08886375,0.24808074,-0.24807700,0.12155553,-0.12155576,0.02389008,-0.02389027,0.46357925,-0.46357671
-5.95197599,0.93283385,-0.93283239,0.01347007,-0.01347194,0.05976398,-0.05976326,0.23219209,-0.23217629,0.08547756,-0.08548491,0.24939732,-0.24939308,0.12529696,-0.12529695,0.02533617,-0.02533635,0.47004695,-0.47004349
-5.94597299,0.94837027,-0.94836646,0.01190646,-0.01190818,0.05979118,-0.05979017,0.24170578,-0.24168956,0.08279291,-0.08279970,0.25265149,-0.25264676,0.12979605,-0.12979576,0.02687620,-0.02687637,0.47962913,-0.47962472
-5.93996998,0.96981056,-0.96980448,0.01047317,-0.01047470,0.06009197,-0.06009070,0.25223415,-0.25221771,0.08083894,-0.08084519,0.25791730,-0.25791209,0.13499822,-0.13499761,0.02849367,-0.02849383,0.49233161,-0.49232627
-5.93396698,0.99697655,-0.99696835,0.00917540,-0.00917675,0.06064892,-0.06064743,0.26369463,-0.26367820,0.07963571,-0.07964145,0.26522635,-0.26522072,0.14082881,-0.14082787,0.03016802,-0.03016816,0.50808331,-0.50807708
-5.92796398,1.02954049,-1.02953039,0.00801558,-0.00801673,0.06143541,-0.06143377,0.27597343,-0.27595723,0.07918660,-0.07919186,0.27456630,-0.27456031,0.14719511,-0.14719383,0.03187505,-0.03187516,0.52673760,-0.52673053
-5.92196098,1.06703486,-1.06702310,0.00699360,-0.00699455,0.06241681,-0.06241506,0.28892844,-0.28891272,0.07947901,-0.07948384,0.28588035,-0.28587406,0.15398897,-0.15398734,0.03358748,-0.03358756,0.54807586,-0.54806805
-5.91595798,1.10886623,-1.10885311,0.00610724,-0.00610798,0.06355191,-0.06355011,0.30239319,-0.30237819,0.08048541,-0.08048987,0.29906777,-0.29906127,0.16108993,-0.16108795,0.03527572,-0.03527576,0.57181327,-0.57180482
-5.90995498,1.15433277,-1.15431860,0.00535246,-0.00535300,0.06479457,-0.06479278,0.31618151,-0.31616745,0.08216465,-0.08216879,0.31398547,-0.31397884,0.16836892,-0.16836659,0.03690871,-0.03690870,0.59760633,-0.59759736
-5.90395198,1.20264442,-1.20262951,0.00472382,-0.00472415,0.06609547,-0.06609375,0.33009280,-0.33007989,0.08446347,-0.08446736,0.33045051,-0.33044384,0.17569202,-0.17568935,0.03845489,-0.03845484,0.62506200,-0.62505262
-5.89794897,1.25294512,-1.25292977,0.00421478,-0.00421491,0.06740386,-0.06740226,0.34391764,-0.34390607,0.08731821,-0.08732190,0.34824343,-0.34823681,0.18292454,-0.18292154,0.03988324,-0.03988314,0.65374801,-0.65373832
-5.89194597,1.30433633,-1.30432082,0.00381805,-0.00381798,0.06866929,-0.06866786,0.35744356,-0.35743349,0.09065664,-0.09066019,0.36711253,-0.36710603,0.18993501,-0.18993167,0.04116430,-0.04116414,0.68320407,-0.68319419
-5.88594297,1.35590100,-1.35588558,0.00352580,-0.00352554,0.06984329,-0.06984207,0.37046075,-0.37045229,0.09439983,-0.09440331,0.38677881,-0.38677251,0.19659895,-0.19659528,0.04227115,-0.04227094,0.71295360,-0.71294362
