energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up
-6.00000000,15.69615731,3.00863611,10.79477023,0.02636513,0.93758356,1.19851607,0.64605213,0.10610222,1.94197256
-5.99399700,15.52972666,2.96967904,10.66164213,0.02619865,0.91400962,1.19691876,0.65139537,0.10532080,1.94237444
-5.98799400,15.33655588,2.93038827,10.50526852,0.02595398,0.89086123,1.19470479,0.65597324,0.10423567,1.94154421
-5.98199100,15.11873820,2.89125287,10.32745931,0.02563358,0.86830395,1.19179727,0.65979591,0.10286683,1.93942752
-5.97598799,14.87909789,2.85281007,10.13058930,0.02524156,0.84652492,1.18814894,0.66290013,0.10124166,1.93603470
-5.96998499,14.62110500,2.81563412,9.91752566,0.02478369,0.82572575,1.18374639,0.66534765,0.09939387,1.93144120
-5.96398199,14.34876588,2.78032199,9.69153821,0.02426730,0.80611452,1.17861223,0.66722261,0.09736224,1.92578483
-5.95797899,14.06649353,2.74747650,9.45619621,0.02370113,0.78789736,1.17280510,0.66862798,0.09518927,1.91926000
-5.95197599,13.77896337,2.71768749,9.21525552,0.02309523,0.77126992,1.16641772,0.66968121,0.09291967,1.91210935
-5.94597299,13.49096019,2.69151199,8.97254068,0.02246077,0.75640905,1.15957292,0.67050933,0.09059891,1.90461315
-5.93996998,13.20722263,2.66945433,8.73182660,0.02180977,0.74346510,1.15241813,0.67124372,0.08827171,1.89707708
-5.93396698,12.93229168,2.65194699,8.49672435,0.02115493,0.73255511,1.14511862,0.67201480,0.08598076,1.88981902
-5.92796398,12.67036899,2.63933332,8.27057557,0.02050938,0.72375713,1.13784987,0.67294678,0.08376552,1.88315542
-5.92196098,12.42519078,2.63185271,8.05635931,0.01988637,0.71710605,1.13078960,0.67415284,0.08166121,1.87738803
-5.91595798,12.19992192,2.62962911,7.85661459,0.01929909,0.71259083,1.12410985,0.67573077,0.07969804,1.87279159
-5.90995498,11.99707380,2.63266333,7.67338125,0.01876034,0.71015343,1.11796964,0.67775944,0.07790073,1.86960296
-5.90395198,11.81844870,2.64082950,7.50816058,0.01828235,0.70968931,1.11250848,0.68029605,0.07628812,1.86801230
-5.89794897,11.66511177,2.65387587,7.36189670,0.01787649,0.71104948,1.10784116,0.68337438,0.07487316,1.86815662
-5.89194597,11.53739093,2.67142987,7.23497827,0.01755311,0.71404393,1.10405396,0.68700413,0.07366296,1.87011587
-5.88594297,11.43490331,2.69300728,7.12725984,0.01732132,0.71844636,1.10120245,0.69117125,0.07265914,1.87391191
-5.87993997,11.35660642,2.71802501,7.03810081,0.01718881,0.72399975,1.09931088,0.69583940,0.07185819,1.87951007
-5.87393697,11.30087068,2.74581713,6.96641987,0.01716176,0.73042291,1.09837310,0.70095243,0.07125199,1.88682340
-5.86793397,11.26556979,2.77565331,6.91076194,0.01724468,0.73741732,1.09835487,0.70643775,0.07082843,1.89571923
-5.86193097,11.24818456,2.80675912,6.86937448,0.01744038,0.74467435,1.09919724,0.71221050,0.07057196,1.90602766
-5.85592796,11.24591566,2.83833741,6.84028986,0.01774993,0.75188248,1.10082088,0.71817843,0.07046425,1.91755166
-5.84992496,11.25580063,2.86958992,6.82141040,0.01817265,0.75873430,1.10313087,0.72424718,0.07048476,1.93007806
-5.84392196,11.27483058,2.89973852,6.81059277,0.01870615,0.76493318,1.10602173,0.73032578,0.07061128,1.94338913
-5.83791896,11.30006228,2.92804531,6.80572889,0.01934643,0.77019944,1.10938241,0.73633216,0.07082052,1.95727390
-5.83191596,11.32872175,2.95383098,6.80482039,0.02008797,0.77427588,1.11310090,0.74219843,0.07108852,1.97153892
-5.82591296,11.35829580,2.97649095,6.80604452,0.02092389,0.77693268,1.11706830,0.74787560,0.07139114,1.98601771
-5.81990995,11.38660885,2.99550876,6.80780938,0.02184610,0.77797148,1.12118221,0.75333751,0.07170445,2.00057854
-5.81390695,11.41188261,3.01046647,6.80879720,0.02284550,0.77722880,1.12534927,0.75858387,0.07200514,2.01513012
-5.80790395,11.43277724,3.02105180,6.80799452,0.02391217,0.77457859,1.12948692,0.76364192,0.07227088,2.02962488
-5.80190095,11.44841295,3.02706182,6.80470882,0.02503562,0.76993405,1.13352438,0.76856695,0.07248065,2.04405963
-5.79589795,11.45837213,3.02840338,6.79857162,0.02620491,0.76324869,1.13740293,0.77344123,0.07261514,2.05847358
-5.78989495,11.46268229,3.02509014,6.78952822,0.02740893,0.75451653,1.14107564,0.77837160,0.07265707,2.07294381
-5.78389195,11.46178129,3.01723656,6.77781525,0.02863652,0.74377164,1.14450667,0.78348558,0.07259153,2.08757831
-5.77788894,11.45646679,3.00504919,6.76392702,0.02987666,0.73108684,1.14767043,0.78892629,0.07240623,2.10250707
-5.77188594,11.44783247,2.98881555,6.74857265,0.03111857,0.71657172,1.15055058,0.79484635,0.07209186,2.11787165
-5.76588294,11.43719426,2.96889133,6.73262591,0.03235187,0.70036988,1.15313924,0.80140109,0.07164226,2.13381383
-5.75987994,11.42601044,2.94568630,6.71707019,0.03356664,0.68265564,1.15543646,0.80874137,0.07105460,2.15046410
-5.75387694,11.41579949,2.91964982,6.70294144,0.03475351,0.66363003,1.15745008,0.81700651,0.07032950,2.16793065
-5.74787394,11.40806029,2.89125650,6.69127170,0.03590375,0.64351636,1.15919608,0.82631777,0.06947105,2.18628971
-5.74187094,11.40419882,2.86099281,6.68303628,0.03700936,0.62255539,1.16069944,0.83677275,0.06848673,2.20557804
-5.73586793,11.40546562,2.82934541,6.67910729,0.03806315,0.60100025,1.16199569,0.84844121,0.06738730,2.22578804
-5.72986493,11.41290776,2.79679158,6.68021606,0.03905887,0.57911128,1.16313280,0.86136251,0.06618656,2.24686626
-5.72386193,11.42733812,2.76379256,6.68692660,0.03999137,0.55715096,1.16417367,0.87554518,0.06490104,2.26871558
-5.71785893,11.44932423,2.73078982,6.69962158,0.04085676,0.53537901,1.16519888,0.89096840,0.06354963,2.29120105
-5.71185593,11.47919727,2.69820463,6.71850168,0.04165265,0.51404797,1.16630957,0.90758570,0.06215316,2.31415963
-5.70585293,11.51708097,2.66644067,6.74359833,0.04237834,0.49339922,1.16763033,0.92533057,0.06073394,2.33741309
-5.69984992,11.56293838,2.63588938,6.77479887,0.04303507,0.47365966,1.16931170,0.94412364,0.05931526,2.36078361
-5.69384692,11.61663322,2.60693749,6.81188244,0.04362626,0.45503907,1.17153212,0.96388113,0.05792089,2.38411122
-5.68784392,11.67800131,2.57997589,6.85456382,0.04415770,0.43772815,1.17449897,0.98452382,0.05657459,2.40727177
-5.68184092,11.74692647,2.55540884,6.90254212,0.04463769,0.42189724,1.17844835,1.00598603,0.05529962,2.43019435
-5.67583792,11.82341449,2.53366238,6.95555018,0.04507710,0.40769557,1.18364347,1.02822378,0.05411827,2.45287672
-5.66983492,11.90765859,2.51519090,7.01340078,0.04548928,0.39525109,1.19037112,1.05122154,0.05305145,2.47539737
-5.66383192,12.00008987,2.50048061,7.07602541,0.04588997,0.38467051,1.19893635,1.07499675,0.05211825,2.49792305
-5.65782891,12.10140681,2.49004897,7.14350180,0.04629688,0.37603957,1.20965495,1.09960171,0.05133559,2.52071061
-5.65182591,12.21257928,2.48443931,7.21606708,0.04672928,0.36942331,1.22284392,1.12512238,0.05071785,2.54410259
-5.64582291,12.33482380,2.48421021,7.29411416,0.04720737,0.36486618,1.23880991,1.15167374,0.05027660,2.56851595
-5.63981991,12.46954888,2.48991938,7.37817039,0.04775148,0.36239185,1.25783608,1.17939201,0.05002032,2.59442416
-5.63381691,12.61827154,2.50210247,7.46885842,0.04838126,0.36200277,1.28016747,1.20842363,0.04995413,2.62233308
-5.62781391,12.78250802,2.52124741,7.56684090,0.04911466,0.36367924,1.30599574,1.23891185,0.05007963,2.65275162
-5.62181091,12.96364436,2.54776548,7.67275193,0.04996703,0.36737817,1.33544380,1.27098131,0.05039478,2.68615861
-5.61580790,13.16279404,2.58196054,7.78711921,0.05095006,0.37303167,1.36855102,1.30472178,0.05089379,2.72296757
-5.60980490,13.38065177,2.62399813,7.91028214,0.05207098,0.38054535,1.40526005,1.34017199,0.05156714,2.76349151
-5.60380190,13.61735327,2.67387654,8.04231157,0.05333176,0.38979685,1.44540602,1.37730469,0.05240163,2.80790995
-5.59779890,13.87235144,2.73140173,8.18293721,0.05472851,0.40063452,1.48870892,1.41601409,0.05338061,2.85624027
-5.59179590,14.14431905,2.79616815,8.33148896,0.05625121,0.41287673,1.53476997,1.45610677,0.05448419,2.90831563
-5.58579290,14.43108682,2.86754719,8.48685731,0.05788360,0.42631183,1.58307269,1.49729693,0.05568967,2.96377124
