energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,1.01441677,0.08374658,0.00099670,0.70418400,0.08593914,0.04672483,0.62702714,0.43325317,0.01402180
-5.99399700,1.01531177,0.08449607,0.00088649,0.71139201,0.08277339,0.04744880,0.62870288,0.43794628,0.01370475
-5.98799400,1.01524372,0.08496406,0.00079646,0.71721342,0.08008271,0.04799558,0.62965884,0.44123251,0.01344482
-5.98199100,1.01310523,0.08509950,0.00072286,0.72086055,0.07771640,0.04833124,0.62920775,0.44279931,0.01321619
-5.97598799,1.00796346,0.08486022,0.00066239,0.72167911,0.07554280,0.04842818,0.62677238,0.44238916,0.01299676
-5.96998499,0.99907427,0.08421433,0.00061219,0.71915767,0.07345035,0.04826588,0.62189413,0.43980645,0.01276815
-5.96398199,0.98589003,0.08314122,0.00056984,0.71293259,0.07134801,0.04783131,0.61423777,0.43492211,0.01251585
-5.95797899,0.96806125,0.08163219,0.00053332,0.70278827,0.06916506,0.04711915,0.60359226,0.42767583,0.01222901
-5.95197599,0.94543202,0.07969050,0.00050099,0.68865291,0.06685037,0.04613176,0.58986774,0.41807595,0.01190034
-5.94597299,0.91802971,0.07733112,0.00047157,0.67059010,0.06437111,0.04487879,0.57308896,0.40619681,0.01152582
-5.93996998,0.88604964,0.07457993,0.00044407,0.64878669,0.06171120,0.04337669,0.55338555,0.39217400,0.01110440
-5.93396698,0.84983520,0.07147259,0.00041777,0.62353755,0.05886934,0.04164788,0.53097950,0.37619752,0.01063759
-5.92796398,0.80985473,0.06805306,0.00039218,0.59522783,0.05585683,0.03971982,0.50617056,0.35850332,0.01012910
-5.92196098,0.76667581,0.06437193,0.00036699,0.56431360,0.05269535,0.03762391,0.47932016,0.33936364,0.00958438
-5.91595798,0.72093832,0.06048446,0.00034205,0.53130159,0.04941457,0.03539433,0.45083447,0.31907658,0.00901017
-5.90995498,0.67332725,0.05644870,0.00031735,0.49672886,0.04604989,0.03306684,0.42114738,0.29795533,0.00841415
-5.90395198,0.62454637,0.05232351,0.00029294,0.46114316,0.04264023,0.03067759,0.39070396,0.27631759,0.00780446
