energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ca_p_up,Ca_p_down,Ca_d_up,Ca_d_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,2.13506533,-2.13506534,0.00489313,-0.00489313,0.48498500,-0.48498501,0.00851750,-0.00851750,0.00000000,-0.00000000,1.10988659,-1.10988659,0.91208499,-0.91208500,0.76684360,-0.76684360,0.00000000,-0.00000000
-5.99399700,2.15917049,-2.15917050,0.00539789,-0.00539789,0.48450050,-0.48450050,0.00889940,-0.00889940,0.00000000,-0.00000000,1.15039989,-1.15039989,0.90281279,-0.90281279,0.79000140,-0.79000140,0.00000000,-0.00000000
-5.98799400,2.18256272,-2.18256273,0.00591476,-0.00591476,0.48224826,-0.48224826,0.00931978,-0.00931978,0.00000000,-0.00000000,1.19316495,-1.19316495,0.89056134,-0.89056134,0.81544400,-0.81544401,0.00000000,-0.00000000
-5.98199100,2.20495291,-2.20495292,0.00643738,-0.00643738,0.47832143,-0.47832143,0.00977188,-0.00977188,0.00000000,-0.00000000,1.23770938,-1.23770938,0.87553081,-0.87553082,0.84278035,-0.84278036,0.00000000,-0.00000000
-5.97598799,2.22598007,-2.22598008,0.00695873,-0.00695873,0.47283496,-0.47283496,0.01024768,-0.01024768,0.00000000,-0.00000000,1.28344305,-1.28344305,0.85795942,-0.85795942,0.87153116,-0.87153116,0.00000000,-0.00000000
-5.96998499,2.24521023,-2.24521024,0.00747123,-0.00747123,0.46591981,-0.46591981,0.01073809,-0.01073809,0.00000000,-0.00000000,1.32966578,-1.32966578,0.83811354,-0.83811355,0.90113751,-0.90113751,0.00000000,-0.00000000
-5.96398199,2.26213942,-2.26213944,0.00796693,-0.00796693,0.45771702,-0.45771702,0.01123314,-0.01123314,0.00000000,-0.00000000,1.37557992,-1.37557992,0.81627745,-0.81627746,0.93097281,-0.93097281,0.00000000,-0.00000000
-5.95797899,2.27620132,-2.27620133,0.00843776,-0.00843776,0.44837189,-0.44837189,0.01172221,-0.01172221,0.00000000,-0.00000000,1.42030775,-1.42030775,0.79274326,-0.79274327,0.96035796,-0.96035796,0.00000000,-0.00000000
-5.95197599,2.28677979,-2.28677980,0.00887567,-0.00887567,0.43802876,-0.43802876,0.01219434,-0.01219434,0.00000000,-0.00000000,1.46291344,-1.46291344,0.76780171,-0.76780171,0.98857936,-0.98857936,0.00000000,-0.00000000
-5.94597299,2.29322634,-2.29322635,0.00927293,-0.00927293,0.42682649,-0.42682650,0.01263848,-0.01263848,0.00000000,-0.00000000,1.50242895,-1.50242895,0.74173416,-0.74173417,1.01490927,-1.01490927,0.00000000,-0.00000000
-5.93996998,2.29488195,-2.29488196,0.00962238,-0.00962238,0.41489504,-0.41489504,0.01304383,-0.01304383,0.00000000,-0.00000000,1.53788292,-1.53788292,0.71480639,-0.71480639,1.03862785,-1.03862785,0.00000000,-0.00000000
