energy_ev,total_up,Ag_p_up,Ag_d_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up
-6.00000000,4.15679442,0.19749449,3.87415668,0.14418712,0.00392003,0.01786264,0.11489278
-5.99399700,4.18515350,0.19853286,3.90091706,0.14493270,0.00394002,0.01833078,0.11728179
-5.98799400,4.21591031,0.20058489,3.92925395,0.14624777,0.00395472,0.01884691,0.11985260
-5.98199100,4.24829925,0.20360685,3.95847221,0.14809946,0.00396355,0.01941626,0.12256723
-5.97598799,4.28154712,0.20754851,3.98787572,0.15044804,0.00396611,0.02004430,0.12538484
-5.96998499,4.31489605,0.21235348,4.01678886,0.15324753,0.00396216,0.02073653,0.12826257
-5.96398199,4.34762491,0.21795964,4.04457629,0.15644649,0.00395162,0.02149838,0.13115642
-5.95797899,4.37906834,0.22429965,4.07066048,0.15998891,0.00393462,0.02233491,0.13402215
-5.95197599,4.40863327,0.23130145,4.09453669,0.16381524,0.00391143,0.02325067,0.13681623
-5.94597299,4.43581243,0.23888891,4.11578499,0.16786345,0.00388250,0.02424944,0.13949672
-5.93996998,4.46019469,0.24698254,4.13407927,0.17207018,0.00384840,0.02533402,0.14202420
-5.93396698,4.48147224,0.25550016,4.14919311,0.17637190,0.00380985,0.02650598,0.14436260
-5.92796398,4.49944451,0.26435774,4.16100246,0.18070612,0.00376766,0.02776552,0.14648003
-5.92196098,4.51401888,0.27347020,4.16948548,0.18501254,0.00372269,0.02911132,0.14834943
-5.91595798,4.52520854,0.28275226,4.17471934,0.18923411,0.00367588,0.03054040,0.14994927
-5.90995498,4.53312753,0.29211929,4.17687471,0.19331805,0.00362817,0.03204810,0.15126398
-5.90395198,4.53798349,0.30148818,4.17620779,0.19721678,0.00358049,0.03362816,0.15228438
-5.89794897,4.54006832,0.31077823,4.17305070,0.20088858,0.00353372,0.03527273,0.15300788
-5.89194597,4.53974727,0.31991197,4.16780027,0.20429827,0.00348871,0.03697263,0.15343857
-5.88594297,4.53744696,0.32881600,4.16090603,0.20741759,0.00344621,0.03871755,0.15358713
-5.87993997,4.53364264,0.33742184,4.15285747,0.21022546,0.00340686,0.04049638,0.15347061
-5.87393697,4.52884517,0.34566665,4.14417137,0.21270801,0.00337123,0.04229758,0.15311200
-5.86793397,4.52358825,0.35349403,4.13537921,0.21485851,0.00333973,0.04410955,0.15253977
-5.86193097,4.51841596,0.36085466,4.12701525,0.21667708,0.00331270,0.04592109,0.15178711
-5.85592796,4.51387102,0.36770694,4.11960535,0.21817024,0.00329032,0.04772178,0.15089124
-5.84992496,4.51048390,0.37401752,4.11365668,0.21935035,0.00327270,0.04950239,0.14989248
-5.84392196,4.50876268,0.37976167,4.10964838,0.22023490,0.00325982,0.05125520,0.14883339
-5.83791896,4.50918376,0.38492354,4.10802307,0.22084576,0.00325160,0.05297431,0.14775774
-5.83191596,4.51218326,0.38949627,4.10917916,0.22120826,0.00324786,0.05465577,0.14670956
-5.82591296,4.51814885,0.39348184,4.11346370,0.22135032,0.00324840,0.05629774,0.14573216
-5.81990995,4.52741194,0.39689074,4.12116563,0.22130145,0.00325294,0.05790041,0.14486719
-5.81390695,4.54024006,0.39974137,4.13250926,0.22109187,0.00326121,0.05946593,0.14415377
-5.80790395,4.55682926,0.40205926,4.14764790,0.22075152,0.00327291,0.06099813,0.14362765
-5.80190095,4.57729660,0.40387597,4.16665754,0.22030921,0.00328773,0.06250226,0.14332051
-5.79589795,4.60167280,0.40522788,4.18953073,0.21979179,0.00330538,0.06398454,0.14325935
-5.78989495,4.62989530,0.40615472,4.21617086,0.21922344,0.00332556,0.06545172,0.14346595
-5.78389195,4.66180214,0.40669803,4.24638707,0.21862504,0.00334799,0.06691057,0.14395647
-5.77788894,4.69712695,0.40689952,4.27989044,0.21801367,0.00337239,0.06836742,0.14474125
-5.77188594,4.73549589,0.40679945,4.31629164,0.21740225,0.00339848,0.06982762,0.14582458
-5.76588294,4.77642685,0.40643505,4.35510094,0.21679934,0.00342594,0.07129511,0.14720472
-5.75987994,4.81933168,0.40583912,4.39573085,0.21620908,0.00345447,0.07277203,0.14887402
-5.75387694,4.86352182,0.40503878,4.43750201,0.21563125,0.00348372,0.07425844,0.15081916
-5.74787394,4.90821790,0.40405453,4.47965267,0.21506152,0.00351330,0.07575205,0.15302145
-5.74187094,4.95256326,0.40289960,4.52135192,0.21449178,0.00354276,0.07724817,0.15545738
-5.73586793,4.99564173,0.40157967,4.56171675,0.21391066,0.00357163,0.07873967,0.15809913
-5.72986493,5.03649907,0.40009285,4.59983259,0.21330405,0.00359935,0.08021715,0.16091531
-5.72386193,5.07416793,0.39843017,4.63477707,0.21265576,0.00362535,0.08166910,0.16387168
-5.71785893,5.10769527,0.39657629,4.66564598,0.21194824,0.00364898,0.08308226,0.16693206
-5.71185593,5.13617153,0.39451054,4.69158090,0.21116330,0.00366959,0.08444197,0.17005920
