energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,1.63853394,0.01730486,0.11389880,0.50515481,0.25335384,0.01953664,0.71113593,0.54032047,0.21621170
-5.99399700,1.60551679,0.01651802,0.11015410,0.48909569,0.24684471,0.02008345,0.69771234,0.52734627,0.21374954
-5.98799400,1.56730540,0.01567735,0.10612452,0.47203782,0.23956697,0.02052887,0.68202671,0.51238346,0.21054556
-5.98199100,1.52417030,0.01479145,0.10186595,0.45417672,0.23158016,0.02085988,0.66417910,0.49562060,0.20660296
-5.97598799,1.47651421,0.01387030,0.09744232,0.43574616,0.22296175,0.02106605,0.64432733,0.47728524,0.20194413
-5.96998499,1.42485664,0.01292481,0.09292321,0.41700843,0.21380443,0.02113991,0.62268088,0.45763631,0.19660960
-5.96398199,1.36981459,0.01196638,0.08838122,0.39824354,0.20421302,0.02107716,0.59949313,0.43695575,0.19065644
-5.95797899,1.31208048,0.01100651,0.08388925,0.37973799,0.19430099,0.02087679,0.57505230,0.41553953,0.18415610
-5.95197599,1.25239812,0.01005632,0.07951794,0.36177351,0.18418682,0.02054106,0.54967142,0.39368867,0.17719185
-5.94597299,1.19153770,0.00912630,0.07533320,0.34461629,0.17399033,0.02007539,0.52367776,0.37170037,0.16985587
-5.93996998,1.13027087,0.00822591,0.07139397,0.32850710,0.16382905,0.01948812,0.49740220,0.34985970,0.16224617
-5.93396698,1.06934660,0.00736344,0.06775041,0.31365264,0.15381495,0.01879019,0.47116878,0.32843203,0.15446335
-5.92796398,1.00946894,0.00654580,0.06444238,0.30021843,0.14405133,0.01799467,0.44528495,0.30765647,0.14660738
-5.92196098,0.95127727,0.00577845,0.06149835,0.28832344,0.13463030,0.01711635,0.42003276,0.28774056,0.13877456
-5.91595798,0.89532966,0.00506538,0.05893487,0.27803665,0.12563064,0.01617119,0.39566134,0.26885613,0.13105473
-5.90995498,0.84208988,0.00440911,0.05675632,0.26937546,0.11711630,0.01517578,0.37238087,0.25113669,0.12352875
-5.90395198,0.79191843,0.00381084,0.05495520,0.26230613,0.10913546,0.01414683,0.35035823,0.23467619,0.11626654
-5.89794897,0.74506764,0.00327048,0.05351285,0.25674603,0.10172009,0.01310068,0.32971442,0.21952907,0.10932551
-5.89194597,0.70168097,0.00278690,0.05240043,0.25256763,0.09488626,0.01205285,0.31052376,0.20571171,0.10274966
-5.88594297,0.66179623,0.00235803,0.05158030,0.24960404,0.08863479,0.01101764,0.29281486,0.19320504,0.09656911
-5.87993997,0.62535258,0.00198108,0.05100765,0.24765574,0.08295250,0.01000787,0.27657327,0.18195814,0.09080029
-5.87393697,0.59220068,0.00165271,0.05063227,0.24649841,0.07781383,0.00903461,0.26174548,0.17189272,0.08544659
-5.86793397,0.56211559,0.00136918,0.05040048,0.24589141,0.07318276,0.00810707,0.24824430,0.16290822,0.08049955
-5.86193097,0.53481170,0.00112655,0.05025711,0.24558661,0.06901505,0.00723250,0.23595509,0.15488732,0.07594032
-5.85592796,0.50995900,0.00092081,0.05014741,0.24533725,0.06526047,0.00641627,0.22474269,0.14770169,0.07174160
