energy_ev,total_up,Hg_p_up,Hg_d_up,In_p_up,In_d_up,Se_s_up,Se_p_up
-6.00000000,1.01652998,0.22504751,0.25203555,0.07474400,0.00293027,0.07817147,0.42858897
-5.99399700,0.99663286,0.21999245,0.24499187,0.07345913,0.00287231,0.07575358,0.42372755
-5.98799400,0.97322778,0.21398375,0.23741475,0.07177657,0.00279754,0.07315009,0.41749807
-5.98199100,0.94659087,0.20712440,0.22939861,0.06972574,0.00270722,0.07039840,0.40987458
-5.97598799,0.91706753,0.19953511,0.22104515,0.06734375,0.00260293,0.06753826,0.40086792
-5.96998499,0.88506405,0.19135084,0.21246137,0.06467420,0.00248653,0.06461083,0.39052668
-5.96398199,0.85103701,0.18271695,0.20375734,0.06176564,0.00236006,0.06165782,0.37893653
-5.95797899,0.81548088,0.17378520,0.19504382,0.05867010,0.00222570,0.05872052,0.36621795
-5.95197599,0.77891450,0.16470985,0.18642984,0.05544145,0.00208571,0.05583885,0.35252252
-5.94597299,0.74186691,0.15564381,0.17802022,0.05213392,0.00194238,0.05305054,0.33802799
-5.93996998,0.70486329,0.14673525,0.16991337,0.04880059,0.00179791,0.05039028,0.32293249
-5.93396698,0.66841162,0.13812457,0.16219920,0.04549216,0.00165445,0.04788914,0.30744807
-5.92796398,0.63299056,0.12994201,0.15495736,0.04225581,0.00151396,0.04557400,0.29179402
-5.92196098,0.59903917,0.12230588,0.14825596,0.03913438,0.00137824,0.04346724,0.27619024
-5.91595798,0.56694878,0.11532142,0.14215067,0.03616573,0.00124884,0.04158656,0.26085102
-5.90995498,0.53705720,0.10908038,0.13668430,0.03338246,0.00112711,0.03994499,0.24597946
-5.90395198,0.50964548,0.10366125,0.13188689,0.03081178,0.00101414,0.03855107,0.23176276
-5.89794897,0.48493718,0.09912995,0.12777626,0.02847565,0.00091076,0.03740913,0.21836850
-5.89194597,0.46309983,0.09554111,0.12435894,0.02639118,0.00081759,0.03651979,0.20594203
-5.88594297,0.44424848,0.09293957,0.12163149,0.02457109,0.00073501,0.03588047,0.19460496
-5.87993997,0.42845083,0.09136217,0.11958203,0.02302434,0.00066322,0.03548598,0.18445464
-5.87393697,0.41573348,0.09083948,0.11819192,0.02175684,0.00060220,0.03532916,0.17556462
-5.86793397,0.40608887,0.09139754,0.11743757,0.02077214,0.00055183,0.03540148,0.16798584
-5.86193097,0.39948237,0.09305927,0.11729209,0.02007210,0.00051183,0.03569362,0.16174846
-5.85592796,0.39585905,0.09584555,0.11772682,0.01965745,0.00048183,0.03619596,0.15686393
-5.84992496,0.39514966,0.09977581,0.11871267,0.01952832,0.00046139,0.03689897,0.15332744
-5.84392196,0.39727560,0.10486813,0.12022108,0.01968453,0.00045001,0.03779350,0.15112015
-5.83791896,0.40215238,0.11113869,0.12222470,0.02012580,0.00044716,0.03887090,0.15021138
-5.83191596,0.40969173,0.11860066,0.12469761,0.02085171,0.00045229,0.04012309,0.15056045
-5.82591296,0.41980206,0.12726257,0.12761524,0.02186162,0.00046483,0.04154240,0.15211808
-5.81990995,0.43238741,0.13712612,0.13095392,0.02315428,0.00048422,0.04312138,0.15482735
-5.81390695,0.44734511,0.14818369,0.13469010,0.02472749,0.00050990,0.04485248,0.15862428
-5.80790395,0.46456233,0.16041553,0.13879937,0.02657746,0.00054130,0.04672763,0.16343786
-5.80190095,0.48391187,0.17378690,0.14325528,0.02869831,0.00057786,0.04873784,0.16918984
-5.79589795,0.50524752,0.18824531,0.14802815,0.03108140,0.00061901,0.05087272,0.17579422
-5.78989495,0.52839952,0.20371796,0.15308381,0.03371476,0.00066419,0.05312005,0.18315664
-5.78389195,0.55317032,0.22010972,0.15838257,0.03658254,0.00071282,0.05546540,0.19117379
-5.77788894,0.57933123,0.23730173,0.16387828,0.03966458,0.00076429,0.05789179,0.19973295
-5.77188594,0.60662011,0.25515070,0.16951777,0.04293616,0.00081798,0.06037950,0.20871182
-5.76588294,0.63474061,0.27348921,0.17524055,0.04636782,0.00087327,0.06290596,0.21797877
-5.75987994,0.66336294,0.29212694,0.18097893,0.04992551,0.00092948,0.06544581,0.22739347
-5.75387694,0.69212636,0.31085295,0.18665855,0.05357075,0.00098593,0.06797107,0.23680815
-5.74787394,0.72064353,0.32943887,0.19219932,0.05726120,0.00104193,0.07045148,0.24606937
-5.74187094,0.74850637,0.34764314,0.19751668,0.06095124,0.00109678,0.07285492,0.25502025
-5.73586793,0.77529355,0.36521593,0.20252330,0.06459283,0.00114975,0.07514807,0.26350322
-5.72986493,0.80057904,0.38190479,0.20713095,0.06813646,0.00120015,0.07729702,0.27136317
-5.72386193,0.82394164,0.39746061,0.21125264,0.07153219,0.00124730,0.07926804,0.27845078
-5.71785893,0.84497493,0.41164388,0.21480484,0.07473084,0.00129054,0.08102842,0.28462599
-5.71185593,0.86329730,0.42423078,0.21770966,0.07768507,0.00132926,0.08254722,0.28976145
-5.70585293,0.87856160,0.43501907,0.21989707,0.08035052,0.00136290,0.08379610,0.29374577
-5.69984992,0.89046403,0.44383333,0.22130677,0.08268689,0.00139098,0.08475005,0.29648636
-5.69384692,0.89875193,0.45052951,0.22188994,0.08465886,0.00141308,0.08538803,0.29791190
-5.68784392,0.90323011,0.45499851,0.22161060,0.08623691,0.00142888,0.08569356,0.29797410
-5.68184092,0.90376557,0.45716875,0.22044657,0.08739802,0.00143813,0.08565509,0.29664890
-5.67583792,0.90029040,0.45700760,0.21839007,0.08812610,0.00144069,0.08526639,0.29393685
-5.66983492,0.89280289,0.45452166,0.21544783,0.08841235,0.00143653,0.08452664,0.28986291
-5.66383192,0.88136683,0.44975596,0.21164089,0.08825539,0.00142570,0.08344050,0.28447537
-5.65782891,0.86610912,0.44279216,0.20700387,0.08766122,0.00140836,0.08201798,0.27784431
-5.65182591,0.84721591,0.43374582,0.20158403,0.08664305,0.00138474,0.08027424,0.27005943
-5.64582291,0.82492748,0.42276295,0.19543997,0.08522099,0.00135520,0.07822928,0.26122740
-5.63981991,0.79953204,0.41001597,0.18864010,0.08342163,0.00132013,0.07590748,0.25146901
-5.63381691,0.77135884,0.39569933,0.18126097,0.08127751,0.00128004,0.07333718,0.24091600
-5.62781391,0.74077084,0.38002485,0.17338552,0.07882655,0.00123547,0.07055011,0.22970791
-5.62181091,0.70815707,0.36321702,0.16510122,0.07611138,0.00118702,0.06758084,0.21798896
-5.61580790,0.67392510,0.34550846,0.15649835,0.07317872,0.00113534,0.06446621,0.20590507
-5.60980490,0.63849359,0.32713546,0.14766818,0.07007860,0.00108111,0.06124472,0.19360108
-5.60380190,0.60228533,0.30833393,0.13870146,0.06686372,0.00102503,0.05795595,0.18121837
-5.59779890,0.56572059,0.28933567,0.12968687,0.06358866,0.00096781,0.05464000,0.16889272
-5.59179590,0.52921112,0.27036508,0.12070970,0.06030921,0.00091017,0.05133690,0.15675256
-5.58579290,0.49315470,0.25163622,0.11185073,0.05708157,0.00085280,0.04808609,0.14491762
-5.57978989,0.45793025,0.23335042,0.10318520,0.05396172,0.00079639,0.04492593,0.13349786
-5.57378689,0.42389365,0.21569421,0.09478207,0.05100458,0.00074161,0.04189315,0.12259280
-5.56778389,0.39137405,0.19883768,0.08670329,0.04826341,0.00068907,0.03902244,0.11229103
-5.56178089,0.36067086,0.18293321,0.07900344,0.04578900,0.00063935,0.03634601,0.10267010
-5.55577789,0.33205120,0.16811453,0.07172933,0.04362909,0.00059300,0.03389317,0.09379646
-5.54977489,0.30574799,0.15449610,0.06491989,0.04182764,0.00055049,0.03169002,0.08572565
-5.54377189,0.28195849,0.14217277,0.05860614,0.04042421,0.00051223,0.02975911,0.07850258
-5.53776888,0.26084333,0.13121971,0.05281126,0.03945347,0.00047858,0.02811916,0.07216183
-5.53176588,0.24252604,0.12169252,0.04755084,0.03894459,0.00044982,0.02678490,0.06672805
-5.52576288,0.22709304,0.11362766,0.04283320,0.03892088,0.00042619,0.02576685,0.06221636
-5.51975988,0.21459401,0.10704298,0.03865973,0.03939940,0.00040781,0.02507128,0.05863267
-5.51375688,0.20504268,0.10193848,0.03502546,0.04039072,0.00039478,0.02470019,0.05597405
-5.50775388,0.19841801,0.09829720,0.03191950,0.04189879,0.00038711,0.02465130,0.05422906
-5.50175088,0.19466568,0.09608630,0.02932565,0.04392086,0.00038474,0.02491820,0.05337800
-5.49574787,0.19369988,0.09525820,0.02722300,0.04644760,0.00038757,0.02549052,0.05339312
-5.48974487,0.19540539,0.09575186,0.02558653,0.04946324,0.00039541,0.02635417,0.05423892
-5.48374187,0.19963982,0.09749407,0.02438769,0.05294589,0.00040805,0.02749162,0.05587228
-5.47773887,0.20623610,0.10040086,0.02359504,0.05686784,0.00042520,0.02888224,0.05824276
-5.47173587,0.21500499,0.10437887,0.02317476,0.06119606,0.00044655,0.03050271,0.06129279
-5.46573287,0.22573780,0.10932666,0.02309124,0.06589263,0.00047173,0.03232737,0.06495804
-5.45972986,0.23820898,0.11513612,0.02330752,0.07091524,0.00050035,0.03432869,0.06916774
-5.45372686,0.25217892,0.12169363,0.02378584,0.07621771,0.00053199,0.03647760,0.07384521
-5.44772386,0.26739651,0.12888128,0.02448796,0.08175048,0.00056621,0.03874399,0.07890845
-5.44172086,0.28360177,0.13657795,0.02537567,0.08746101,0.00060252,0.04109699,0.08427079
-5.43571786,0.30052841,0.14466024,0.02641104,0.09329423,0.00064045,0.04350534,0.08984181
-5.42971486,0.31790625,0.15300337,0.02755681,0.09919285,0.00067950,0.04593769,0.09552828
-5.42371186,0.33546362,0.16148202,0.02877668,0.10509768,0.00071915,0.04836285,0.10123526
-5.41770885,0.35292977,0.16997103,0.03003558,0.11094789,0.00075890,0.05074999,0.10686737
-5.41170585,0.37003716,0.17834614,0.03129996,0.11668127,0.00079820,0.05306884,0.11233004
-5.40570285,0.38652384,0.18648477,0.03253804,0.12223455,0.00083654,0.05528985,0.11753101
-5.39969985,0.40213593,0.19426679,0.03372002,0.12754368,0.00087339,0.05738432,0.12238168
-5.39369685,0.41663007,0.20157539,0.03481839,0.13254433,0.00090823,0.05932461,0.12679865
-5.38769385,0.42977612,0.20829819,0.03580807,0.13717241,0.00094056,0.06108425,0.13070511
-5.38169085,0.44135990,0.21432831,0.03666672,0.14136477,0.00096987,0.06263822,0.13403224
-5.37568784,0.45118612,0.21956576,0.03737486,0.14506012,0.00099571,0.06396317,0.13672046
-5.36968484,0.45908131,0.22391889,0.03791610,0.14820001,0.00101762,0.06503775,0.13872060
-5.36368184,0.46489687,0.22730602,0.03827731,0.15073009,0.00103520,0.06584296,0.13999481
-5.35767884,0.46851200,0.22965709,0.03844870,0.15260140,0.00104811,0.06636256,0.14051735
-5.35167584,0.46983651,0.23091536,0.03842399,0.15377178,0.00105605,0.06658351,0.14027502
-5.34567284,0.46881330,0.23103906,0.03820037,0.15420729,0.00105878,0.06649642,0.13926749
-5.33966983,0.46542041,0.23000282,0.03777854,0.15388360,0.00105616,0.06609596,0.13750720
-5.33366683,0.45967256,0.22779894,0.03716267,0.15278719,0.00104810,0.06538132,0.13501904
-5.32766383,0.45162187,0.22443824,0.03636023,0.15091639,0.00103462,0.06435648,0.13183981
-5.32166083,0.44135789,0.21995050,0.03538181,0.14828211,0.00101583,0.06303051,0.12801729
-5.31565783,0.42900660,0.21438449,0.03424089,0.14490823,0.00099191,0.06141768,0.12360917
-5.30965483,0.41472856,0.20780733,0.03295353,0.14083157,0.00096316,0.05953747,0.11868168
-5.30365183,0.39871607,0.20030338,0.03153797,0.13610148,0.00092994,0.05741439,0.11330813
-5.29764882,0.38118944,0.19197261,0.03001426,0.13077892,0.00089271,0.05507774,0.10756722
-5.29164582,0.36239248,0.18292838,0.02840379,0.12493523,0.00085197,0.05256114,0.10154136
-5.28564282,0.34258728,0.17329487,0.02672883,0.11865046,0.00080831,0.04990200,0.09531485
-5.27963982,0.32204857,0.16320417,0.02501207,0.11201142,0.00076234,0.04714082,0.08897222
-5.27363682,0.30105779,0.15279306,0.02327613,0.10510950,0.00071470,0.04432044,0.08259653
-5.26763382,0.27989709,0.14219983,0.02154312,0.09803841,0.00066604,0.04148527,0.07626784
-5.26163082,0.25884349,0.13156102,0.01983426,0.09089179,0.00061701,0.03868044,0.07006185
-5.25562781,0.23816348,0.12100840,0.01816946,0.08376099,0.00056825,0.03595097,0.06404873
-5.24962481,0.21810805,0.11066615,0.01656707,0.07673295,0.00052036,0.03334103,0.05829213
-5.24362181,0.19890853,0.10064852,0.01504361,0.06988833,0.00047388,0.03089316,0.05284852
-5.23761881,0.18077318,0.09105779,0.01361359,0.06329992,0.00042932,0.02864765,0.04776667
-5.23161581,0.16388465,0.08198290,0.01228942,0.05703142,0.00038712,0.02664199,0.04308735
-5.22561281,0.14839824,0.07349842,0.01108135,0.05113657,0.00034766,0.02491029,0.03884335
-5.21960980,0.13444113,0.06566418,0.00999749,0.04565865,0.00031123,0.02348298,0.03505952
-5.21360680,0.12211217,0.05852526,0.00904386,0.04063034,0.00027808,0.02238634,0.03175307
-5.20760380,0.11148249,0.05211253,0.00822452,0.03607386,0.00024837,0.02164233,0.02893392
-5.20160080,0.10259653,0.04644342,0.00754168,0.03200146,0.00022221,0.02126822,0.02660517
-5.19559780,0.09547353,0.04152309,0.00699588,0.02841608,0.00019966,0.02127646,0.02476355
-5.18959480,0.09010922,0.03734578,0.00658616,0.02531219,0.00018072,0.02167444,0.02339993
-5.18359180,0.08647778,0.03389625,0.00631021,0.02267674,0.00016534,0.02246428,0.02249982
-5.17758879,0.08453375,0.03115132,0.00616457,0.02049023,0.00015345,0.02364274,0.02204381
-5.17158579,0.08421401,0.02908141,0.00614482,0.01872767,0.00014493,0.02520099,0.02200800
-5.16558279,0.08543972,0.02765197,0.00624566,0.01735967,0.00013968,0.02712458,0.02236439
-5.15957979,0.08811817,0.02682488,0.00646114,0.01635337,0.00013754,0.02939334,0.02308128
-5.15357679,0.09214466,0.02655968,0.00678479,0.01567336,0.00013836,0.03198147,0.02412362
-5.14757379,0.09740427,0.02681469,0.00720972,0.01528249,0.00014200,0.03485765,0.02545339
-5.14157079,0.10377380,0.02754792,0.00772880,0.01514264,0.00014830,0.03798536,0.02703006
-5.13556778,0.11112365,0.02871794,0.00833479,0.01521541,0.00015712,0.04132324,0.02881103
-5.12956478,0.11931999,0.03028454,0.00902050,0.01546275,0.00016832,0.04482575,0.03075218
-5.12356178,0.12822695,0.03220928,0.00977894,0.01584753,0.00018177,0.04844389,0.03280856
-5.11755878,0.13770904,0.03445594,0.01060350,0.01633410,0.00019735,0.05212614,0.03493505
-5.11155578,0.14763376,0.03699088,0.01148814,0.01688883,0.00021496,0.05581953,0.03708727
-5.10555278,0.15787432,0.03978326,0.01242758,0.01748064,0.00023449,0.05947086,0.03922241
-5.09954977,0.16831240,0.04280522,0.01341754,0.01808149,0.00025587,0.06302795,0.04130024
-5.09354677,0.17884102,0.04603193,0.01445491,0.01866686,0.00027902,0.06644098,0.04328412
-5.08754377,0.18936716,0.04944160,0.01553799,0.01921632,0.00030386,0.06966380,0.04514196
-5.08154077,0.19981436,0.05301534,0.01666672,0.01971390,0.00033034,0.07265521,0.04684724
-5.07553777,0.21012493,0.05673699,0.01784283,0.02014860,0.00035837,0.07538001,0.04837989
-5.06953477,0.22026175,0.06059283,0.01907009,0.02051475,0.00038791,0.07781004,0.04972705
