energy_ev,total_up,S_s_up,S_p_up,Si_p_up,Si_d_up,Ta_p_up,Ta_d_up
-6.00000000,0.79030906,0.01338966,0.02289092,0.55185054,0.00000000,0.29699763,0.57493736
-5.99399700,0.85116255,0.01427691,0.02456155,0.59586466,0.00000000,0.31890321,0.62053792
-5.98799400,0.91097948,0.01511593,0.02617880,0.63948998,0.00000000,0.34022520,0.66567182
-5.98199100,0.96900838,0.01589244,0.02771838,0.68222358,0.00000000,0.36067598,0.70980876
-5.97598799,1.02451077,0.01659298,0.02915647,0.72356615,0.00000000,0.37997827,0.75242240
-5.96998499,1.07678313,0.01720544,0.03047053,0.76303627,0.00000000,0.39787442,0.79300535
-5.96398199,1.12517870,0.01771958,0.03163992,0.80018454,0.00000000,0.41413540,0.83108393
-5.95797899,1.16912785,0.01812743,0.03264660,0.83460711,0.00000000,0.42856922,0.86623230
-5.95197599,1.20815652,0.01842370,0.03347574,0.86595779,0.00000000,0.44102842,0.89808503
-5.94597299,1.24190152,0.01860611,0.03411621,0.89395845,0.00000000,0.45141624,0.92634795
-5.93996998,1.27012246,0.01867565,0.03456096,0.91840722,0.00000000,0.45969117,0.95080651
-5.93396698,1.29270948,0.01863669,0.03480730,0.93918409,0.00000000,0.46586980,0.97133149
-5.92796398,1.30968677,0.01849703,0.03485701,0.95625387,0.00000000,0.47002773,0.98788188
-5.92196098,1.32121161,0.01826790,0.03471631,0.96966631,0.00000000,0.47229858,1.00050481
-5.91595798,1.32756933,0.01796373,0.03439572,0.97955364,0.00000000,0.47287112,1.00933259
-5.90995498,1.32916425,0.01760199,0.03390977,0.98612552,0.00000000,0.47198473,1.01457725
-5.90395198,1.32650738,0.01720286,0.03327660,0.98966192,0.00000000,0.46992327,1.01652277
-5.89794897,1.32020145,0.01678882,0.03251751,0.99050423,0.00000000,0.46700782,1.01551548
-5.89194597,1.31092391,0.01638429,0.03165642,0.98904498,0.00000000,0.46358845,1.01195314
-5.88594297,1.29940889,0.01601518,0.03071937,0.98571691,0.00000000,0.46003545,1.00627319
-5.87993997,1.28642870,0.01570840,0.02973394,0.98098148,0.00000000,0.45673030,0.99894075
-5.87393697,1.27277572,0.01549146,0.02872878,0.97531760,0.00000000,0.45405672,0.99043669
-5.86793397,1.25924523,0.01539198,0.02773323,0.96921075,0.00000000,0.45239209,0.98124640
-5.86193097,1.24661972,0.01543730,0.02677691,0.96314283,0.00000000,0.45209944,0.97184937
-5.85592796,1.23565491,0.01565405,0.02588960,0.95758303,0.00000000,0.45352022,0.96270997
-5.84992496,1.22706788,0.01606779,0.02510107,0.95297969,0.00000000,0.45696799,0.95426951
-5.84392196,1.22152710,0.01670262,0.02444119,0.94975326,0.00000000,0.46272300,0.94693958
-5.83791896,1.21964445,0.01758082,0.02394002,0.94829031,0.00000000,0.47102776,0.94109670
-5.83191596,1.22196888,0.01872251,0.02362812,0.94893847,0.00000000,0.48208351,0.93707803
-5.82591296,1.22898150,0.02014523,0.02353694,0.95200202,0.00000000,0.49604755,0.93517812
-5.81990995,1.24109158,0.02186360,0.02369920,0.95773809,0.00000000,0.51303122,0.93564626
-5.81390695,1.25863334,0.02388884,0.02414941,0.96635323,0.00000000,0.53309862,0.93868447
-5.80790395,1.28186291,0.02622836,0.02492431,0.97800008,0.00000000,0.55626574,0.94444567
-5.80190095,1.31095535,0.02888529,0.02606331,0.99277424,0.00000000,0.58250012,0.95303197
-5.79589795,1.34600144,0.03185796,0.02760881,1.01071098,0.00000000,0.61172077,0.96449301
-5.78989495,1.38700423,0.03513941,0.02960645,1.03178213,0.00000000,0.64379858,0.97882417
