energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,3.48419344,0.89380352,0.52188102,0.00601543,0.60611082,0.90664015,0.77692543,0.00500826,1.51868048
-5.99399700,3.41275204,0.88454506,0.52169669,0.00604985,0.57636201,0.88536290,0.75510986,0.00510637,1.50397456
-5.98799400,3.35525545,0.87960211,0.52413213,0.00611651,0.54836357,0.86723043,0.73631970,0.00524690,1.49607553
-5.98199100,3.31287023,0.87944487,0.52924559,0.00621567,0.52239978,0.85274339,0.72079477,0.00542472,1.49549921
-5.97598799,3.28636671,0.88442319,0.53702905,0.00634658,0.49869388,0.84229517,0.70868819,0.00563433,1.50258509
-5.96998499,3.27610249,0.89475508,0.54740840,0.00650746,0.47740496,0.83616193,0.70006441,0.00586990,1.51748652
-5.96398199,3.28201746,0.91051876,0.56024537,0.00669553,0.45862665,0.83449603,0.69489974,0.00612527,1.54016596
-5.95797899,3.30364029,0.93164848,0.57534131,0.00690700,0.44238748,0.83732292,0.69308526,0.00639403,1.57039519
-5.95197599,3.34010594,0.95793414,0.59244263,0.00713718,0.42865307,0.84454151,0.69443196,0.00666959,1.60776053
-5.94597299,3.39018336,0.98902489,0.61124760,0.00738059,0.41732994,0.85592804,0.69867800,0.00694527,1.65167257
-5.93996998,3.45231248,1.02443658,0.63141434,0.00763104,0.40827076,0.87114310,0.70549761,0.00721441,1.70138044
-5.93396698,3.52464922,1.06356287,0.65256979,0.00788187,0.40128103,0.88974174,0.71451155,0.00747049,1.75598986
-5.92796398,3.60511698,1.10568986,0.67431913,0.00812609,0.39612680,0.91118641,0.72529862,0.00770726,1.81448472
-5.92196098,3.69146331,1.15001374,0.69625565,0.00835657,0.39254320,0.93486213,0.73740787,0.00791888,1.87575148
-5.91595798,3.78131991,1.19566122,0.71797061,0.00856629,0.39024359,0.96009386,0.75037118,0.00810002,1.93860590
-5.90995498,3.87226441,1.24171201,0.73906285,0.00874852,0.38892893,0.98616527,0.76371584,0.00824604,2.00182139
-5.90395198,3.96188233,1.28722284,0.75914789,0.00889705,0.38829720,1.01233863,0.77697673,0.00835302,2.06415825
-5.89794897,4.04782739,1.33125240,0.77786638,0.00900634,0.38805241,1.03787523,0.78970774,0.00841792,2.12439318
-5.89194597,4.12787879,1.37288632,0.79489163,0.00907174,0.38791310,1.06205568,0.80149231,0.00843861,2.18134825
-5.88594297,4.19999379,1.41126147,0.80993602,0.00908961,0.38761995,1.08419955,0.81195262,0.00841393,2.23391855
-5.87993997,4.26235452,1.44558891,0.82275635,0.00905742,0.38694238,1.10368384,0.82075736,0.00834366,2.28109791
-5.87393697,4.31340747,1.47517451,0.83315784,0.00897383,0.38568391,1.11995949,0.82762794,0.00822857,2.32200176
-5.86793397,4.35189499,1.49943673,0.84099689,0.00883873,0.38368614,1.13256559,0.83234293,0.00807034,2.35588676
-5.86193097,4.37687789,1.51792088,0.84618244,0.00865319,0.38083130,1.14114072,0.83474085,0.00787151,2.38216630
-5.85592796,4.38774865,1.53030929,0.84867611,0.00841947,0.37704336,1.14543100,0.83472113,0.00763538,2.40042167
-5.84992496,4.38423511,1.53642711,0.84849101,0.00814086,0.37228762,1.14529465,0.83224343,0.00736592,2.41040845
-5.84392196,4.36639467,1.53624357,0.84568942,0.00782161,0.36656899,1.14070288,0.82732543,0.00706764,2.41205790
-5.83791896,4.33459943,1.52986867,0.84037936,0.00746674,0.35992901,1.13173706,0.82003914,0.00674549,2.40547345
-5.83191596,4.28951298,1.51754543,0.83271020,0.00708189,0.35244175,1.11858243,0.81050595,0.00640470,2.39092240
-5.82591296,4.23205984,1.49963822,0.82286753,0.00667313,0.34420888,1.10151852,0.79889077,0.00605068,2.36882317
-5.81990995,4.16338868,1.47661752,0.81106731,0.00624677,0.33535406,1.08090678,0.78539520,0.00568890,2.33972867
-5.81390695,4.08483094,1.44904191,0.79754961,0.00580915,0.32601692,1.05717600,0.77025032,0.00532476,2.30430640
-5.80790395,3.99785608,1.41753802,0.78257204,0.00536648,0.31634694,1.03080601,0.75370904,0.00496350,2.26331604
-5.80190095,3.90402541,1.38277919,0.76640310,0.00492470,0.30649735,1.00231054,0.73603843,0.00461016,2.21758543
-5.79589795,3.80494579,1.34546384,0.74931558,0.00448928,0.29661941,0.97221980,0.71751228,0.00426946,2.16798573
-5.78989495,3.70222487,1.30629422,0.73158020,0.00406516,0.28685719,0.94106351,0.69840388,0.00394579,2.11540673
-5.78389195,3.59742923,1.26595637,0.71345967,0.00365665,0.27734304,0.90935504,0.67897943,0.00364317,2.06073294
-5.77788894,3.49204648,1.22510192,0.69520323,0.00326734,0.26819385,0.87757712,0.65949210,0.00336523,2.00482145
-5.77188594,3.38745238,1.18433235,0.67704183,0.00290014,0.25950824,0.84616974,0.64017689,0.00311523,1.94848191
-5.76588294,3.28488349,1.14418592,0.65918406,0.00255718,0.25136463,0.81552028,0.62124628,0.00289604,1.89245932
-5.75987994,3.18541599,1.10512767,0.64181280,0.00223993,0.24382024,0.78595634,0.60288684,0.00271016,1.83741983
-5.75387694,3.08995055,1.06754261,0.62508272,0.00194918,0.23691089,0.75774114,0.58525672,0.00255974,1.78393988
-5.74787394,2.99920340,1.03173186,0.60911863,0.00168513,0.23065168,0.73107144,0.56848399,0.00244662,1.73249863
-5.74187094,2.91370321,0.99791190,0.59401464,0.00144744,0.22503820,0.70607790,0.55266593,0.00237226,1.68347379
-5.73586793,2.83379338,0.96621634,0.57983415,0.00123532,0.22004834,0.68282755,0.53786903,0.00233784,1.63714051
-5.72986493,2.75963918,0.93670023,0.56661062,0.00104763,0.21564450,0.66132806,0.52412979,0.00234415,1.59367330
-5.72386193,2.69123915,0.90934626,0.55434909,0.00088292,0.21177600,0.64153350,0.51145621,0.00239167,1.55315055
-5.71785893,2.62843996,0.88407263,0.54302831,0.00073955,0.20838170,0.62335113,0.49982983,0.00248046,1.51556135
-5.71185593,2.57095422,0.86074217,0.53260358,0.00061575,0.20539257,0.60664904,0.48920835,0.00261016,1.48081433
-5.70585293,2.51838040,0.83917220,0.52300995,0.00050968,0.20273424,0.59126405,0.47952868,0.00277992,1.44874796
-5.69984992,2.47022424,0.81914500,0.51416596,0.00041949,0.20032936,0.57700986,0.47071035,0.00298836,1.41914215
-5.69384692,2.42592095,0.80041825,0.50597753,0.00034338,0.19809978,0.56368492,0.46265915,0.00323354,1.39173047
-5.68784392,2.38485766,0.78273538,0.49834208,0.00027962,0.19596847,0.55107998,0.45527097,0.00351285,1.36621289
-5.68184092,2.34639544,0.76583542,0.49115266,0.00022657,0.19386123,0.53898512,0.44843567,0.00382302,1.34226843
-5.67583792,2.30989031,0.74946218,0.48430190,0.00018275,0.19170811,0.52719606,0.44204090,0.00416011,1.31956744
-5.66983492,2.27471282,0.73337245,0.47768576,0.00014678,0.18944460,0.51551979,0.43597573,0.00451945,1.29778311
-5.66383192,2.24026558,0.71734321,0.47120681,0.00011746,0.18701257,0.50377926,0.43013398,0.00489571,1.27660191
-5.65782891,2.20599845,0.70117749,0.46477699,0.00009369,0.18436104,0.49181737,0.42441720,0.00528294,1.25573266
-5.65182591,2.17142090,0.68470902,0.45831979,0.00007454,0.18144674,0.47949997,0.41873710,0.00567463,1.23491394
-5.64582291,2.13611141,0.66780545,0.45177170,0.00005919,0.17823450,0.46671809,0.41301747,0.00606387,1.21391967
-5.63981991,2.09972367,0.65037008,0.44508286,0.00004697,0.17469749,0.45338931,0.40719542,0.00644342,1.19256286
-5.63381691,2.06198957,0.63234235,0.43821711,0.00003727,0.17081735,0.43945828,0.40122199,0.00680594,1.17069725
-5.62781391,2.02271909,0.61369689,0.43115120,0.00002961,0.16658414,0.42489657,0.39506216,0.00714411,1.14821718
-5.62181091,1.98179727,0.59444138,0.42387348,0.00002360,0.16199621,0.40970174,0.38869425,0.00745089,1.12505563
-5.61580790,1.93917865,0.57461344,0.41638201,0.00001890,0.15705992,0.39389585,0.38210871,0.00771968,1.10118074
-5.60980490,1.89487953,0.55427649,0.40868235,0.00001525,0.15178926,0.37752336,0.37530666,0.00794452,1.07659104
