energy_ev,total_up,Bi_p_up,Bi_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.07119413,0.16687864,0.00088403,0.05950003,0.39663293,0.40983398,0.19483761
-5.99399700,1.01945783,0.16098219,0.00083283,0.05666090,0.37721409,0.39363946,0.18303103
-5.98799400,0.97262726,0.15508615,0.00078828,0.05410807,0.36009879,0.37945978,0.17220880
-5.98199100,0.93114117,0.14925659,0.00075051,0.05187463,0.34544087,0.36742999,0.16247006
-5.97598799,0.89526876,0.14355807,0.00071945,0.04998251,0.33331580,0.35761280,0.15387739
-5.96998499,0.86511104,0.13805212,0.00069487,0.04844242,0.32372250,0.34999961,0.14645721
-5.96398199,0.84060736,0.13279576,0.00067644,0.04725434,0.31658773,0.34451376,0.14020142
-5.95797899,0.82154677,0.12784004,0.00066365,0.04640821,0.31177261,0.34101593,0.13507001
-5.95197599,0.80758362,0.12322881,0.00065593,0.04588505,0.30908123,0.33931147,0.13099454
-5.94597299,0.79825689,0.11899778,0.00065262,0.04565821,0.30827074,0.33915925,0.12788229
-5.93996998,0.79301244,0.11517384,0.00065302,0.04569489,0.30906269,0.34028193,0.12562102
-5.93396698,0.79122740,0.11177483,0.00065638,0.04595779,0.31115507,0.34237701,0.12408398
-5.92796398,0.79223580,0.10880969,0.00066199,0.04640678,0.31423471,0.34512841,0.12313516
-5.92196098,0.79535457,0.10627906,0.00066914,0.04700059,0.31798943,0.34821815,0.12263442
-5.91595798,0.79990889,0.10417616,0.00067716,0.04769845,0.32211963,0.35133765,0.12244253
-5.90995498,0.80525615,0.10248813,0.00068546,0.04846158,0.32634888,0.35419830,0.12242578
-5.90395198,0.81080751,0.10119749,0.00069355,0.04925452,0.33043297,0.35654091,0.12246008
-5.89794897,0.81604639,0.10028386,0.00070100,0.05004621,0.33416735,0.35814370,0.12243452
-5.89194597,0.82054329,0.09972564,0.00070750,0.05081089,0.33739246,0.35882862,0.12225413
-5.88594297,0.82396629,0.09950175,0.00071285,0.05152863,0.33999699,0.35846574,0.12184194
-5.87993997,0.82608717,0.09959308,0.00071695,0.05218564,0.34191875,0.35697559,0.12114020
-5.87393697,0.82678275,0.09998388,0.00071981,0.05277425,0.34314341,0.35432958,0.12011076
