energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,0.35732240,0.00489987,0.00455972,0.12674429,0.06599983,0.01458589,0.00159664,0.21478912
-5.99399700,0.36649769,0.00476250,0.00509694,0.12951847,0.06594764,0.01530389,0.00156759,0.21982097
-5.98799400,0.37511556,0.00459721,0.00565845,0.13206846,0.06566440,0.01602372,0.00153369,0.22447623
-5.98199100,0.38321692,0.00440775,0.00623906,0.13441269,0.06518086,0.01674246,0.00149712,0.22878494
-5.97598799,0.39084721,0.00419829,0.00683280,0.13657005,0.06453163,0.01745680,0.00146039,0.23278082
-5.96998499,0.39805549,0.00397339,0.00743303,0.13855904,0.06375434,0.01816316,0.00142634,0.23650065
-5.96398199,0.40489457,0.00373780,0.00803261,0.14039723,0.06288884,0.01885786,0.00139816,0.23998413
-5.95797899,0.41142204,0.00349641,0.00862409,0.14210113,0.06197650,0.01953731,0.00137932,0.24327430
-5.95197599,0.41770239,0.00325407,0.00920001,0.14368641,0.06105974,0.02019833,0.00137358,0.24641861
-5.94597299,0.42380990,0.00301553,0.00975306,0.14516858,0.06018150,0.02083845,0.00138499,0.24947041
-5.93996998,0.42983222,0.00278532,0.01027643,0.14656394,0.05938503,0.02145621,0.00141782,0.25249084
-5.93396698,0.43587420,0.00256768,0.01076406,0.14789082,0.05871371,0.02205154,0.00147654,0.25555088
-5.92796398,0.44206172,0.00236650,0.01121086,0.14917092,0.05821093,0.02262602,0.00156579,0.25873345
-5.92196098,0.44854489,0.00218527,0.01161296,0.15043066,0.05792008,0.02318319,0.00169031,0.26213511
-5.91595798,0.45550043,0.00202707,0.01196786,0.15170238,0.05788446,0.02372866,0.00185490,0.26586728
-5.90995498,0.46313258,0.00189450,0.01227459,0.15302526,0.05814720,0.02427029,0.00206431,0.27005672
-5.90395198,0.47167240,0.00178971,0.01253374,0.15444581,0.05875100,0.02481809,0.00232313,0.27484497
-5.89794897,0.48137496,0.00171442,0.01274743,0.15601777,0.05973778,0.02538412,0.00263572,0.28038670
-5.89194597,0.49251462,0.00166988,0.01291927,0.15780153,0.06114813,0.02598218,0.00300606,0.28684689
-5.88594297,0.50537810,0.00165691,0.01305414,0.15986276,0.06302060,0.02662747,0.00343761,0.29439677
-5.87993997,0.52025577,0.00167590,0.01315802,0.16227060,0.06539076,0.02733602,0.00393313,0.30320875
-5.87393697,0.53743133,0.00172685,0.01323768,0.16509520,0.06829025,0.02812414,0.00449459,0.31345046
-5.86793397,0.55717050,0.00180938,0.01330031,0.16840486,0.07174560,0.02900775,0.00512294,0.32527822
-5.86193097,0.57970922,0.00192272,0.01335325,0.17226295,0.07577712,0.03000167,0.00581805,0.33883021
-5.85592796,0.60524210,0.00206577,0.01340354,0.17672472,0.08039783,0.03111901,0.00657852,0.35421991
-5.84992496,0.63391183,0.00223709,0.01345760,0.18183430,0.08561254,0.03237045,0.00740163,0.37153002
-5.84392196,0.66580028,0.00243494,0.01352090,0.18762200,0.09141709,0.03376378,0.00828328,0.39080743
-5.83791896,0.70092188,0.00265731,0.01359766,0.19410224,0.09779804,0.03530345,0.00921795,0.41205954
-5.83191596,0.73921984,0.00290198,0.01369065,0.20127215,0.10473255,0.03699030,0.01019878,0.43525222
-5.82591296,0.78056556,0.00316650,0.01380104,0.20911104,0.11218878,0.03882144,0.01121764,0.46030962
-5.81990995,0.82476139,0.00344833,0.01392834,0.21758090,0.12012670,0.04079037,0.01226526,0.48711594
-5.81390695,0.87154658,0.00374480,0.01407043,0.22662773,0.12849918,0.04288717,0.01333148,0.51551905
-5.80790395,0.92060632,0.00405328,0.01422368,0.23618387,0.13725359,0.04509892,0.01440544,0.54533579
-5.80190095,0.97158307,0.00437115,0.01438319,0.24617111,0.14633350,0.04741022,0.01547588,0.57635865
-5.79589795,1.02408977,0.00469590,0.01454302,0.25650441,0.15568064,0.04980385,0.01653146,0.60836345
-5.78989495,1.07772379,0.00502522,0.01469656,0.26709601,0.16523688,0.05226141,0.01756105,0.64111735
-5.78389195,1.13208095,0.00535701,0.01483688,0.27785968,0.17494600,0.05476399,0.01855405,0.67438687
-5.77788894,1.18676845,0.00568942,0.01495717,0.28871490,0.18475537,0.05729288,0.01950065,0.70794511
-5.77188594,1.24141591,0.00602091,0.01505115,0.29959054,0.19461715,0.05983005,0.02039214,0.74157790
-5.76588294,1.29568378,0.00635020,0.01511338,0.31042797,0.20448906,0.06235864,0.02122101,0.77508822
-5.75987994,1.34926847,0.00667631,0.01513970,0.32118324,0.21433460,0.06486320,0.02198116,0.80829870
-5.75387694,1.40190396,0.00699847,0.01512748,0.33182832,0.22412272,0.06732983,0.02266793,0.84105204
-5.74787394,1.45335975,0.00731609,0.01507582,0.34235119,0.23382687,0.06974609,0.02327806,0.87320921
-5.74187094,1.50343555,0.00762868,0.01498574,0.35275487,0.24342361,0.07210083,0.02380967,0.90464576
-5.73586793,1.55195298,0.00793576,0.01486020,0.36305536,0.25289077,0.07438378,0.02426206,0.93524652
-5.72986493,1.59874532,0.00823676,0.01470406,0.37327866,0.26220536,0.07658513,0.02463553,0.96489913
-5.72386193,1.64364606,0.00853090,0.01452399,0.38345719,0.27134138,0.07869502,0.02493114,0.99348702
-5.71785893,1.68647734,0.00881713,0.01432825,0.39362557,0.28026766,0.08070301,0.02515050,1.02088253
-5.71185593,1.72703950,0.00909402,0.01412641,0.40381631,0.28894605,0.08259766,0.02529544,1.04694076
-5.70585293,1.76510251,0.00935974,0.01392903,0.41405551,0.29732991,0.08436612,0.02536787,1.07149485
-5.69984992,1.80040038,0.00961195,0.01374726,0.42435884,0.30536330,0.08599393,0.02536950,1.09435316
-5.69384692,1.83262914,0.00984788,0.01359245,0.43472816,0.31298075,0.08746500,0.02530176,1.11529873
-5.68784392,1.86144871,0.01006432,0.01347569,0.44514881,0.32010784,0.08876167,0.02516570,1.13409130
-5.68184092,1.88648878,0.01025767,0.01340740,0.45558771,0.32666244,0.08986513,0.02496195,1.15047188
-5.67583792,1.90735849,0.01042408,0.01339693,0.46599252,0.33255671,0.09075585,0.02469078,1.16416966
-5.66983492,1.92365937,0.01055953,0.01345212,0.47629158,0.33769969,0.09141429,0.02435224,1.17491095
