energy_ev,total_up,B_p_up,B_d_up,Cd_p_up,Cd_d_up,Se_s_up,Se_p_up
-6.00000000,2.31543969,0.05523386,0.00000000,0.75720986,0.23033105,0.11216599,1.51327991
-5.99399700,2.33107180,0.05628604,0.00000000,0.76340626,0.22743320,0.11072976,1.52965518
-5.98799400,2.34424251,0.05723577,0.00000000,0.76718364,0.22449966,0.10954175,1.54557019
-5.98199100,2.35477045,0.05808716,0.00000000,0.76847979,0.22152777,0.10859500,1.56079089
-5.97598799,2.36260753,0.05884983,0.00000000,0.76731108,0.21852766,0.10788312,1.57513228
-5.96998499,2.36784085,0.05953870,0.00000000,0.76377268,0.21552267,0.10740055,1.58846274
-5.96398199,2.37068871,0.06017363,0.00000000,0.75803573,0.21254917,0.10714255,1.60070562
-5.95797899,2.37149065,0.06077876,0.00000000,0.75034157,0.20965577,0.10710505,1.61183817
-5.95197599,2.37069195,0.06138169,0.00000000,0.74099304,0.20690193,0.10728429,1.62188787
-5.94597299,2.36882310,0.06201246,0.00000000,0.73034350,0.20435592,0.10767638,1.63092643
-5.93996998,2.36647527,0.06270241,0.00000000,0.71878359,0.20209237,0.10827673,1.63906163
-5.93396698,2.36427271,0.06348288,0.00000000,0.70672660,0.20018942,0.10907953,1.64642786
-5.92796398,2.36284367,0.06438396,0.00000000,0.69459297,0.19872557,0.11007717,1.65317554
-5.92196098,2.36279085,0.06543309,0.00000000,0.68279446,0.19777641,0.11125983,1.65946027
-5.91595798,2.36466306,0.06665389,0.00000000,0.67171885,0.19741137,0.11261507,1.66543226
-5.90995498,2.36892931,0.06806492,0.00000000,0.66171568,0.19769063,0.11412774,1.67122662
-5.90395198,2.37595643,0.06967870,0.00000000,0.65308364,0.19866228,0.11577987,1.67695500
-5.89794897,2.38599137,0.07150096,0.00000000,0.64606019,0.20035985,0.11755090,1.68269898
-5.89194597,2.39914872,0.07352998,0.00000000,0.64081364,0.20280039,0.11941795,1.68850557
-5.88594297,2.41540399,0.07575637,0.00000000,0.63743808,0.20598303,0.12135629,1.69438484
-5.87993997,2.43459279,0.07816298,0.00000000,0.63595124,0.20988816,0.12333992,1.70030970
-5.87393697,2.45641563,0.08072515,0.00000000,0.63629528,0.21447723,0.12534213,1.70621779
-5.86793397,2.48044800,0.08341124,0.00000000,0.63834031,0.21969304,0.12733615,1.71201512
-5.86193097,2.50615509,0.08618336,0.00000000,0.64189052,0.22546078,0.12929576,1.71758112
-5.85592796,2.53291023,0.08899833,0.00000000,0.64669239,0.23168932,0.13119575,1.72277483
-5.84992496,2.56001607,0.09180884,0.00000000,0.65244472,0.23827318,0.13301232,1.72744167
-5.84392196,2.58672768,0.09456474,0.00000000,0.65880989,0.24509470,0.13472339,1.73142045
